,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19499356.88,2020-12-08,0.0,2018-12-03,AAK,66000000.0,AAK03122018,286,50490.62,0.0,2.7637004000000003,TRMAF1WWWWW4,9032002.0,19501388.29,7056260.0
1,19485699.38,2020-12-08,0.0,2018-12-04,AAK,66000000.0,AAK04122018,286,53165.92,0.0,2.7619860000000003,TRMAF1WWWWW4,9057552.0,19489236.31,7056240.0
2,19462158.99,2020-12-08,0.0,2018-12-05,AAK,66000000.0,AAK05122018,285,8753.19,0.0,2.7636807,TRMAF1WWWWW4,9082080.0,19456754.26,7040160.0
3,19508082.53,2020-12-08,0.0,2018-12-06,AAK,66000000.0,AAK06122018,285,4228.32,0.0,2.7741701,TRMAF1WWWWW4,9090256.0,19530546.19,7040140.0
4,19479811.13,2020-12-08,0.0,2018-12-07,AAK,66000000.0,AAK07122018,284,0.0,0.0,2.7787361,TRMAF1WWWWW4,9098432.0,19460239.22,7003270.0
5,19421205.69,2020-12-08,0.0,2018-12-10,AAK,66000000.0,AAK10122018,283,0.0,0.0,2.7822320000000005,TRMAF1WWWWW4,9169972.0,19398139.09,6972150.0
6,19369670.8,2020-12-08,0.0,2018-12-11,AAK,66000000.0,AAK11122018,283,0.0,0.0,2.7746739000000002,TRMAF1WWWWW4,9194500.0,19345442.41,6972150.0
7,19350211.38,2020-12-08,0.0,2018-12-12,AAK,66000000.0,AAK12122018,283,0.0,0.0,2.7719708,TRMAF1WWWWW4,9219028.0,19324822.38,6971510.0
8,19400240.33,2020-12-08,0.0,2018-12-13,AAK,66000000.0,AAK13122018,283,2978.74,0.0,2.7752637,TRMAF1WWWWW4,9227204.0,19347778.32,6971510.0
9,19421174.89,2020-12-08,0.0,2018-12-14,AAK,66000000.0,AAK14122018,282,5786.13,0.0,2.7810435,TRMAF1WWWWW4,9235380.0,19370357.04,6965140.0
10,19379957.97,2020-12-08,0.0,2018-12-17,AAK,66000000.0,AAK17122018,282,2223.61,0.0,2.7833082000000005,TRMAF1WWWWW4,9306920.0,19353037.45,6953250.0
11,19389349.24,2020-12-08,0.0,2018-12-18,AAK,66000000.0,AAK18122018,282,3649.47,0.0,2.7852592000000005,TRMAF1WWWWW4,9332367.0,19366603.83,6953250.0
12,19482542.92,2020-12-08,0.0,2018-12-19,AAK,66000000.0,AAK19122018,282,4044.28,0.0,2.7896419000000003,TRMAF1WWWWW4,9356895.0,19397021.64,6953230.0
13,19512712.34,2020-12-08,0.0,2018-12-20,AAK,66000000.0,AAK20122018,280,5152.56,0.0,2.7941649,TRMAF1WWWWW4,9365071.0,19425201.97,6952060.0
14,19451213.8,2020-12-08,0.0,2018-12-21,AAK,66000000.0,AAK21122018,280,15596.86,0.0,2.7957734,TRMAF1WWWWW4,9373247.0,19434986.68,6951560.0
15,19314640.04,2020-12-08,0.0,2018-12-24,AAK,66000000.0,AAK24122018,279,4527.59,0.0,2.7890883,TRMAF1WWWWW4,9425369.0,19281887.77,6913330.0
16,19307984.29,2020-12-08,0.0,2018-12-25,AAK,66000000.0,AAK25122018,279,6364.08,0.0,2.7882318,TRMAF1WWWWW4,9449897.0,19275910.72,6913310.0
17,19322641.45,2020-12-08,0.0,2018-12-26,AAK,66000000.0,AAK26122018,279,9636.32,0.0,2.7873502,TRMAF1WWWWW4,9473403.0,19269815.93,6913310.0
18,19295394.37,2020-12-08,0.0,2018-12-27,AAK,66000000.0,AAK27122018,279,48952.06,0.0,2.7889284,TRMAF1WWWWW4,9480557.0,19280726.52,6913310.0
19,19281189.58,2020-12-08,0.0,2018-12-28,AAK,66000000.0,AAK28122018,279,26424.67,0.0,2.7867635,TRMAF1WWWWW4,9487711.0,19265703.93,6913290.0
20,19297164.08,2020-12-08,0.0,2018-12-31,AAK,66000000.0,AAK31122018,279,22578.93,0.0,2.7885721,TRMAF1WWWWW4,9556185.0,19274359.42,6911910.0
