,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,51932208.85,2020-12-08,0.0,2018-12-03,AAV,15000000000.0,AAV03122018,12,4845.05,0.0,2.2351,TRYATAM00069,9032004.0,51845165.74,23195951.19
1,51621869.99,2020-12-08,0.0,2018-12-04,AAV,15000000000.0,AAV04122018,12,5620.09,0.0,2.2221,TRYATAM00069,9057554.0,51543777.11,23195951.19
2,50992594.69,2020-12-08,0.0,2018-12-05,AAV,15000000000.0,AAV05122018,12,5620.09,0.0,2.1949,TRYATAM00069,9082082.0,50911368.96,23195728.19
3,51159468.41,2020-12-08,0.0,2018-12-06,AAV,15000000000.0,AAV06122018,12,0.0,0.0,2.2043,TRYATAM00069,9090258.0,51131319.95,23195728.19
4,50895006.54,2020-12-08,0.0,2018-12-07,AAV,15000000000.0,AAV07122018,12,0.0,0.0,2.1815,TRYATAM00069,9098434.0,50602390.07,23195728.19
5,51019292.02,2020-12-08,0.0,2018-12-10,AAV,15000000000.0,AAV10122018,12,0.0,0.0,2.1866,TRYATAM00069,9169974.0,50718792.56,23195728.19
6,50038439.83,2020-12-08,0.0,2018-12-11,AAV,15000000000.0,AAV11122018,12,0.0,0.0,2.1554,TRYATAM00069,9194502.0,49997195.95,23195728.19
7,49974197.4,2020-12-08,0.0,2018-12-12,AAV,15000000000.0,AAV12122018,12,0.0,0.0,2.1526,TRYATAM00069,9219030.0,49930366.07,23195728.19
8,48780469.74,2020-12-08,0.0,2018-12-13,AAV,15000000000.0,AAV13122018,12,0.0,0.0,2.119,TRYATAM00069,9227206.0,49152727.71,23195728.19
9,49178089.7,2020-12-08,0.0,2018-12-14,AAV,15000000000.0,AAV14122018,12,0.0,0.0,2.1362,TRYATAM00069,9235382.0,49135982.35,23001383.19
10,48787716.06,2020-12-08,0.0,2018-12-17,AAV,15000000000.0,AAV17122018,11,2545.52,0.0,2.1189,TRYATAM00069,9306922.0,48737988.97,23001383.19
11,48517409.42,2020-12-08,0.0,2018-12-18,AAV,15000000000.0,AAV18122018,11,2545.52,0.0,2.1101,TRYATAM00069,9332369.0,48534371.89,23001383.19
12,48939281.95,2020-12-08,0.0,2018-12-19,AAV,15000000000.0,AAV19122018,11,2545.52,0.0,2.1283,TRYATAM00069,9356897.0,48953706.61,23001383.19
13,49489163.66,2020-12-08,0.0,2018-12-20,AAV,15000000000.0,AAV20122018,11,71751.58,0.0,2.1522,TRYATAM00069,9365073.0,49504153.06,23001383.19
14,49361512.42,2020-12-08,0.0,2018-12-21,AAV,15000000000.0,AAV21122018,11,71751.58,0.0,2.1466,TRYATAM00069,9373249.0,49373942.65,23001383.19
15,49257021.3,2020-12-08,0.0,2018-12-24,AAV,15000000000.0,AAV24122018,11,4882.12,0.0,2.1386,TRYATAM00069,9425371.0,49191801.41,23001383.19
16,49213085.74,2020-12-08,0.0,2018-12-25,AAV,15000000000.0,AAV25122018,11,4893.09,0.0,2.1344,TRYATAM00069,9449899.0,49094206.86,23001383.19
17,48871728.36,2020-12-08,0.0,2018-12-26,AAV,15000000000.0,AAV26122018,11,4893.09,0.0,2.1195,TRYATAM00069,9473405.0,48750322.0,23001383.19
18,48737675.13,2020-12-08,0.0,2018-12-27,AAV,15000000000.0,AAV27122018,11,6768.12,0.0,2.1158,TRYATAM00069,9480559.0,48666745.54,23001383.19
19,48484980.18,2020-12-08,0.0,2018-12-28,AAV,15000000000.0,AAV28122018,11,6768.12,0.0,2.113,TRYATAM00069,9487713.0,48601692.34,23001383.19
