,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,5114084.9,2018-12-13T10:14:57,10000000.0,2018-12-03,ACC,1000000000.0,ACC03122018,23,6746.53,0.0,1.237923,TRYACTU00027,9032007.0,5109458.91,4127444.0
1,5122390.13,2018-12-14T10:14:56,10000000.0,2018-12-04,ACC,1000000000.0,ACC04122018,24,6747.77,0.0,1.239848,TRYACTU00027,9057557.0,5112130.36,4123191.0
2,5009201.54,2018-12-15T10:14:55,10000000.0,2018-12-05,ACC,1000000000.0,ACC05122018,23,11491.57,0.0,1.214734,TRYACTU00027,9082085.0,5008590.28,4123199.0
3,4975139.59,2018-12-16T10:14:54,10000000.0,2018-12-06,ACC,1000000000.0,ACC06122018,23,15457.89,0.0,1.210024,TRYACTU00027,9090261.0,4989168.36,4123199.0
4,4906244.33,2018-12-17T10:14:59,10000000.0,2018-12-07,ACC,1000000000.0,ACC07122018,23,15141.16,0.0,1.193227,TRYACTU00027,9098437.0,4919539.4,4122886.0
5,4959499.46,2018-12-20T10:14:57,10000000.0,2018-12-10,ACC,1000000000.0,ACC10122018,22,14762.42,0.0,1.205883,TRYACTU00027,9169977.0,4971679.0,4122853.0
6,4615219.97,2018-12-21T10:14:56,10000000.0,2018-12-11,ACC,1000000000.0,ACC11122018,21,14723.04,0.0,1.187513,TRYACTU00027,9194505.0,4895940.71,4122853.0
7,4615708.35,2018-12-22T10:14:55,10000000.0,2018-12-12,ACC,1000000000.0,ACC12122018,21,14507.24,0.0,1.187502,TRYACTU00027,9219033.0,4316238.09,3634721.0
8,4138107.78,2018-12-23T10:14:54,10000000.0,2018-12-13,ACC,1000000000.0,ACC13122018,18,14844.16,0.0,1.163339,TRYACTU00027,9227209.0,4228412.14,3634721.0
9,4175592.44,2018-12-24T10:14:53,10000000.0,2018-12-14,ACC,1000000000.0,ACC14122018,18,14808.68,0.0,1.173557,TRYACTU00027,9235385.0,4265553.72,3634721.0
10,4213850.55,2018-12-27T10:14:57,10000000.0,2018-12-17,ACC,1000000000.0,ACC17122018,18,14808.68,0.0,1.162104,TRYACTU00027,9306925.0,4223898.32,3634699.0
11,4159276.19,2018-12-28T10:14:59,10000000.0,2018-12-18,ACC,1000000000.0,ACC18122018,17,14787.51,0.0,1.149382,TRYACTU00027,9332372.0,4177663.56,3634703.0
12,4203872.02,2018-12-29T10:14:58,10000000.0,2018-12-19,ACC,1000000000.0,ACC19122018,17,14787.51,0.0,1.161568,TRYACTU00027,9356900.0,4221954.78,3634703.0
13,4261975.89,2018-12-30T10:14:58,10000000.0,2018-12-20,ACC,1000000000.0,ACC20122018,17,23414.44,0.0,1.177466,TRYACTU00027,9365076.0,4279740.44,3634703.0
14,4221184.64,2018-12-31T10:15:00,10000000.0,2018-12-21,ACC,1000000000.0,ACC21122018,17,23414.44,0.0,1.166158,TRYACTU00027,9373252.0,4238137.1,3634273.0
