,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,11253277.58,2018-12-13T10:14:57,0.0,2018-12-03,ACD,300000000.0,ACD03122018,25,739.48,715408.44,0.230166,TRMACDWWWWW8,9032008.0,11390990.8,49490290.0
1,11695677.09,2018-12-14T10:14:56,0.0,2018-12-04,ACD,300000000.0,ACD04122018,25,739.48,207133.84,0.227696,TRMACDWWWWW8,9057558.0,11268722.49,49490290.0
2,11843153.23,2018-12-15T10:14:55,0.0,2018-12-05,ACD,300000000.0,ACD05122018,25,739.48,880530.41,0.225934,TRMACDWWWWW8,9082086.0,11181530.36,49490290.0
3,10366079.96,2018-12-16T10:14:54,0.0,2018-12-06,ACD,300000000.0,ACD06122018,25,894.4,310195.34,0.22595,TRMACDWWWWW8,9090262.0,11182353.85,49490290.0
4,10746566.74,2018-12-17T10:14:59,0.0,2018-12-07,ACD,300000000.0,ACD07122018,25,894.4,749477.1,0.224405,TRMACDWWWWW8,9098438.0,11100018.69,49464290.0
5,11161002.64,2018-12-20T10:14:57,0.0,2018-12-10,ACD,300000000.0,ACD10122018,25,1019.7,1142248.77,0.226041,TRMACDWWWWW8,9169978.0,11180952.87,49464290.0
6,11165465.35,2018-12-21T10:14:56,0.0,2018-12-11,ACD,300000000.0,ACD11122018,25,1019.7,1124727.43,0.22438,TRMACDWWWWW8,9194506.0,11098817.49,49464290.0
7,10963888.26,2018-12-22T10:14:55,0.0,2018-12-12,ACD,300000000.0,ACD12122018,25,784.99,1083704.69,0.223765,TRMACDWWWWW8,9219034.0,11068377.48,49464290.0
8,11101700.09,2018-12-23T10:14:54,0.0,2018-12-13,ACD,300000000.0,ACD13122018,25,784.99,980632.3,0.219496,TRMACDWWWWW8,9227210.0,10857225.12,49464290.0
9,11167052.59,2018-12-24T10:14:53,0.0,2018-12-14,ACD,300000000.0,ACD14122018,25,784.99,1211779.39,0.221415,TRMACDWWWWW8,9235386.0,10952151.79,49464290.0
10,10582318.08,2018-12-27T10:14:57,0.0,2018-12-17,ACD,300000000.0,ACD17122018,25,784.99,760443.12,0.21989,TRMACDWWWWW8,9306926.0,10874920.2,49456290.0
11,11168367.71,2018-12-28T10:14:59,0.0,2018-12-18,ACD,300000000.0,ACD18122018,24,1013.67,1018662.99,0.218865,TRMACDWWWWW8,9332373.0,10824260.04,49456290.0
12,11305389.52,2018-12-29T10:14:58,0.0,2018-12-19,ACD,300000000.0,ACD19122018,24,1013.67,1076692.77,0.221462,TRMACDWWWWW8,9356901.0,10952672.35,49456290.0
13,10819759.62,2018-12-30T10:14:58,0.0,2018-12-20,ACD,300000000.0,ACD20122018,24,1013.67,699447.45,0.22449,TRMACDWWWWW8,9365077.0,11102418.38,49456290.0
14,10962842.17,2018-12-31T10:15:00,0.0,2018-12-21,ACD,300000000.0,ACD21122018,24,1013.67,749480.52,0.224177,TRMACDWWWWW8,9373253.0,11086977.63,49456290.0
15,11622523.69,2019-01-03T10:14:57,0.0,2018-12-24,ACD,300000000.0,ACD24122018,24,1013.67,1008926.42,0.22477,TRMACDWWWWW8,9425375.0,11116268.26,49456290.0
