,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,9253103.53,2018-12-13T10:14:57,0.0,2018-12-03,ACK,500000000.0,ACK03122018,32,328.37,141276.98,0.031222,TRYACMD00010,9032012.0,9276227.22,297105795.0
1,9260747.34,2018-12-14T10:14:56,0.0,2018-12-04,ACK,500000000.0,ACK04122018,32,328.37,160103.23,0.031102,TRYACMD00010,9057562.0,9174399.14,294973795.0
2,9181074.27,2018-12-15T10:14:55,0.0,2018-12-05,ACK,500000000.0,ACK05122018,32,8763.06,108067.17,0.030872,TRYACMD00010,9082090.0,9106448.73,294973795.0
3,9135524.3,2018-12-16T10:14:54,0.0,2018-12-06,ACK,500000000.0,ACK06122018,32,1516.08,84052.93,0.030861,TRYACMD00010,9090266.0,9103185.81,294973795.0
4,9140965.71,2018-12-17T10:14:59,0.0,2018-12-07,ACK,500000000.0,ACK07122018,32,1516.08,44027.73,0.030823,TRYACMD00010,9098442.0,9091882.64,294973795.0
5,9142555.32,2018-12-20T10:14:57,0.0,2018-12-10,ACK,500000000.0,ACK10122018,32,1516.08,63124.53,0.030975,TRYACMD00010,9169982.0,9136669.43,294973795.0
6,9115662.53,2018-12-21T10:14:56,0.0,2018-12-11,ACK,500000000.0,ACK11122018,32,1516.08,7004.53,0.030902,TRYACMD00010,9194510.0,9115296.38,294973795.0
7,9204739.95,2018-12-22T10:14:55,0.0,2018-12-12,ACK,500000000.0,ACK12122018,32,1331.57,70045.45,0.030919,TRYACMD00010,9219038.0,9115328.67,294813795.0
8,9162952.24,2018-12-23T10:14:54,0.0,2018-12-13,ACK,500000000.0,ACK13122018,31,1387.25,20012.9,0.030271,TRYACMD00010,9227214.0,8924242.9,294813795.0
9,9172624.3,2018-12-24T10:14:53,0.0,2018-12-14,ACK,500000000.0,ACK14122018,31,1387.25,0.0,0.030416,TRYACMD00010,9235390.0,8967075.69,294813795.0
10,8988843.97,2018-12-27T10:14:57,0.0,2018-12-17,ACK,500000000.0,ACK17122018,31,1387.25,0.0,0.030223,TRYACMD00010,9306930.0,8910070.05,294813795.0
11,9358576.7,2018-12-28T10:14:59,0.0,2018-12-18,ACK,4725093470.0,ACK18122018,44,14790.96,12007.74,0.029959,TRYACMD00010,9332377.0,9269092.75,309389892.269
12,9188260.71,2018-12-29T10:14:58,0.0,2018-12-19,ACK,4725093470.0,ACK19122018,44,14790.96,0.0,0.030334,TRYACMD00010,9356905.0,9385172.71,309389891.13
13,9239565.41,2018-12-30T10:14:58,0.0,2018-12-20,ACK,4725093470.0,ACK20122018,44,790.96,14008.88,0.030666,TRYACMD00010,9365081.0,9487819.0,309389891.13
14,9422367.6,2018-12-31T10:15:00,0.0,2018-12-21,ACK,4725093470.0,ACK21122018,44,790.96,224143.61,0.030673,TRYACMD00010,9373257.0,9490008.47,309389891.13
15,9520331.24,2019-01-03T10:14:57,0.0,2018-12-24,ACK,4725093470.0,ACK24122018,44,790.96,290552.99,0.030723,TRYACMD00010,9425379.0,9284321.46,302189891.13
16,9178741.25,2019-01-04T10:14:57,0.0,2018-12-25,ACK,4725093470.0,ACK25122018,44,945.36,99063.47,0.030714,TRYACMD00010,9449907.0,9281525.98,302189891.13
17,9244221.83,2019-01-05T10:14:56,0.0,2018-12-26,ACK,4725093470.0,ACK26122018,44,783.22,83055.71,0.030605,TRYACMD00010,9473413.0,9023284.14,294833427.57
18,9086257.42,2019-01-06T10:14:55,0.0,2018-12-27,ACK,4725093470.0,ACK27122018,44,836.8,5003.17,0.030643,TRYACMD00010,9480567.0,9034516.92,294833400.57
19,8950562.01,2019-01-07T10:15:00,0.0,2018-12-28,ACK,4725093470.0,ACK28122018,43,835.97,0.0,0.030511,TRYACMD00010,9487721.0,8995786.28,294833400.57
20,9157112.84,2019-01-10T10:14:57,0.0,2018-12-31,ACK,4725093470.0,ACK31122018,43,840.1,91176.14,0.030649,TRYACMD00010,9556195.0,9034760.62,294781400.57
21,9172013.0,2019-01-12T10:14:58,0.0,2019-01-02,ACK,4725093470.0,ACK02012019,42,1253.53,73095.6,0.030927,TRYACMD00010,9604126.0,9116731.1,294781400.57
22,8931131.44,2019-01-13T10:14:57,0.0,2019-01-03,ACK,4725093470.0,ACK03012019,42,1253.53,0.0,0.030208,TRYACMD00010,9612302.0,8904889.93,294781400.57
23,8966972.07,2019-01-14T10:14:59,0.0,2019-01-04,ACK,4725093470.0,ACK04012019,42,1253.53,50031.64,0.029537,TRYACMD00010,9620478.0,8707002.03,294781400.57
24,8997841.52,2019-01-17T10:14:57,0.0,2019-01-07,ACK,4725093470.0,ACK07012019,42,974.85,0.0,0.02999,TRYACMD00010,9692018.0,8840627.85,294781400.57
25,8865131.36,2019-01-18T10:14:56,0.0,2019-01-08,ACK,4725093470.0,ACK08012019,42,929.78,0.0,0.030179,TRYACMD00010,9717568.0,8896196.61,294781400.57
26,8931903.36,2019-01-19T10:14:55,0.0,2019-01-09,ACK,4725093470.0,ACK09012019,42,929.78,52034.05,0.030227,TRYACMD00010,9742096.0,8910399.36,294781400.57
27,8792345.96,2019-01-20T10:14:54,0.0,2019-01-10,ACK,4725093470.0,ACK10012019,42,1182.33,28017.99,0.030165,TRYACMD00010,9750272.0,8891952.88,294781400.57
28,8766139.25,2019-01-21T10:14:59,0.0,2019-01-11,ACK,4725093470.0,ACK11012019,42,1086.33,27017.2,0.030346,TRYACMD00010,9758448.0,8945345.32,294781400.57
29,8855732.69,2019-01-24T10:14:57,0.0,2019-01-14,ACK,4725093470.0,ACK14012019,42,820.15,148295.59,0.030401,TRYACMD00010,9829988.0,8961507.06,294781400.57
