,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,79695748.0,2018-12-13T10:14:57,0.0,2018-12-03,ADE,20000000000.0,ADE03122018,31946,14286.89,0.0,0.141194,TRMADEWWWWW4,9032015.0,79557089.75,563460357.0
1,79711787.26,2018-12-14T10:14:56,0.0,2018-12-04,ADE,20000000000.0,ADE04122018,31929,20373.16,0.0,0.141305,TRMADEWWWWW4,9057565.0,79574759.34,563140921.0
2,77695949.51,2018-12-15T10:14:55,0.0,2018-12-05,ADE,20000000000.0,ADE05122018,31941,35447.56,0.0,0.141372,TRMADEWWWWW4,9082093.0,77569530.19,548690530.0
3,77068708.45,2018-12-16T10:14:54,0.0,2018-12-06,ADE,20000000000.0,ADE06122018,31919,3539.58,0.0,0.141447,TRMADEWWWWW4,9090269.0,76905906.81,543707498.0
4,76642702.04,2018-12-17T10:14:59,0.0,2018-12-07,ADE,20000000000.0,ADE07122018,31898,378392.11,0.0,0.141583,TRMADEWWWWW4,9098445.0,76990246.08,543781467.0
5,79740807.67,2018-12-20T10:14:57,0.0,2018-12-10,ADE,20000000000.0,ADE10122018,31898,27850.55,0.0,0.141833,TRMADEWWWWW4,9169985.0,76851213.0,541842813.0
6,76844689.27,2018-12-21T10:14:56,0.0,2018-12-11,ADE,20000000000.0,ADE11122018,31882,27713.29,0.0,0.141929,TRMADEWWWWW4,9194513.0,76823738.38,541284487.0
7,76647927.47,2018-12-22T10:14:55,0.0,2018-12-12,ADE,20000000000.0,ADE12122018,31902,41873.03,0.0,0.142004,TRMADEWWWWW4,9219041.0,76636719.45,539678800.0
8,76667938.07,2018-12-23T10:14:54,0.0,2018-12-13,ADE,20000000000.0,ADE13122018,31893,22569.45,0.0,0.142075,TRMADEWWWWW4,9227217.0,76639995.52,539431493.0
9,76976171.62,2018-12-24T10:14:53,0.0,2018-12-14,ADE,20000000000.0,ADE14122018,31887,31249.99,0.0,0.142152,TRMADEWWWWW4,9235393.0,76952426.28,541339463.0
10,77048925.27,2018-12-27T10:14:57,0.0,2018-12-17,ADE,20000000000.0,ADE17122018,31867,34398.41,0.0,0.142406,TRMADEWWWWW4,9306933.0,77014881.25,540812974.0
11,78100138.45,2018-12-28T10:14:59,0.0,2018-12-18,ADE,20000000000.0,ADE18122018,31862,28932.08,0.0,0.142505,TRMADEWWWWW4,9332380.0,78056136.8,547744563.0
12,78221580.84,2018-12-29T10:14:58,0.0,2018-12-19,ADE,20000000000.0,ADE19122018,31866,29792.61,0.0,0.142593,TRMADEWWWWW4,9356908.0,78173898.17,548230010.0
13,78298710.23,2018-12-30T10:14:58,0.0,2018-12-20,ADE,20000000000.0,ADE20122018,31844,32938.42,0.0,0.142683,TRMADEWWWWW4,9365084.0,78249649.39,548414616.0
14,77075395.34,2018-12-31T10:15:00,0.0,2018-12-21,ADE,20000000000.0,ADE21122018,31818,35948.77,0.0,0.142672,TRMADEWWWWW4,9373260.0,77024875.19,539875145.0
15,77130296.25,2019-01-03T10:14:57,0.0,2018-12-24,ADE,20000000000.0,ADE24122018,31802,38618.2,0.0,0.142878,TRMADEWWWWW4,9425382.0,77068951.15,539403158.0
16,76914285.41,2019-01-04T10:14:57,0.0,2018-12-25,ADE,20000000000.0,ADE25122018,31791,31470.34,0.0,0.142966,TRMADEWWWWW4,9449910.0,76841380.17,537478649.0
17,76717511.3,2019-01-05T10:14:56,0.0,2018-12-26,ADE,20000000000.0,ADE26122018,31785,36794.22,0.0,0.143062,TRMADEWWWWW4,9473416.0,76645481.78,535748916.0
18,76224364.49,2019-01-06T10:14:55,0.0,2018-12-27,ADE,20000000000.0,ADE27122018,31752,38592.27,0.0,0.142828,TRMADEWWWWW4,9480570.0,76149709.41,533157432.0
19,76484734.12,2019-01-07T10:15:00,0.0,2018-12-28,ADE,20000000000.0,ADE28122018,31737,20561.62,0.0,0.142899,TRMADEWWWWW4,9487724.0,76387619.4,534557267.0
20,76509733.97,2019-01-10T10:14:57,0.0,2018-12-31,ADE,20000000000.0,ADE31122018,31718,9398.59,0.0,0.142943,TRMADEWWWWW4,9556198.0,76388144.75,534397483.0
21,76589521.59,2019-01-12T10:14:58,200000000.0,2019-01-02,ADE,20000000000.0,ADE02012019,31706,30837.47,7057140.25,0.143276,TRMADEWWWWW4,9604129.0,76476752.19,533773137.0
22,76026771.88,2019-01-13T10:14:57,0.0,2019-01-03,ADE,20000000000.0,ADE03012019,31694,40481.55,0.0,0.143336,TRMADEWWWWW4,9612305.0,75919273.5,529658816.0
23,90470249.71,2019-01-14T10:14:59,0.0,2019-01-04,ADE,20000000000.0,ADE04012019,31683,37063.2,0.0,0.143417,TRMADEWWWWW4,9620481.0,90354057.03,630011484.0
24,90547935.86,2019-01-17T10:14:57,0.0,2019-01-07,ADE,20000000000.0,ADE07012019,31662,46063.09,0.0,0.143623,TRMADEWWWWW4,9692021.0,90424907.78,629598613.0
25,90511093.69,2019-01-18T10:14:56,0.0,2019-01-08,ADE,20000000000.0,ADE08012019,31645,30809.47,0.0,0.143703,TRMADEWWWWW4,9717571.0,90490206.68,629701082.0
26,90471419.24,2019-01-19T10:14:55,0.0,2019-01-09,ADE,20000000000.0,ADE09012019,31653,26919.11,0.0,0.14377,TRMADEWWWWW4,9742099.0,90441456.66,629070335.0
27,90464976.09,2019-01-20T10:14:54,0.0,2019-01-10,ADE,20000000000.0,ADE10012019,31637,32918.63,0.0,0.143854,TRMADEWWWWW4,9750275.0,90435787.32,628665705.0
28,90141544.04,2019-01-21T10:14:59,200000000.0,2019-01-11,ADE,20000000000.0,ADE11012019,31640,23777.63,8541745.43,0.143925,TRMADEWWWWW4,9758451.0,90481283.39,628667928.0
29,89664077.9,2019-01-24T10:14:57,200000000.0,2019-01-14,ADE,20000000000.0,ADE14012019,31630,10305.79,8267608.1,0.144158,TRMADEWWWWW4,9829991.0,90588753.37,628400068.0
30,90662811.21,2019-01-25T10:14:56,0.0,2019-01-15,ADE,20000000000.0,ADE15012019,31629,35447.0,0.0,0.144252,TRMADEWWWWW4,9855541.0,90616306.87,628179172.0
