,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3193570.61,2020-12-08,0.0,2018-12-03,AED,15000000.0,AED03122018,310,369.46,0.0,14.456,TRYATAM00010,9032019.0,3171687.64,219397.806
1,3191179.56,2020-12-08,0.0,2018-12-04,AED,15000000.0,AED04122018,310,369.45,0.0,14.445,TRYATAM00010,9057569.0,3169146.0,219397.806
2,3180358.91,2020-12-08,0.0,2018-12-05,AED,15000000.0,AED05122018,309,3679.3,0.0,14.418000000000001,TRYATAM00010,9082097.0,3163045.55,219388.844
3,3182385.23,2020-12-08,0.0,2018-12-06,AED,15000000.0,AED06122018,309,0.0,0.0,14.427999999999999,TRYATAM00010,9090273.0,3165145.65,219376.252
4,3178212.3,2020-12-08,0.0,2018-12-07,AED,15000000.0,AED07122018,307,0.0,0.0,14.424,TRYATAM00010,9098449.0,3160822.48,219137.68300000002
5,3179565.2,2020-12-08,0.0,2018-12-10,AED,15000000.0,AED10122018,307,0.0,0.0,14.427999999999999,TRYATAM00010,9169989.0,3161724.54,219137.68300000002
6,427625.82,2020-12-08,0.0,2018-12-11,AED,15000000.0,AED11122018,307,779698.71,0.0,5.428,TRYATAM00010,9194517.0,1189420.31,219137.681
7,1209461.89,2020-12-08,0.0,2018-12-12,AED,15000000.0,AED12122018,307,0.0,0.0,5.437,TRYATAM00010,9219045.0,1191494.06,219137.681
8,1201635.13,2020-12-08,0.0,2018-12-13,AED,15000000.0,AED13122018,306,572.31,0.0,5.405,TRYATAM00010,9227221.0,1184488.84,219137.63700000002
9,1201253.92,2020-12-08,0.0,2018-12-14,AED,15000000.0,AED14122018,306,1135.66,0.0,5.406000000000001,TRYATAM00010,9235397.0,1184607.67,219137.63700000002
10,1200119.12,2020-12-08,0.0,2018-12-17,AED,15000000.0,AED17122018,305,1123.76,0.0,5.401999999999999,TRYATAM00010,9306937.0,1183271.19,219038.405
11,1201355.39,2020-12-08,0.0,2018-12-18,AED,15000000.0,AED18122018,305,1862.88,0.0,5.411,TRYATAM00010,9332384.0,1185183.22,219038.405
12,1148129.78,2020-12-08,0.0,2018-12-19,AED,15000000.0,AED19122018,305,2147.67,0.0,5.433999999999999,TRYATAM00010,9356912.0,1190263.73,219038.404
13,1149755.58,2020-12-08,0.0,2018-12-20,AED,15000000.0,AED20122018,305,2728.19,0.0,5.446999999999999,TRYATAM00010,9365088.0,1192998.17,219038.404
