,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6688242.23,2018-12-13T10:14:57,500000000.0,2018-12-03,AES,50000000000.0,AES03122018,567,133778.9,0.0,0.012718,TRYAKBK00441,9032020.0,6736744.38,529691222.0
1,7064692.09,2018-12-14T10:14:56,500000000.0,2018-12-04,AES,50000000000.0,AES04122018,567,86265.62,0.0,0.013428,TRYAKBK00441,9057570.0,7115599.56,529898800.0
2,7143492.0,2018-12-15T10:14:55,500000000.0,2018-12-05,AES,50000000000.0,AES05122018,570,112252.04,0.0,0.013578,TRYAKBK00441,9082098.0,7217922.21,531589746.0
3,7280337.91,2018-12-16T10:14:54,500000000.0,2018-12-06,AES,50000000000.0,AES06122018,574,145311.66,0.0,0.013835,TRYAKBK00441,9090274.0,7386438.44,533881313.0
4,7114746.54,2018-12-17T10:14:59,500000000.0,2018-12-07,AES,50000000000.0,AES07122018,575,194145.82,0.0,0.013526,TRYAKBK00441,9098450.0,7282701.66,538411566.0
5,7279779.21,2018-12-20T10:14:57,500000000.0,2018-12-10,AES,50000000000.0,AES10122018,576,242808.64,0.0,0.013658,TRYAKBK00441,9169990.0,7397733.38,541629820.0
6,6991489.5,2018-12-21T10:14:56,500000000.0,2018-12-11,AES,50000000000.0,AES11122018,574,146288.48,0.0,0.013124,TRYAKBK00441,9194518.0,7111880.56,541882642.0
7,7279890.31,2018-12-22T10:14:55,500000000.0,2018-12-12,AES,50000000000.0,AES12122018,580,357856.13,0.0,0.013476,TRYAKBK00441,9219046.0,7522708.94,558226408.0
8,7229379.79,2018-12-23T10:14:54,500000000.0,2018-12-13,AES,50000000000.0,AES13122018,583,276323.64,0.0,0.013377,TRYAKBK00441,9227222.0,7481371.73,559284813.0
9,7477528.26,2018-12-24T10:14:53,500000000.0,2018-12-14,AES,50000000000.0,AES14122018,583,293450.62,0.0,0.013818,TRYAKBK00441,9235398.0,7744731.66,560464507.0
10,7252273.32,2018-12-27T10:14:57,500000000.0,2018-12-17,AES,50000000000.0,AES17122018,581,343405.6,0.0,0.013416,TRYAKBK00441,9306938.0,7563734.81,563798122.0
11,7174131.8,2018-12-28T10:14:59,500000000.0,2018-12-18,AES,50000000000.0,AES18122018,583,408830.37,0.0,0.013016,TRYAKBK00441,9332385.0,7400855.29,568607136.0
12,6733344.63,2018-12-29T10:14:58,500000000.0,2018-12-19,AES,50000000000.0,AES19122018,586,250525.25,0.0,0.012239,TRYAKBK00441,9356913.0,6957635.62,568474749.0
13,6831975.85,2018-12-30T10:14:58,500000000.0,2018-12-20,AES,50000000000.0,AES20122018,585,249698.5,0.0,0.012411,TRYAKBK00441,9365089.0,7057174.66,568623084.0
14,6516719.2,2018-12-31T10:15:00,500000000.0,2018-12-21,AES,50000000000.0,AES21122018,591,250445.98,0.0,0.011848,TRYAKBK00441,9373265.0,6670425.78,563018615.0
15,6784454.25,2019-01-03T10:14:57,500000000.0,2018-12-24,AES,50000000000.0,AES24122018,600,658396.53,0.0,0.01171,TRYAKBK00441,9425387.0,6981779.72,596239287.0
16,6567878.44,2019-01-04T10:14:57,500000000.0,2018-12-25,AES,50000000000.0,AES25122018,602,244207.43,0.0,0.011345,TRYAKBK00441,9449915.0,6769551.19,596711421.0
17,6581280.75,2019-01-05T10:14:56,500000000.0,2018-12-26,AES,50000000000.0,AES26122018,602,244391.34,0.0,0.011367,TRYAKBK00441,9473421.0,6782549.95,596711421.0
18,6981775.22,2019-01-06T10:14:55,500000000.0,2018-12-27,AES,50000000000.0,AES27122018,602,244052.69,0.0,0.012036,TRYAKBK00441,9480575.0,7182086.52,596711421.0
19,6786637.15,2019-01-07T10:15:00,500000000.0,2018-12-28,AES,50000000000.0,AES28122018,613,323035.68,0.0,0.011705,TRYAKBK00441,9487729.0,7045598.55,601926884.0
20,6930499.23,2019-01-10T10:14:57,500000000.0,2018-12-31,AES,50000000000.0,AES31122018,647,519619.87,0.0,0.011507,TRYAKBK00441,9556203.0,7110063.98,617894505.0
21,7079735.01,2019-01-12T10:14:58,500000000.0,2019-01-02,AES,50000000000.0,AES02012019,653,242357.98,0.0,0.011745,TRYAKBK00441,9604134.0,7271905.54,619154285.0
22,7439154.83,2019-01-13T10:14:57,500000000.0,2019-01-03,AES,50000000000.0,AES03012019,650,359172.29,0.0,0.012098,TRYAKBK00441,9612310.0,7601132.47,628304596.0
23,7703595.02,2019-01-14T10:14:59,500000000.0,2019-01-04,AES,50000000000.0,AES04012019,653,214289.14,0.0,0.012532,TRYAKBK00441,9620486.0,7872849.1,628244719.0
