,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,54505360.1,2018-12-13T10:14:57,600000000.0,2018-12-03,AFA,60000000000.0,AFA03122018,1510,645262.97,100194.13,0.053476,TRYAKBK00458,9032021.0,54903738.83,1026700223.0
1,55465736.14,2018-12-14T10:14:56,600000000.0,2018-12-04,AFA,60000000000.0,AFA04122018,1509,135024.73,545351.64,0.054531,TRYAKBK00458,9057571.0,55917033.29,1025423502.0
2,54260994.61,2018-12-15T10:14:55,600000000.0,2018-12-05,AFA,60000000000.0,AFA05122018,1513,717636.66,555326.92,0.053362,TRYAKBK00458,9082099.0,54750748.04,1026025756.0
3,55454946.11,2018-12-16T10:14:54,600000000.0,2018-12-06,AFA,60000000000.0,AFA06122018,1517,732800.03,720453.7,0.054372,TRYAKBK00458,9090275.0,55945703.56,1028942882.0
4,55437766.34,2018-12-17T10:14:59,600000000.0,2018-12-07,AFA,60000000000.0,AFA07122018,1516,728507.03,665432.71,0.054404,TRYAKBK00458,9098451.0,56083710.34,1030875583.0
5,52988085.68,2018-12-20T10:14:57,600000000.0,2018-12-10,AFA,60000000000.0,AFA10122018,1517,1267012.06,115230.16,0.052555,TRYAKBK00458,9169991.0,54180901.28,1030936216.0
6,52453096.81,2018-12-21T10:14:56,600000000.0,2018-12-11,AFA,60000000000.0,AFA11122018,1517,1278324.32,115075.62,0.052339,TRYAKBK00458,9194519.0,53954170.92,1030852700.0
7,54321858.31,2018-12-22T10:14:55,600000000.0,2018-12-12,AFA,60000000000.0,AFA12122018,1514,1605456.54,95059.21,0.053047,TRYAKBK00458,9219047.0,54589036.43,1029064855.0
8,54825396.77,2018-12-23T10:14:54,600000000.0,2018-12-13,AFA,60000000000.0,AFA13122018,1515,432185.65,85051.35,0.053545,TRYAKBK00458,9227223.0,55058280.68,1028252253.0
9,54534049.18,2018-12-24T10:14:53,600000000.0,2018-12-14,AFA,60000000000.0,AFA14122018,1514,442198.92,70043.82,0.053281,TRYAKBK00458,9235399.0,54721091.85,1027031909.0
10,53922309.25,2018-12-27T10:14:57,600000000.0,2018-12-17,AFA,60000000000.0,AFA17122018,1510,180242.44,250493.15,0.052506,TRYAKBK00458,9306939.0,53911022.58,1026764714.0
11,52874570.28,2018-12-28T10:14:59,600000000.0,2018-12-18,AFA,60000000000.0,AFA18122018,1505,188678.54,210136.07,0.051528,TRYAKBK00458,9332386.0,52889256.52,1026408107.0
12,52708562.36,2018-12-29T10:14:58,600000000.0,2018-12-19,AFA,60000000000.0,AFA19122018,1499,193164.19,160100.6,0.051418,TRYAKBK00458,9356914.0,52751247.54,1025935536.0
13,51393578.02,2018-12-30T10:14:58,600000000.0,2018-12-20,AFA,60000000000.0,AFA20122018,1502,189872.07,155098.95,0.050135,TRYAKBK00458,9365090.0,51365401.05,1024536618.0
14,49939321.71,2018-12-31T10:15:00,600000000.0,2018-12-21,AFA,60000000000.0,AFA21122018,1506,193426.97,140088.03,0.048729,TRYAKBK00458,9373266.0,49902787.52,1024079609.0
15,48379173.08,2019-01-03T10:14:57,600000000.0,2018-12-24,AFA,60000000000.0,AFA24122018,1506,193820.19,110210.21,0.047557,TRYAKBK00458,9425388.0,48267162.97,1014922272.0
16,47493736.85,2019-01-04T10:14:57,600000000.0,2018-12-25,AFA,60000000000.0,AFA25122018,1504,549019.44,205130.58,0.046597,TRYAKBK00458,9449916.0,47367414.95,1016526112.0
17,47441951.86,2019-01-05T10:14:56,600000000.0,2018-12-26,AFA,60000000000.0,AFA26122018,1504,550249.44,205132.27,0.046675,TRYAKBK00458,9473422.0,47446657.37,1016526112.0
18,49772007.14,2019-01-06T10:14:55,600000000.0,2018-12-27,AFA,60000000000.0,AFA27122018,1499,565700.34,180097.64,0.04901,TRYAKBK00458,9480576.0,49569078.49,1011413341.0
19,54009398.11,2019-01-07T10:15:00,600000000.0,2018-12-28,AFA,60000000000.0,AFA28122018,1494,3186644.45,705386.99,0.049442,TRYAKBK00458,9487730.0,53284219.38,1077719257.0
20,53367105.8,2019-01-10T10:14:57,600000000.0,2018-12-31,AFA,60000000000.0,AFA31122018,1490,224533.26,350678.9,0.049182,TRYAKBK00458,9556204.0,52994963.33,1077518571.0
21,53931673.14,2019-01-12T10:14:58,600000000.0,2019-01-02,AFA,60000000000.0,AFA02012019,1478,225425.46,220298.96,0.04982,TRYAKBK00458,9604135.0,53784266.56,1079575867.0
22,54083568.34,2019-01-13T10:14:57,600000000.0,2019-01-03,AFA,60000000000.0,AFA03012019,1462,226542.25,0.0,0.050505,TRYAKBK00458,9612311.0,54108580.73,1071344102.0
23,55523953.68,2019-01-14T10:14:59,600000000.0,2019-01-04,AFA,60000000000.0,AFA04012019,1468,606855.13,1000644.26,0.050273,TRYAKBK00458,9620487.0,54834240.26,1090720651.0
