,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,38021433.41,2018-12-13T10:14:57,600000000.0,2018-12-03,AFS,60000000000.0,AFS03122018,590,177474.78,20038.79,0.023747,TRYAKBK00482,9032023.0,38083161.56,1603680717.0
1,38763989.95,2018-12-14T10:14:56,600000000.0,2018-12-04,AFS,60000000000.0,AFS04122018,587,179169.28,10006.45,0.024215,TRYAKBK00482,9057573.0,38827885.71,1603437236.0
2,38832505.22,2018-12-15T10:14:55,600000000.0,2018-12-05,AFS,60000000000.0,AFS05122018,587,185430.97,45027.12,0.024239,TRYAKBK00482,9082101.0,38837336.74,1602243642.0
3,39511512.35,2018-12-16T10:14:54,600000000.0,2018-12-06,AFS,60000000000.0,AFS06122018,588,190226.47,50031.51,0.02466,TRYAKBK00482,9090277.0,39523625.81,1602740821.0
4,38787568.53,2018-12-17T10:14:59,600000000.0,2018-12-07,AFS,60000000000.0,AFS07122018,587,32181.51,45029.4,0.024209,TRYAKBK00482,9098453.0,38799490.19,1602690609.0
5,38197885.57,2018-12-20T10:14:57,600000000.0,2018-12-10,AFS,60000000000.0,AFS10122018,589,27567.19,65130.09,0.023823,TRYAKBK00482,9169993.0,38192249.48,1603191528.0
6,37332674.6,2018-12-21T10:14:56,600000000.0,2018-12-11,AFS,60000000000.0,AFS11122018,592,26795.02,90059.18,0.023266,TRYAKBK00482,9194521.0,37318258.8,1604012730.0
7,37916517.16,2018-12-22T10:14:55,600000000.0,2018-12-12,AFS,60000000000.0,AFS12122018,592,38484.49,85052.98,0.023637,TRYAKBK00482,9219049.0,37883445.06,1602736332.0
8,38648301.76,2018-12-23T10:14:54,600000000.0,2018-12-13,AFS,60000000000.0,AFS13122018,591,48544.76,75045.31,0.024101,TRYAKBK00482,9227225.0,38622057.2,1602485167.0
9,38943378.24,2018-12-24T10:14:53,600000000.0,2018-12-14,AFS,60000000000.0,AFS14122018,587,47660.02,45028.29,0.024303,TRYAKBK00482,9235401.0,38880521.89,1599856229.0
10,38387890.81,2018-12-27T10:14:57,600000000.0,2018-12-17,AFS,60000000000.0,AFS17122018,585,48291.06,45088.77,0.024034,TRYAKBK00482,9306941.0,38456001.53,1600081049.0
