,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,208484263.0,2018-12-13T10:14:57,600000000.0,2018-12-03,AFT,60000000000.0,AFT03122018,5505,5251177.93,450874.73,0.030011,TRYAKBK00144,9032024.0,212908029.01,7094315913.0
1,214369377.15,2018-12-14T10:14:56,600000000.0,2018-12-04,AFT,60000000000.0,AFT04122018,5497,5582429.2,460296.79,0.030849,TRYAKBK00144,9057574.0,218953357.68,7097495904.0
2,222272792.09,2018-12-15T10:14:55,600000000.0,2018-12-05,AFT,60000000000.0,AFT05122018,5509,5673477.67,6708999.51,0.030281,TRYAKBK00144,9082102.0,221315520.05,7308648281.0
3,227384539.91,2018-12-16T10:14:54,600000000.0,2018-12-06,AFT,60000000000.0,AFT06122018,5523,7391892.15,6734240.82,0.030795,TRYAKBK00144,9090278.0,226645448.75,7359913174.0
4,224837940.68,2018-12-17T10:14:59,600000000.0,2018-12-07,AFT,60000000000.0,AFT07122018,5524,674119.5,5723722.64,0.030658,TRYAKBK00144,9098454.0,224736899.66,7330568149.0
5,215394665.65,2018-12-20T10:14:57,600000000.0,2018-12-10,AFT,60000000000.0,AFT10122018,5526,3228089.71,3116224.26,0.029694,TRYAKBK00144,9169994.0,217691492.39,7331253344.0
6,214689019.05,2018-12-21T10:14:56,600000000.0,2018-12-11,AFT,60000000000.0,AFT11122018,5521,3841339.25,2091374.25,0.029747,TRYAKBK00144,9194522.0,218015456.38,7329017373.0
7,217086114.85,2018-12-22T10:14:55,600000000.0,2018-12-12,AFT,60000000000.0,AFT12122018,5526,4792043.2,1380860.14,0.030176,TRYAKBK00144,9219050.0,221002924.7,7323793306.0
8,219617743.04,2018-12-23T10:14:54,600000000.0,2018-12-13,AFT,60000000000.0,AFT13122018,5520,4802360.29,1300785.34,0.03053,TRYAKBK00144,9227226.0,223447592.96,7319068199.0
9,220186225.51,2018-12-24T10:14:53,600000000.0,2018-12-14,AFT,60000000000.0,AFT14122018,5510,4841338.61,1375862.39,0.030599,TRYAKBK00144,9235402.0,224486852.09,7336295227.0
10,215332903.86,2018-12-27T10:14:57,600000000.0,2018-12-17,AFT,60000000000.0,AFT17122018,5509,4843325.03,1222406.58,0.029952,TRYAKBK00144,9306942.0,219399355.65,7325129072.0
11,210262250.74,2018-12-28T10:14:59,600000000.0,2018-12-18,AFT,60000000000.0,AFT18122018,5503,4419135.54,1561010.79,0.029242,TRYAKBK00144,9332389.0,214154848.84,7323530398.0
12,209537659.97,2018-12-29T10:14:58,600000000.0,2018-12-19,AFT,60000000000.0,AFT19122018,5500,4399334.48,1325833.12,0.029286,TRYAKBK00144,9356917.0,214210565.57,7314551088.0
13,205254113.8,2018-12-30T10:14:58,600000000.0,2018-12-20,AFT,60000000000.0,AFT20122018,5507,4608625.49,1751118.12,0.028649,TRYAKBK00144,9365093.0,209646351.66,7317829188.0
14,199044923.38,2018-12-31T10:15:00,600000000.0,2018-12-21,AFT,60000000000.0,AFT21122018,5493,5471852.21,1405883.42,0.027847,TRYAKBK00144,9373269.0,203350088.71,7302534347.0
15,194407941.92,2019-01-03T10:14:57,600000000.0,2018-12-24,AFT,60000000000.0,AFT24122018,5480,5672907.36,1192274.04,0.027238,TRYAKBK00144,9425391.0,198961784.08,7304538149.0
16,188762799.2,2019-01-04T10:14:57,600000000.0,2018-12-25,AFT,60000000000.0,AFT25122018,5470,5689988.69,1075684.76,0.026735,TRYAKBK00144,9449919.0,194767900.19,7284993889.0
17,189141591.09,2019-01-05T10:14:56,600000000.0,2018-12-26,AFT,60000000000.0,AFT26122018,5470,5707310.02,1070690.37,0.026788,TRYAKBK00144,9473425.0,195151760.36,7284993889.0
18,198525047.03,2019-01-06T10:14:55,600000000.0,2018-12-27,AFT,60000000000.0,AFT27122018,5470,7542114.85,1080585.86,0.028069,TRYAKBK00144,9480579.0,204481730.7,7284993889.0
19,198733273.28,2019-01-07T10:15:00,600000000.0,2018-12-28,AFT,60000000000.0,AFT28122018,5459,7549988.12,990542.55,0.028119,TRYAKBK00144,9487733.0,203388091.69,7233239322.0
20,195472991.53,2019-01-10T10:14:57,600000000.0,2018-12-31,AFT,60000000000.0,AFT31122018,5459,7520572.95,445863.18,0.028109,TRYAKBK00144,9556207.0,201675506.61,7174881912.0
21,198452595.19,2019-01-12T10:14:58,600000000.0,2019-01-02,AFT,60000000000.0,AFT02012019,5433,4376501.65,2117863.06,0.02829,TRYAKBK00144,9604138.0,202771841.84,7167708920.0
