,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,78106634.82,2018-12-13T10:14:57,600000000.0,2018-12-03,AFV,60000000000.0,AFV03122018,604,494217.45,10019.44,0.035075,TRYAKBK00466,9032025.0,78254003.92,2231071343.0
1,79309772.19,2018-12-14T10:14:56,600000000.0,2018-12-04,AFV,60000000000.0,AFV04122018,603,232506.93,120077.42,0.035564,TRYAKBK00466,9057575.0,79349090.42,2231167056.0
2,77903350.8,2018-12-15T10:14:55,600000000.0,2018-12-05,AFV,60000000000.0,AFV05122018,600,237278.63,125075.34,0.035769,TRYAKBK00466,9082103.0,79793688.31,2230823971.0
3,79914862.27,2018-12-16T10:14:54,600000000.0,2018-12-06,AFV,60000000000.0,AFV06122018,599,2141548.49,130081.92,0.035873,TRYAKBK00466,9090279.0,80041431.52,2231261252.0
4,76941836.7,2018-12-17T10:14:59,600000000.0,2018-12-07,AFV,60000000000.0,AFV07122018,599,205433.53,155101.28,0.034545,TRYAKBK00466,9098455.0,77073792.81,2231134799.0
5,76985626.5,2018-12-20T10:14:57,600000000.0,2018-12-10,AFV,60000000000.0,AFV10122018,599,196325.5,135270.18,0.034567,TRYAKBK00466,9169995.0,77016264.92,2228045563.0
6,75220950.32,2018-12-21T10:14:56,600000000.0,2018-12-11,AFV,60000000000.0,AFV11122018,596,193569.91,160105.21,0.033761,TRYAKBK00466,9194523.0,75242943.92,2228681522.0
7,76792510.63,2018-12-22T10:14:55,600000000.0,2018-12-12,AFV,60000000000.0,AFV12122018,597,198514.32,195121.54,0.034474,TRYAKBK00466,9219051.0,76833955.28,2228765353.0
8,75086377.02,2018-12-23T10:14:54,600000000.0,2018-12-13,AFV,60000000000.0,AFV13122018,596,288846.58,90054.37,0.034886,TRYAKBK00466,9227227.0,77752519.03,2228787237.0
9,75458300.85,2018-12-24T10:14:53,600000000.0,2018-12-14,AFV,60000000000.0,AFV14122018,595,2784294.67,160100.6,0.034984,TRYAKBK00466,9235403.0,78050886.47,2231033034.0
10,74074872.39,2018-12-27T10:14:57,600000000.0,2018-12-17,AFV,60000000000.0,AFV17122018,592,2735109.94,55108.49,0.034639,TRYAKBK00466,9306943.0,77282970.14,2231073737.0
11,73500065.71,2018-12-28T10:14:59,600000000.0,2018-12-18,AFV,60000000000.0,AFV18122018,591,3294252.45,55035.64,0.034383,TRYAKBK00466,9332390.0,76634265.15,2228830068.0
12,72724588.1,2018-12-29T10:14:58,600000000.0,2018-12-19,AFV,60000000000.0,AFV19122018,592,3292016.76,55034.58,0.034032,TRYAKBK00466,9356918.0,75840280.76,2228526086.0
13,72856473.18,2018-12-30T10:14:58,600000000.0,2018-12-20,AFV,60000000000.0,AFV20122018,593,3280131.14,75047.98,0.034076,TRYAKBK00466,9365094.0,75921340.43,2228026872.0
14,71757603.6,2018-12-31T10:15:00,600000000.0,2018-12-21,AFV,60000000000.0,AFV21122018,592,2691964.28,595374.12,0.033351,TRYAKBK00466,9373270.0,74307027.93,2227999311.0
15,71953155.01,2019-01-03T10:14:57,600000000.0,2018-12-24,AFV,60000000000.0,AFV24122018,589,2713444.01,586117.91,0.033447,TRYAKBK00466,9425392.0,74516187.58,2227885258.0
16,71531358.03,2019-01-04T10:14:57,600000000.0,2018-12-25,AFV,60000000000.0,AFV25122018,589,2709833.89,585372.64,0.033254,TRYAKBK00466,9449920.0,74085966.57,2227885258.0
17,71838112.11,2019-01-05T10:14:56,600000000.0,2018-12-26,AFV,60000000000.0,AFV26122018,589,2733452.5,580374.22,0.0334,TRYAKBK00466,9473426.0,74411506.47,2227885258.0
18,71532350.46,2019-01-06T10:14:55,600000000.0,2018-12-27,AFV,60000000000.0,AFV27122018,589,2715009.77,585316.54,0.033252,TRYAKBK00466,9480580.0,74082488.68,2227885258.0
19,70332797.66,2019-01-07T10:15:00,600000000.0,2018-12-28,AFV,60000000000.0,AFV28122018,586,2711278.37,555304.87,0.032724,TRYAKBK00466,9487734.0,72908386.13,2227964404.0
20,71730188.68,2019-01-10T10:14:57,600000000.0,2018-12-31,AFV,60000000000.0,AFV31122018,587,2715945.12,581122.66,0.033336,TRYAKBK00466,9556208.0,74270843.11,2227962868.0
21,73005936.83,2019-01-12T10:14:58,600000000.0,2019-01-02,AFV,60000000000.0,AFV02012019,587,2724052.01,580786.58,0.033532,TRYAKBK00466,9604139.0,74707879.51,2227962868.0
22,73653497.32,2019-01-13T10:14:57,600000000.0,2019-01-03,AFV,60000000000.0,AFV03012019,586,1910185.64,575362.33,0.033833,TRYAKBK00466,9612315.0,75380957.51,2228008524.0
23,74498856.13,2019-01-14T10:14:59,600000000.0,2019-01-04,AFV,60000000000.0,AFV04012019,591,1951815.18,600388.77,0.034215,TRYAKBK00466,9620491.0,76257869.74,2228758556.0
24,75869549.69,2019-01-17T10:14:57,600000000.0,2019-01-07,AFV,60000000000.0,AFV07012019,586,1933836.66,586101.08,0.034823,TRYAKBK00466,9692031.0,77621585.84,2229020475.0
25,74895377.82,2019-01-18T10:14:56,600000000.0,2019-01-08,AFV,60000000000.0,AFV08012019,587,1920044.77,455301.05,0.034437,TRYAKBK00466,9717581.0,76763577.0,2229076997.0
26,76522279.9,2019-01-19T10:14:55,600000000.0,2019-01-09,AFV,60000000000.0,AFV09012019,583,1947232.29,520341.92,0.035148,TRYAKBK00466,9742109.0,78415739.26,2230998202.0
27,77875993.43,2019-01-20T10:14:54,600000000.0,2019-01-10,AFV,60000000000.0,AFV10012019,583,1975805.19,530325.99,0.03576,TRYAKBK00466,9750285.0,79777303.66,2230922453.0
28,78011524.88,2019-01-21T10:14:59,600000000.0,2019-01-11,AFV,60000000000.0,AFV11012019,585,1990182.06,540341.75,0.035818,TRYAKBK00466,9758461.0,79911733.03,2231075058.0
29,77129868.88,2019-01-24T10:14:57,600000000.0,2019-01-14,AFV,60000000000.0,AFV14012019,585,1968464.36,541069.64,0.035404,TRYAKBK00466,9830001.0,78990203.75,2231095759.0
30,77520200.65,2019-01-25T10:14:56,600000000.0,2019-01-15,AFV,60000000000.0,AFV15012019,585,2033216.08,530352.85,0.035646,TRYAKBK00466,9855551.0,78815760.58,2211039631.0
31,78316423.54,2019-01-26T10:14:55,600000000.0,2019-01-16,AFV,60000000000.0,AFV16012019,585,2091582.67,520330.52,0.035398,TRYAKBK00466,9880079.0,78226351.93,2209923098.0
32,77791413.08,2019-01-27T10:14:57,600000000.0,2019-01-17,AFV,60000000000.0,AFV17012019,585,445056.89,825553.77,0.035019,TRYAKBK00466,9888152.0,77379758.25,2209642708.0
33,76229302.17,2019-01-28T10:14:59,600000000.0,2019-01-18,AFV,60000000000.0,AFV18012019,585,442979.34,120076.11,0.034627,TRYAKBK00466,9896328.0,76514550.93,2209651470.0
34,77562837.08,2019-01-31T10:14:57,600000000.0,2019-01-21,AFV,60000000000.0,AFV21012019,585,441791.87,130256.44,0.035219,TRYAKBK00466,9967868.0,77862854.29,2210812315.0
35,76952375.49,2019-02-01T10:14:56,600000000.0,2019-01-22,AFV,60000000000.0,AFV22012019,585,440105.44,130086.55,0.03494,TRYAKBK00466,9993418.0,77245708.79,2210812315.0
36,76491574.01,2019-02-02T10:14:55,600000000.0,2019-01-23,AFV,60000000000.0,AFV23012019,583,439214.14,140073.26,0.034725,TRYAKBK00466,10017946.0,76776033.59,2210969221.0
37,76003580.25,2019-02-03T10:14:54,600000000.0,2019-01-24,AFV,60000000000.0,AFV24012019,587,436060.49,145083.82,0.034499,TRYAKBK00466,10026122.0,76217959.74,2209282880.0
38,75746588.93,2019-02-04T10:15:00,600000000.0,2019-01-25,AFV,60000000000.0,AFV25012019,584,436187.92,125083.05,0.034261,TRYAKBK00466,10034298.0,75691992.44,2209301644.0
39,75821064.73,2019-02-07T10:14:57,600000000.0,2019-01-28,AFV,60000000000.0,AFV28012019,578,211116.69,60108.25,0.034317,TRYAKBK00466,10105838.0,75813681.49,2209195458.0
40,75713343.87,2019-02-08T10:14:56,600000000.0,2019-01-29,AFV,60000000000.0,AFV29012019,579,214701.34,0.0,0.034294,TRYAKBK00466,10131388.0,75771835.88,2209457995.0
41,77350543.13,2019-02-09T10:14:55,600000000.0,2019-01-30,AFV,60000000000.0,AFV30012019,578,212855.73,5003.03,0.035032,TRYAKBK00466,10155916.0,77397302.68,2209337142.0
42,76861333.89,2019-02-10T10:14:54,600000000.0,2019-01-31,AFV,60000000000.0,AFV31012019,576,308213.08,0.0,0.034851,TRYAKBK00466,10164092.0,76996131.98,2209270075.0
43,76288210.17,2019-02-11T10:14:53,600000000.0,2019-02-01,AFV,60000000000.0,AFV01022019,577,303014.67,0.0,0.034588,TRYAKBK00466,10172268.0,76410014.25,2209148380.0
44,48769074.55,2019-02-14T10:14:58,600000000.0,2019-02-04,AFV,60000000000.0,AFV04022019,575,319101.63,0.0,0.034471,TRYAKBK00466,10243808.0,47859308.96,1388397038.0
45,72489661.85,2019-02-15T10:14:57,600000000.0,2019-02-05,AFV,60000000000.0,AFV05022019,573,2895249.61,24915792.74,0.034678,TRYAKBK00466,10269358.0,48125594.06,1387799874.0
46,72029015.18,2019-02-16T10:14:56,600000000.0,2019-02-06,AFV,60000000000.0,AFV06022019,572,4199383.3,24925764.43,0.035049,TRYAKBK00466,10293886.0,48625766.37,1387370566.0
47,47652205.69,2019-02-17T10:15:00,600000000.0,2019-02-07,AFV,60000000000.0,AFV07022019,573,961322.62,605401.95,0.034995,TRYAKBK00466,10301959.0,48551251.16,1387358750.0
48,47072927.43,2019-02-18T10:14:58,600000000.0,2019-02-08,AFV,60000000000.0,AFV08022019,574,962448.97,590325.71,0.034588,TRYAKBK00466,10310135.0,47982921.34,1387254643.0
49,47009313.74,2019-02-21T10:14:57,600000000.0,2019-02-11,AFV,60000000000.0,AFV11022019,573,962965.87,576110.62,0.034547,TRYAKBK00466,10381675.0,47923721.51,1387201666.0
50,47369928.68,2019-02-22T10:14:56,600000000.0,2019-02-12,AFV,60000000000.0,AFV12022019,574,963131.57,575359.97,0.034806,TRYAKBK00466,10407225.0,48270848.03,1386865338.0
51,47545114.16,2019-02-23T10:14:55,600000000.0,2019-02-13,AFV,60000000000.0,AFV13022019,574,960513.63,565353.71,0.034932,TRYAKBK00466,10431752.0,48423542.99,1386208588.0
52,47660792.12,2019-02-24T10:14:54,600000000.0,2019-02-14,AFV,60000000000.0,AFV14022019,576,960735.43,575367.05,0.035006,TRYAKBK00466,10439928.0,48537336.99,1386526470.0
53,47792510.3,2019-02-25T10:14:59,600000000.0,2019-02-15,AFV,60000000000.0,AFV15022019,575,964431.53,565358.35,0.035109,TRYAKBK00466,10448104.0,48676402.43,1386432080.0
54,48203068.67,2019-02-28T10:14:57,600000000.0,2019-02-18,AFV,60000000000.0,AFV18022019,572,960675.62,541051.89,0.035413,TRYAKBK00466,10519644.0,49091977.99,1386256515.0
55,48744972.86,2019-03-01T10:14:55,600000000.0,2019-02-19,AFV,60000000000.0,AFV19022019,572,966254.69,545345.66,0.035806,TRYAKBK00466,10545194.0,49636243.34,1386256515.0
56,48618875.48,2019-03-02T10:14:55,600000000.0,2019-02-20,AFV,60000000000.0,AFV20022019,574,969610.91,545345.66,0.035714,TRYAKBK00466,10569722.0,49504187.29,1386132493.0
57,49146728.14,2019-03-03T10:14:53,600000000.0,2019-02-21,AFV,60000000000.0,AFV21022019,582,975709.69,560339.84,0.036084,TRYAKBK00466,10577898.0,50027326.33,1386426541.0
58,49201486.39,2019-03-04T10:14:52,600000000.0,2019-02-22,AFV,60000000000.0,AFV22022019,584,976351.74,565313.46,0.03612,TRYAKBK00466,10586074.0,50082502.05,1386564764.0
59,49281957.01,2019-03-07T10:14:48,600000000.0,2019-02-25,AFV,60000000000.0,AFV25022019,583,978021.87,561026.41,0.036175,TRYAKBK00466,10657614.0,50159672.86,1386583934.0
60,49351871.13,2019-03-08T10:15:00,600000000.0,2019-02-26,AFV,60000000000.0,AFV26022019,579,975873.55,550339.79,0.036231,TRYAKBK00466,10658636.0,50157535.54,1384398180.0
61,49431004.74,2019-03-07T10:14:59,600000000.0,2019-02-27,AFV,60000000000.0,AFV27022019,581,972254.61,565363.77,0.036274,TRYAKBK00466,10659658.0,50218012.39,1384395598.0
