,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,10266600.54,2018-12-13T10:14:57,0.0,2018-12-03,AHI,50000000000.0,AHI03122018,28,1557.41,458897.81,1.131352,TRYATLP00028,9032032.0,10257119.37,9066252.0
1,10226536.28,2018-12-14T10:14:56,0.0,2018-12-04,AHI,50000000000.0,AHI04122018,28,1902.3,443285.22,1.127459,TRYATLP00028,9057582.0,10222657.45,9066990.0
2,10005761.43,2018-12-15T10:14:55,0.0,2018-12-05,AHI,50000000000.0,AHI05122018,27,1044.41,456282.97,1.111106,TRYATLP00028,9082110.0,10074372.98,9066980.0
3,9926870.5,2018-12-16T10:14:54,0.0,2018-12-06,AHI,50000000000.0,AHI06122018,27,1328.53,517321.53,1.103531,TRYATLP00028,9090286.0,10005691.07,9066980.0
4,9841001.44,2018-12-17T10:14:59,0.0,2018-12-07,AHI,50000000000.0,AHI07122018,27,1452.54,603384.93,1.089754,TRYATLP00028,9098462.0,9880776.54,9066980.0
5,9282925.46,2018-12-20T10:14:57,0.0,2018-12-10,AHI,50000000000.0,AHI10122018,27,1700.91,604194.44,1.101171,TRYATLP00028,9170002.0,9984298.06,9066980.0
6,9220356.5,2018-12-21T10:14:56,0.0,2018-12-11,AHI,50000000000.0,AHI11122018,27,1001.26,652424.25,1.088921,TRYATLP00028,9194530.0,9873223.18,9066980.0
7,8913290.57,2018-12-22T10:14:55,0.0,2018-12-12,AHI,50000000000.0,AHI12122018,28,1055.59,261165.9,1.083384,TRYATLP00028,9219058.0,8785629.46,8109429.0
8,9404016.45,2018-12-23T10:14:54,0.0,2018-12-13,AHI,50000000000.0,AHI13122018,28,1830.35,850526.3,1.062742,TRYATLP00028,9227234.0,9196615.19,8653667.0
9,9589894.69,2018-12-24T10:14:53,0.0,2018-12-14,AHI,50000000000.0,AHI14122018,30,1605.94,827517.72,1.072286,TRYATLP00028,9235411.0,9373293.49,8741410.0
10,9555258.53,2018-12-27T10:14:57,0.0,2018-12-17,AHI,50000000000.0,AHI17122018,30,1083.89,749484.73,1.062983,TRYATLP00028,9306951.0,9291967.7,8741410.0
11,9352976.07,2018-12-28T10:14:59,0.0,2018-12-18,AHI,50000000000.0,AHI18122018,30,1136.15,624411.16,1.056305,TRYATLP00028,9332398.0,9233591.32,8741410.0
12,9442541.68,2018-12-29T10:14:58,0.0,2018-12-19,AHI,50000000000.0,AHI19122018,30,1010.11,500314.38,1.071518,TRYATLP00028,9356926.0,9366579.51,8741410.0
13,9704243.86,2018-12-30T10:14:58,0.0,2018-12-20,AHI,50000000000.0,AHI20122018,30,1029.54,519331.31,1.088446,TRYATLP00028,9365102.0,9514549.81,8741409.0
14,9609781.58,2018-12-31T10:15:00,0.0,2018-12-21,AHI,50000000000.0,AHI21122018,30,1673.59,483305.02,1.081761,TRYATLP00028,9373278.0,9500592.81,8782522.0
15,9535310.36,2019-01-03T10:14:57,0.0,2018-12-24,AHI,50000000000.0,AHI24122018,29,1483.99,389744.96,1.083827,TRYATLP00028,9425400.0,9518731.66,8782516.0
16,9543555.29,2019-01-04T10:14:57,0.0,2018-12-25,AHI,50000000000.0,AHI25122018,29,1208.63,400256.44,1.083533,TRYATLP00028,9449928.0,9526144.11,8791742.0
17,9481266.93,2019-01-05T10:14:56,0.0,2018-12-26,AHI,50000000000.0,AHI26122018,29,1449.91,400273.42,1.076413,TRYATLP00028,9473434.0,9463543.51,8791742.0
18,9500250.25,2019-01-06T10:14:55,0.0,2018-12-27,AHI,50000000000.0,AHI27122018,29,1708.0,400238.36,1.078538,TRYATLP00028,9480588.0,9482230.32,8791742.0
19,9457656.39,2019-01-07T10:15:00,0.0,2018-12-28,AHI,50000000000.0,AHI28122018,29,1931.38,400246.58,1.073655,TRYATLP00028,9487742.0,9439294.88,8791742.0
20,9435123.37,2019-01-10T10:14:57,0.0,2018-12-31,AHI,50000000000.0,AHI31122018,29,1162.89,401776.18,1.070819,TRYATLP00028,9556216.0,9414365.24,8791742.0
21,9533582.57,2019-01-12T10:14:58,0.0,2019-01-02,AHI,50000000000.0,AHI02012019,29,1944.38,401542.72,1.079586,TRYATLP00028,9604147.0,9491469.12,8791766.0
22,9267425.83,2019-01-13T10:14:57,0.0,2019-01-03,AHI,50000000000.0,AHI03012019,29,1677.95,385240.49,1.05109,TRYATLP00028,9612323.0,9240800.72,8791636.0
23,9209709.1,2019-01-14T10:14:59,0.0,2019-01-04,AHI,50000000000.0,AHI04012019,29,1308.66,458293.62,1.030218,TRYATLP00028,9620499.0,9148451.85,8880115.0
24,9395575.51,2019-01-17T10:14:57,0.0,2019-01-07,AHI,50000000000.0,AHI07012019,29,1583.53,460871.48,1.050762,TRYATLP00028,9692039.0,9332922.85,8882055.0
25,9479234.85,2019-01-18T10:14:56,0.0,2019-01-08,AHI,50000000000.0,AHI08012019,29,1120.41,407264.83,1.06618,TRYATLP00028,9717589.0,9469865.84,8882055.0
26,9529725.75,2019-01-19T10:14:55,0.0,2019-01-09,AHI,50000000000.0,AHI09012019,29,1778.26,404265.09,1.072166,TRYATLP00028,9742117.0,9523038.4,8882055.0
27,9509426.14,2019-01-20T10:14:54,0.0,2019-01-10,AHI,50000000000.0,AHI10012019,29,1912.07,404261.22,1.069832,TRYATLP00028,9750293.0,9502306.09,8882055.0
28,9489376.88,2019-01-21T10:14:59,0.0,2019-01-11,AHI,50000000000.0,AHI11012019,29,1157.95,405257.98,1.071246,TRYATLP00028,9758469.0,9514864.22,8882055.0
29,9617327.28,2019-01-24T10:14:57,0.0,2019-01-14,AHI,50000000000.0,AHI14012019,29,1077.59,405788.92,1.078323,TRYATLP00028,9830009.0,9577723.24,8882055.0
30,9720107.29,2019-01-25T10:14:56,0.0,2019-01-15,AHI,50000000000.0,AHI15012019,29,1730.34,769502.48,1.086083,TRYATLP00028,9855559.0,9646652.44,8882055.0
31,10048462.12,2019-01-26T10:14:55,0.0,2019-01-16,AHI,50000000000.0,AHI16012019,29,1155.66,706464.22,1.103081,TRYATLP00028,9880087.0,9797626.55,8882055.0
32,10392309.7,2019-01-27T10:14:57,0.0,2019-01-17,AHI,50000000000.0,AHI17012019,29,1068.75,629413.59,1.139873,TRYATLP00028,9888160.0,10124411.66,8882055.0
33,10241152.48,2019-01-28T10:14:59,0.0,2019-01-18,AHI,50000000000.0,AHI18012019,29,1600.08,377244.79,1.157941,TRYATLP00028,9896336.0,10272730.69,8871550.0
34,10360262.47,2019-01-31T10:14:57,0.0,2019-01-21,AHI,50000000000.0,AHI21012019,29,1370.68,361710.63,1.175093,TRYATLP00028,9967876.0,10424896.22,8871550.0
35,10315939.76,2019-02-01T10:14:56,0.0,2019-01-22,AHI,50000000000.0,AHI22012019,28,1294.96,421277.98,1.168512,TRYATLP00028,9993426.0,10366458.63,8871504.0
36,10495768.09,2019-02-02T10:14:55,0.0,2019-01-23,AHI,50000000000.0,AHI23012019,29,1664.58,438286.2,1.189532,TRYATLP00028,10017954.0,10551254.59,8870089.0
37,10568674.87,2019-02-03T10:14:54,0.0,2019-01-24,AHI,50000000000.0,AHI24012019,29,1797.48,484289.07,1.198263,TRYATLP00028,10026130.0,10628695.97,8870089.0
38,10808574.53,2019-02-04T10:15:00,0.0,2019-01-25,AHI,50000000000.0,AHI25012019,29,5054.55,505328.6,1.216747,TRYATLP00028,10034306.0,10792651.08,8870089.0
39,10817712.56,2019-02-07T10:14:57,0.0,2019-01-28,AHI,50000000000.0,AHI28012019,28,1253.29,561058.63,1.217688,TRYATLP00028,10105846.0,10800990.16,8870083.0
40,10629680.48,2019-02-08T10:14:56,0.0,2019-01-29,AHI,50000000000.0,AHI29012019,29,1487.24,507327.81,1.209078,TRYATLP00028,10131396.0,10725395.29,8870722.0
41,11051238.62,2019-02-09T10:14:55,0.0,2019-01-30,AHI,50000000000.0,AHI30012019,28,1286.02,577367.54,1.244664,TRYATLP00028,10155924.0,11055223.08,8882091.0
42,11109469.92,2019-02-10T10:14:54,0.0,2019-01-31,AHI,50000000000.0,AHI31012019,28,1837.01,635406.23,1.249443,TRYATLP00028,10164100.0,11097606.27,8882041.0
43,11137686.24,2019-02-11T10:14:53,0.0,2019-02-01,AHI,50000000000.0,AHI01022019,28,1372.03,600378.9,1.253793,TRYATLP00028,10172276.0,11135446.91,8881406.0
44,10973445.24,2019-02-14T10:14:58,0.0,2019-02-04,AHI,50000000000.0,AHI04022019,28,1849.57,627201.41,1.239894,TRYATLP00028,10243816.0,11012763.91,8882023.0
45,10577887.4,2019-02-15T10:14:57,0.0,2019-02-05,AHI,50000000000.0,AHI05022019,28,1765.31,603384.1,1.233591,TRYATLP00028,10269366.0,10956782.85,8882023.0
46,10673745.87,2019-02-16T10:14:56,0.0,2019-02-06,AHI,50000000000.0,AHI06022019,28,1527.95,672427.13,1.23781,TRYATLP00028,10293894.0,10994257.76,8882023.0
47,9879690.93,2019-02-17T10:15:00,0.0,2019-02-07,AHI,50000000000.0,AHI07022019,28,1189.07,263169.33,1.231157,TRYATLP00028,10301967.0,10210800.28,8293661.0
48,9961161.06,2019-02-18T10:14:58,0.0,2019-02-08,AHI,50000000000.0,AHI08022019,28,1256.14,274171.53,1.233933,TRYATLP00028,10310143.0,10233823.31,8293661.0
49,10197875.47,2019-02-21T10:14:57,0.0,2019-02-11,AHI,50000000000.0,AHI11022019,28,1018.52,603155.35,1.228323,TRYATLP00028,10381683.0,10187295.66,8293661.0
50,10375824.53,2019-02-22T10:14:56,0.0,2019-02-12,AHI,50000000000.0,AHI12022019,28,1881.72,555345.92,1.252977,TRYATLP00028,10407233.0,10391764.79,8293661.0
51,10293935.46,2019-02-23T10:14:55,0.0,2019-02-13,AHI,50000000000.0,AHI13022019,28,1498.7,602375.22,1.243318,TRYATLP00028,10431760.0,10311657.45,8293661.0
