,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,AHN03122018,0,2020-09-21T18:03:30.284,4.627638,32612996.22,2018-12-03,7047439,AHN
1,AHN04122018,0,2020-09-21T18:03:30.297,4.672278,32927591.38,2018-12-04,7047439,AHN
2,AHN05122018,0,2020-09-21T18:03:30.304,4.746362,33449695.77,2018-12-05,7047439,AHN
3,AHN06122018,0,2020-09-21T18:03:30.312,4.832554,34057128.2,2018-12-06,7047439,AHN
4,AHN07122018,0,2020-09-21T18:03:30.319,4.820639,33973162.72,2018-12-07,7047439,AHN
5,AHN10122018,0,2020-09-21T18:03:30.324,4.793532,33782123.64,2018-12-10,7047439,AHN
6,AHN11122018,0,2020-09-21T18:03:30.329,4.761348,33555306.85,2018-12-11,7047439,AHN
7,AHN12122018,0,2020-09-21T18:03:30.333,4.848399,34168795.15,2018-12-12,7047439,AHN
8,AHN13122018,0,2020-09-21T18:03:30.34,4.864028,34278940.07,2018-12-13,7047439,AHN
9,AHN14122018,0,2020-09-21T18:03:30.345,4.87108,34328638.93,2018-12-14,7047439,AHN
10,AHN17122018,0,2020-09-21T18:03:30.35,4.890993,34468976.21,2018-12-17,7047439,AHN
11,AHN18122018,0,2020-09-21T18:03:30.357,4.901839,34545412.61,2018-12-18,7047439,AHN
12,AHN19122018,0,2020-09-21T18:03:30.362,4.888853,34453892.92,2018-12-19,7047439,AHN
13,AHN20122018,0,2020-09-21T18:03:30.369,4.87142,34331037.03,2018-12-20,7047439,AHN
14,AHN21122018,0,2020-09-21T18:03:30.374,4.836812,34087134.32,2018-12-21,7047439,AHN
15,AHN24122018,0,2020-09-21T18:03:30.378,4.850221,34181634.51,2018-12-24,7047439,AHN
16,AHN25122018,0,2020-09-21T18:03:30.386,4.87715,34371418.7,2018-12-25,7047439,AHN
17,AHN26122018,0,2020-09-21T18:03:30.39,4.886175,34435021.8,2018-12-26,7047439,AHN
18,AHN27122018,0,2020-09-21T18:03:30.404,4.867512,34328320.63,2018-12-27,7052539,AHN
19,AHN28122018,0,2020-09-21T18:03:30.408,4.87349,34568099.82,2018-12-28,7093090,AHN
20,AHN31122018,0,2020-09-21T18:03:30.413,4.849135,34377892.36,2018-12-31,7089490,AHN
21,AHN02012019,0,2020-09-21T18:15:27.431,4.870629,34531270.28,2019-01-02,7089694,AHN
22,AHN03012019,0,2020-09-21T18:15:27.428,4.922821,34901292.45,2019-01-03,7089694,AHN
23,AHN04012019,0,2020-09-21T18:15:27.424,5.044079,35760979.06,2019-01-04,7089694,AHN
24,AHN07012019,19,2020-09-21T18:15:27.421,5.019702,35588149.99,2019-01-07,7089694,AHN
25,AHN08012019,0,2020-09-21T18:15:27.417,4.989224,35372072.06,2019-01-08,7089694,AHN
26,AHN09012019,0,2020-09-21T18:15:27.413,5.043177,35754582.37,2019-01-09,7089694,AHN
27,AHN10012019,0,2020-09-21T18:15:27.41,5.10053,36161196.98,2019-01-10,7089694,AHN
28,AHN11012019,0,2020-09-21T18:15:27.406,5.071578,35955938.8,2019-01-11,7089694,AHN
29,AHN14012019,0,2020-09-21T18:15:27.403,5.031504,35671820.53,2019-01-14,7089694,AHN
30,AHN15012019,0,2020-09-21T18:15:27.399,5.091942,36100312.56,2019-01-15,7089694,AHN
31,AHN16012019,0,2020-09-21T18:15:27.395,5.034474,35692878.1,2019-01-16,7089694,AHN
32,AHN17012019,0,2020-09-21T18:15:27.392,5.010463,35576788.68,2019-01-17,7100499,AHN
33,AHN18012019,0,2020-09-21T18:15:27.389,4.984052,35389252.97,2019-01-18,7100499,AHN
34,AHN21012019,0,2020-09-21T18:15:27.384,4.997843,35487182.24,2019-01-21,7100499,AHN
35,AHN22012019,0,2020-09-21T18:15:27.381,5.006722,35550223.44,2019-01-22,7100499,AHN
36,AHN23012019,0,2020-09-21T18:15:27.377,5.008154,35560392.66,2019-01-23,7100499,AHN
