,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,13039343.92,2018-12-13T10:14:57,200000000.0,2018-12-03,AIS,20000000000.0,AIS03122018,1015,44519.55,0.0,0.015818,TRYAKBK00847,9032037.0,13058715.78,825544484.0
1,13140291.17,2018-12-14T10:14:56,200000000.0,2018-12-04,AIS,20000000000.0,AIS04122018,1029,54640.28,0.0,0.015816,TRYAKBK00847,9057587.0,13169456.88,832652395.0
2,13579195.63,2018-12-15T10:14:55,200000000.0,2018-12-05,AIS,20000000000.0,AIS05122018,1035,9263.03,0.0,0.015828,TRYAKBK00847,9082115.0,13562159.79,856842172.0
3,12779064.51,2018-12-16T10:14:54,200000000.0,2018-12-06,AIS,20000000000.0,AIS06122018,1046,435.56,0.0,0.015848,TRYAKBK00847,9090291.0,12752422.92,804657242.0
4,13019645.88,2018-12-17T10:14:59,200000000.0,2018-12-07,AIS,20000000000.0,AIS07122018,1055,86656.51,0.0,0.015858,TRYAKBK00847,9098467.0,13098617.67,825970021.0
5,13347596.05,2018-12-20T10:14:57,200000000.0,2018-12-10,AIS,20000000000.0,AIS10122018,1066,7889.94,0.0,0.015884,TRYAKBK00847,9170007.0,13345366.04,840187869.0
6,14677474.52,2018-12-21T10:14:56,200000000.0,2018-12-11,AIS,20000000000.0,AIS11122018,1067,96871.11,0.0,0.015884,TRYAKBK00847,9194535.0,14763326.05,929474514.0
7,15991729.61,2018-12-22T10:14:55,200000000.0,2018-12-12,AIS,20000000000.0,AIS12122018,1079,56364.81,0.0,0.015887,TRYAKBK00847,9219063.0,16036100.08,1009364443.0
8,16190936.35,2018-12-23T10:14:54,200000000.0,2018-12-13,AIS,20000000000.0,AIS13122018,1085,53570.89,0.0,0.015894,TRYAKBK00847,9227239.0,16231525.16,1021259437.0
9,15446045.88,2018-12-24T10:14:53,200000000.0,2018-12-14,AIS,20000000000.0,AIS14122018,1083,21246.76,0.0,0.015907,TRYAKBK00847,9235416.0,15453367.3,971456213.0
10,15279677.09,2018-12-27T10:14:57,200000000.0,2018-12-17,AIS,20000000000.0,AIS17122018,1077,22765.14,0.0,0.01594,TRYAKBK00847,9306955.0,15285719.21,958953596.0
11,15281485.38,2018-12-28T10:14:59,200000000.0,2018-12-18,AIS,20000000000.0,AIS18122018,1078,41884.81,0.0,0.015941,TRYAKBK00847,9332402.0,15305713.69,960153233.0
12,15664812.73,2018-12-29T10:14:58,200000000.0,2018-12-19,AIS,20000000000.0,AIS19122018,1082,47479.71,0.0,0.01595,TRYAKBK00847,9356930.0,15693680.12,983952516.0
13,15481703.78,2018-12-30T10:14:58,200000000.0,2018-12-20,AIS,20000000000.0,AIS20122018,1089,46209.06,0.0,0.015964,TRYAKBK00847,9365106.0,15508354.83,971471971.0
14,15397018.33,2018-12-31T10:15:00,200000000.0,2018-12-21,AIS,20000000000.0,AIS21122018,1088,33371.73,0.0,0.015978,TRYAKBK00847,9373282.0,15409892.28,964455279.0
15,15426409.67,2019-01-03T10:14:57,200000000.0,2018-12-24,AIS,20000000000.0,AIS24122018,1090,29466.83,0.0,0.016005,TRYAKBK00847,9425404.0,15432555.89,964211491.0
16,15350496.7,2019-01-04T10:14:57,200000000.0,2018-12-25,AIS,20000000000.0,AIS25122018,1090,76041.54,0.0,0.015977,TRYAKBK00847,9449932.0,15402278.4,964014982.0
17,15332628.99,2019-01-05T10:14:56,200000000.0,2018-12-26,AIS,20000000000.0,AIS26122018,1090,104934.4,0.0,0.016032,TRYAKBK00847,9473438.0,15412363.78,961332135.0
18,14244313.03,2019-01-06T10:14:55,200000000.0,2018-12-27,AIS,20000000000.0,AIS27122018,1081,62341.99,0.0,0.01604,TRYAKBK00847,9480592.0,14280580.71,890305430.0
19,14252856.36,2019-01-07T10:15:00,200000000.0,2018-12-28,AIS,20000000000.0,AIS28122018,1079,51373.44,0.0,0.016049,TRYAKBK00847,9487746.0,14277282.53,889622207.0
20,14172279.78,2019-01-10T10:14:57,200000000.0,2018-12-31,AIS,20000000000.0,AIS31122018,1080,36689.09,0.0,0.016071,TRYAKBK00847,9556220.0,14179457.95,882277914.0
21,13942652.05,2019-01-12T10:14:58,200000000.0,2019-01-02,AIS,20000000000.0,AIS02012019,1075,17223.2,0.0,0.016095,TRYAKBK00847,9604151.0,13928027.78,865349786.0
22,13951570.83,2019-01-13T10:14:57,200000000.0,2019-01-03,AIS,20000000000.0,AIS03012019,1073,52168.97,0.0,0.016105,TRYAKBK00847,9612327.0,13971649.08,867558310.0
23,13934860.0,2019-01-14T10:14:59,200000000.0,2019-01-04,AIS,20000000000.0,AIS04012019,1071,21126.95,0.0,0.016084,TRYAKBK00847,9620503.0,13923055.28,865631524.0
24,13956848.59,2019-01-17T10:14:57,200000000.0,2019-01-07,AIS,20000000000.0,AIS07012019,1071,8249.33,0.0,0.016107,TRYAKBK00847,9692043.0,13929642.48,864831568.0
25,13873988.21,2019-01-18T10:14:56,200000000.0,2019-01-08,AIS,20000000000.0,AIS08012019,1072,34216.78,0.0,0.016123,TRYAKBK00847,9717593.0,13896348.11,861910292.0
26,13712532.68,2019-01-19T10:14:55,200000000.0,2019-01-09,AIS,20000000000.0,AIS09012019,1060,18267.19,0.0,0.016128,TRYAKBK00847,9742121.0,13718113.93,850575935.0
27,13088452.36,2019-01-20T10:14:54,200000000.0,2019-01-10,AIS,20000000000.0,AIS10012019,1059,33414.98,0.0,0.016139,TRYAKBK00847,9750297.0,13108387.65,812213189.0
28,12899366.36,2019-01-21T10:14:59,200000000.0,2019-01-11,AIS,20000000000.0,AIS11012019,1056,40111.74,0.0,0.016145,TRYAKBK00847,9758473.0,12925216.02,800572519.0
29,12617457.52,2019-01-24T10:14:57,200000000.0,2019-01-14,AIS,20000000000.0,AIS14012019,1055,25136.76,0.0,0.016176,TRYAKBK00847,9830013.0,12626037.4,780561080.0
30,12106138.88,2019-01-25T10:14:56,200000000.0,2019-01-15,AIS,20000000000.0,AIS15012019,1050,30684.14,0.0,0.016181,TRYAKBK00847,9855563.0,12119530.74,749017716.0
31,12066064.1,2019-01-26T10:14:55,200000000.0,2019-01-16,AIS,20000000000.0,AIS16012019,1052,18430.65,0.0,0.016191,TRYAKBK00847,9880091.0,12067167.18,745279887.0
32,12012222.59,2019-01-27T10:14:57,200000000.0,2019-01-17,AIS,20000000000.0,AIS17012019,1047,59895.01,0.0,0.016219,TRYAKBK00847,9888164.0,12054059.16,743196283.0
33,12029087.91,2019-01-28T10:14:59,200000000.0,2019-01-18,AIS,20000000000.0,AIS18012019,1047,76321.22,0.0,0.016241,TRYAKBK00847,9896340.0,12086617.97,744209058.0
34,12142313.56,2019-01-31T10:14:57,200000000.0,2019-01-21,AIS,20000000000.0,AIS21012019,1045,49827.91,0.0,0.016278,TRYAKBK00847,9967880.0,12171579.85,747735573.0
35,12150107.91,2019-02-01T10:14:56,200000000.0,2019-01-22,AIS,20000000000.0,AIS22012019,1045,26591.06,0.0,0.016287,TRYAKBK00847,9993430.0,12155400.51,746308756.0
36,12319701.85,2019-02-02T10:14:55,200000000.0,2019-01-23,AIS,20000000000.0,AIS23012019,1043,47670.86,0.0,0.016289,TRYAKBK00847,10017958.0,12345326.51,757881898.0
37,12427965.89,2019-02-03T10:14:54,200000000.0,2019-01-24,AIS,20000000000.0,AIS24012019,1035,9878.28,0.0,0.016301,TRYAKBK00847,10026134.0,12415045.96,761589955.0
38,12437997.18,2019-02-04T10:15:00,200000000.0,2019-01-25,AIS,20000000000.0,AIS25012019,1035,33251.48,0.0,0.016314,TRYAKBK00847,10034310.0,12447696.47,763023805.0
39,13324675.61,2019-02-07T10:14:57,200000000.0,2019-01-28,AIS,20000000000.0,AIS28012019,1035,122647.98,0.0,0.016337,TRYAKBK00847,10105850.0,13421341.38,821537397.0
40,13854269.43,2019-02-08T10:14:56,200000000.0,2019-01-29,AIS,20000000000.0,AIS29012019,1035,32240.58,0.0,0.016344,TRYAKBK00847,10131400.0,13859691.25,848022605.0
