,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,133173448.13,2018-12-13T10:14:57,200000000.0,2018-12-03,AKE,20000000000.0,AKE03122018,4120,178973.64,354686.66,0.036878,TRYAKBK00318,9032044.0,132956569.49,3605276692.0
1,133919646.71,2018-12-14T10:14:56,200000000.0,2018-12-04,AKE,20000000000.0,AKE04122018,4106,178885.83,287188.32,0.03711,TRYAKBK00318,9057594.0,133603270.25,3600179991.0
2,128771107.42,2018-12-15T10:14:55,200000000.0,2018-12-05,AKE,20000000000.0,AKE05122018,4119,182553.74,139086.64,0.037952,TRYAKBK00318,9082122.0,121783486.56,3208878433.0
3,130907937.87,2018-12-16T10:14:54,200000000.0,2018-12-06,AKE,20000000000.0,AKE06122018,4113,391663.18,44027.36,0.038623,TRYAKBK00318,9090298.0,124424037.69,3221472359.0
4,123897472.09,2018-12-17T10:14:59,200000000.0,2018-12-07,AKE,20000000000.0,AKE07122018,4105,149711.34,9556043.97,0.038449,TRYAKBK00318,9098474.0,123646556.16,3215867944.0
5,123510699.33,2018-12-20T10:14:57,200000000.0,2018-12-10,AKE,20000000000.0,AKE10122018,4102,137051.35,444868.54,0.03836,TRYAKBK00318,9170014.0,123323111.47,3214912925.0
6,119758079.69,2018-12-21T10:14:56,200000000.0,2018-12-11,AKE,20000000000.0,AKE11122018,4100,131191.09,330214.73,0.03823,TRYAKBK00318,9194542.0,119856364.55,3135117019.0
7,124637959.21,2018-12-22T10:14:55,200000000.0,2018-12-12,AKE,20000000000.0,AKE12122018,4101,85727.73,42026.98,0.038764,TRYAKBK00318,9219070.0,121412143.78,3132070006.0
8,121962733.1,2018-12-23T10:14:54,200000000.0,2018-12-13,AKE,20000000000.0,AKE13122018,4101,94178.62,404251.81,0.038912,TRYAKBK00318,9227246.0,121841742.17,3131181760.0
9,122414309.39,2018-12-24T10:14:53,200000000.0,2018-12-14,AKE,20000000000.0,AKE14122018,4079,85762.77,301188.43,0.03909,TRYAKBK00318,9235423.0,122338099.82,3129631886.0
