,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,31761216.66,2018-12-13T10:14:57,0.0,2018-12-03,AKU,20000000000.0,AKU03122018,3663,22898.62,0.0,0.062561,TRMAKUWWWWW5,9032047.0,31513856.55,503728281.0
1,32415570.99,2018-12-14T10:14:56,0.0,2018-12-04,AKU,20000000000.0,AKU04122018,3656,22015.78,0.0,0.062322,TRMAKUWWWWW5,9057597.0,31240738.32,501276484.0
2,32861659.18,2018-12-15T10:14:55,0.0,2018-12-05,AKU,20000000000.0,AKU05122018,3660,15293.0,0.0,0.0615,TRMAKUWWWWW5,9082125.0,31794166.48,516981588.0
3,31173670.15,2018-12-16T10:14:54,0.0,2018-12-06,AKU,20000000000.0,AKU06122018,3651,16961.95,0.0,0.061488,TRMAKUWWWWW5,9090301.0,31791800.7,517040020.0
4,30921648.21,2018-12-17T10:14:59,0.0,2018-12-07,AKU,20000000000.0,AKU07122018,3648,20498.73,0.0,0.060698,TRMAKUWWWWW5,9098477.0,30632169.08,504667182.0
5,31077815.2,2018-12-20T10:14:57,0.0,2018-12-10,AKU,20000000000.0,AKU10122018,3648,21377.76,0.0,0.061286,TRMAKUWWWWW5,9170017.0,30948881.83,504994666.0
6,30390250.61,2018-12-21T10:14:56,0.0,2018-12-11,AKU,20000000000.0,AKU11122018,3647,17890.29,0.0,0.060336,TRMAKUWWWWW5,9194545.0,30530933.93,506015952.0
7,30489657.48,2018-12-22T10:14:55,0.0,2018-12-12,AKU,20000000000.0,AKU12122018,3653,19755.73,0.0,0.060108,TRMAKUWWWWW5,9219073.0,30548660.45,508227868.0
8,30201808.93,2018-12-23T10:14:54,0.0,2018-12-13,AKU,20000000000.0,AKU13122018,3654,29380.37,0.0,0.059049,TRMAKUWWWWW5,9227249.0,30070291.37,509240258.0
9,30596163.31,2018-12-24T10:14:53,0.0,2018-12-14,AKU,20000000000.0,AKU14122018,3649,17444.2,0.0,0.059942,TRMAKUWWWWW5,9235426.0,30513999.55,509056566.0
10,30320360.77,2018-12-27T10:14:57,0.0,2018-12-17,AKU,20000000000.0,AKU17122018,3642,20841.31,0.0,0.059409,TRMAKUWWWWW5,9306965.0,30164117.69,507735080.0
11,30144261.81,2018-12-28T10:14:59,0.0,2018-12-18,AKU,20000000000.0,AKU18122018,3635,15109.49,0.0,0.059175,TRMAKUWWWWW5,9332412.0,30067794.21,508119273.0
12,30485464.29,2018-12-29T10:14:58,0.0,2018-12-19,AKU,20000000000.0,AKU19122018,3637,16719.44,0.0,0.059942,TRMAKUWWWWW5,9356940.0,30446220.34,507924702.0
13,31024641.03,2018-12-30T10:14:58,0.0,2018-12-20,AKU,20000000000.0,AKU20122018,3632,26761.82,0.0,0.060902,TRMAKUWWWWW5,9365116.0,30953027.32,508241309.0
14,30696063.88,2018-12-31T10:15:00,0.0,2018-12-21,AKU,20000000000.0,AKU21122018,3619,24058.78,0.0,0.060421,TRMAKUWWWWW5,9373292.0,30726177.92,508537079.0
15,30690506.21,2019-01-03T10:14:57,0.0,2018-12-24,AKU,20000000000.0,AKU24122018,3620,40478.37,0.0,0.060459,TRMAKUWWWWW5,9425414.0,30642134.07,506823421.0
16,30594343.52,2019-01-04T10:14:57,0.0,2018-12-25,AKU,20000000000.0,AKU25122018,3614,16465.77,0.0,0.06021,TRMAKUWWWWW5,9449942.0,30479268.58,506219588.0
17,30317946.9,2019-01-05T10:14:56,0.0,2018-12-26,AKU,20000000000.0,AKU26122018,3623,14009.9,0.0,0.059719,TRMAKUWWWWW5,9473448.0,30123281.35,504420009.0
18,30283764.61,2019-01-06T10:14:55,0.0,2018-12-27,AKU,20000000000.0,AKU27122018,3601,17770.4,0.0,0.059867,TRMAKUWWWWW5,9480602.0,30145173.55,503537393.0
19,30249391.55,2019-01-07T10:15:00,0.0,2018-12-28,AKU,20000000000.0,AKU28122018,3591,17262.79,0.0,0.059935,TRMAKUWWWWW5,9487756.0,30062614.33,501586109.0
20,29975249.37,2019-01-10T10:14:57,0.0,2018-12-31,AKU,20000000000.0,AKU31122018,3582,22928.99,0.0,0.059618,TRMAKUWWWWW5,9556230.0,29870303.78,501031968.0
21,29472748.84,2019-01-12T10:14:58,200000000.0,2019-01-02,AKU,20000000000.0,AKU02012019,3580,22535.8,550745.89,0.060115,TRMAKUWWWWW5,9604161.0,30141427.28,501396870.0
22,29661506.45,2019-01-13T10:14:57,0.0,2019-01-03,AKU,20000000000.0,AKU03012019,3585,31196.05,0.0,0.058571,TRMAKUWWWWW5,9612337.0,29290886.51,500090539.0
23,30175753.76,2019-01-14T10:14:59,0.0,2019-01-04,AKU,20000000000.0,AKU04012019,3580,20319.09,0.0,0.057719,TRMAKUWWWWW5,9620513.0,28938949.64,501374584.0
24,29687549.39,2019-01-17T10:14:57,0.0,2019-01-07,AKU,20000000000.0,AKU07012019,3579,36923.47,0.0,0.058708,TRMAKUWWWWW5,9692053.0,29541506.04,503195905.0
25,29787282.46,2019-01-18T10:14:56,0.0,2019-01-08,AKU,20000000000.0,AKU08012019,3571,22885.87,0.0,0.059406,TRMAKUWWWWW5,9717603.0,29865168.46,502733554.0
26,29760656.96,2019-01-19T10:14:55,0.0,2019-01-09,AKU,20000000000.0,AKU09012019,3574,15638.65,0.0,0.059955,TRMAKUWWWWW5,9742131.0,29923763.72,499107715.0
27,28935374.04,2019-01-20T10:14:54,0.0,2019-01-10,AKU,20000000000.0,AKU10012019,3570,22338.02,0.0,0.060217,TRMAKUWWWWW5,9750307.0,29978990.43,497848221.0
28,29175360.99,2019-01-21T10:14:59,0.0,2019-01-11,AKU,20000000000.0,AKU11012019,3572,17106.38,0.0,0.060194,TRMAKUWWWWW5,9758483.0,29760050.92,494406252.0
29,29979942.78,2019-01-24T10:14:57,0.0,2019-01-14,AKU,20000000000.0,AKU14012019,3565,26140.92,0.0,0.060496,TRMAKUWWWWW5,9830023.0,29854130.4,493485648.0
30,30050291.39,2019-01-25T10:14:56,0.0,2019-01-15,AKU,20000000000.0,AKU15012019,3563,21594.84,0.0,0.060743,TRMAKUWWWWW5,9855573.0,29782109.35,490299069.0
31,30214544.86,2019-01-26T10:14:55,0.0,2019-01-16,AKU,20000000000.0,AKU16012019,3559,37696.15,0.0,0.061443,TRMAKUWWWWW5,9880101.0,30121578.71,490238529.0
32,31023078.75,2019-01-27T10:14:57,0.0,2019-01-17,AKU,20000000000.0,AKU17012019,3551,31675.48,0.0,0.063029,TRMAKUWWWWW5,9888174.0,30889185.65,490081911.0
33,30242345.55,2019-01-28T10:14:59,0.0,2019-01-18,AKU,20000000000.0,AKU18012019,3547,42306.21,0.0,0.063984,TRMAKUWWWWW5,9896350.0,31235975.29,488185195.0
34,30632096.08,2019-01-31T10:14:57,0.0,2019-01-21,AKU,20000000000.0,AKU21012019,3548,20220.07,0.0,0.064984,TRMAKUWWWWW5,9967890.0,30537796.78,469931323.0
35,29839344.8,2019-02-01T10:14:56,0.0,2019-01-22,AKU,20000000000.0,AKU22012019,3528,20064.22,0.0,0.064597,TRMAKUWWWWW5,9993440.0,30295609.39,468996119.0
36,29960031.34,2019-02-02T10:14:55,0.0,2019-01-23,AKU,20000000000.0,AKU23012019,3534,25954.9,0.0,0.065775,TRMAKUWWWWW5,10017968.0,30391610.9,462054140.0
37,30419377.67,2019-02-03T10:14:54,0.0,2019-01-24,AKU,20000000000.0,AKU24012019,3527,23282.28,0.0,0.066023,TRMAKUWWWWW5,10026144.0,30375432.96,460072774.0
38,31710547.31,2019-02-04T10:15:00,0.0,2019-01-25,AKU,20000000000.0,AKU25012019,3514,70841.31,0.0,0.067045,TRMAKUWWWWW5,10034320.0,30835213.53,459919753.0
39,30251426.81,2019-02-07T10:14:57,0.0,2019-01-28,AKU,20000000000.0,AKU28012019,3509,21260.59,0.0,0.066969,TRMAKUWWWWW5,10105860.0,30733485.2,458921444.0
40,29196251.04,2019-02-08T10:14:56,0.0,2019-01-29,AKU,20000000000.0,AKU29012019,3502,20093.84,0.0,0.066644,TRMAKUWWWWW5,10131410.0,29675832.76,445285715.0
41,30457220.3,2019-02-09T10:14:55,0.0,2019-01-30,AKU,20000000000.0,AKU30012019,3496,15043.56,0.0,0.06842,TRMAKUWWWWW5,10155938.0,29837409.34,436091532.0
42,31634412.52,2019-02-10T10:14:54,0.0,2019-01-31,AKU,20000000000.0,AKU31012019,3486,20130.53,0.0,0.068466,TRMAKUWWWWW5,10164114.0,30557241.62,446310904.0
43,31014196.3,2019-02-11T10:14:53,0.0,2019-02-01,AKU,20000000000.0,AKU01022019,3478,37207.42,0.0,0.068492,TRMAKUWWWWW5,10172290.0,30447319.42,444537437.0
44,32584531.63,2019-02-14T10:14:58,0.0,2019-02-04,AKU,20000000000.0,AKU04022019,3481,22687.63,0.0,0.067628,TRMAKUWWWWW5,10243830.0,29943053.08,442761245.0
45,35725625.65,2019-02-15T10:14:57,0.0,2019-02-05,AKU,20000000000.0,AKU05022019,3490,28033.63,0.0,0.067142,TRMAKUWWWWW5,10269380.0,32556959.82,484896761.0
46,33686286.98,2019-02-16T10:14:56,0.0,2019-02-06,AKU,20000000000.0,AKU06022019,3487,41556.55,0.0,0.067367,TRMAKUWWWWW5,10293908.0,32559988.33,483324737.0
47,34253208.14,2019-02-17T10:15:00,0.0,2019-02-07,AKU,20000000000.0,AKU07022019,3487,24654.47,0.0,0.067337,TRMAKUWWWWW5,10301981.0,32847815.1,487809378.0
48,32682428.33,2019-02-18T10:14:58,0.0,2019-02-08,AKU,20000000000.0,AKU08022019,3479,24915.6,0.0,0.06753,TRMAKUWWWWW5,10310157.0,32875096.84,486821668.0
49,29046358.59,2019-02-21T10:14:57,0.0,2019-02-11,AKU,20000000000.0,AKU11022019,3469,38325.69,0.0,0.067287,TRMAKUWWWWW5,10381697.0,32443757.91,482172205.0
50,29673482.03,2019-02-22T10:14:56,0.0,2019-02-12,AKU,20000000000.0,AKU12022019,3470,19507.48,0.0,0.068701,TRMAKUWWWWW5,10407247.0,29428674.29,428356155.0
51,28880079.36,2019-02-23T10:14:55,0.0,2019-02-13,AKU,20000000000.0,AKU13022019,3487,23983.23,0.0,0.068219,TRMAKUWWWWW5,10431774.0,29200027.2,428032494.0
52,28266128.25,2019-02-24T10:14:54,0.0,2019-02-14,AKU,20000000000.0,AKU14022019,3480,77011.72,0.0,0.066973,TRMAKUWWWWW5,10439950.0,27939841.49,417179282.0
53,28276578.99,2019-02-25T10:14:59,0.0,2019-02-15,AKU,20000000000.0,AKU15022019,3477,29237.95,0.0,0.067397,TRMAKUWWWWW5,10448126.0,28239714.3,419005154.0
54,28571024.39,2019-02-28T10:14:57,0.0,2019-02-18,AKU,20000000000.0,AKU18022019,3477,25482.05,0.0,0.067824,TRMAKUWWWWW5,10519666.0,28508802.07,420333390.0
55,28321663.75,2019-03-01T10:14:55,0.0,2019-02-19,AKU,20000000000.0,AKU19022019,3474,21212.36,0.0,0.067181,TRMAKUWWWWW5,10545216.0,28218910.07,420040707.0
56,28328497.68,2019-03-02T10:14:55,0.0,2019-02-20,AKU,20000000000.0,AKU20022019,3480,26785.64,0.0,0.067218,TRMAKUWWWWW5,10569744.0,28137449.47,418597676.0
57,28236456.4,2019-03-03T10:14:53,0.0,2019-02-21,AKU,20000000000.0,AKU21022019,3465,22068.7,0.0,0.067168,TRMAKUWWWWW5,10577920.0,28174897.8,419471924.0
58,28186445.27,2019-03-04T10:14:52,0.0,2019-02-22,AKU,20000000000.0,AKU22022019,3466,32966.82,0.0,0.067514,TRMAKUWWWWW5,10586096.0,28225370.72,418067752.0
59,28312638.58,2019-03-07T10:14:48,0.0,2019-02-25,AKU,20000000000.0,AKU25022019,3466,20158.91,0.0,0.067876,TRMAKUWWWWW5,10657636.0,28335542.26,417457801.0
60,28684727.01,2019-03-08T10:15:00,0.0,2019-02-26,AKU,20000000000.0,AKU26022019,3471,29023.79,0.0,0.068514,TRMAKUWWWWW5,10658658.0,28586519.24,417234230.0
61,29585841.81,2019-03-07T10:14:59,0.0,2019-02-27,AKU,20000000000.0,AKU27022019,3480,61733.32,0.0,0.069043,TRMAKUWWWWW5,10659680.0,29318147.85,424633389.0
62,29036860.24,2019-03-07T10:15:03,0.0,2019-02-28,AKU,20000000000.0,AKU28022019,3474,53281.12,0.0,0.068391,TRMAKUWWWWW5,10660702.0,28958156.81,423422477.0
63,28903342.02,2019-03-07T10:15:06,0.0,2019-03-01,AKU,20000000000.0,AKU01032019,3467,24426.47,0.0,0.068707,TRMAKUWWWWW5,10661724.0,28317755.29,412151079.0
64,27700808.11,2019-03-07T10:15:10,0.0,2019-03-04,AKU,20000000000.0,AKU04032019,3460,31632.74,0.0,0.067721,TRMAKUWWWWW5,10662746.0,27677239.0,408697341.0
65,27758135.42,2019-03-07T10:15:14,0.0,2019-03-05,AKU,20000000000.0,AKU05032019,3463,27594.31,0.0,0.06842,TRMAKUWWWWW5,10663768.0,27900298.97,407777752.0
66,27415180.29,2019-03-07T10:15:18,0.0,2019-03-06,AKU,20000000000.0,AKU06032019,3471,28309.89,0.0,0.068107,TRMAKUWWWWW5,10664790.0,27745094.51,407372577.0
67,27600669.61,2019-03-07T13:50:07,0.0,2019-03-07,AKU,20000000000.0,AKU07032019,3466,28143.47,0.0,0.067847,TRMAKUWWWWW5,10666834.0,27607197.87,406904440.0
68,28189796.85,2019-03-08T10:50:00,0.0,2019-03-08,AKU,20000000000.0,AKU08032019,3462,23149.26,0.0,0.067204,TRMAKUWWWWW5,10667856.0,27362701.11,407159489.0
69,29319392.04,2019-03-11T10:50:00,0.0,2019-03-11,AKU,20000000000.0,AKU11032019,3460,21754.73,0.0,0.066767,TRMAKUWWWWW5,10668699.0,28181094.79,422080825.0
70,28709115.53,2019-03-12T10:22:47,0.0,2019-03-12,AKU,20000000000.0,AKU12032019,3469,41636.89,0.0,0.066341,TRMAKUWWWWW5,10670346.0,28095814.89,423507392.0
71,30552807.52,2019-03-13T11:50:00,200000000.0,2019-03-13,AKU,20000000000.0,AKU13032019,3473,21672.68,830508.23,0.067054,TRMAKUWWWWW5,10674446.0,28603396.81,426575351.0
72,32391886.59,2019-03-14T10:50:00,0.0,2019-03-14,AKU,20000000000.0,AKU14032019,3463,28405.49,0.0,0.067457,TRMAKUWWWWW5,10676970.0,30571783.0,453202437.0
73,30741214.27,2019-03-15T10:50:00,0.0,2019-03-15,AKU,20000000000.0,AKU15032019,3458,26508.39,0.0,0.067588,TRMAKUWWWWW5,10679714.0,30589079.07,452584053.0
74,30931238.73,2019-03-18T10:30:32,0.0,2019-03-18,AKU,20000000000.0,AKU18032019,3454,25369.46,0.0,0.068135,TRMAKUWWWWW5,10680623.0,30934207.1,454011111.0
