,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,21509422.25,2018-12-13T10:14:57,0.0,2018-12-03,ALC,20000000000.0,ALC03122018,2891,20333.95,0.0,0.016758,TRYAKBK00946,9032048.0,21728632.9,1296600424.0
1,21688367.08,2018-12-14T10:14:56,0.0,2018-12-04,ALC,20000000000.0,ALC04122018,2895,20602.58,0.0,0.016873,TRYAKBK00946,9057598.0,21838299.31,1294260461.0
2,21723756.23,2018-12-15T10:14:55,0.0,2018-12-05,ALC,20000000000.0,ALC05122018,2901,21245.36,0.0,0.016717,TRYAKBK00946,9082126.0,21665352.61,1296030220.0
3,21802162.9,2018-12-16T10:14:54,0.0,2018-12-06,ALC,20000000000.0,ALC06122018,2890,20431.96,0.0,0.016779,TRYAKBK00946,9090302.0,21748733.51,1296211932.0
4,21401098.72,2018-12-17T10:14:59,0.0,2018-12-07,ALC,20000000000.0,ALC07122018,2896,20113.66,0.0,0.016461,TRYAKBK00946,9098478.0,21376546.08,1298590499.0
5,21559588.99,2018-12-20T10:14:57,0.0,2018-12-10,ALC,20000000000.0,ALC10122018,2892,20561.12,0.0,0.01658,TRYAKBK00946,9170018.0,21536730.12,1298972915.0
6,21097153.01,2018-12-21T10:14:56,0.0,2018-12-11,ALC,20000000000.0,ALC11122018,2887,20776.2,0.0,0.016283,TRYAKBK00946,9194546.0,21149867.51,1298918892.0
7,20957127.89,2018-12-22T10:14:55,0.0,2018-12-12,ALC,20000000000.0,ALC12122018,2890,20595.59,0.0,0.016163,TRYAKBK00946,9219074.0,21004763.53,1299589254.0
8,20733099.39,2018-12-23T10:14:54,0.0,2018-12-13,ALC,20000000000.0,ALC13122018,2878,18985.52,0.0,0.015942,TRYAKBK00946,9227250.0,20714270.84,1299318479.0
9,21279698.24,2018-12-24T10:14:53,0.0,2018-12-14,ALC,20000000000.0,ALC14122018,2869,20403.55,0.0,0.01636,TRYAKBK00946,9235427.0,21237962.03,1298131037.0
10,21031514.06,2018-12-27T10:14:57,0.0,2018-12-17,ALC,20000000000.0,ALC17122018,2854,29581.82,0.0,0.016186,TRYAKBK00946,9306966.0,20992663.44,1296929518.0
11,20994676.78,2018-12-28T10:14:59,0.0,2018-12-18,ALC,20000000000.0,ALC18122018,2847,16784.1,0.0,0.016164,TRYAKBK00946,9332413.0,20965575.49,1297059846.0
12,21337908.56,2018-12-29T10:14:58,0.0,2018-12-19,ALC,20000000000.0,ALC19122018,2869,20294.75,0.0,0.016301,TRYAKBK00946,9356941.0,21149342.99,1297396422.0
13,21722960.59,2018-12-30T10:14:58,0.0,2018-12-20,ALC,20000000000.0,ALC20122018,2868,20836.18,0.0,0.016587,TRYAKBK00946,9365117.0,21521608.91,1297532209.0
14,21373720.26,2018-12-31T10:15:00,0.0,2018-12-21,ALC,20000000000.0,ALC21122018,2857,20015.92,0.0,0.016448,TRYAKBK00946,9373293.0,21336263.31,1297223077.0
15,21356220.76,2019-01-03T10:14:57,0.0,2018-12-24,ALC,20000000000.0,ALC24122018,2856,20521.59,0.0,0.016436,TRYAKBK00946,9425415.0,21309109.94,1296492102.0
16,21223806.93,2019-01-04T10:14:57,0.0,2018-12-25,ALC,20000000000.0,ALC25122018,2845,19954.5,0.0,0.016343,TRYAKBK00946,9449943.0,21181371.91,1296089508.0
17,21130432.42,2019-01-05T10:14:56,0.0,2018-12-26,ALC,20000000000.0,ALC26122018,2848,20140.72,0.0,0.016271,TRYAKBK00946,9473449.0,21047765.98,1293571449.0
18,21003365.29,2019-01-06T10:14:55,0.0,2018-12-27,ALC,20000000000.0,ALC27122018,2837,20651.68,0.0,0.016349,TRYAKBK00946,9480603.0,21137142.55,1292855766.0
19,20979785.6,2019-01-07T10:15:00,0.0,2018-12-28,ALC,20000000000.0,ALC28122018,2827,20529.35,0.0,0.01634,TRYAKBK00946,9487757.0,20908663.0,1279596688.0
20,20836010.35,2019-01-10T10:14:57,0.0,2018-12-31,ALC,20000000000.0,ALC31122018,2817,19623.38,0.0,0.016338,TRYAKBK00946,9556231.0,20908919.97,1279742034.0
21,20951665.4,2019-01-12T10:14:58,400000000.0,2019-01-02,ALC,20000000000.0,ALC02012019,2811,20018.24,191258.5,0.016521,TRYAKBK00946,9604162.0,21140672.3,1279658497.0
22,21030169.49,2019-01-13T10:14:57,0.0,2019-01-03,ALC,20000000000.0,ALC03012019,2818,20272.41,0.0,0.016095,TRYAKBK00946,9612338.0,20633696.85,1281974362.0
23,20752238.42,2019-01-14T10:14:59,0.0,2019-01-04,ALC,20000000000.0,ALC04012019,2813,33601.46,0.0,0.015794,TRYAKBK00946,9620514.0,20245226.7,1281816343.0
24,20680434.53,2019-01-17T10:14:57,0.0,2019-01-07,ALC,20000000000.0,ALC07012019,2800,13506.69,0.0,0.016162,TRYAKBK00946,9692054.0,20495825.26,1268114019.0
25,20509378.32,2019-01-18T10:14:56,0.0,2019-01-08,ALC,20000000000.0,ALC08012019,2795,80426.57,0.0,0.016343,TRYAKBK00946,9717604.0,20818155.21,1273825788.0
26,20811689.62,2019-01-19T10:14:55,0.0,2019-01-09,ALC,20000000000.0,ALC09012019,2808,21432.55,0.0,0.016463,TRYAKBK00946,9742132.0,20752901.52,1260583544.0
27,10786883.32,2019-01-20T10:14:54,0.0,2019-01-10,ALC,20000000000.0,ALC10012019,2796,12145.65,0.0,0.016512,TRYAKBK00946,9750308.0,20814582.39,1260535496.0
28,10746540.62,2019-01-21T10:14:59,0.0,2019-01-11,ALC,20000000000.0,ALC11012019,2792,19054.04,0.0,0.016455,TRYAKBK00946,9758484.0,10186972.16,619072144.0
29,10327984.76,2019-01-24T10:14:57,400000000.0,2019-01-14,ALC,20000000000.0,ALC14012019,2789,12717.63,0.0,0.016504,TRYAKBK00946,9830024.0,10213600.92,618848027.0
30,10371007.52,2019-01-25T10:14:56,0.0,2019-01-15,ALC,20000000000.0,ALC15012019,2784,9838.29,0.0,0.016731,TRYAKBK00946,9855574.0,10216184.5,610627435.0
