,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1798140.0,2018-12-13T10:14:57,1000000000000.0,2018-12-03,AN1,128466556.0,AN103122018,58,2276.19,490936.37,6.011181,TRMAN1WWWWW4,9032054.0,1795088.83,298625.0
1,1796016.58,2018-12-14T10:14:56,1000000000000.0,2018-12-04,AN1,128466556.0,AN104122018,58,3227.34,496320.7,6.008669,TRMAN1WWWWW4,9057604.0,1794338.8,298625.0
2,1794328.21,2018-12-15T10:14:55,0.0,2018-12-05,AN1,128466556.0,AN105122018,58,3554.05,0.0,6.003548,TRMAN1WWWWW4,9082132.0,1792809.65,298625.0
3,1800145.76,2018-12-16T10:14:54,0.0,2018-12-06,AN1,128466556.0,AN106122018,58,3229.87,0.0,6.035994,TRMAN1WWWWW4,9090308.0,1802498.79,298625.0
4,1794352.04,2018-12-17T10:14:59,0.0,2018-12-07,AN1,128466556.0,AN107122018,58,2541.68,0.0,6.013727,TRMAN1WWWWW4,9098484.0,1795849.16,298625.0
5,1803094.98,2018-12-20T10:14:57,0.0,2018-12-10,AN1,128466556.0,AN110122018,58,2024.64,0.0,6.039542,TRMAN1WWWWW4,9170024.0,1803552.18,298624.0
6,1800398.75,2018-12-21T10:14:56,0.0,2018-12-11,AN1,128466556.0,AN111122018,57,2612.56,0.0,6.031972,TRMAN1WWWWW4,9194552.0,1801291.51,298624.0
7,1796575.81,2018-12-22T10:14:55,0.0,2018-12-12,AN1,128466556.0,AN112122018,57,2936.77,0.0,6.041362,TRMAN1WWWWW4,9219080.0,1803890.4,298590.0
8,1787717.61,2018-12-23T10:14:54,1000000000000.0,2018-12-13,AN1,128466556.0,AN113122018,56,2838.21,516332.93,6.012221,TRMAN1WWWWW4,9227256.0,1795189.0,298590.0
9,1803884.7,2018-12-24T10:14:53,0.0,2018-12-14,AN1,128466556.0,AN114122018,56,2628.44,0.0,6.043437,TRMAN1WWWWW4,9235433.0,1804509.84,298590.0
10,1802280.94,2018-12-27T10:14:57,0.0,2018-12-17,AN1,128466556.0,AN117122018,56,3268.72,0.0,6.038452,TRMAN1WWWWW4,9306972.0,1803021.3,298590.0
11,1801754.38,2018-12-28T10:14:59,1000000000000.0,2018-12-18,AN1,128466556.0,AN118122018,56,2742.34,577371.49,6.034399,TRMAN1WWWWW4,9332419.0,1801811.23,298590.0
12,1799775.89,2018-12-29T10:14:58,0.0,2018-12-19,AN1,128466556.0,AN119122018,56,2776.97,0.0,6.027364,TRMAN1WWWWW4,9356947.0,1799686.39,298586.0
13,1800679.31,2018-12-30T10:14:58,0.0,2018-12-20,AN1,128466556.0,AN120122018,55,3113.9,0.0,6.031041,TRMAN1WWWWW4,9365123.0,1800784.28,298586.0
14,1799957.35,2018-12-31T10:15:00,0.0,2018-12-21,AN1,128466556.0,AN121122018,55,2474.16,0.0,6.025922,TRMAN1WWWWW4,9373299.0,1799171.73,298572.0
15,1800296.36,2019-01-03T10:14:57,0.0,2018-12-24,AN1,128466556.0,AN124122018,54,2383.57,0.0,6.025313,TRMAN1WWWWW4,9425421.0,1798989.61,298572.0
16,1798505.67,2019-01-04T10:14:57,0.0,2018-12-25,AN1,128466556.0,AN125122018,54,2399.07,0.0,6.018807,TRMAN1WWWWW4,9449949.0,1797047.28,298572.0
17,1797390.13,2019-01-05T10:14:56,0.0,2018-12-26,AN1,128466556.0,AN126122018,54,2504.5,0.0,6.015627,TRMAN1WWWWW4,9473455.0,1796097.79,298572.0
18,1800586.8,2019-01-06T10:14:55,0.0,2018-12-27,AN1,128466556.0,AN127122018,54,2836.13,0.0,6.026884,TRMAN1WWWWW4,9480609.0,1799458.71,298572.0
19,1806962.57,2019-01-07T10:15:00,0.0,2018-12-28,AN1,128466556.0,AN128122018,54,2178.76,0.0,6.045474,TRMAN1WWWWW4,9487763.0,1805009.19,298572.0
20,1802347.12,2019-01-10T10:14:57,0.0,2018-12-31,AN1,128466556.0,AN131122018,54,2922.5,0.0,6.032724,TRMAN1WWWWW4,9556237.0,1801202.47,298572.0
21,1807459.11,2019-01-12T10:14:58,1000000000000.0,2019-01-02,AN1,128466556.0,AN102012019,54,2944.3,537701.78,6.048859,TRMAN1WWWWW4,9604168.0,1806019.93,298572.0
22,1806088.16,2019-01-13T10:14:57,0.0,2019-01-03,AN1,128466556.0,AN103012019,54,2616.76,0.0,6.04258,TRMAN1WWWWW4,9612344.0,1804145.26,298572.0
23,1810555.05,2019-01-14T10:14:59,0.0,2019-01-04,AN1,128466556.0,AN104012019,55,2829.25,0.0,6.057661,TRMAN1WWWWW4,9620520.0,1808648.1,298572.0
24,1814995.38,2019-01-17T10:14:57,0.0,2019-01-07,AN1,128466556.0,AN107012019,55,1967.63,0.0,6.083233,TRMAN1WWWWW4,9692060.0,1816282.96,298572.0
25,1816470.63,2019-01-18T10:14:56,0.0,2019-01-08,AN1,128466556.0,AN108012019,55,2612.32,0.0,6.089748,TRMAN1WWWWW4,9717610.0,1818228.14,298572.0
26,1823674.84,2019-01-19T10:14:55,0.0,2019-01-09,AN1,128466556.0,AN109012019,55,2117.95,0.0,6.100597,TRMAN1WWWWW4,9742138.0,1821467.46,298572.0
27,1823782.21,2019-01-20T10:14:54,0.0,2019-01-10,AN1,128466556.0,AN110012019,55,2329.71,0.0,6.10108,TRMAN1WWWWW4,9750314.0,1821587.17,298568.0
28,1825264.5,2019-01-21T10:14:59,0.0,2019-01-11,AN1,128466556.0,AN111012019,54,2303.26,0.0,6.10617,TRMAN1WWWWW4,9758490.0,1823106.99,298568.0
29,1829610.85,2019-01-24T10:14:57,0.0,2019-01-14,AN1,128466556.0,AN114012019,54,2515.96,0.0,6.119628,TRMAN1WWWWW4,9830030.0,1827125.06,298568.0
30,1834337.43,2019-01-25T10:14:56,0.0,2019-01-15,AN1,128466556.0,AN115012019,54,2110.94,0.0,6.134819,TRMAN1WWWWW4,9855580.0,1831660.53,298568.0
31,1839839.12,2019-01-26T10:14:55,0.0,2019-01-16,AN1,128466556.0,AN116012019,54,2189.39,0.0,6.153684,TRMAN1WWWWW4,9880108.0,1808697.1,293921.0
32,1866390.61,2019-01-27T10:14:57,0.0,2019-01-17,AN1,128466556.0,AN117012019,53,2787.55,0.0,6.150909,TRMAN1WWWWW4,9888181.0,1807881.46,293921.0
33,1891983.27,2019-01-28T10:14:59,0.0,2019-01-18,AN1,128466556.0,AN118012019,53,2722.03,0.0,6.150039,TRMAN1WWWWW4,9896357.0,1807625.7,293921.0
34,1835478.85,2019-01-31T10:14:57,0.0,2019-01-21,AN1,128466556.0,AN121012019,53,3480.44,0.0,6.150587,TRMAN1WWWWW4,9967897.0,1807786.71,293921.0
35,1812385.83,2019-02-01T10:14:56,0.0,2019-01-22,AN1,128466556.0,AN122012019,53,2358.67,0.0,6.154806,TRMAN1WWWWW4,9993447.0,1809026.8,293921.0
36,1814245.29,2019-02-02T10:14:55,1000000000000.0,2019-01-23,AN1,128466556.0,AN123012019,53,12222.81,236157.12,6.194095,TRMAN1WWWWW4,10017975.0,1820574.62,293921.0
37,1824644.39,2019-02-03T10:14:54,0.0,2019-01-24,AN1,128466556.0,AN124012019,53,2374.76,0.0,6.195368,TRMAN1WWWWW4,10026151.0,1820948.82,293921.0
38,1896502.61,2019-02-04T10:15:00,1000000000000.0,2019-01-25,AN1,128466556.0,AN125012019,53,3229.4,255161.03,6.24021,TRMAN1WWWWW4,10034327.0,1834128.63,293921.0
39,1902031.17,2019-02-07T10:14:57,0.0,2019-01-28,AN1,128466556.0,AN128012019,53,3384.81,0.0,6.25769,TRMAN1WWWWW4,10105867.0,1839266.64,293921.0
40,1939709.19,2019-02-08T10:14:56,0.0,2019-01-29,AN1,128466556.0,AN129012019,53,2440.77,0.0,6.276921,TRMAN1WWWWW4,10131417.0,1844919.04,293921.0
41,1950330.39,2019-02-09T10:14:55,0.0,2019-01-30,AN1,128466556.0,AN130012019,53,2562.39,0.0,6.312855,TRMAN1WWWWW4,10155945.0,1855480.53,293921.0
42,1853930.31,2019-02-10T10:14:54,0.0,2019-01-31,AN1,128466556.0,AN131012019,53,2522.15,0.0,6.291635,TRMAN1WWWWW4,10164121.0,1849243.67,293921.0
43,1844047.0,2019-02-11T10:14:53,0.0,2019-02-01,AN1,128466556.0,AN101022019,53,11491.49,0.0,6.290542,TRMAN1WWWWW4,10172297.0,1848922.49,293921.0
44,1856317.59,2019-02-14T10:14:58,0.0,2019-02-04,AN1,128466556.0,AN104022019,53,2529.04,0.0,6.299914,TRMAN1WWWWW4,10243837.0,1851677.07,293921.0
45,1856147.91,2019-02-15T10:14:57,0.0,2019-02-05,AN1,128466556.0,AN105022019,53,3735.58,0.0,6.302892,TRMAN1WWWWW4,10269387.0,1852552.19,293921.0
46,1851884.21,2019-02-16T10:14:56,0.0,2019-02-06,AN1,128466556.0,AN106022019,53,2155.33,0.0,6.298192,TRMAN1WWWWW4,10293915.0,1851170.85,293921.0
47,1848226.1,2019-02-17T10:15:00,0.0,2019-02-07,AN1,128466556.0,AN107022019,53,2218.16,0.0,6.285339,TRMAN1WWWWW4,10301988.0,1847393.12,293921.0
48,1846721.47,2019-02-18T10:14:58,0.0,2019-02-08,AN1,128466556.0,AN108022019,53,2280.85,0.0,6.279813,TRMAN1WWWWW4,10310164.0,1845768.9,293921.0
49,1861078.09,2019-02-21T10:14:57,0.0,2019-02-11,AN1,128466556.0,AN111022019,54,2471.9,0.0,6.305999,TRMAN1WWWWW4,10381704.0,1859771.54,294921.0
50,1867162.32,2019-02-22T10:14:56,1000000000000.0,2019-02-12,AN1,128466556.0,AN112022019,54,2588.32,62038.98,6.326396,TRMAN1WWWWW4,10407254.0,1865787.06,294921.0
51,1863247.23,2019-02-23T10:14:55,0.0,2019-02-13,AN1,128466556.0,AN113022019,54,2438.0,0.0,6.312578,TRMAN1WWWWW4,10431781.0,1855399.17,293921.0
52,1848558.05,2019-02-24T10:14:54,0.0,2019-02-14,AN1,128466556.0,AN114022019,53,2026.5,0.0,6.28252,TRMAN1WWWWW4,10439957.0,1846564.48,293921.0
53,1849554.13,2019-02-25T10:14:59,0.0,2019-02-15,AN1,128466556.0,AN115022019,53,4231.13,0.0,6.292788,TRMAN1WWWWW4,10448133.0,1849582.43,293921.0
54,1853065.91,2019-02-28T10:14:57,1000000000000.0,2019-02-18,AN1,128466556.0,AN118022019,53,3673.6,133252.52,6.320429,TRMAN1WWWWW4,10519673.0,1857706.87,293921.0
55,1840633.86,2019-03-01T10:14:55,0.0,2019-02-19,AN1,128466556.0,AN119022019,53,2923.31,0.0,6.274962,TRMAN1WWWWW4,10545223.0,1844343.07,293921.0
56,1690944.31,2019-03-02T10:14:55,0.0,2019-02-20,AN1,128466556.0,AN120022019,53,2726.58,0.0,6.284912,TRMAN1WWWWW4,10569751.0,1847267.6,293921.0
57,1692896.74,2019-03-03T10:14:53,1000000000000.0,2019-02-21,AN1,128466556.0,AN121022019,53,2812.63,140088.79,6.291229,TRMAN1WWWWW4,10577927.0,1849124.28,293921.0
58,1854523.37,2019-03-04T10:14:52,0.0,2019-02-22,AN1,128466556.0,AN122022019,53,2517.45,0.0,6.299838,TRMAN1WWWWW4,10586103.0,1851654.71,293921.0
59,1863033.55,2019-03-07T10:14:48,0.0,2019-02-25,AN1,128466556.0,AN125022019,53,3081.84,0.0,6.328837,TRMAN1WWWWW4,10657643.0,1860178.1,293921.0
60,1859587.43,2019-03-08T10:15:00,0.0,2019-02-26,AN1,128466556.0,AN126022019,53,2268.42,0.0,6.313777,TRMAN1WWWWW4,10658665.0,1855751.64,293921.0
61,1861514.17,2019-03-07T10:14:59,0.0,2019-02-27,AN1,128466556.0,AN127022019,53,2479.22,0.0,6.320448,TRMAN1WWWWW4,10659687.0,1856416.75,293716.0
62,1860124.1,2019-03-07T10:15:03,0.0,2019-02-28,AN1,128466556.0,AN128022019,52,1394.26,0.0,6.315822,TRMAN1WWWWW4,10660709.0,1855058.06,293716.0
63,1860806.62,2019-03-07T10:15:06,0.0,2019-03-01,AN1,128466556.0,AN101032019,52,2441.04,0.0,6.323514,TRMAN1WWWWW4,10661731.0,1857317.25,293716.0
64,1864975.18,2019-03-07T10:15:10,0.0,2019-03-04,AN1,128466556.0,AN104032019,52,2971.04,0.0,6.337675,TRMAN1WWWWW4,10662753.0,1861476.6,293716.0
65,1865853.91,2019-03-07T10:15:14,0.0,2019-03-05,AN1,128466556.0,AN105032019,52,3631.09,0.0,6.342306,TRMAN1WWWWW4,10663775.0,1862836.69,293716.0
66,1862179.15,2019-03-07T10:15:18,0.0,2019-03-06,AN1,128466556.0,AN106032019,52,2820.01,0.0,6.340993,TRMAN1WWWWW4,10664797.0,1862451.05,293716.0
67,1862765.91,2019-03-07T13:50:07,1000000000000.0,2019-03-07,AN1,128466556.0,AN107032019,52,2031.01,349216.58,6.339696,TRMAN1WWWWW4,10666841.0,1862070.18,293716.0
68,1851418.41,2019-03-08T10:50:00,0.0,2019-03-08,AN1,128466556.0,AN108032019,52,2240.25,0.0,6.30117,TRMAN1WWWWW4,10667863.0,1850754.44,293716.0
69,1849057.27,2019-03-11T12:50:00,1000000000000.0,2019-03-11,AN1,128466556.0,AN111032019,52,3934.78,350644.38,6.297077,TRMAN1WWWWW4,10668706.0,1849552.2,293716.0
70,1844360.86,2019-03-12T10:22:47,0.0,2019-03-12,AN1,128466556.0,AN112032019,52,2571.77,0.0,6.275845,TRMAN1WWWWW4,10670353.0,1843316.09,293716.0
71,1847560.73,2019-03-13T10:50:00,0.0,2019-03-13,AN1,128466556.0,AN113032019,52,2586.76,0.0,6.286849,TRMAN1WWWWW4,10674199.0,1846548.07,293716.0
72,1848475.3,2019-03-14T10:50:00,0.0,2019-03-14,AN1,128466556.0,AN114032019,52,2796.36,0.0,6.290073,TRMAN1WWWWW4,10676976.0,1847495.13,293716.0
73,1856764.95,2019-03-15T10:50:00,0.0,2019-03-15,AN1,128466556.0,AN115032019,52,3005.96,0.0,6.318404,TRMAN1WWWWW4,10679720.0,1855816.45,293716.0
74,1855384.54,2019-03-18T10:30:32,0.0,2019-03-18,AN1,128466556.0,AN118032019,52,2563.97,0.0,6.319371,TRMAN1WWWWW4,10680630.0,1856100.34,293716.0
75,1864492.06,2019-03-19T10:50:00,0.0,2019-03-19,AN1,128466556.0,AN119032019,52,3174.58,0.0,6.352012,TRMAN1WWWWW4,10684563.0,1865687.51,293716.0
