,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,ANZ03122018,0,2020-09-21T18:03:30.285,1.403217,2218780.04,2018-12-03,1581210.0,ANZ
1,ANZ04122018,0,2020-09-21T18:03:30.298,1.422191,2248782.81,2018-12-04,1581210.0,ANZ
2,ANZ05122018,0,2020-09-21T18:03:30.305,1.447353,2288569.34,2018-12-05,1581210.0,ANZ
3,ANZ06122018,0,2020-09-21T18:03:30.314,1.47255,2328411.29,2018-12-06,1581210.0,ANZ
4,ANZ07122018,0,2020-09-21T18:03:30.32,1.467279,2320076.09,2018-12-07,1581210.0,ANZ
5,ANZ10122018,0,2020-09-21T18:03:30.324,1.457173,2304095.75,2018-12-10,1581210.0,ANZ
6,ANZ11122018,0,2020-09-21T18:03:30.329,1.447767,2289223.81,2018-12-11,1581210.0,ANZ
7,ANZ12122018,0,2020-09-21T18:03:30.334,1.484383,2347120.76,2018-12-12,1581210.0,ANZ
8,ANZ13122018,0,2020-09-21T18:03:30.341,1.486932,2330335.28,2018-12-13,1567210.0,ANZ
9,ANZ14122018,0,2020-09-21T18:03:30.345,1.49069,2336224.6,2018-12-14,1567210.0,ANZ
10,ANZ17122018,0,2020-09-21T18:03:30.351,1.502364,2354519.96,2018-12-17,1567210.0,ANZ
11,ANZ18122018,0,2020-09-21T18:03:30.358,1.503382,2356115.57,2018-12-18,1567210.0,ANZ
12,ANZ19122018,0,2020-09-21T18:03:30.362,1.496618,2345514.97,2018-12-19,1567210.0,ANZ
13,ANZ20122018,0,2020-09-21T18:03:30.37,1.489918,2335015.01,2018-12-20,1567210.0,ANZ
14,ANZ21122018,0,2020-09-21T18:03:30.375,1.476001,2313203.03,2018-12-21,1567210.0,ANZ
15,ANZ24122018,0,2020-09-21T18:03:30.379,1.485746,2306040.84,2018-12-24,1552110.0,ANZ
16,ANZ25122018,0,2020-09-21T18:03:30.386,1.491925,2315631.17,2018-12-25,1552110.0,ANZ
17,ANZ26122018,0,2020-09-21T18:03:30.39,1.496365,2322523.55,2018-12-26,1552110.0,ANZ
18,ANZ27122018,0,2020-09-21T18:03:30.405,1.486218,2306773.16,2018-12-27,1552110.0,ANZ
19,ANZ28122018,0,2020-09-21T18:03:30.409,1.488004,2309546.54,2018-12-28,1552110.0,ANZ
20,ANZ31122018,0,2020-09-21T18:03:30.413,1.480913,2298540.5,2018-12-31,1552110.0,ANZ
21,ANZ02012019,0,2020-09-21T18:15:27.431,1.486673,2307479.49,2019-01-02,1552110.0,ANZ
22,ANZ03012019,0,2020-09-21T18:15:27.428,1.509197,2342439.56,2019-01-03,1552110.0,ANZ
23,ANZ04012019,0,2020-09-21T18:15:27.424,1.555975,2517738.89,2019-01-04,1618110.0,ANZ
24,ANZ07012019,0,2020-09-21T18:15:27.421,1.558549,2521904.38,2019-01-07,1618110.0,ANZ
25,ANZ08012019,0,2020-09-21T18:15:27.417,1.548549,2505721.86,2019-01-08,1618110.0,ANZ
26,ANZ09012019,0,2020-09-21T18:15:27.413,1.562303,2527978.83,2019-01-09,1618110.0,ANZ
27,ANZ10012019,0,2020-09-21T18:15:27.41,1.571646,2543095.97,2019-01-10,1618110.0,ANZ
28,ANZ11012019,0,2020-09-21T18:15:27.407,1.559249,2523036.46,2019-01-11,1618110.0,ANZ
29,ANZ14012019,0,2020-09-21T18:15:27.403,1.548946,2506365.37,2019-01-14,1618110.0,ANZ
30,ANZ15012019,0,2020-09-21T18:15:27.4,1.56501,2532357.85,2019-01-15,1618110.0,ANZ
31,ANZ16012019,0,2020-09-21T18:15:27.396,1.549062,2506552.24,2019-01-16,1618110.0,ANZ
32,ANZ17012019,0,2020-09-21T18:15:27.392,1.542832,2496471.55,2019-01-17,1618110.0,ANZ
33,ANZ18012019,0,2020-09-21T18:15:27.389,1.530313,2476215.26,2019-01-18,1618110.0,ANZ
34,ANZ21012019,0,2020-09-21T18:15:27.385,1.538905,2490117.32,2019-01-21,1618110.0,ANZ
35,ANZ22012019,0,2020-09-21T18:15:27.381,1.535654,2484856.41,2019-01-22,1618110.0,ANZ
36,ANZ23012019,0,2020-09-21T18:15:27.378,1.546919,2503085.7,2019-01-23,1618110.0,ANZ
37,ANZ24012019,0,2020-09-21T18:15:27.374,1.545375,2500586.05,2019-01-24,1618110.0,ANZ
38,ANZ25012019,0,2020-09-21T18:15:27.37,1.548971,2506405.9,2019-01-25,1618110.0,ANZ
39,ANZ28012019,0,2020-09-21T18:15:27.366,1.55428,2613848.67,2019-01-28,1681710.0,ANZ
40,ANZ29012019,0,2020-09-21T18:15:27.362,1.555194,2918647.54,2019-01-29,1876710.0,ANZ
41,ANZ30012019,0,2020-09-21T18:15:27.354,1.57136,3107536.74,2019-01-30,1977610.0,ANZ
42,ANZ31012019,0,2020-09-21T18:15:27.351,1.557279,3475238.67,2019-01-31,2231610.0,ANZ
43,ANZ01022019,0,2020-09-21T18:15:27.347,1.542473,3442197.86,2019-02-01,2231610.0,ANZ
44,ANZ04022019,0,2020-09-21T18:15:27.343,1.545508,3448970.44,2019-02-04,2231610.0,ANZ
45,ANZ05022019,0,2020-09-21T18:15:27.34,1.55787,3869920.1,2019-02-05,2484110.0,ANZ
46,ANZ06022019,0,2020-09-21T18:15:27.336,1.573588,3908964.51,2019-02-06,2484110.0,ANZ
47,ANZ07022019,0,2020-09-21T18:15:27.333,1.592458,3939916.01,2019-02-07,2474110.0,ANZ
48,ANZ08022019,0,2020-09-21T18:15:27.329,1.60234,3964364.63,2019-02-08,2474110.0,ANZ
49,ANZ11022019,0,2020-09-21T18:15:27.324,1.595702,3947941.93,2019-02-11,2474110.0,ANZ
50,ANZ12022019,0,2020-09-21T18:15:27.321,1.600294,3959302.38,2019-02-12,2474110.0,ANZ
51,ANZ13022019,0,2020-09-21T18:15:27.317,1.599995,3958564.44,2019-02-13,2474110.0,ANZ
