,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,44189894.78,2018-12-13T10:14:57,60000000.0,2018-12-03,AOY,6000000000.0,AOY03122018,5093,2849979.38,2109089.91,0.063655,TRYAKBK00029,9032056.0,46896196.58,736725859.0
1,45971399.91,2018-12-14T10:14:56,60000000.0,2018-12-04,AOY,6000000000.0,AOY04122018,5077,2339007.16,2616683.63,0.064725,TRYAKBK00029,9057606.0,47624403.17,735801007.0
2,58146917.15,2018-12-15T10:14:55,60000000.0,2018-12-05,AOY,6000000000.0,AOY05122018,5096,11348978.94,5403254.79,0.063896,TRYAKBK00029,9082134.0,59052288.58,924192480.0
3,58976905.37,2018-12-16T10:14:54,60000000.0,2018-12-06,AOY,6000000000.0,AOY06122018,5091,1498872.84,5003157.53,0.064562,TRYAKBK00029,9090310.0,59661867.76,924094950.0
4,57788614.56,2018-12-17T10:14:59,60000000.0,2018-12-07,AOY,6000000000.0,AOY07122018,5083,863528.81,4878187.74,0.063419,TRYAKBK00029,9098486.0,57951299.34,913778727.0
5,56864458.86,2018-12-20T10:14:57,60000000.0,2018-12-10,AOY,6000000000.0,AOY10122018,5083,865179.52,4884756.68,0.062393,TRYAKBK00029,9170026.0,56673244.87,908322422.0
6,56530410.97,2018-12-21T10:14:56,60000000.0,2018-12-11,AOY,6000000000.0,AOY11122018,5076,875640.25,4222777.16,0.061521,TRYAKBK00029,9194554.0,54667041.51,888591142.0
7,54421059.8,2018-12-22T10:14:55,60000000.0,2018-12-12,AOY,6000000000.0,AOY12122018,5077,1902513.53,1766100.1,0.062541,TRYAKBK00029,9219082.0,55514018.33,887637751.0
8,54342646.79,2018-12-23T10:14:54,60000000.0,2018-12-13,AOY,6000000000.0,AOY13122018,5077,1904701.75,530320.89,0.063265,TRYAKBK00029,9227258.0,56112242.07,886942703.0
9,54209489.4,2018-12-24T10:14:53,60000000.0,2018-12-14,AOY,6000000000.0,AOY14122018,5054,1940303.35,460289.23,0.063184,TRYAKBK00029,9235435.0,56026381.2,886715200.0
10,53456835.01,2018-12-27T10:14:57,60000000.0,2018-12-17,AOY,6000000000.0,AOY17122018,5039,1590590.45,410808.77,0.062382,TRYAKBK00029,9306974.0,55246770.78,885623563.0
11,53538182.41,2018-12-28T10:14:59,60000000.0,2018-12-18,AOY,6000000000.0,AOY18122018,5029,1938893.71,400259.18,0.061545,TRYAKBK00029,9332421.0,54496248.58,885464567.0
12,53213278.7,2018-12-29T10:14:58,60000000.0,2018-12-19,AOY,6000000000.0,AOY19122018,5039,1112429.55,335210.64,0.061258,TRYAKBK00029,9356949.0,54220871.61,885118695.0
13,52569849.61,2018-12-30T10:14:58,60000000.0,2018-12-20,AOY,6000000000.0,AOY20122018,5046,1105975.23,340221.23,0.060519,TRYAKBK00029,9365125.0,53558214.77,884989072.0
14,51446842.3,2018-12-31T10:15:00,60000000.0,2018-12-21,AOY,6000000000.0,AOY21122018,5023,1120068.57,310194.92,0.058986,TRYAKBK00029,9373301.0,52174197.54,884525677.0
15,50591102.25,2019-01-03T10:14:57,60000000.0,2018-12-24,AOY,6000000000.0,AOY24122018,5016,1060781.01,80152.88,0.058272,TRYAKBK00029,9425423.0,51528627.43,884276880.0
16,49873252.7,2019-01-04T10:14:57,60000000.0,2018-12-25,AOY,6000000000.0,AOY25122018,5010,1061730.92,55035.11,0.057486,TRYAKBK00029,9449951.0,50805520.98,883783930.0
17,50015884.43,2019-01-05T10:14:56,60000000.0,2018-12-26,AOY,6000000000.0,AOY26122018,5009,1071533.21,50032.26,0.057655,TRYAKBK00029,9473457.0,50954977.58,883783930.0
18,51199327.52,2019-01-06T10:14:55,60000000.0,2018-12-27,AOY,6000000000.0,AOY27122018,5009,1064326.35,55029.76,0.058983,TRYAKBK00029,9480611.0,52128171.69,883783930.0
19,51196977.75,2019-01-07T10:15:00,60000000.0,2018-12-28,AOY,6000000000.0,AOY28122018,5005,1065182.63,165098.32,0.058852,TRYAKBK00029,9487765.0,52063971.4,884658862.0
20,48988521.65,2019-01-10T10:14:57,60000000.0,2018-12-31,AOY,6000000000.0,AOY31122018,5012,1070830.37,140270.99,0.059093,TRYAKBK00029,9556239.0,49591375.82,839213935.0
21,49585340.23,2019-01-12T10:14:58,60000000.0,2019-01-02,AOY,6000000000.0,AOY02012019,4990,3477834.97,65088.15,0.059624,TRYAKBK00029,9604170.0,50021414.56,838952811.0
22,50518195.05,2019-01-13T10:14:57,60000000.0,2019-01-03,AOY,6000000000.0,AOY03012019,4945,344241.52,305192.19,0.060486,TRYAKBK00029,9612346.0,50036769.41,827241442.0
23,40717648.65,2019-01-14T10:14:59,60000000.0,2019-01-04,AOY,6000000000.0,AOY04012019,4954,344163.4,315204.1,0.060827,TRYAKBK00029,9620522.0,38844493.33,638608494.0
24,46236690.42,2019-01-17T10:14:57,60000000.0,2019-01-07,AOY,6000000000.0,AOY07012019,4949,2528024.48,7514116.44,0.062445,TRYAKBK00029,9692062.0,39853606.23,638217928.0
25,38750067.95,2019-01-18T10:14:56,60000000.0,2019-01-08,AOY,6000000000.0,AOY08012019,4920,964656.22,210138.95,0.062095,TRYAKBK00029,9717612.0,39626843.53,638160819.0
26,39575650.28,2019-01-19T10:14:55,60000000.0,2019-01-09,AOY,6000000000.0,AOY09012019,4924,973954.38,205134.8,0.063415,TRYAKBK00029,9742140.0,40467819.03,638146760.0
27,40308756.52,2019-01-20T10:14:54,60000000.0,2019-01-10,AOY,6000000000.0,AOY10012019,4917,984944.18,200123.01,0.064587,TRYAKBK00029,9750316.0,41208325.1,638028902.0
28,41306846.95,2019-01-21T10:14:59,60000000.0,2019-01-11,AOY,6000000000.0,AOY11012019,4914,992177.78,290183.14,0.064592,TRYAKBK00029,9758492.0,41340806.0,640027100.0
29,41066885.82,2019-01-24T10:14:57,60000000.0,2019-01-14,AOY,6000000000.0,AOY14012019,4910,107468.94,380752.71,0.064054,TRYAKBK00029,9830032.0,40907921.69,638647270.0
30,42491558.93,2019-01-25T10:14:56,60000000.0,2019-01-15,AOY,6000000000.0,AOY15012019,4901,1187631.26,350233.01,0.064614,TRYAKBK00029,9855582.0,42300132.31,654663668.0
31,42339449.56,2019-01-26T10:14:55,60000000.0,2019-01-16,AOY,6000000000.0,AOY16012019,4901,101771.54,295189.12,0.064384,TRYAKBK00029,9880110.0,42290032.51,656840412.0
32,41985122.84,2019-01-27T10:14:57,60000000.0,2019-01-17,AOY,6000000000.0,AOY17012019,4903,157799.01,165110.75,0.064043,TRYAKBK00029,9888183.0,42008425.54,655939441.0
33,41709035.04,2019-01-28T10:14:59,60000000.0,2019-01-18,AOY,6000000000.0,AOY18012019,4898,158249.18,150095.14,0.063639,TRYAKBK00029,9896359.0,41735698.17,655816908.0
34,42217143.09,2019-01-31T10:14:57,60000000.0,2019-01-21,AOY,6000000000.0,AOY21012019,4899,155668.77,115226.85,0.064456,TRYAKBK00029,9967899.0,42268788.42,655778939.0
35,42108362.0,2019-02-01T10:14:56,60000000.0,2019-01-22,AOY,6000000000.0,AOY22012019,4899,155438.08,115076.4,0.064286,TRYAKBK00029,9993449.0,42157336.96,655778939.0
36,41665014.6,2019-02-02T10:14:55,60000000.0,2019-01-23,AOY,6000000000.0,AOY23012019,4896,155626.54,180094.19,0.063509,TRYAKBK00029,10017977.0,41708546.14,656735338.0
37,41677486.58,2019-02-03T10:14:54,60000000.0,2019-01-24,AOY,6000000000.0,AOY24012019,4904,161617.29,240139.07,0.063266,TRYAKBK00029,10026153.0,41544495.54,656660817.0
38,41196731.89,2019-02-04T10:15:00,60000000.0,2019-01-25,AOY,6000000000.0,AOY25012019,4901,183586.87,105070.48,0.062978,TRYAKBK00029,10034329.0,41309249.25,655935630.0
39,41416844.31,2019-02-07T10:14:57,60000000.0,2019-01-28,AOY,6000000000.0,AOY28012019,4880,280827.47,140252.58,0.063456,TRYAKBK00029,10105869.0,41670832.84,656691112.0
40,41137113.14,2019-02-08T10:14:56,60000000.0,2019-01-29,AOY,6000000000.0,AOY29012019,4870,421684.4,90059.18,0.063106,TRYAKBK00029,10131419.0,41428986.41,656500473.0
41,41603401.46,2019-02-09T10:14:55,60000000.0,2019-01-30,AOY,6000000000.0,AOY30012019,4867,424129.83,115069.47,0.063781,TRYAKBK00029,10155947.0,41907048.74,657045015.0
