,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,26152642.29,2018-12-13T10:14:57,500000000.0,2018-12-03,APJ,500000000.0,APJ03122018,178,76848.35,0.0,1.118582,TRYAKPO00351,9032057.0,27452152.7,24541915.0
1,26731072.85,2018-12-14T10:14:56,500000000.0,2018-12-04,APJ,500000000.0,APJ04122018,173,27395.75,1679061.97,1.120759,TRYAKPO00351,9057607.0,27496262.01,24533615.0
2,25865092.94,2018-12-15T10:14:55,500000000.0,2018-12-05,APJ,500000000.0,APJ05122018,171,39480.04,1370827.63,1.122428,TRYAKPO00351,9082135.0,27272125.97,24297433.0
3,25900557.51,2018-12-16T10:14:54,500000000.0,2018-12-06,APJ,500000000.0,APJ06122018,171,40749.73,1492942.21,1.125832,TRYAKPO00351,9090311.0,27354832.87,24297433.0
4,27527808.68,2018-12-17T10:14:59,500000000.0,2018-12-07,APJ,500000000.0,APJ07122018,171,40625.52,3255104.79,1.124757,TRYAKPO00351,9098487.0,26814854.15,23840576.0
5,27210282.86,2018-12-20T10:14:57,500000000.0,2018-12-10,APJ,500000000.0,APJ10122018,169,40643.63,3261501.08,1.123892,TRYAKPO00351,9170027.0,26744853.66,23796636.0
6,27190466.31,2018-12-21T10:14:56,500000000.0,2018-12-11,APJ,500000000.0,APJ11122018,169,40198.32,3273146.31,1.122597,TRYAKPO00351,9194555.0,26502509.19,23608207.0
7,26798616.41,2018-12-22T10:14:55,500000000.0,2018-12-12,APJ,500000000.0,APJ12122018,167,40431.3,2820764.77,1.12521,TRYAKPO00351,9219083.0,26507611.81,23557915.0
8,26750760.81,2018-12-23T10:14:54,500000000.0,2018-12-13,APJ,500000000.0,APJ13122018,166,40166.96,2771669.59,1.125227,TRYAKPO00351,9227259.0,26428908.12,23487629.0
9,26566012.38,2018-12-24T10:14:53,500000000.0,2018-12-14,APJ,500000000.0,APJ14122018,164,39636.69,2811766.84,1.126318,TRYAKPO00351,9235436.0,26404805.12,23443478.0
10,26510108.94,2018-12-27T10:14:57,500000000.0,2018-12-17,APJ,500000000.0,APJ17122018,163,40813.76,2759342.01,1.126274,TRYAKPO00351,9306975.0,26403781.78,23443478.0
11,26431600.73,2018-12-28T10:14:59,500000000.0,2018-12-18,APJ,500000000.0,APJ18122018,162,39994.33,2682740.81,1.126225,TRYAKPO00351,9332422.0,26402622.48,23443478.0
12,26410355.01,2018-12-29T10:14:58,500000000.0,2018-12-19,APJ,500000000.0,APJ19122018,161,39887.22,2634659.15,1.127403,TRYAKPO00351,9356950.0,26231563.5,23267249.0
13,25957485.29,2018-12-30T10:14:58,500000000.0,2018-12-20,APJ,500000000.0,APJ20122018,161,39908.84,3056950.18,1.128325,TRYAKPO00351,9365126.0,26252861.0,23267109.0
14,26495296.46,2018-12-31T10:15:00,500000000.0,2018-12-21,APJ,500000000.0,APJ21122018,161,40323.5,3058922.14,1.131009,TRYAKPO00351,9373302.0,26168285.42,23137116.0
15,26302808.13,2019-01-03T10:14:57,500000000.0,2018-12-24,APJ,500000000.0,APJ24122018,159,39732.55,2866465.77,1.131124,TRYAKPO00351,9425424.0,26165859.16,23132616.0
