,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,56598900.27,2018-12-13T10:14:57,200000000.0,2018-12-03,APT,20000000000.0,APT03122018,13576,47492.73,130256.97,0.036607,TRYAKBK00060,9032058.0,56567400.6,1545260140.0
1,56911693.87,2018-12-14T10:14:56,200000000.0,2018-12-04,APT,20000000000.0,APT04122018,13574,51618.58,340221.7,0.036678,TRYAKBK00060,9057608.0,56884635.71,1550908846.0
2,62462836.41,2018-12-15T10:14:55,200000000.0,2018-12-05,APT,20000000000.0,APT05122018,13591,44969.43,700414.25,0.03662,TRYAKBK00060,9082136.0,62426620.06,1704725748.0
3,62252952.17,2018-12-16T10:14:54,200000000.0,2018-12-06,APT,20000000000.0,APT06122018,13570,64152.27,100063.15,0.036556,TRYAKBK00060,9090312.0,62233406.29,1702422332.0
4,61977962.32,2018-12-17T10:14:59,200000000.0,2018-12-07,APT,20000000000.0,APT07122018,13552,76144.83,300195.62,0.036571,TRYAKBK00060,9098488.0,62038459.39,1696380317.0
5,57366317.79,2018-12-20T10:14:57,200000000.0,2018-12-10,APT,20000000000.0,APT10122018,13546,89882.55,3507019.18,0.036502,TRYAKBK00060,9170028.0,61698773.64,1690279229.0
6,60945853.99,2018-12-21T10:14:56,200000000.0,2018-12-11,APT,20000000000.0,APT11122018,13527,45645.21,170110.62,0.036479,TRYAKBK00060,9194556.0,60965860.05,1671260335.0
7,60802070.46,2018-12-22T10:14:55,200000000.0,2018-12-12,APT,20000000000.0,APT12122018,13544,140024.97,0.0,0.036436,TRYAKBK00060,9219084.0,60914030.22,1671788169.0
8,60614460.3,2018-12-23T10:14:54,200000000.0,2018-12-13,APT,20000000000.0,APT13122018,13531,35635.96,10006.19,0.036318,TRYAKBK00060,9227260.0,60619573.74,1669118757.0
9,60413922.62,2018-12-24T10:14:53,200000000.0,2018-12-14,APT,20000000000.0,APT14122018,13517,67637.38,280177.97,0.036337,TRYAKBK00060,9235437.0,60448590.28,1663550266.0
10,60310205.93,2018-12-27T10:14:57,200000000.0,2018-12-17,APT,20000000000.0,APT17122018,13485,40247.54,250480.82,0.036291,TRYAKBK00060,9306976.0,60310067.47,1661857315.0
11,60314067.0,2018-12-28T10:14:59,200000000.0,2018-12-18,APT,20000000000.0,APT18122018,13488,33215.36,260167.75,0.036293,TRYAKBK00060,9332423.0,60304533.87,1661585899.0
12,60455945.74,2018-12-29T10:14:58,200000000.0,2018-12-19,APT,20000000000.0,APT19122018,13508,42867.61,250159.25,0.036386,TRYAKBK00060,9356951.0,60453614.75,1661457712.0
13,63021071.92,2018-12-30T10:14:58,200000000.0,2018-12-20,APT,20000000000.0,APT20122018,13484,95039.07,0.0,0.036391,TRYAKBK00060,9365127.0,60430937.37,1660578971.0
14,61230763.26,2018-12-31T10:15:00,200000000.0,2018-12-21,APT,20000000000.0,APT21122018,13463,58719.16,230145.25,0.03668,TRYAKBK00060,9373303.0,61239366.53,1669559228.0
15,61297392.98,2019-01-03T10:14:57,200000000.0,2018-12-24,APT,20000000000.0,APT24122018,13447,51868.07,240460.6,0.036711,TRYAKBK00060,9425425.0,61291637.75,1669564189.0
16,59510160.38,2019-01-04T10:14:57,200000000.0,2018-12-25,APT,20000000000.0,APT25122018,13441,40715.42,20012.79,0.036706,TRYAKBK00060,9449953.0,61272766.78,1669297098.0
17,61306844.0,2019-01-05T10:14:56,200000000.0,2018-12-26,APT,20000000000.0,APT26122018,13436,66505.16,260174.16,0.036742,TRYAKBK00060,9473459.0,61310777.5,1668698808.0
18,61223610.21,2019-01-06T10:14:55,200000000.0,2018-12-27,APT,20000000000.0,APT27122018,13404,69374.16,150089.38,0.036761,TRYAKBK00060,9480613.0,61227931.49,1665588419.0
19,61403255.31,2019-01-07T10:15:00,200000000.0,2018-12-28,APT,20000000000.0,APT28122018,13399,5154.68,130079.42,0.036868,TRYAKBK00060,9487767.0,61340871.67,1663799901.0
20,61603494.56,2019-01-10T10:14:57,200000000.0,2018-12-31,APT,20000000000.0,APT31122018,13380,44537.78,130251.63,0.037046,TRYAKBK00060,9556241.0,61572917.05,1662051657.0
21,62536739.22,2019-01-12T10:14:58,200000000.0,2019-01-02,APT,20000000000.0,APT02012019,13380,125038.16,3054119.59,0.037119,TRYAKBK00060,9604172.0,61674170.87,1661510009.0
22,63671679.11,2019-01-13T10:14:57,200000000.0,2019-01-03,APT,20000000000.0,APT03012019,13370,35540.77,30019.68,0.03715,TRYAKBK00060,9612348.0,61449442.58,1654085790.0
23,76479763.44,2019-01-14T10:14:59,200000000.0,2019-01-04,APT,20000000000.0,APT04012019,13365,88254.78,3302133.7,0.037152,TRYAKBK00060,9620524.0,76482036.72,2058612772.0
24,76446711.18,2019-01-17T10:14:57,200000000.0,2019-01-07,APT,20000000000.0,APT07012019,13336,47303.49,3306184.11,0.037136,TRYAKBK00060,9692064.0,76398714.18,2057288732.0
25,79768177.08,2019-01-18T10:14:56,200000000.0,2019-01-08,APT,20000000000.0,APT08012019,13320,83231.55,4602986.85,0.037156,TRYAKBK00060,9717614.0,79821008.33,2148275489.0
26,79697208.06,2019-01-19T10:14:55,200000000.0,2019-01-09,APT,20000000000.0,APT09012019,13330,58678.87,775507.8,0.037129,TRYAKBK00060,9742142.0,79722290.1,2147183965.0
27,79699272.78,2019-01-20T10:14:54,200000000.0,2019-01-10,APT,20000000000.0,APT10012019,13309,74156.43,3212057.92,0.037148,TRYAKBK00060,9750318.0,79736648.03,2146436866.0
28,79770538.48,2019-01-21T10:14:59,200000000.0,2019-01-11,APT,20000000000.0,APT11012019,13304,4975.55,0.0,0.037144,TRYAKBK00060,9758494.0,79735526.48,2146683380.0
29,80171695.58,2019-01-24T10:14:57,200000000.0,2019-01-14,APT,20000000000.0,APT14012019,13292,6081.91,0.0,0.037324,TRYAKBK00060,9830034.0,80128056.31,2146808521.0
30,80485358.09,2019-01-25T10:14:56,200000000.0,2019-01-15,APT,20000000000.0,APT15012019,13287,48131.03,400266.3,0.037288,TRYAKBK00060,9855584.0,80973885.31,2171583667.0
31,70995718.53,2019-01-26T10:14:55,200000000.0,2019-01-16,APT,20000000000.0,APT16012019,13285,49523.33,400258.63,0.037484,TRYAKBK00060,9880112.0,81404190.17,2171708082.0
32,56774080.84,2019-01-27T10:14:57,200000000.0,2019-01-17,APT,20000000000.0,APT17012019,13249,16443.51,300201.37,0.03758,TRYAKBK00060,9888185.0,56735211.24,1509713955.0
33,52175117.75,2019-01-28T10:14:59,200000000.0,2019-01-18,APT,20000000000.0,APT18012019,13229,39717.23,150095.14,0.037564,TRYAKBK00060,9896361.0,52157437.5,1388502636.0
34,52357671.25,2019-01-31T10:14:57,200000000.0,2019-01-21,APT,20000000000.0,APT21012019,13225,26124.47,200396.16,0.037642,TRYAKBK00060,9967901.0,52320521.52,1389967621.0
35,52221381.76,2019-02-01T10:14:56,200000000.0,2019-01-22,APT,20000000000.0,APT22012019,13210,29715.32,60039.78,0.037643,TRYAKBK00060,9993451.0,52185721.43,1386333382.0
36,52240287.39,2019-02-02T10:14:55,200000000.0,2019-01-23,APT,20000000000.0,APT23012019,13204,157246.06,0.0,0.03767,TRYAKBK00060,10017979.0,52330050.99,1389177570.0
37,52927327.34,2019-02-03T10:14:54,200000000.0,2019-01-24,APT,20000000000.0,APT24012019,13195,69435.29,350201.37,0.037699,TRYAKBK00060,10026155.0,52927150.23,1403945571.0
38,52800963.77,2019-02-04T10:15:00,200000000.0,2019-01-25,APT,20000000000.0,APT25012019,13174,145311.44,120079.56,0.037772,TRYAKBK00060,10034331.0,52874534.08,1399852079.0
39,52967229.17,2019-02-07T10:14:57,200000000.0,2019-01-28,APT,20000000000.0,APT28012019,13163,53258.2,200378.9,0.037829,TRYAKBK00060,10105871.0,52942352.44,1399531300.0
40,53063773.46,2019-02-08T10:14:56,200000000.0,2019-01-29,APT,20000000000.0,APT29012019,13149,41687.07,200128.49,0.037896,TRYAKBK00060,10131421.0,53025191.06,1399215915.0
41,53085099.35,2019-02-09T10:14:55,200000000.0,2019-01-30,APT,20000000000.0,APT30012019,13144,53287.86,210134.92,0.037903,TRYAKBK00060,10155949.0,53055981.9,1399782682.0
42,52214987.95,2019-02-10T10:14:54,200000000.0,2019-01-31,APT,20000000000.0,APT31012019,13121,258104.89,0.0,0.038056,TRYAKBK00060,10164125.0,53264708.6,1399642415.0
43,53578822.46,2019-02-11T10:14:53,200000000.0,2019-02-01,APT,20000000000.0,APT01022019,13116,103299.41,0.0,0.038239,TRYAKBK00060,10172301.0,54495324.51,1425106095.0
44,78455979.84,2019-02-14T10:14:58,200000000.0,2019-02-04,APT,20000000000.0,APT04022019,13089,64372.15,0.0,0.038296,TRYAKBK00060,10243841.0,78426673.31,2047885694.0
45,77955829.07,2019-02-15T10:14:57,200000000.0,2019-02-05,APT,20000000000.0,APT05022019,13119,23571.07,60038.22,0.038279,TRYAKBK00060,10269391.0,77882777.03,2034612426.0
46,78307797.76,2019-02-16T10:14:56,200000000.0,2019-02-06,APT,20000000000.0,APT06022019,13123,66701.68,200126.58,0.038281,TRYAKBK00060,10293919.0,77562021.85,2026138918.0
47,77300531.51,2019-02-17T10:15:00,200000000.0,2019-02-07,APT,20000000000.0,APT07022019,13132,8395.53,0.0,0.038262,TRYAKBK00060,10301992.0,77283983.46,2019840967.0
48,77244779.36,2019-02-18T10:14:58,200000000.0,2019-02-08,APT,20000000000.0,APT08022019,13122,32591.68,0.0,0.038237,TRYAKBK00060,10310168.0,77249379.76,2020264152.0
49,77303417.76,2019-02-21T10:14:57,200000000.0,2019-02-11,APT,20000000000.0,APT11022019,13120,45935.64,300583.15,0.038362,TRYAKBK00060,10381708.0,77312013.52,2015308546.0
50,71629056.19,2019-02-22T10:14:56,200000000.0,2019-02-12,APT,20000000000.0,APT12022019,13109,32071.28,330206.14,0.038361,TRYAKBK00060,10407258.0,74292223.83,1936640922.0
51,72140605.51,2019-02-23T10:14:55,200000000.0,2019-02-13,APT,20000000000.0,APT13022019,13111,276014.73,300187.4,0.038374,TRYAKBK00060,10431785.0,75044707.26,1955603454.0
52,75802799.3,2019-02-24T10:14:54,200000000.0,2019-02-14,APT,20000000000.0,APT14022019,13102,231274.53,250160.96,0.038425,TRYAKBK00060,10439961.0,75987728.1,1977581764.0
53,83846369.04,2019-02-25T10:14:59,200000000.0,2019-02-15,APT,20000000000.0,APT15022019,13090,80515.02,200125.75,0.038432,TRYAKBK00060,10448137.0,76688916.02,1995445785.0
54,76843837.57,2019-02-28T10:14:57,200000000.0,2019-02-18,APT,20000000000.0,APT18022019,13083,41494.19,1077094.04,0.038492,TRYAKBK00060,10519677.0,76826709.04,1995924672.0
55,77020841.59,2019-03-01T10:14:55,200000000.0,2019-02-19,APT,20000000000.0,APT19022019,13083,45989.4,60038.14,0.038587,TRYAKBK00060,10545227.0,77005113.88,1995600426.0
56,75218485.64,2019-03-02T10:14:55,200000000.0,2019-02-20,APT,20000000000.0,APT20022019,13108,55364.94,300191.1,0.038602,TRYAKBK00060,10569755.0,77282308.8,2002045460.0
57,78204078.95,2019-03-03T10:14:53,200000000.0,2019-02-21,APT,20000000000.0,APT21022019,13090,41202.64,320202.08,0.038605,TRYAKBK00060,10577931.0,78177309.72,2025061020.0
58,78084065.58,2019-03-04T10:14:52,200000000.0,2019-02-22,APT,20000000000.0,APT22022019,13085,53612.26,250152.4,0.03858,TRYAKBK00060,10586107.0,78066575.27,2023488284.0
59,78109668.22,2019-03-07T10:14:48,200000000.0,2019-02-25,APT,20000000000.0,APT25022019,13082,30520.34,3205877.12,0.038614,TRYAKBK00060,10657647.0,78059723.49,2021519340.0
60,78141838.61,2019-03-08T10:15:00,200000000.0,2019-02-26,APT,20000000000.0,APT26022019,13072,49239.78,180112.19,0.038642,TRYAKBK00060,10658669.0,78107462.31,2021335600.0
61,80785270.98,2019-03-07T10:14:59,200000000.0,2019-02-27,APT,20000000000.0,APT27022019,13068,93536.34,200128.49,0.038676,TRYAKBK00060,10659691.0,78065086.68,2018442894.0
62,78061988.34,2019-03-07T10:15:03,200000000.0,2019-02-28,APT,20000000000.0,APT28022019,13053,56374.49,350222.47,0.038739,TRYAKBK00060,10660713.0,78028496.57,2014221968.0
63,78118140.8,2019-03-07T10:15:06,200000000.0,2019-03-01,APT,20000000000.0,APT01032019,13039,50388.06,350227.26,0.038766,TRYAKBK00060,10661735.0,78075531.76,2014036861.0
64,83590771.54,2019-03-07T10:15:10,200000000.0,2019-03-04,APT,20000000000.0,APT04032019,13043,66215.66,400698.63,0.038795,TRYAKBK00060,10662757.0,83556797.8,2153800627.0
65,83159837.37,2019-03-07T10:15:14,200000000.0,2019-03-05,APT,20000000000.0,APT05032019,13050,68997.52,0.0,0.038782,TRYAKBK00060,10663779.0,83125344.67,2143412968.0
66,82671386.33,2019-03-07T10:15:18,200000000.0,2019-03-06,APT,20000000000.0,APT06032019,13051,16540.26,0.0,0.03877,TRYAKBK00060,10664801.0,82581128.68,2130028874.0
