,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,11131058.97,2018-12-13T10:14:57,23869205800.0,2018-12-03,ARE,23869205800.0,ARE03122018,1267,50414.17,0.0,0.029414,TRYGRAN00498,9032060.0,10977520.65,373204930.0
1,11268890.29,2018-12-14T10:14:56,23869205800.0,2018-12-04,ARE,23869205800.0,ARE04122018,1267,51156.21,0.0,0.029782,TRYGRAN00498,9057610.0,11100419.59,372718166.0
2,11266025.7,2018-12-15T10:14:55,23869205800.0,2018-12-05,ARE,23869205800.0,ARE05122018,1266,84525.15,0.0,0.030257,TRYGRAN00498,9082138.0,11277041.43,372709375.0
3,11410266.64,2018-12-16T10:14:54,23869205800.0,2018-12-06,ARE,23869205800.0,ARE06122018,1264,62757.5,0.0,0.030711,TRYGRAN00498,9090314.0,11442281.34,372582226.0
4,11346610.59,2018-12-17T10:14:59,23869205800.0,2018-12-07,ARE,23869205800.0,ARE07122018,1265,76106.57,0.0,0.030537,TRYGRAN00498,9098490.0,11388167.29,372924280.0
5,11361309.01,2018-12-20T10:14:57,23869205800.0,2018-12-10,ARE,23869205800.0,ARE10122018,1266,95750.2,0.0,0.030436,TRYGRAN00498,9170030.0,11417756.54,375142085.0
6,11283255.56,2018-12-21T10:14:56,23869205800.0,2018-12-11,ARE,23869205800.0,ARE11122018,1268,82685.54,0.0,0.030225,TRYGRAN00498,9194558.0,11325707.21,374714791.0
7,11354921.82,2018-12-22T10:14:55,23869205800.0,2018-12-12,ARE,23869205800.0,ARE12122018,1267,73715.95,0.0,0.030413,TRYGRAN00498,9219086.0,11352109.56,373259117.0
8,11373222.78,2018-12-23T10:14:54,23869205800.0,2018-12-13,ARE,23869205800.0,ARE13122018,1267,82549.48,0.0,0.03046,TRYGRAN00498,9227262.0,11365529.66,373124300.0
9,11415924.45,2018-12-24T10:14:53,23869205800.0,2018-12-14,ARE,23869205800.0,ARE14122018,1265,42585.91,0.0,0.030572,TRYGRAN00498,9235439.0,11409772.95,373204148.0
10,11425909.8,2018-12-27T10:14:57,23869205800.0,2018-12-17,ARE,23869205800.0,ARE17122018,1266,89056.58,0.0,0.030592,TRYGRAN00498,9306978.0,11461313.03,374647262.0
11,11449097.03,2018-12-28T10:14:59,23869205800.0,2018-12-18,ARE,23869205800.0,ARE18122018,1265,89678.87,0.0,0.030652,TRYGRAN00498,9332424.0,11485033.38,374692144.0
12,11393157.16,2018-12-29T10:14:58,23869205800.0,2018-12-19,ARE,23869205800.0,ARE19122018,1266,77172.16,0.0,0.030499,TRYGRAN00498,9356952.0,11373632.68,372917330.0
13,11386487.71,2018-12-30T10:14:58,23869205800.0,2018-12-20,ARE,23869205800.0,ARE20122018,1267,126109.31,0.0,0.030345,TRYGRAN00498,9365128.0,11398337.23,375621808.0
14,11214822.74,2018-12-31T10:15:00,23869205800.0,2018-12-21,ARE,23869205800.0,ARE21122018,1265,107667.68,0.0,0.029996,TRYGRAN00498,9373304.0,11266019.11,375585721.0
15,11224289.28,2019-01-03T10:14:57,23869205800.0,2018-12-24,ARE,23869205800.0,ARE24122018,1263,90872.11,0.0,0.030015,TRYGRAN00498,9425426.0,11265420.98,375329304.0
16,11243916.39,2019-01-04T10:14:57,23869205800.0,2018-12-25,ARE,23869205800.0,ARE25122018,1262,80183.01,0.0,0.030066,TRYGRAN00498,9449954.0,11264759.43,374673098.0
17,11235650.32,2019-01-05T10:14:56,23869205800.0,2018-12-26,ARE,23869205800.0,ARE26122018,1259,101853.5,0.0,0.030121,TRYGRAN00498,9473460.0,11219971.67,372493841.0
18,11193971.73,2019-01-06T10:14:55,23869205800.0,2018-12-27,ARE,23869205800.0,ARE27122018,1255,81002.3,0.0,0.030006,TRYGRAN00498,9480614.0,11160542.63,371943112.0
19,11130522.77,2019-01-07T10:15:00,23869205800.0,2018-12-28,ARE,23869205800.0,ARE28122018,1252,90538.27,0.0,0.030035,TRYGRAN00498,9487768.0,11170899.44,371932341.0
20,11083842.4,2019-01-10T10:14:57,23869205800.0,2018-12-31,ARE,23869205800.0,ARE31122018,1249,73552.7,0.0,0.029901,TRYGRAN00498,9556242.0,11120649.61,371914890.0
21,11129074.73,2019-01-12T10:14:58,23869205800.0,2019-01-02,ARE,23869205800.0,ARE02012019,1248,73401.59,0.0,0.030017,TRYGRAN00498,9604173.0,11163725.05,371908193.0
22,11235095.3,2019-01-13T10:14:57,23869205800.0,2019-01-03,ARE,23869205800.0,ARE03012019,1248,77451.5,0.0,0.030303,TRYGRAN00498,9612349.0,11239240.28,370897299.0
23,11495219.73,2019-01-14T10:14:59,23869205800.0,2019-01-04,ARE,23869205800.0,ARE04012019,1246,78782.37,0.0,0.031008,TRYGRAN00498,9620525.0,11474640.51,370057473.0
24,11478176.0,2019-01-17T10:14:57,23869205800.0,2019-01-07,ARE,23869205800.0,ARE07012019,1247,46910.13,0.0,0.030954,TRYGRAN00498,9692065.0,11480929.88,370906602.0
25,11349816.7,2019-01-18T10:14:56,23869205800.0,2019-01-08,ARE,23869205800.0,ARE08012019,1251,158127.67,0.0,0.030895,TRYGRAN00498,9717615.0,11484496.44,371732626.0
26,11506165.86,2019-01-19T10:14:55,23869205800.0,2019-01-09,ARE,23869205800.0,ARE09012019,1274,232129.57,0.0,0.031315,TRYGRAN00498,9742143.0,11707829.34,373871428.0
27,11687789.66,2019-01-20T10:14:54,23869205800.0,2019-01-10,ARE,23869205800.0,ARE10012019,1276,253210.63,0.0,0.031801,TRYGRAN00498,9750319.0,11892614.99,373974611.0
28,11711711.83,2019-01-21T10:14:59,23869205800.0,2019-01-11,ARE,23869205800.0,ARE11012019,1294,213040.43,0.0,0.03159,TRYGRAN00498,9758495.0,11921426.18,377379409.0
29,11679987.33,2019-01-24T10:14:57,23869205800.0,2019-01-14,ARE,23869205800.0,ARE14012019,1303,301344.02,0.0,0.0315,TRYGRAN00498,9830035.0,11934059.98,378855111.0
30,11946508.6,2019-01-25T10:14:56,23869205800.0,2019-01-15,ARE,23869205800.0,ARE15012019,1307,300956.77,0.0,0.031943,TRYGRAN00498,9855585.0,12183420.17,381415223.0
31,11845596.56,2019-01-26T10:14:55,23869205800.0,2019-01-16,ARE,23869205800.0,ARE16012019,1310,292706.63,0.0,0.031669,TRYGRAN00498,9880113.0,12064786.07,380969762.0
32,11976479.46,2019-01-27T10:14:57,23869205800.0,2019-01-17,ARE,23869205800.0,ARE17012019,1313,215733.07,0.0,0.031613,TRYGRAN00498,9888186.0,12109983.73,383068657.0
33,11894935.33,2019-01-28T10:14:59,23869205800.0,2019-01-18,ARE,23869205800.0,ARE18012019,1310,212039.55,0.0,0.031394,TRYGRAN00498,9896362.0,12039821.22,383512841.0
34,11948048.68,2019-01-31T10:14:57,23869205800.0,2019-01-21,ARE,23869205800.0,ARE21012019,1309,269196.24,0.0,0.031523,TRYGRAN00498,9967902.0,12164474.26,385897148.0
35,11959909.31,2019-02-01T10:14:56,23869205800.0,2019-01-22,ARE,23869205800.0,ARE22012019,1307,257873.58,0.0,0.03155,TRYGRAN00498,9993452.0,12172441.68,385810445.0
36,12013194.05,2019-02-02T10:14:55,23869205800.0,2019-01-23,ARE,23869205800.0,ARE23012019,1306,287207.31,0.0,0.031686,TRYGRAN00498,10017980.0,12261505.31,386964730.0
37,11964378.74,2019-02-03T10:14:54,23869205800.0,2019-01-24,ARE,23869205800.0,ARE24012019,1309,307914.3,0.0,0.031568,TRYGRAN00498,10026156.0,12208335.04,386732599.0
38,12258591.44,2019-02-04T10:15:00,23869205800.0,2019-01-25,ARE,23869205800.0,ARE25012019,1312,257953.94,0.0,0.031547,TRYGRAN00498,10034332.0,12450088.13,394651151.0
39,12250013.52,2019-02-07T10:14:57,23869205800.0,2019-01-28,ARE,23869205800.0,ARE28012019,1308,257708.13,0.0,0.031517,TRYGRAN00498,10105872.0,12454960.42,395180707.0
40,12533690.05,2019-02-08T10:14:56,23869205800.0,2019-01-29,ARE,23869205800.0,ARE29012019,1307,124570.89,0.0,0.031541,TRYGRAN00498,10131422.0,12562825.64,398295372.0
41,13913425.88,2019-02-09T10:14:55,23869205800.0,2019-01-30,ARE,23869205800.0,ARE30012019,1306,104416.22,0.0,0.031716,TRYGRAN00498,10155950.0,12544417.75,395520157.0
42,13735071.93,2019-02-10T10:14:54,23869205800.0,2019-01-31,ARE,23869205800.0,ARE31012019,1307,76082.83,0.0,0.031296,TRYGRAN00498,10164126.0,12376294.62,395461267.0
43,12320994.04,2019-02-11T10:14:53,23869205800.0,2019-02-01,ARE,23869205800.0,ARE01022019,1305,76354.64,0.0,0.031132,TRYGRAN00498,10172302.0,12426124.45,399140439.0
44,12302116.56,2019-02-14T10:14:58,23869205800.0,2019-02-04,ARE,23869205800.0,ARE04022019,1300,189593.74,0.0,0.031081,TRYGRAN00498,10243842.0,12415291.98,399451279.0
45,12360545.63,2019-02-15T10:14:57,23869205800.0,2019-02-05,ARE,23869205800.0,ARE05022019,1297,179437.27,0.0,0.031226,TRYGRAN00498,10269392.0,12472906.22,399433543.0
