,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,153556067.91,2018-12-13T10:14:57,500000000.0,2018-12-03,ARL,500000000.0,ARL03122018,3273,69326.12,5162982.73,1.477264,TRYAKPO00062,9032063.0,153511880.06,103916378.0
1,151140932.69,2018-12-14T10:14:56,500000000.0,2018-12-04,ARL,500000000.0,ARL04122018,3285,69283.19,5485480.15,1.477831,TRYAKPO00062,9057613.0,140573612.51,95121556.0
2,144604115.24,2018-12-15T10:14:55,500000000.0,2018-12-05,ARL,500000000.0,ARL05122018,3285,74855.46,7087283.84,1.479863,TRYAKPO00062,9082141.0,140766832.42,95121556.0
3,144948015.54,2018-12-16T10:14:54,500000000.0,2018-12-06,ARL,500000000.0,ARL06122018,3285,75720.79,7091475.49,1.483454,TRYAKPO00062,9090317.0,141108470.97,95121556.0
4,141290758.43,2018-12-17T10:14:59,500000000.0,2018-12-07,ARL,500000000.0,ARL07122018,3019,74862.58,3080015.46,1.487172,TRYAKPO00062,9098493.0,141347195.59,95044293.0
5,141147833.43,2018-12-20T10:14:57,500000000.0,2018-12-10,ARL,500000000.0,ARL10122018,3019,74534.21,3086126.25,1.485566,TRYAKPO00062,9170033.0,141194553.29,95044293.0
6,141172742.67,2018-12-21T10:14:56,500000000.0,2018-12-11,ARL,500000000.0,ARL11122018,3019,74198.0,3088024.92,1.485791,TRYAKPO00062,9194561.0,141215984.3,95044293.0
7,141008790.54,2018-12-22T10:14:55,500000000.0,2018-12-12,ARL,500000000.0,ARL12122018,3019,75671.41,3088928.32,1.484049,TRYAKPO00062,9219089.0,141050366.93,95044293.0
8,141349653.69,2018-12-23T10:14:54,500000000.0,2018-12-13,ARL,500000000.0,ARL13122018,3019,75251.41,3088860.66,1.487598,TRYAKPO00062,9227265.0,141387664.73,95044293.0
9,141255029.66,2018-12-24T10:14:53,500000000.0,2018-12-14,ARL,500000000.0,ARL14122018,3019,75016.34,3090946.49,1.486566,TRYAKPO00062,9235442.0,141289661.84,95044293.0
10,141485903.83,2018-12-27T10:14:57,500000000.0,2018-12-17,ARL,500000000.0,ARL17122018,3019,74868.88,3096997.34,1.488895,TRYAKPO00062,9306981.0,141510943.93,95044293.0
11,141569025.59,2018-12-28T10:14:59,500000000.0,2018-12-18,ARL,500000000.0,ARL18122018,3019,75805.3,3098014.52,1.489746,TRYAKPO00062,9332427.0,141591851.94,95044293.0
12,141615762.75,2018-12-29T10:14:58,500000000.0,2018-12-19,ARL,500000000.0,ARL19122018,3019,75553.37,3099952.16,1.490202,TRYAKPO00062,9356955.0,141635186.0,95044293.0
13,141811975.69,2018-12-30T10:14:58,500000000.0,2018-12-20,ARL,500000000.0,ARL20122018,3019,75280.64,3101983.15,1.49223,TRYAKPO00062,9365131.0,141827971.02,95044293.0
14,142114716.48,2018-12-31T10:15:00,500000000.0,2018-12-21,ARL,500000000.0,ARL21122018,3019,74625.44,3103954.68,1.495375,TRYAKPO00062,9373307.0,142126895.01,95044293.0
