,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,228133542.65,2018-12-13T10:14:57,500000000.0,2018-12-03,ARM,500000000.0,ARM03122018,2187,203766.72,1994853.81,1.491124,TRYAKPO00054,9032064.0,228171070.11,153019562.0
1,223277219.87,2018-12-14T10:14:56,500000000.0,2018-12-04,ARM,500000000.0,ARM04122018,2197,203762.99,2956870.75,1.49266,TRYAKPO00054,9057614.0,204333279.16,136892042.0
2,212436026.78,2018-12-15T10:14:55,500000000.0,2018-12-05,ARM,500000000.0,ARM05122018,2197,211164.36,10897575.19,1.494785,TRYAKPO00054,9082142.0,204624206.5,136892042.0
3,212892265.97,2018-12-16T10:14:54,500000000.0,2018-12-06,ARM,500000000.0,ARM06122018,2197,214077.51,10903881.52,1.498106,TRYAKPO00054,9090318.0,205078827.8,136892042.0
4,205528557.81,2018-12-17T10:14:59,500000000.0,2018-12-07,ARM,500000000.0,ARM07122018,1963,213547.84,2897880.54,1.502774,TRYAKPO00054,9098494.0,205717856.62,136892042.0
5,205008220.69,2018-12-20T10:14:57,500000000.0,2018-12-10,ARM,500000000.0,ARM10122018,1963,213674.24,2902752.12,1.498875,TRYAKPO00054,9170034.0,205184041.8,136892042.0
6,204910273.66,2018-12-21T10:14:56,500000000.0,2018-12-11,ARM,500000000.0,ARM11122018,1963,212341.19,2904904.84,1.498116,TRYAKPO00054,9194562.0,205080217.75,136892042.0
7,204538364.03,2018-12-22T10:14:55,500000000.0,2018-12-12,ARM,500000000.0,ARM12122018,1963,213969.4,2906814.63,1.495378,TRYAKPO00054,9219090.0,204705400.2,136892042.0
8,205034119.65,2018-12-23T10:14:54,500000000.0,2018-12-13,ARM,500000000.0,ARM13122018,1963,214433.22,2904749.75,1.49897,TRYAKPO00054,9227266.0,205197073.92,136892042.0
9,204984363.41,2018-12-24T10:14:53,500000000.0,2018-12-14,ARM,500000000.0,ARM14122018,1963,214550.38,2906827.8,1.498574,TRYAKPO00054,9235443.0,205142889.56,136892042.0
10,205321256.78,2018-12-27T10:14:57,500000000.0,2018-12-17,ARM,500000000.0,ARM17122018,1963,213825.73,2912638.78,1.50093,TRYAKPO00054,9306982.0,205465402.79,136892042.0
11,205407622.63,2018-12-28T10:14:59,500000000.0,2018-12-18,ARM,500000000.0,ARM18122018,1963,214726.97,2913893.69,1.501534,TRYAKPO00054,9332428.0,205548115.91,136892042.0
12,205536928.22,2018-12-29T10:14:58,500000000.0,2018-12-19,ARM,500000000.0,ARM19122018,1963,214177.82,2915836.22,1.502442,TRYAKPO00054,9356956.0,205672315.71,136892042.0
13,205900597.54,2018-12-30T10:14:58,500000000.0,2018-12-20,ARM,500000000.0,ARM20122018,1963,213810.36,3177027.61,1.505062,TRYAKPO00054,9365132.0,206031053.39,136892042.0
14,206661095.67,2018-12-31T10:15:00,500000000.0,2018-12-21,ARM,500000000.0,ARM21122018,1963,211980.57,3179001.95,1.510571,TRYAKPO00054,9373308.0,206785141.57,136892042.0
15,206841695.63,2019-01-03T10:14:57,500000000.0,2018-12-24,ARM,500000000.0,ARM24122018,1963,212290.37,3185069.66,1.511792,TRYAKPO00054,9425430.0,206952297.42,136892042.0
16,206933013.29,2019-01-04T10:14:57,500000000.0,2018-12-25,ARM,500000000.0,ARM25122018,1963,212239.94,3187034.32,1.512425,TRYAKPO00054,9449958.0,207038978.0,136892042.0
17,206949099.65,2019-01-05T10:14:56,500000000.0,2018-12-26,ARM,500000000.0,ARM26122018,1963,212535.93,3189236.48,1.512511,TRYAKPO00054,9473464.0,207050773.34,136892042.0
18,207106772.51,2019-01-06T10:14:55,500000000.0,2018-12-27,ARM,500000000.0,ARM27122018,1963,212014.68,3190758.37,1.513626,TRYAKPO00054,9480618.0,207203334.79,136892042.0
19,207065979.53,2019-01-07T10:15:00,500000000.0,2018-12-28,ARM,500000000.0,ARM28122018,1963,211849.81,3192744.12,1.513293,TRYAKPO00054,9487772.0,207157787.51,136892042.0
20,208056105.44,2019-01-10T10:14:57,500000000.0,2018-12-31,ARM,500000000.0,ARM31122018,1963,212376.64,3198270.31,1.520429,TRYAKPO00054,9556246.0,208134655.62,136892042.0
21,208646372.21,2019-01-12T10:14:58,500000000.0,2019-01-02,ARM,500000000.0,ARM02012019,1963,210965.51,3204333.0,1.524588,TRYAKPO00054,9604176.0,208703931.29,136892042.0
22,209123105.75,2019-01-13T10:14:57,500000000.0,2019-01-03,ARM,500000000.0,ARM03012019,1968,205676.87,7442625.82,1.523669,TRYAKPO00054,9612352.0,202157957.69,132678438.0
23,196239181.46,2019-01-14T10:14:59,500000000.0,2019-01-04,ARM,500000000.0,ARM04012019,1968,217906.53,4668003.49,1.520573,TRYAKPO00054,9620528.0,201747244.06,132678438.0
24,197145094.91,2019-01-17T10:14:57,500000000.0,2019-01-07,ARM,500000000.0,ARM07012019,1968,216580.99,4676828.55,1.52729,TRYAKPO00054,9692068.0,202638428.67,132678438.0
25,199821160.8,2019-01-18T10:14:56,500000000.0,2019-01-08,ARM,500000000.0,ARM08012019,1862,215126.12,4000623.35,1.529821,TRYAKPO00054,9717618.0,202974242.58,132678438.0
26,199301226.57,2019-01-19T10:14:55,500000000.0,2019-01-09,ARM,500000000.0,ARM09012019,1862,216999.27,4003614.35,1.525883,TRYAKPO00054,9742146.0,202451715.89,132678438.0
