,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,18076828.2,2020-12-08,0.0,2018-12-03,AYA,4700000000.0,AYA03122018,293,4397.99,0.0,1.2701000000000005,TRMAATWWWWW8,9032073.0,18021320.42,14188931.100000003
1,17888297.36,2020-12-08,0.0,2018-12-04,AYA,4700000000.0,AYA04122018,293,2268.94,0.0,1.26244,TRMAATWWWWW8,9057623.0,17912653.34,14188931.100000003
2,17669249.3,2020-12-08,0.0,2018-12-05,AYA,4700000000.0,AYA05122018,294,2271.84,0.0,1.24688,TRMAATWWWWW8,9082151.0,17691838.83,14188933.4
3,17821195.42,2020-12-08,0.0,2018-12-06,AYA,4700000000.0,AYA06122018,294,0.0,0.0,1.2521800000000003,TRMAATWWWWW8,9090327.0,17806061.86,14220011.3
4,17728713.69,2020-12-08,0.0,2018-12-07,AYA,4700000000.0,AYA07122018,292,0.0,0.0,1.2392699999999999,TRMAATWWWWW8,9098503.0,17622436.18,14220011.3
5,17771834.78,2020-12-08,0.0,2018-12-10,AYA,4700000000.0,AYA10122018,292,0.0,0.0,1.24193,TRMAATWWWWW8,9170043.0,17660258.16,14220011.3
6,17431441.55,2020-12-08,0.0,2018-12-11,AYA,4700000000.0,AYA11122018,292,0.0,0.0,1.22422,TRMAATWWWWW8,9194571.0,17404050.82,14216392.200000005
7,17405446.21,2020-12-08,0.0,2018-12-12,AYA,4700000000.0,AYA12122018,290,0.0,0.0,1.2225400000000004,TRMAATWWWWW8,9219099.0,17380811.89,14216947.800000004
8,17122688.97,2020-12-08,0.0,2018-12-13,AYA,4700000000.0,AYA13122018,290,308.6,0.0,1.20254,TRMAATWWWWW8,9227275.0,17098344.61,14218583.700000001
9,17266653.38,2020-12-08,0.0,2018-12-14,AYA,4700000000.0,AYA14122018,289,293.32,0.0,1.21254,TRMAATWWWWW8,9235452.0,17234557.48,14213571.200000001
10,17127150.83,2020-12-08,0.0,2018-12-17,AYA,4700000000.0,AYA17122018,288,1241.87,0.0,1.20285,TRMAATWWWWW8,9306991.0,17087335.33,14205660.200000005
11,17021358.43,2020-12-08,0.0,2018-12-18,AYA,4700000000.0,AYA18122018,286,1649.46,0.0,1.19752,TRMAATWWWWW8,9332437.0,17011631.16,14205660.200000005
12,17176533.35,2020-12-08,0.0,2018-12-19,AYA,4700000000.0,AYA19122018,286,1649.46,0.0,1.2083300000000001,TRMAATWWWWW8,9356965.0,17164969.67,14205560.200000005
13,17227562.2,2020-12-08,0.0,2018-12-20,AYA,4700000000.0,AYA20122018,286,23319.26,0.0,1.22275,TRMAATWWWWW8,9365141.0,17369634.85,14205350.5
14,17183131.48,2020-12-08,0.0,2018-12-21,AYA,4700000000.0,AYA21122018,285,23065.87,0.0,1.2195,TRMAATWWWWW8,9373317.0,17323471.62,14205350.5
15,17297186.93,2020-12-08,0.0,2018-12-24,AYA,4700000000.0,AYA24122018,285,2735.83,0.0,1.2148500000000002,TRMAATWWWWW8,9425439.0,17257348.85,14205350.5
16,17296000.52,2020-12-08,0.0,2018-12-25,AYA,4700000000.0,AYA25122018,285,2745.4,0.0,1.21232,TRMAATWWWWW8,9449967.0,17181104.92,14172082.100000001
17,17137118.29,2020-12-08,0.0,2018-12-26,AYA,4700000000.0,AYA26122018,285,2329.29,0.0,1.2038100000000003,TRMAATWWWWW8,9473473.0,17060518.76,14172082.100000001
18,17076200.92,2020-12-08,0.0,2018-12-27,AYA,4700000000.0,AYA27122018,285,2833.05,0.0,1.20172,TRMAATWWWWW8,9480627.0,17031897.92,14172912.700000005
19,17007646.93,2020-12-08,0.0,2018-12-28,AYA,4700000000.0,AYA28122018,285,23882.98,0.0,1.2001600000000001,TRMAATWWWWW8,9487781.0,17030853.98,14190429.200000001
20,16937054.87,2020-12-08,0.0,2018-12-31,AYA,4700000000.0,AYA31122018,285,23888.84,0.0,1.19482,TRMAATWWWWW8,9556255.0,16925399.4,14165607.700000005
21,17129329.99,2020-12-08,0.0,2019-01-02,AYA,4700000.0,AYA02012019,283,0.0,0.0,1.20545,TRMAATWWWWW8,9604185.0,17075663.96,14165412.200000005
22,16737285.35,2020-12-08,0.0,2019-01-03,AYA,4700000000.0,AYA03012019,283,4766.41,0.0,1.1780100000000002,TRMAATWWWWW8,9612361.0,16687039.77,14165412.200000005
23,16450613.33,2020-12-08,47000000.0,2019-01-04,AYA,4700000000.0,AYA04012019,283,15149.89,0.0,1.15766,TRMAATWWWWW8,9620537.0,16397239.46,14164082.000000004
24,16659755.37,2020-12-08,0.0,2019-01-07,AYA,4700000000.0,AYA07012019,283,16477.15,0.0,1.1720899999999999,TRMAATWWWWW8,9692077.0,16604069.86,14166158.5
25,14113440.31,2020-12-08,0.0,2019-01-08,AYA,4700000000.0,AYA08012019,283,7071.77,0.0,1.18328,TRMAATWWWWW8,9717627.0,16760590.01,14164545.5
