,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,726659727.7,2018-12-13T10:14:57,650000000.0,2018-12-03,AYR,65000000000.0,AYR03122018,13797,19564.8,354687.24,0.018487,TRYAKBK00722,9032075.0,724397853.57,39184576849.0
1,757024305.91,2018-12-14T10:14:56,650000000.0,2018-12-04,AYR,65000000000.0,AYR04122018,13796,52244.95,326213.02,0.018501,TRYAKBK00722,9057625.0,751874889.03,40638989947.0
2,749045072.26,2018-12-15T10:14:55,650000000.0,2018-12-05,AYR,65000000000.0,AYR05122018,13816,24847.22,459287.75,0.01852,TRYAKBK00722,9082153.0,743824572.37,40163924662.0
3,758084646.2,2018-12-16T10:14:54,650000000.0,2018-12-06,AYR,65000000000.0,AYR06122018,13816,17310.54,367228.75,0.018534,TRYAKBK00722,9090329.0,752812387.33,40617628885.0
4,755555258.17,2018-12-17T10:14:59,650000000.0,2018-12-07,AYR,65000000000.0,AYR07122018,13809,14814.47,80050.63,0.018542,TRYAKBK00722,9098505.0,751320605.77,40519897149.0
5,757574821.9,2018-12-20T10:14:57,650000000.0,2018-12-10,AYR,65000000000.0,AYR10122018,13818,29329.69,422825.5,0.01859,TRYAKBK00722,9170045.0,753221444.89,40517614619.0
6,792658851.4,2018-12-21T10:14:56,650000000.0,2018-12-11,AYR,65000000000.0,AYR11122018,13825,624095.71,58037.74,0.018618,TRYAKBK00722,9194573.0,789017218.4,42379744682.0
7,805766134.29,2018-12-22T10:14:55,650000000.0,2018-12-12,AYR,65000000000.0,AYR12122018,13865,18284.29,471302.6,0.018628,TRYAKBK00722,9219101.0,796025743.95,42732051461.0
8,814665986.28,2018-12-23T10:14:54,650000000.0,2018-12-13,AYR,65000000000.0,AYR13122018,13880,18687.8,278174.04,0.018641,TRYAKBK00722,9227277.0,810324778.63,43470180871.0
9,818850005.56,2018-12-24T10:14:53,650000000.0,2018-12-14,AYR,65000000000.0,AYR14122018,13882,18658.64,456285.47,0.018652,TRYAKBK00722,9235454.0,814461105.7,43666495904.0
10,823994489.91,2018-12-27T10:14:57,650000000.0,2018-12-17,AYR,65000000000.0,AYR17122018,13876,19596.98,455903.14,0.018689,TRYAKBK00722,9306993.0,819461541.59,43847111514.0
11,827934294.9,2018-12-28T10:14:59,650000000.0,2018-12-18,AYR,65000000000.0,AYR18122018,13885,17001.88,396260.38,0.018701,TRYAKBK00722,9332439.0,823351046.96,44026209243.0
12,831597753.77,2018-12-29T10:14:58,650000000.0,2018-12-19,AYR,65000000000.0,AYR19122018,13903,18722.99,302192.37,0.018712,TRYAKBK00722,9356967.0,826967667.99,44193541783.0
13,846405879.43,2018-12-30T10:14:58,650000000.0,2018-12-20,AYR,65000000000.0,AYR20122018,13905,17544.07,467297.47,0.018717,TRYAKBK00722,9365143.0,841725240.12,44970849098.0
14,848493074.98,2018-12-31T10:15:00,650000000.0,2018-12-21,AYR,65000000000.0,AYR21122018,13889,19566.84,455287.34,0.018725,TRYAKBK00722,9373319.0,843765198.68,45060626734.0
15,852028625.21,2019-01-03T10:14:57,650000000.0,2018-12-24,AYR,65000000000.0,AYR24122018,13885,18456.7,77147.78,0.018753,TRYAKBK00722,9425441.0,847150117.05,45175188431.0
16,850938096.51,2019-01-04T10:14:57,650000000.0,2018-12-25,AYR,65000000000.0,AYR25122018,13858,3753.61,336214.95,0.018757,TRYAKBK00722,9449969.0,845995935.06,45104133525.0
17,839592197.68,2019-01-05T10:14:56,650000000.0,2018-12-26,AYR,65000000000.0,AYR26122018,13839,18709.81,996664.81,0.018754,TRYAKBK00722,9473475.0,834616095.27,44503652136.0
18,831115407.18,2019-01-06T10:14:55,650000000.0,2018-12-27,AYR,65000000000.0,AYR27122018,13803,21990.9,953603.13,0.018756,TRYAKBK00722,9480629.0,826094147.22,44044591128.0
19,819520821.07,2019-01-07T10:15:00,650000000.0,2018-12-28,AYR,65000000000.0,AYR28122018,13782,19042.72,359219.83,0.018781,TRYAKBK00722,9487783.0,814448866.72,43366246335.0
20,823237648.32,2019-01-10T10:14:57,650000000.0,2018-12-31,AYR,65000000000.0,AYR31122018,13768,17646.67,195384.66,0.018788,TRYAKBK00722,9556257.0,818176483.64,43547443258.0
21,827804985.19,2019-01-12T10:14:58,650000000.0,2019-01-02,AYR,65000000000.0,AYR02012019,13774,17908.01,218293.25,0.018808,TRYAKBK00722,9604187.0,822584713.2,43735698631.0
22,829855263.99,2019-01-13T10:14:57,650000000.0,2019-01-03,AYR,65000000000.0,AYR03012019,13776,13174.93,19031375.38,0.018819,TRYAKBK00722,9612363.0,824604241.78,43817582827.0
23,840931605.66,2019-01-14T10:14:59,650000000.0,2019-01-04,AYR,65000000000.0,AYR04012019,13769,18430.28,453292.28,0.018827,TRYAKBK00722,9620539.0,835625541.77,44384519231.0
24,844199864.06,2019-01-17T10:14:57,650000000.0,2019-01-07,AYR,65000000000.0,AYR07012019,13744,19344.28,459869.58,0.018855,TRYAKBK00722,9692079.0,838713118.01,44482651045.0
25,845137384.46,2019-01-18T10:14:56,650000000.0,2019-01-08,AYR,65000000000.0,AYR08012019,13723,18420.87,205131.99,0.018865,TRYAKBK00722,9717629.0,840883612.35,44573647770.0
26,839422242.27,2019-01-19T10:14:55,650000000.0,2019-01-09,AYR,65000000000.0,AYR09012019,13726,66679.31,90058.68,0.018874,TRYAKBK00722,9742157.0,835156710.64,44249627564.0
27,833247968.36,2019-01-20T10:14:54,650000000.0,2019-01-10,AYR,65000000000.0,AYR10012019,13705,18747.29,0.0,0.018884,TRYAKBK00722,9750333.0,828874866.62,43892863572.0
28,832695111.91,2019-01-21T10:14:59,650000000.0,2019-01-11,AYR,65000000000.0,AYR11012019,13697,6674.5,0.0,0.018894,TRYAKBK00722,9758509.0,828250320.74,43836273604.0
29,832244439.16,2019-01-24T10:14:57,650000000.0,2019-01-14,AYR,65000000000.0,AYR14012019,13681,11668.19,459895.99,0.018923,TRYAKBK00722,9830049.0,827625217.07,43736989331.0
30,831683066.02,2019-01-25T10:14:56,650000000.0,2019-01-15,AYR,65000000000.0,AYR15012019,13679,17359.13,397264.3,0.018934,TRYAKBK00722,9855599.0,827010511.95,43678560046.0
31,830511456.96,2019-01-26T10:14:55,650000000.0,2019-01-16,AYR,65000000000.0,AYR16012019,13664,19442.47,263170.05,0.018943,TRYAKBK00722,9880127.0,825822621.88,43594040606.0
32,828938195.71,2019-01-27T10:14:57,650000000.0,2019-01-17,AYR,65000000000.0,AYR17012019,13628,18400.49,281184.77,0.018953,TRYAKBK00722,9888200.0,824188968.52,43486479536.0
33,815877997.55,2019-01-28T10:14:59,650000000.0,2019-01-18,AYR,65000000000.0,AYR18012019,13606,12713.28,416264.42,0.018966,TRYAKBK00722,9896376.0,811064730.31,42763474092.0
34,794685640.34,2019-01-31T10:14:57,650000000.0,2019-01-21,AYR,65000000000.0,AYR21012019,13596,2970.95,497978.34,0.018997,TRYAKBK00722,9967916.0,789691770.82,41569560514.0
35,795359923.05,2019-02-01T10:14:56,650000000.0,2019-01-22,AYR,65000000000.0,AYR22012019,13589,17312.96,130086.19,0.019007,TRYAKBK00722,9993466.0,790323715.35,41580227204.0
36,794938778.04,2019-02-02T10:14:55,650000000.0,2019-01-23,AYR,65000000000.0,AYR23012019,13585,18683.91,17944057.25,0.019021,TRYAKBK00722,10017994.0,789846976.28,41525382594.0
37,794363643.31,2019-02-03T10:14:54,650000000.0,2019-01-24,AYR,65000000000.0,AYR24012019,13569,16274.42,45071299.4,0.019032,TRYAKBK00722,10026170.0,789212645.0,41468108541.0
38,793564603.92,2019-02-04T10:15:00,650000000.0,2019-01-25,AYR,65000000000.0,AYR25012019,13551,18065.68,45536815.95,0.01905,TRYAKBK00722,10034346.0,788358428.16,41383872854.0
39,792360701.66,2019-02-07T10:14:57,650000000.0,2019-01-28,AYR,65000000000.0,AYR28012019,13536,20015.46,55415294.38,0.019083,TRYAKBK00722,10105886.0,786984957.37,41240751861.0
40,793457184.91,2019-02-08T10:14:56,650000000.0,2019-01-29,AYR,65000000000.0,AYR29012019,13528,15198.77,87597623.74,0.019093,TRYAKBK00722,10131436.0,788021051.49,41272586154.0
41,795567219.83,2019-02-09T10:14:55,650000000.0,2019-01-30,AYR,65000000000.0,AYR30012019,13526,18546.21,77841931.39,0.019101,TRYAKBK00722,10155964.0,790077388.22,41363592083.0
42,777451583.51,2019-02-10T10:14:54,650000000.0,2019-01-31,AYR,65000000000.0,AYR31012019,13507,9419.9,78014211.86,0.019112,TRYAKBK00722,10164140.0,771896997.26,40387555494.0
43,777354679.55,2019-02-11T10:14:53,650000000.0,2019-02-01,AYR,65000000000.0,AYR01022019,13497,18662.65,78160821.54,0.019123,TRYAKBK00722,10172316.0,771753630.59,40357253988.0
44,769887276.13,2019-02-14T10:14:58,650000000.0,2019-02-04,AYR,65000000000.0,AYR04022019,13462,15077.13,78098793.09,0.019153,TRYAKBK00722,10243856.0,764116767.31,39895739644.0
45,773436242.09,2019-02-15T10:14:57,650000000.0,2019-02-05,AYR,65000000000.0,AYR05022019,13487,32856.84,77857154.18,0.019162,TRYAKBK00722,10269406.0,766529154.12,40001747718.0
46,778011821.47,2019-02-16T10:14:56,650000000.0,2019-02-06,AYR,65000000000.0,AYR06022019,13494,18495.99,78031843.11,0.019173,TRYAKBK00722,10293934.0,767596425.22,40035448835.0
47,772328141.22,2019-02-17T10:15:00,650000000.0,2019-02-07,AYR,65000000000.0,AYR07022019,13494,33870.21,78266657.64,0.019188,TRYAKBK00722,10302007.0,768165837.29,40034607555.0
48,771443365.9,2019-02-18T10:14:58,650000000.0,2019-02-08,AYR,65000000000.0,AYR08022019,13481,182165.56,78016654.41,0.019197,TRYAKBK00722,10310183.0,767373948.72,39973366169.0
49,771825034.05,2019-02-21T10:14:57,650000000.0,2019-02-11,AYR,65000000000.0,AYR11022019,13471,16588.1,78172954.48,0.01923,TRYAKBK00722,10381723.0,767423623.61,39906933609.0
50,772737410.96,2019-02-22T10:14:56,650000000.0,2019-02-12,AYR,65000000000.0,AYR12022019,13469,17388.11,78433060.56,0.019242,TRYAKBK00722,10407273.0,768281569.91,39928308651.0
51,773496896.12,2019-02-23T10:14:55,650000000.0,2019-02-13,AYR,65000000000.0,AYR13022019,13467,19966.11,78501748.64,0.019253,TRYAKBK00722,10431800.0,768988121.3,39942039200.0
52,758132245.4,2019-02-24T10:14:54,650000000.0,2019-02-14,AYR,65000000000.0,AYR14022019,13455,26146.48,78193210.44,0.019264,TRYAKBK00722,10439976.0,753575267.96,39118148434.0
53,748349778.57,2019-02-25T10:14:59,650000000.0,2019-02-15,AYR,65000000000.0,AYR15022019,13436,17551.57,70411502.2,0.019268,TRYAKBK00722,10448152.0,751647596.18,39010658543.0
54,721966724.53,2019-02-28T10:14:57,650000000.0,2019-02-18,AYR,65000000000.0,AYR18022019,13418,13122.52,70797491.21,0.019297,TRYAKBK00722,10519692.0,720135048.58,37317730785.0
55,721395066.1,2019-03-01T10:14:55,650000000.0,2019-02-19,AYR,65000000000.0,AYR19022019,13412,17987.49,70643429.65,0.019297,TRYAKBK00722,10545242.0,719516449.7,37286604782.0
56,701538655.17,2019-03-02T10:14:55,650000000.0,2019-02-20,AYR,65000000000.0,AYR20022019,13418,13102.5,70463265.02,0.019307,TRYAKBK00722,10569770.0,696655143.81,36082253358.0
57,701683303.28,2019-03-03T10:14:53,650000000.0,2019-02-21,AYR,65000000000.0,AYR21022019,13401,18029.12,60534741.81,0.019323,TRYAKBK00722,10577946.0,696754157.85,36058234641.0
58,666806139.22,2019-03-04T10:14:52,650000000.0,2019-02-22,AYR,65000000000.0,AYR22022019,13396,9133.93,60487805.74,0.019337,TRYAKBK00722,10586122.0,661820026.74,34226054525.0
59,667970268.39,2019-03-07T10:14:48,650000000.0,2019-02-25,AYR,65000000000.0,AYR25022019,13389,18872.06,60504746.68,0.01936,TRYAKBK00722,10657662.0,662849427.33,34238929833.0
60,664260654.5,2019-03-08T10:15:00,650000000.0,2019-02-26,AYR,65000000000.0,AYR26022019,13373,18134.11,60979468.48,0.01936,TRYAKBK00722,10658684.0,661559085.74,34172031383.0
61,625890392.08,2019-03-07T10:14:59,650000000.0,2019-02-27,AYR,65000000000.0,AYR27022019,13359,17503.73,42727123.83,0.01939,TRYAKBK00722,10659706.0,620674929.83,32010357414.0
62,617053888.26,2019-03-07T10:15:03,650000000.0,2019-02-28,AYR,65000000000.0,AYR28022019,13340,5387.62,43144463.83,0.019398,TRYAKBK00722,10660728.0,611781769.39,31538903055.0
63,617136599.93,2019-03-07T10:15:06,650000000.0,2019-03-01,AYR,65000000000.0,AYR01032019,13319,19101.46,43181175.45,0.01943,TRYAKBK00722,10661750.0,611833620.4,31488429093.0
64,606666292.17,2019-03-07T10:15:10,650000000.0,2019-03-04,AYR,65000000000.0,AYR04032019,13308,5534.24,43214171.62,0.019464,TRYAKBK00722,10662772.0,604536822.03,31058562435.0
65,574809984.82,2019-03-07T10:15:14,650000000.0,2019-03-05,AYR,65000000000.0,AYR05032019,13303,4933.39,32833442.96,0.019477,TRYAKBK00722,10663794.0,569346846.31,29232451589.0
66,574209032.92,2019-03-07T10:15:18,650000000.0,2019-03-06,AYR,65000000000.0,AYR06032019,13288,18931.92,32692005.86,0.019488,TRYAKBK00722,10664816.0,568718252.33,29183739451.0
67,566312577.14,2019-03-07T13:50:07,650000000.0,2019-03-07,AYR,65000000000.0,AYR07032019,13282,69054.32,32930414.04,0.019498,TRYAKBK00722,10666860.0,562110048.24,28828950124.0
68,563832319.15,2019-03-08T10:50:00,650000000.0,2019-03-08,AYR,65000000000.0,AYR08032019,13279,122932.15,33066841.35,0.019509,TRYAKBK00722,10667882.0,561659094.03,28789199027.0
69,567490267.63,2019-03-11T10:50:00,650000000.0,2019-03-11,AYR,65000000000.0,AYR11032019,13268,20218.85,33209961.88,0.019542,TRYAKBK00722,10668725.0,563177524.46,28818158501.0
70,567800782.89,2019-03-12T10:22:47,650000000.0,2019-03-12,AYR,65000000000.0,AYR12032019,13264,37193.72,33189984.34,0.019553,TRYAKBK00722,10670372.0,563463826.77,28816651250.0
71,567750821.81,2019-03-13T10:50:00,650000000.0,2019-03-13,AYR,65000000000.0,AYR13032019,13271,19202.14,33228515.89,0.019564,TRYAKBK00722,10672897.0,563354612.96,28795371111.0
72,564363970.59,2019-03-14T10:50:00,650000000.0,2019-03-14,AYR,65000000000.0,AYR14032019,13262,25361.2,32989668.81,0.019575,TRYAKBK00722,10675601.0,561409887.95,28679992861.0
73,534044416.94,2019-03-15T10:50:00,650000000.0,2019-03-15,AYR,65000000000.0,AYR15032019,13228,1525.5,16512666.87,0.019586,TRYAKBK00722,10678336.0,529550468.46,27037086442.0
74,520900378.07,2019-03-18T10:30:32,650000000.0,2019-03-18,AYR,65000000000.0,AYR18032019,13221,28874.84,16884765.74,0.019619,TRYAKBK00722,10680649.0,529106011.12,26968735915.0
75,521042085.22,2019-03-19T10:50:00,650000000.0,2019-03-19,AYR,65000000000.0,AYR19032019,13220,16960.34,16945335.08,0.019631,TRYAKBK00722,10683324.0,529197429.63,26957581099.0
76,533897886.28,2019-03-20T10:24:48,650000000.0,2019-03-20,AYR,65000000000.0,AYR20032019,13234,18320.75,17369983.19,0.019642,TRYAKBK00722,10685945.0,529226177.69,26943035381.0
77,512202943.28,2019-03-21T10:50:00,650000000.0,2019-03-21,AYR,65000000000.0,AYR20032019,13220,22553.39,17415338.24,0.019653,TRYAKBK00722,10689496.0,527146522.23,26822745261.0
78,511059280.13,2019-03-22T09:50:00,650000000.0,2019-03-22,AYR,65000000000.0,AYR21032019,13214,18898.7,17229665.3,0.019666,TRYAKBK00722,10691436.0,525960649.51,26745297480.0
79,526903762.47,2019-03-25T09:50:00,650000000.0,2019-03-25,AYR,65000000000.0,AYR24032019,13193,19936.31,17247743.84,0.0197,TRYAKBK00722,10694722.0,522040342.41,26498940038.0
80,530616054.32,2019-03-26T09:50:00,650000000.0,2019-03-26,AYR,65000000000.0,AYR25032019,13183,12311.5,690456.53,0.01971,TRYAKBK00722,11876958.0,521798853.13,26473398892.0
81,524322343.03,2019-03-27T09:50:00,650000000.0,2019-03-27,AYR,65000000000.0,AYR26032019,13172,20051.98,420281.92,0.019722,TRYAKBK00722,11879633.0,519383476.21,26335656995.0
82,523789135.07,2019-03-28T11:50:00,650000000.0,2019-03-28,AYR,65000000000.0,AYR27032019,13164,88398.52,0.0,0.019732,TRYAKBK00722,11882228.0,518880469.72,26296338631.0
83,522233102.2,2019-03-29T10:50:01,650000000.0,2019-03-29,AYR,65000000000.0,AYR28032019,13129,22315.67,670463.32,0.019742,TRYAKBK00722,11884990.0,516633117.05,26168787009.0
84,514139778.55,2019-04-01T09:50:00,650000000.0,2019-04-01,AYR,65000000000.0,AYR01042019,13107,14138.27,721497.21,0.01978,TRYAKBK00722,11889059.0,509120623.64,25738832202.0
85,516360412.57,2019-04-02T09:50:00,650000000.0,2019-04-02,AYR,65000000000.0,AYR02042019,13096,28154.07,830575.32,0.01979,TRYAKBK00722,11890935.0,511342074.02,25838188641.0
86,517430717.88,2019-04-03T09:50:00,650000000.0,2019-04-03,AYR,65000000000.0,AYR03042019,13098,34147.89,910595.86,0.019801,TRYAKBK00722,11891708.0,512380778.25,25876586831.0
87,515235075.42,2019-04-04T09:50:00,650000000.0,2019-04-04,AYR,65000000000.0,AYR04042019,13091,190745.82,910624.53,0.019812,TRYAKBK00722,11892483.0,510304252.71,25757010158.0
88,514510193.09,2019-04-05T10:50:00,650000000.0,2019-04-05,AYR,65000000000.0,AYR05042019,13084,79402.99,130087.44,0.019825,TRYAKBK00722,11893259.0,510584868.25,25755009525.0
89,503608379.66,2019-04-08T10:50:00,650000000.0,2019-04-08,AYR,65000000000.0,AYR08042019,13067,11284.89,52105.99,0.019857,TRYAKBK00722,11894036.0,499503788.22,25154638768.0
90,512175938.87,2019-04-09T09:50:00,650000000.0,2019-04-09,AYR,65000000000.0,AYR09042019,13065,21811.56,0.0,0.019868,TRYAKBK00722,11894813.0,508045416.67,25571227042.0
