,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1291183.57,2018-12-13T10:14:57,2000000.0,2018-12-03,DAH,200000000.0,DAH03122018,187,3385.33,0.0,0.170854,TRMDAHWWWWW7,9032087.0,1286562.11,7530200.0
1,1289873.1,2018-12-14T10:14:56,2000000.0,2018-12-04,DAH,200000000.0,DAH04122018,187,3181.89,0.0,0.170693,TRMDAHWWWWW7,9057637.0,1285351.24,7530200.0
2,1251864.31,2018-12-15T10:14:55,2000000.0,2018-12-05,DAH,200000000.0,DAH05122018,189,18233.86,0.0,0.167977,TRMDAHWWWWW7,9082165.0,1280456.83,7622800.0
3,1267016.16,2018-12-16T10:14:54,2000000.0,2018-12-06,DAH,200000000.0,DAH06122018,189,3134.64,0.0,0.167991,TRMDAHWWWWW7,9090341.0,1247431.59,7425600.0
4,1233910.69,2018-12-17T10:14:59,2000000.0,2018-12-07,DAH,200000000.0,DAH07122018,188,3002.08,0.0,0.165947,TRMDAHWWWWW7,9098517.0,1230031.52,7412200.0
5,1239655.95,2018-12-20T10:14:57,2000000.0,2018-12-10,DAH,200000000.0,DAH10122018,188,3290.84,0.0,0.168063,TRMDAHWWWWW7,9170057.0,1246239.9,7415300.0
6,1232158.07,2018-12-21T10:14:56,2000000.0,2018-12-11,DAH,200000000.0,DAH11122018,189,3418.77,0.0,0.166512,TRMDAHWWWWW7,9194585.0,1224062.83,7351200.0
7,1223122.53,2018-12-22T10:14:55,2000000.0,2018-12-12,DAH,200000000.0,DAH12122018,188,6117.35,0.0,0.166501,TRMDAHWWWWW7,9219113.0,1206979.85,7249100.0
8,1179110.18,2018-12-23T10:14:54,2000000.0,2018-12-13,DAH,200000000.0,DAH13122018,184,3036.54,0.0,0.16234,TRMDAHWWWWW7,9227289.0,1172972.02,7225400.0
9,1190231.93,2018-12-24T10:14:53,2000000.0,2018-12-14,DAH,200000000.0,DAH14122018,183,3152.58,0.0,0.164425,TRMDAHWWWWW7,9235466.0,1188038.08,7225400.0
10,1180913.77,2018-12-27T10:14:57,2000000.0,2018-12-17,DAH,200000000.0,DAH17122018,183,3209.67,0.0,0.163095,TRMDAHWWWWW7,9307005.0,1178426.49,7225400.0
11,1173757.27,2018-12-28T10:14:59,2000000.0,2018-12-18,DAH,200000000.0,DAH18122018,183,3813.6,0.0,0.162353,TRMDAHWWWWW7,9332451.0,1173484.85,7228000.0
12,1186708.42,2018-12-29T10:14:58,2000000.0,2018-12-19,DAH,200000000.0,DAH19122018,183,3872.05,0.0,0.164716,TRMDAHWWWWW7,9356979.0,1190567.41,7228000.0
13,1203489.17,2018-12-30T10:14:58,2000000.0,2018-12-20,DAH,200000000.0,DAH20122018,183,5659.51,0.0,0.167029,TRMDAHWWWWW7,9365155.0,1207288.63,7228000.0
14,1203724.94,2018-12-31T10:15:00,2000000.0,2018-12-21,DAH,200000000.0,DAH21122018,183,3908.04,0.0,0.166223,TRMDAHWWWWW7,9373331.0,1201296.71,7227000.0
15,1217579.65,2019-01-03T10:14:57,2000000.0,2018-12-24,DAH,200000000.0,DAH24122018,183,3793.82,0.0,0.166026,TRMDAHWWWWW7,9425453.0,1214411.13,7314600.0
16,1216353.96,2019-01-04T10:14:57,2000000.0,2018-12-25,DAH,200000000.0,DAH25122018,183,3567.61,0.0,0.165955,TRMDAHWWWWW7,9449981.0,1213824.94,7314200.0
17,1216393.59,2019-01-05T10:14:56,2000000.0,2018-12-26,DAH,200000000.0,DAH26122018,183,3120.73,0.0,0.164917,TRMDAHWWWWW7,9473487.0,1209765.29,7335600.0
18,1218533.59,2019-01-06T10:14:55,2000000.0,2018-12-27,DAH,200000000.0,DAH27122018,183,3792.74,0.0,0.165202,TRMDAHWWWWW7,9480641.0,1211855.22,7335600.0
19,1209805.29,2019-01-07T10:15:00,2000000.0,2018-12-28,DAH,200000000.0,DAH28122018,183,3262.95,0.0,0.164414,TRMDAHWWWWW7,9487795.0,1206077.42,7335600.0
20,1204463.81,2019-01-10T10:14:57,2000000.0,2018-12-31,DAH,200000000.0,DAH31122018,183,3329.89,0.0,0.163647,TRMDAHWWWWW7,9556269.0,1200446.18,7335600.0
21,1214798.75,2019-01-12T10:14:58,2000000.0,2019-01-02,DAH,200000000.0,DAH02012019,183,3536.44,0.0,0.165055,TRMDAHWWWWW7,9604200.0,1210196.93,7332100.0
22,1183844.44,2019-01-13T10:14:57,2000000.0,2019-01-03,DAH,200000000.0,DAH03012019,183,3591.23,0.0,0.160686,TRMDAHWWWWW7,9612376.0,1174762.24,7310900.0
23,1155402.86,2019-01-14T10:14:59,2000000.0,2019-01-04,DAH,200000000.0,DAH04012019,182,3189.82,0.0,0.157338,TRMDAHWWWWW7,9620552.0,1150782.61,7314100.0
24,1176406.29,2019-01-17T10:14:57,2000000.0,2019-01-07,DAH,200000000.0,DAH07012019,182,3256.21,0.0,0.160169,TRMDAHWWWWW7,9692092.0,1171494.95,7314100.0
25,1187901.0,2019-01-18T10:14:56,2000000.0,2019-01-08,DAH,200000000.0,DAH08012019,182,4726.23,0.0,0.162163,TRMDAHWWWWW7,9717642.0,1186075.24,7314100.0
26,1224830.47,2019-01-19T10:14:55,2000000.0,2019-01-09,DAH,200000000.0,DAH09012019,183,3776.77,0.0,0.163095,TRMDAHWWWWW7,9742170.0,1203558.76,7379500.0
27,1211391.66,2019-01-20T10:14:54,2000000.0,2019-01-10,DAH,200000000.0,DAH10012019,180,3404.09,0.0,0.163708,TRMDAHWWWWW7,9750346.0,1208084.46,7379500.0
28,1210740.49,2019-01-21T10:14:59,2000000.0,2019-01-11,DAH,200000000.0,DAH11012019,180,3425.57,0.0,0.163614,TRMDAHWWWWW7,9758522.0,1206636.02,7374900.0
29,1224112.26,2019-01-24T10:14:57,2000000.0,2019-01-14,DAH,200000000.0,DAH14012019,179,3744.28,0.0,0.164012,TRMDAHWWWWW7,9830062.0,1209569.27,7374900.0
30,1243520.87,2019-01-25T10:14:56,2000000.0,2019-01-15,DAH,200000000.0,DAH15012019,180,3053.48,0.0,0.165021,TRMDAHWWWWW7,9855612.0,1228165.19,7442500.0
