,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7637701.3,2018-12-13T10:14:57,50000000.0,2018-12-03,DBA,5000000000.0,DBA03122018,7743,3072.87,161310.31,0.026077,TRYDZBK00070,9032088.0,7620620.63,292231800.0
1,7679079.98,2018-12-14T10:14:56,50000000.0,2018-12-04,DBA,5000000000.0,DBA04122018,7742,3894.02,161103.22,0.026218,TRYDZBK00070,9057638.0,7662628.0,292261600.0
2,7878475.33,2018-12-15T10:14:55,50000000.0,2018-12-05,DBA,5000000000.0,DBA05122018,7740,3896.74,160103.01,0.026903,TRYDZBK00070,9082166.0,7861560.0,292219800.0
3,8012887.05,2018-12-16T10:14:54,50000000.0,2018-12-06,DBA,5000000000.0,DBA06122018,7737,3109.13,169106.03,0.02733,TRYDZBK00070,9090342.0,7994710.05,292521400.0
4,8019909.33,2018-12-17T10:14:59,50000000.0,2018-12-07,DBA,5000000000.0,DBA07122018,7737,2908.81,155097.88,0.027401,TRYDZBK00070,9098518.0,8015358.49,292521400.0
5,7982178.07,2018-12-20T10:14:57,50000000.0,2018-12-10,DBA,5000000000.0,DBA10122018,7735,3401.33,154298.08,0.027271,TRYDZBK00070,9170058.0,7976769.15,292502300.0
6,7942407.29,2018-12-21T10:14:56,50000000.0,2018-12-11,DBA,5000000000.0,DBA11122018,7735,4346.46,155100.01,0.027131,TRYDZBK00070,9194586.0,7937803.85,292575000.0
7,8038646.85,2018-12-22T10:14:55,50000000.0,2018-12-12,DBA,5000000000.0,DBA12122018,7732,3272.9,148094.88,0.027483,TRYDZBK00070,9219114.0,8032493.39,292273900.0
8,8055229.78,2018-12-23T10:14:54,50000000.0,2018-12-13,DBA,5000000000.0,DBA13122018,7731,3408.83,157100.22,0.027507,TRYDZBK00070,9227290.0,8049566.69,292633300.0
9,8073296.09,2018-12-24T10:14:53,50000000.0,2018-12-14,DBA,5000000000.0,DBA14122018,7732,3819.42,158099.78,0.027564,TRYDZBK00070,9235467.0,8067565.09,292681100.0
10,8078028.57,2018-12-27T10:14:57,50000000.0,2018-12-17,DBA,5000000000.0,DBA17122018,7735,5297.47,190362.3,0.027467,TRYDZBK00070,9307006.0,8072330.33,293892200.0
