,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2477240.29,2018-12-13T10:14:57,500000000.0,2018-12-03,DBB,50000000000.0,DBB03122018,131,5021.12,246470.1,0.020236,TRYDZBK00013,9032089.0,2404462.7,118819900.0
1,2491846.12,2018-12-14T10:14:56,500000000.0,2018-12-04,DBB,50000000000.0,DBB04122018,133,3726.34,257164.76,0.020268,TRYDZBK00013,9057639.0,2417803.55,119289600.0
2,2474524.15,2018-12-15T10:14:55,500000000.0,2018-12-05,DBB,50000000000.0,DBB05122018,129,3755.4,245154.72,0.020223,TRYDZBK00013,9082167.0,2400347.23,118691200.0
3,2482684.52,2018-12-16T10:14:54,500000000.0,2018-12-06,DBB,50000000000.0,DBB06122018,130,3700.27,258161.16,0.020183,TRYDZBK00013,9090343.0,2408284.13,119324000.0
4,2477554.07,2018-12-17T10:14:59,500000000.0,2018-12-07,DBB,50000000000.0,DBB07122018,130,3242.72,253160.12,0.020182,TRYDZBK00013,9098519.0,2406835.39,119259400.0
5,2422475.5,2018-12-20T10:14:57,500000000.0,2018-12-10,DBB,50000000000.0,DBB10122018,128,3163.11,202390.99,0.020143,TRYDZBK00013,9170059.0,2351183.87,116722800.0
6,2418245.92,2018-12-21T10:14:56,500000000.0,2018-12-11,DBB,50000000000.0,DBB11122018,129,4415.02,200129.04,0.020126,TRYDZBK00013,9194587.0,2348175.22,116673300.0
7,2371832.84,2018-12-22T10:14:55,500000000.0,2018-12-12,DBB,50000000000.0,DBB12122018,126,5368.35,157100.87,0.020096,TRYDZBK00013,9219115.0,2302554.35,114578000.0
8,2386598.42,2018-12-23T10:14:54,500000000.0,2018-12-13,DBB,50000000000.0,DBB13122018,127,2496.32,183116.82,0.019998,TRYDZBK00013,9227291.0,2314284.59,115725600.0
9,2396787.74,2018-12-24T10:14:53,500000000.0,2018-12-14,DBB,50000000000.0,DBB14122018,122,3558.44,117073.73,0.019998,TRYDZBK00013,9235468.0,2249269.2,112472800.0
10,2274035.13,2018-12-27T10:14:57,500000000.0,2018-12-17,DBB,50000000000.0,DBB17122018,119,3430.08,98186.87,0.019961,TRYDZBK00013,9307007.0,2202028.54,110318100.0
11,2273268.59,2018-12-28T10:14:59,500000000.0,2018-12-18,DBB,50000000000.0,DBB18122018,118,3638.78,96061.55,0.019972,TRYDZBK00013,9332453.0,2201314.39,110219200.0
12,2279378.22,2018-12-29T10:14:58,500000000.0,2018-12-19,DBB,50000000000.0,DBB19122018,119,3694.79,98061.62,0.020009,TRYDZBK00013,9356981.0,2207323.3,110319200.0
13,2285938.46,2018-12-30T10:14:58,500000000.0,2018-12-20,DBB,50000000000.0,DBB20122018,118,3751.63,98062.02,0.020067,TRYDZBK00013,9365157.0,2213783.31,110319100.0
14,2305251.98,2018-12-31T10:15:00,500000000.0,2018-12-21,DBB,50000000000.0,DBB21122018,118,3810.87,98062.16,0.020241,TRYDZBK00013,9373333.0,2232997.92,110319100.0
15,2308883.46,2019-01-03T10:14:57,500000000.0,2018-12-24,DBB,50000000000.0,DBB24122018,118,3055.84,183351.21,0.020281,TRYDZBK00013,9425455.0,2235397.64,110221200.0
16,2309269.34,2019-01-04T10:14:57,500000000.0,2018-12-25,DBB,50000000000.0,DBB25122018,118,3399.51,183116.82,0.020286,TRYDZBK00013,9449983.0,2235968.87,110221200.0
17,2309977.78,2019-01-05T10:14:56,500000000.0,2018-12-26,DBB,50000000000.0,DBB26122018,118,3511.13,183120.58,0.020292,TRYDZBK00013,9473489.0,2236630.57,110221200.0
18,2311095.88,2019-01-06T10:14:55,500000000.0,2018-12-27,DBB,50000000000.0,DBB27122018,117,3476.31,183116.32,0.020302,TRYDZBK00013,9480643.0,2237555.44,110213800.0
19,2305844.12,2019-01-07T10:15:00,500000000.0,2018-12-28,DBB,50000000000.0,DBB28122018,115,3232.92,177109.35,0.020308,TRYDZBK00013,9487797.0,2231902.32,109900800.0
20,2312535.0,2019-01-10T10:14:57,500000000.0,2018-12-31,DBB,50000000000.0,DBB31122018,114,3306.81,177339.69,0.020366,TRYDZBK00013,9556271.0,2238191.76,109899300.0
21,2243772.21,2019-01-12T10:14:58,500000000.0,2019-01-02,DBB,50000000000.0,DBB02012019,113,18007.71,97132.88,0.020471,TRYDZBK00013,9604202.0,2183729.8,106676700.0
22,2261633.09,2019-01-13T10:14:57,500000000.0,2019-01-03,DBB,50000000000.0,DBB03012019,113,3779.94,116075.8,0.02046,TRYDZBK00013,9612378.0,2187205.51,106903500.0
23,2256972.49,2019-01-14T10:14:59,500000000.0,2019-01-04,DBB,50000000000.0,DBB04012019,113,3551.66,116074.84,0.020415,TRYDZBK00013,9620554.0,2182159.93,106888800.0
24,2255780.15,2019-01-17T10:14:57,500000000.0,2019-01-07,DBB,50000000000.0,DBB07012019,114,8622.82,116224.05,0.0204,TRYDZBK00013,9692094.0,2185568.1,107133700.0
25,2262177.28,2019-01-18T10:14:56,500000000.0,2019-01-08,DBB,50000000000.0,DBB08012019,115,3100.15,117075.65,0.020451,TRYDZBK00013,9717644.0,2189897.17,107078300.0
26,2248265.29,2019-01-19T10:14:55,500000000.0,2019-01-09,DBB,50000000000.0,DBB09012019,114,4046.5,111072.07,0.020377,TRYDZBK00013,9742172.0,2176892.78,106833400.0
27,2250263.54,2019-01-20T10:14:54,500000000.0,2019-01-10,DBB,50000000000.0,DBB10012019,114,3577.12,120077.75,0.020389,TRYDZBK00013,9750348.0,2178264.98,106833400.0
28,2223061.06,2019-01-21T10:14:59,500000000.0,2019-01-11,DBB,50000000000.0,DBB11012019,113,3256.85,96062.33,0.020358,TRYDZBK00013,9758524.0,2150587.85,105639300.0
29,2235982.29,2019-01-24T10:14:57,500000000.0,2019-01-14,DBB,50000000000.0,DBB14012019,113,3316.44,96187.0,0.020476,TRYDZBK00013,9830064.0,2163101.82,105639300.0
30,2230102.03,2019-01-25T10:14:56,500000000.0,2019-01-15,DBB,50000000000.0,DBB15012019,113,3499.45,96062.73,0.020421,TRYDZBK00013,9855614.0,2157249.28,105639300.0
31,2253931.27,2019-01-26T10:14:55,500000000.0,2019-01-16,DBB,50000000000.0,DBB16012019,114,3509.46,96063.25,0.020646,TRYDZBK00013,9880142.0,2181041.09,105642200.0
32,2249141.08,2019-01-27T10:14:57,500000000.0,2019-01-17,DBB,50000000000.0,DBB17012019,114,3986.68,88057.26,0.020675,TRYDZBK00013,9888215.0,2176571.92,105274900.0
33,2351267.16,2019-01-28T10:14:59,500000000.0,2019-01-18,DBB,50000000000.0,DBB18012019,114,3019.52,189122.98,0.020684,TRYDZBK00013,9896391.0,2277566.52,110110600.0
34,2387890.89,2019-01-31T10:14:57,500000000.0,2019-01-21,DBB,50000000000.0,DBB21012019,117,3356.82,123243.64,0.020712,TRYDZBK00013,9967931.0,2314036.56,111723100.0
35,2389128.29,2019-02-01T10:14:56,500000000.0,2019-01-22,DBB,50000000000.0,DBB22012019,119,3606.06,124081.7,0.020715,TRYDZBK00013,9993481.0,2315358.96,111771900.0
36,2410267.43,2019-02-02T10:14:55,500000000.0,2019-01-23,DBB,50000000000.0,DBB23012019,120,3434.43,145096.53,0.020715,TRYDZBK00013,10018009.0,2336160.6,112773600.0
37,2407378.16,2019-02-03T10:14:54,500000000.0,2019-01-24,DBB,50000000000.0,DBB24012019,119,3755.59,139090.45,0.020742,TRYDZBK00013,10026185.0,2333427.37,112495000.0
38,2415274.76,2019-02-04T10:15:00,500000000.0,2019-01-25,DBB,50000000000.0,DBB25012019,119,3410.63,139088.92,0.020812,TRYDZBK00013,10034361.0,2340813.34,112474200.0
39,2393319.4,2019-02-07T10:14:57,500000000.0,2019-01-28,DBB,50000000000.0,DBB28012019,120,3427.54,114221.13,0.020836,TRYDZBK00013,10105901.0,2318382.26,111269700.0
40,2401656.9,2019-02-08T10:14:56,500000000.0,2019-01-29,DBB,50000000000.0,DBB29012019,122,3082.02,119076.45,0.020866,TRYDZBK00013,10131451.0,2326209.27,111482700.0
41,2401663.99,2019-02-09T10:14:55,500000000.0,2019-01-30,DBB,50000000000.0,DBB30012019,122,3155.08,119076.29,0.020865,TRYDZBK00013,10155979.0,2326124.59,111482700.0
42,2449351.8,2019-02-10T10:14:54,500000000.0,2019-01-31,DBB,50000000000.0,DBB31012019,122,4391.4,157100.65,0.020955,TRYDZBK00013,10164155.0,2374880.29,113331900.0
43,2474077.16,2019-02-11T10:14:53,500000000.0,2019-02-01,DBB,50000000000.0,DBB01022019,123,3234.3,359231.63,0.021112,TRYDZBK00013,10172331.0,2398469.86,113609500.0
44,2453300.28,2019-02-14T10:14:58,500000000.0,2019-02-04,DBB,50000000000.0,DBB04022019,122,3589.99,337648.15,0.02112,TRYDZBK00013,10243871.0,2377545.93,112573800.0
45,2454570.36,2019-02-15T10:14:57,500000000.0,2019-02-05,DBB,50000000000.0,DBB05022019,123,3460.77,338216.23,0.021126,TRYDZBK00013,10269421.0,2378518.97,112585000.0
46,2453200.42,2019-02-16T10:14:56,500000000.0,2019-02-06,DBB,50000000000.0,DBB06022019,123,3667.38,338214.84,0.021115,TRYDZBK00013,10293949.0,2377187.92,112585000.0
47,2445038.16,2019-02-17T10:15:00,500000000.0,2019-02-07,DBB,50000000000.0,DBB07022019,124,23680.57,329210.02,0.021122,TRYDZBK00013,10302022.0,2396887.05,113478600.0
48,2461061.62,2019-02-18T10:14:58,500000000.0,2019-02-08,DBB,50000000000.0,DBB08022019,126,3039.9,352225.67,0.021061,TRYDZBK00013,10310198.0,2392100.78,113580800.0
49,2471693.81,2019-02-21T10:14:57,500000000.0,2019-02-11,DBB,50000000000.0,DBB11022019,126,3255.55,352677.0,0.021152,TRYDZBK00013,10381738.0,2402441.2,113580800.0
50,2352562.48,2019-02-22T10:14:56,500000000.0,2019-02-12,DBB,50000000000.0,DBB12022019,123,7140.43,233148.42,0.021155,TRYDZBK00013,10407288.0,2287034.77,108107200.0
51,2375501.41,2019-02-23T10:14:55,500000000.0,2019-02-13,DBB,50000000000.0,DBB13022019,123,3323.12,257161.59,0.021145,TRYDZBK00013,10431815.0,2305992.16,109055900.0
52,2341145.69,2019-02-24T10:14:54,500000000.0,2019-02-14,DBB,50000000000.0,DBB14022019,121,3559.89,217137.93,0.021198,TRYDZBK00013,10439991.0,2271712.34,107168100.0
53,2339311.65,2019-02-25T10:14:59,500000000.0,2019-02-15,DBB,50000000000.0,DBB15022019,120,3033.97,216137.88,0.02119,TRYDZBK00013,10448167.0,2269190.79,107089900.0
54,2338886.08,2019-02-28T10:14:57,500000000.0,2019-02-18,DBB,50000000000.0,DBB18022019,119,3995.64,213411.41,0.02121,TRYDZBK00013,10519707.0,2269277.8,106993300.0
55,2359256.07,2019-03-01T10:14:55,500000000.0,2019-02-19,DBB,50000000000.0,DBB19022019,120,3290.8,228144.61,0.021262,TRYDZBK00013,10545257.0,2288791.78,107648300.0
56,2367713.33,2019-03-02T10:14:55,500000000.0,2019-02-20,DBB,50000000000.0,DBB20022019,121,3475.92,237151.29,0.021257,TRYDZBK00013,10569785.0,2297282.65,108073800.0
57,2350756.54,2019-03-03T10:14:53,500000000.0,2019-02-21,DBB,50000000000.0,DBB21022019,120,3397.13,250159.59,0.021226,TRYDZBK00013,10577961.0,2280096.45,107418800.0
58,2350800.23,2019-03-04T10:14:52,500000000.0,2019-02-22,DBB,50000000000.0,DBB22022019,120,3549.61,250151.37,0.021227,TRYDZBK00013,10586136.0,2280142.28,107418800.0
59,2352165.9,2019-03-07T10:14:48,500000000.0,2019-02-25,DBB,50000000000.0,DBB25022019,120,3693.96,250455.14,0.021237,TRYDZBK00013,10657676.0,2281201.1,107418800.0
60,2421635.03,2019-03-08T10:15:00,500000000.0,2019-02-26,DBB,50000000000.0,DBB26022019,122,3135.67,319197.52,0.021243,TRYDZBK00013,10658698.0,2349956.13,110620600.0
61,2413797.18,2019-03-07T10:14:59,500000000.0,2019-02-27,DBB,50000000000.0,DBB27022019,122,3637.9,310193.22,0.021254,TRYDZBK00013,10659720.0,2342466.83,110211700.0
62,2418886.65,2019-03-07T10:15:03,500000000.0,2019-02-28,DBB,50000000000.0,DBB28022019,122,3822.35,310197.47,0.021301,TRYDZBK00013,10660742.0,2347586.59,110211700.0
63,2403587.74,2019-03-07T10:15:06,500000000.0,2019-03-01,DBB,50000000000.0,DBB01032019,121,3968.24,295190.34,0.021298,TRYDZBK00013,10661764.0,2332280.61,109505500.0
64,2402483.65,2019-03-07T10:15:10,500000000.0,2019-03-04,DBB,50000000000.0,DBB04032019,121,3964.17,292576.0,0.021313,TRYDZBK00013,10662786.0,2333840.78,109505500.0
65,2407119.25,2019-03-07T10:15:14,500000000.0,2019-03-05,DBB,50000000000.0,DBB05032019,122,3367.78,0.0,0.021286,TRYDZBK00013,10663808.0,2337743.66,109826500.0
66,2405411.05,2019-03-07T10:15:18,500000000.0,2019-03-06,DBB,50000000000.0,DBB06032019,122,3552.71,300184.11,0.02127,TRYDZBK00013,10664830.0,2336048.26,109826500.0
67,2395887.1,2019-03-07T13:50:07,500000000.0,2019-03-07,DBB,50000000000.0,DBB07032019,120,3307.08,290176.78,0.021275,TRYDZBK00013,10666874.0,2329686.11,109504500.0
68,2388408.61,2019-03-08T10:50:00,500000000.0,2019-03-08,DBB,50000000000.0,DBB08032019,120,3358.17,0.0,0.021207,TRYDZBK00013,10667896.0,2322216.31,109504500.0
69,2385901.82,2019-03-11T10:50:00,500000000.0,2019-03-11,DBB,50000000000.0,DBB11032019,121,3540.65,287530.75,0.021208,TRYDZBK00013,10668739.0,2319391.99,109363400.0
70,2394408.34,2019-03-12T10:22:47,500000000.0,2019-03-12,DBB,50000000000.0,DBB12032019,123,4392.31,295181.85,0.021216,TRYDZBK00013,10670386.0,2328584.91,109757400.0
71,2394705.96,2019-03-13T10:50:00,500000000.0,2019-03-13,DBB,50000000000.0,DBB13032019,125,3625.23,296182.87,0.021209,TRYDZBK00013,10672911.0,2327950.39,109760200.0
72,2339903.05,2019-03-14T10:50:00,500000000.0,2019-03-14,DBB,50000000000.0,DBB14032019,124,3870.56,243150.46,0.021193,TRYDZBK00013,10675615.0,2273232.03,107264600.0
73,2325577.15,2019-03-15T10:50:00,500000000.0,2019-03-15,DBB,50000000000.0,DBB15032019,123,3614.24,236146.77,0.021124,TRYDZBK00013,10678350.0,2258488.84,106917700.0
74,2327469.06,2019-03-18T10:30:32,500000000.0,2019-03-18,DBB,50000000000.0,DBB18032019,122,3598.01,236449.05,0.021138,TRYDZBK00013,10680663.0,2259880.93,106910300.0
75,2331075.35,2019-03-19T10:50:00,500000000.0,2019-03-19,DBB,50000000000.0,DBB19032019,121,3720.29,236148.71,0.021174,TRYDZBK00013,10683338.0,2263448.1,106895300.0
