,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,55980973.24,2018-12-13T10:14:57,500000000.0,2018-12-03,DBH,50000000000.0,DBH03122018,156,1586064.69,531021.52,0.020992,TRYDZBK00260,9032090.0,57500570.25,2739138500.0
1,56685131.47,2018-12-14T10:14:56,500000000.0,2018-12-04,DBH,50000000000.0,DBH04122018,156,1596201.95,531340.42,0.021252,TRYDZBK00260,9057640.0,58213332.76,2739138500.0
2,57563074.91,2018-12-15T10:14:55,500000000.0,2018-12-05,DBH,50000000000.0,DBH05122018,157,1670922.6,534343.81,0.021599,TRYDZBK00260,9082168.0,59164241.56,2739242300.0
3,58619623.5,2018-12-16T10:14:54,500000000.0,2018-12-06,DBH,50000000000.0,DBH06122018,157,1703236.84,534335.03,0.021996,TRYDZBK00260,9090344.0,60249153.77,2739142300.0
4,58265055.88,2018-12-17T10:14:59,500000000.0,2018-12-07,DBH,50000000000.0,DBH07122018,157,1699468.99,479302.49,0.021884,TRYDZBK00260,9098520.0,59938964.57,2738904800.0
5,58084697.62,2018-12-20T10:14:57,500000000.0,2018-12-10,DBH,50000000000.0,DBH10122018,158,1688452.93,483934.9,0.021811,TRYDZBK00260,9170060.0,59744422.17,2739177700.0
6,57771495.49,2018-12-21T10:14:56,500000000.0,2018-12-11,DBH,50000000000.0,DBH11122018,159,1674724.53,515332.28,0.02168,TRYDZBK00260,9194588.0,59424103.98,2741002100.0
7,58734483.0,2018-12-22T10:14:55,500000000.0,2018-12-12,DBH,50000000000.0,DBH12122018,159,1695364.88,517331.45,0.022038,TRYDZBK00260,9219116.0,60405841.2,2741011600.0
8,58908820.6,2018-12-23T10:14:54,500000000.0,2018-12-13,DBH,50000000000.0,DBH13122018,159,1700698.25,514328.12,0.022103,TRYDZBK00260,9227292.0,60546521.53,2739319400.0
9,59091799.79,2018-12-24T10:14:53,500000000.0,2018-12-14,DBH,50000000000.0,DBH14122018,158,1700250.24,514324.59,0.022169,TRYDZBK00260,9235469.0,60727343.47,2739319400.0
10,59354633.03,2018-12-27T10:14:57,500000000.0,2018-12-17,DBH,50000000000.0,DBH17122018,157,1703317.4,477909.57,0.022278,TRYDZBK00260,9307008.0,61025210.04,2739319400.0
11,59512336.03,2018-12-28T10:14:59,500000000.0,2018-12-18,DBH,50000000000.0,DBH18122018,157,1705331.16,478306.44,0.022335,TRYDZBK00260,9332454.0,61183108.93,2739319400.0
12,59336833.79,2018-12-29T10:14:58,500000000.0,2018-12-19,DBH,50000000000.0,DBH19122018,158,1696564.42,479304.46,0.022267,TRYDZBK00260,9356982.0,60972647.26,2738236900.0
13,59363999.6,2018-12-30T10:14:58,500000000.0,2018-12-20,DBH,50000000000.0,DBH20122018,159,1690969.04,479303.8,0.022274,TRYDZBK00260,9365158.0,60990410.26,2738151700.0
14,59458867.46,2018-12-31T10:15:00,500000000.0,2018-12-21,DBH,50000000000.0,DBH21122018,159,1668320.99,455288.58,0.022309,TRYDZBK00260,9373334.0,61085196.41,2738152300.0
15,59459708.61,2019-01-03T10:14:57,500000000.0,2018-12-24,DBH,50000000000.0,DBH24122018,158,1673252.17,453865.66,0.02231,TRYDZBK00260,9425456.0,61087518.5,2738152300.0
16,59679835.63,2019-01-04T10:14:57,500000000.0,2018-12-25,DBH,50000000000.0,DBH25122018,158,1678884.69,454289.81,0.022392,TRYDZBK00260,9449984.0,61311456.37,2738152300.0
17,59814244.37,2019-01-05T10:14:56,500000000.0,2018-12-26,DBH,50000000000.0,DBH26122018,159,1682254.74,455300.42,0.022441,TRYDZBK00260,9473490.0,61447409.52,2738181100.0
18,60687399.6,2019-01-06T10:14:55,500000000.0,2018-12-27,DBH,50000000000.0,DBH27122018,159,572876.81,455289.21,0.022354,TRYDZBK00260,9480644.0,61209366.22,2738181100.0
19,61357113.18,2019-01-07T10:15:00,500000000.0,2018-12-28,DBH,50000000000.0,DBH28122018,160,44940.85,457284.84,0.022404,TRYDZBK00260,9487798.0,61349318.22,2738270500.0
20,61085849.33,2019-01-10T10:14:57,500000000.0,2018-12-31,DBH,50000000000.0,DBH31122018,162,44096.84,468898.18,0.022299,TRYDZBK00260,9556272.0,61068762.42,2738583300.0
21,61199721.79,2019-01-12T10:14:58,500000000.0,2019-01-02,DBH,50000000000.0,DBH02012019,163,215228.88,469632.19,0.022401,TRYDZBK00260,9604203.0,61347072.08,2738617100.0
22,61542255.96,2019-01-13T10:14:57,500000000.0,2019-01-03,DBH,50000000000.0,DBH03012019,164,216686.54,469306.46,0.02253,TRYDZBK00260,9612379.0,60070941.58,2666311800.0
23,62886548.02,2019-01-14T10:14:59,500000000.0,2019-01-04,DBH,50000000000.0,DBH04012019,165,246569.05,474305.83,0.023042,TRYDZBK00260,9620555.0,61439434.22,2666415800.0
24,61272993.12,2019-01-17T10:14:57,500000000.0,2019-01-07,DBH,50000000000.0,DBH07012019,164,4018.59,180347.67,0.022941,TRYDZBK00260,9692095.0,61199195.31,2667663000.0
25,60739381.33,2019-01-18T10:14:56,500000000.0,2019-01-08,DBH,50000000000.0,DBH08012019,164,3327.5,129083.41,0.02276,TRYDZBK00260,9717645.0,60715116.55,2667663000.0
26,61087847.63,2019-01-19T10:14:55,500000000.0,2019-01-09,DBH,50000000000.0,DBH09012019,166,3935.1,132086.07,0.022889,TRYDZBK00260,9742173.0,61060277.13,2667725900.0
27,61705351.24,2019-01-20T10:14:54,500000000.0,2019-01-10,DBH,50000000000.0,DBH10012019,166,3373.79,131084.88,0.023119,TRYDZBK00260,9750349.0,61675383.59,2667725900.0
28,61436044.28,2019-01-21T10:14:59,500000000.0,2019-01-11,DBH,50000000000.0,DBH11012019,166,9078.48,126081.81,0.023019,TRYDZBK00260,9758525.0,61408289.83,2667683100.0
