,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,16154206.94,2018-12-13T10:14:57,50000000.0,2018-12-03,DBP,5000000000.0,DBP03122018,154,22252.95,1803838.1,0.031304,TRYDZBK00021,9032092.0,15951357.83,509560000.0
1,16171186.8,2018-12-14T10:14:56,50000000.0,2018-12-04,DBP,5000000000.0,DBP04122018,155,20634.1,1806466.59,0.031334,TRYDZBK00021,9057642.0,15966402.62,509561000.0
2,16213280.44,2018-12-15T10:14:55,50000000.0,2018-12-05,DBP,5000000000.0,DBP05122018,156,21000.11,806185.66,0.031417,TRYDZBK00021,9082170.0,16008372.22,509540500.0
3,16269046.04,2018-12-16T10:14:54,50000000.0,2018-12-06,DBP,5000000000.0,DBP06122018,156,21499.54,1813134.64,0.031527,TRYDZBK00021,9090346.0,16064097.41,509540500.0
4,16087111.85,2018-12-17T10:14:59,50000000.0,2018-12-07,DBP,5000000000.0,DBP07122018,156,21741.08,1612019.56,0.031566,TRYDZBK00021,9098522.0,15896331.63,503598000.0
5,16102348.17,2018-12-20T10:14:57,50000000.0,2018-12-10,DBP,5000000000.0,DBP10122018,156,21657.79,1164343.71,0.031593,TRYDZBK00021,9170062.0,15909955.15,503598000.0
6,16069055.19,2018-12-21T10:14:56,50000000.0,2018-12-11,DBP,5000000000.0,DBP11122018,153,21187.76,1140735.53,0.031573,TRYDZBK00021,9194590.0,15876600.78,502847500.0
7,16063551.21,2018-12-22T10:14:55,50000000.0,2018-12-12,DBP,5000000000.0,DBP12122018,153,21824.1,1118718.28,0.031607,TRYDZBK00021,9219118.0,15871221.62,502142000.0
8,16094024.59,2018-12-23T10:14:54,50000000.0,2018-12-13,DBP,5000000000.0,DBP13122018,152,21965.81,1117713.04,0.031669,TRYDZBK00021,9227294.0,15901323.84,502116500.0
9,16100257.22,2018-12-24T10:14:53,50000000.0,2018-12-14,DBP,5000000000.0,DBP14122018,152,21640.5,1118708.61,0.031679,TRYDZBK00021,9235471.0,15906718.1,502116500.0
