,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,165160283.58,2018-12-13T10:14:57,1500000000.0,2018-12-03,DBZ,150000000000.0,DBZ03122018,783,11276.53,9568822.37,0.01907,TRYDZBK00195,9032093.0,159429380.58,8360084800.0
1,168285897.38,2018-12-14T10:14:56,1500000000.0,2018-12-04,DBZ,150000000000.0,DBZ04122018,790,10422.3,19851641.11,0.019083,TRYDZBK00195,9057643.0,162547096.04,8517831600.0
2,172277876.43,2018-12-15T10:14:55,1500000000.0,2018-12-05,DBZ,150000000000.0,DBZ05122018,792,11585.17,20304217.29,0.019097,TRYDZBK00195,9082171.0,166533044.3,8720497700.0
3,173656570.79,2018-12-16T10:14:54,1500000000.0,2018-12-06,DBZ,150000000000.0,DBZ06122018,795,12072.94,23341618.34,0.019108,TRYDZBK00195,9090347.0,167904913.88,8786979600.0
4,174123575.72,2018-12-17T10:14:59,1500000000.0,2018-12-07,DBZ,150000000000.0,DBZ07122018,798,10376.06,23697685.32,0.019122,TRYDZBK00195,9098523.0,168525275.48,8813230200.0
5,174937069.64,2018-12-20T10:14:57,1500000000.0,2018-12-10,DBZ,150000000000.0,DBZ10122018,797,10543.02,11424339.35,0.01916,TRYDZBK00195,9170063.0,169317289.24,8836937900.0
6,176726613.13,2018-12-21T10:14:56,1500000000.0,2018-12-11,DBZ,150000000000.0,DBZ11122018,801,9574.91,11356878.0,0.019173,TRYDZBK00195,9194591.0,171105613.81,8924468800.0
7,177732139.65,2018-12-22T10:14:55,1500000000.0,2018-12-12,DBZ,150000000000.0,DBZ12122018,802,10366.24,12250851.01,0.019185,TRYDZBK00195,9219119.0,172104485.7,8970766700.0
8,182343414.49,2018-12-23T10:14:54,1500000000.0,2018-12-13,DBZ,150000000000.0,DBZ13122018,808,8753.62,6003830.14,0.019197,TRYDZBK00195,9227295.0,176706663.08,9204964100.0
9,185044888.28,2018-12-24T10:14:53,1500000000.0,2018-12-14,DBZ,150000000000.0,DBZ14122018,813,12306.17,10006342.47,0.019209,TRYDZBK00195,9235472.0,179403863.19,9339433900.0
10,180868571.24,2018-12-27T10:14:57,1500000000.0,2018-12-17,DBZ,150000000000.0,DBZ17122018,813,88958.09,60114.41,0.019247,TRYDZBK00195,9307011.0,175281733.08,9107121900.0
11,184415275.65,2018-12-28T10:14:59,1500000000.0,2018-12-18,DBZ,150000000000.0,DBZ18122018,817,10119.43,6061884.24,0.019259,TRYDZBK00195,9332457.0,178741756.83,9280850800.0
12,185923575.05,2018-12-29T10:14:58,1500000000.0,2018-12-19,DBZ,150000000000.0,DBZ19122018,820,9981.41,9613113.75,0.019271,TRYDZBK00195,9356985.0,180242065.98,9352799600.0
13,187323558.83,2018-12-30T10:14:58,1500000000.0,2018-12-20,DBZ,150000000000.0,DBZ20122018,820,10473.3,457289.22,0.019269,TRYDZBK00195,9365161.0,181634909.75,9426035700.0
14,187593822.31,2018-12-31T10:15:00,1500000000.0,2018-12-21,DBZ,150000000000.0,DBZ21122018,821,10238.46,3095974.43,0.019279,TRYDZBK00195,9373337.0,181897035.36,9434798400.0
15,186106572.17,2019-01-03T10:14:57,1500000000.0,2018-12-24,DBZ,150000000000.0,DBZ24122018,818,10685.33,2083983.34,0.019284,TRYDZBK00195,9425459.0,180386913.67,9354401500.0
16,188434205.36,2019-01-04T10:14:57,1500000000.0,2018-12-25,DBZ,150000000000.0,DBZ25122018,820,10827.87,100064.11,0.019266,TRYDZBK00195,9449987.0,182706853.43,9483396000.0
17,187128449.91,2019-01-05T10:14:56,1500000000.0,2018-12-26,DBZ,150000000000.0,DBZ26122018,811,10124.06,90059.55,0.019287,TRYDZBK00195,9473493.0,181392571.05,9404830500.0
18,184501675.3,2019-01-06T10:14:55,1500000000.0,2018-12-27,DBZ,150000000000.0,DBZ27122018,810,9985.13,3494214.79,0.019283,TRYDZBK00195,9480647.0,178757871.95,9270016000.0
19,183991082.48,2019-01-07T10:15:00,1500000000.0,2018-12-28,DBZ,150000000000.0,DBZ28122018,807,10676.1,822515.17,0.0193,TRYDZBK00195,9487801.0,178240340.59,9235196800.0
20,184244796.75,2019-01-10T10:14:57,1500000000.0,2018-12-31,DBZ,150000000000.0,DBZ31122018,809,10290.63,2990753.4,0.019308,TRYDZBK00195,9556275.0,178470526.85,9243534300.0
21,184528017.93,2019-01-12T10:14:58,1500000000.0,2019-01-02,DBZ,150000000000.0,DBZ02012019,813,10274.46,112153.42,0.019324,TRYDZBK00195,9604206.0,178729475.29,9249297300.0
22,183495099.26,2019-01-13T10:14:57,1500000000.0,2019-01-03,DBZ,150000000000.0,DBZ03012019,809,10558.27,2256473.47,0.019331,TRYDZBK00195,9612382.0,177689127.57,9191905700.0
23,183419241.6,2019-01-14T10:14:59,1500000000.0,2019-01-04,DBZ,150000000000.0,DBZ04012019,808,10056.79,2111361.38,0.019338,TRYDZBK00195,9620558.0,177605109.61,9184300200.0
24,182926179.76,2019-01-17T10:14:57,1500000000.0,2019-01-07,DBZ,150000000000.0,DBZ07012019,801,10182.13,2535888.64,0.019368,TRYDZBK00195,9692098.0,177089269.16,9143209700.0
25,177962272.95,2019-01-18T10:14:56,1500000000.0,2019-01-08,DBZ,150000000000.0,DBZ08012019,795,10657.98,390250.56,0.019378,TRYDZBK00195,9717648.0,172327963.25,8892771100.0
26,176553571.0,2019-01-19T10:14:55,1500000000.0,2019-01-09,DBZ,150000000000.0,DBZ09012019,793,10570.93,382248.04,0.019389,TRYDZBK00195,9742176.0,170920890.46,8815399900.0
27,170573717.01,2019-01-20T10:14:54,1500000000.0,2019-01-10,DBZ,150000000000.0,DBZ10012019,788,10685.17,111071.92,0.019399,TRYDZBK00195,9750352.0,164934046.02,8502325200.0
28,166727445.2,2019-01-21T10:14:59,1500000000.0,2019-01-11,DBZ,150000000000.0,DBZ11012019,784,11314.35,5459535.17,0.01941,TRYDZBK00195,9758528.0,161081339.86,8299071700.0
29,166111702.48,2019-01-24T10:14:57,1500000000.0,2019-01-14,DBZ,150000000000.0,DBZ14012019,783,9809.98,51099.55,0.019443,TRYDZBK00195,9830068.0,160443456.79,8252200200.0
30,165085116.6,2019-01-25T10:14:56,1500000000.0,2019-01-15,DBZ,150000000000.0,DBZ15012019,783,9861.06,447292.08,0.019454,TRYDZBK00195,9855618.0,159410039.11,8194373400.0
