,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,774689.24,2018-12-13T10:14:57,30000000.0,2018-12-03,DPT,3000000000.0,DPT03122018,81,3727.5,0.0,0.920618,TRYDNZP00074,9032098.0,782207.88,849655
1,768178.03,2018-12-14T10:14:56,30000000.0,2018-12-04,DPT,3000000000.0,DPT04122018,80,3301.98,0.0,0.926124,TRYDNZP00074,9057648.0,761509.09,822254
2,757781.82,2018-12-15T10:14:55,30000000.0,2018-12-05,DPT,3000000000.0,DPT05122018,81,3848.42,0.0,0.917582,TRYDNZP00074,9082176.0,754408.99,822171
3,760189.36,2018-12-16T10:14:54,30000000.0,2018-12-06,DPT,3000000000.0,DPT06122018,82,3875.22,0.0,0.920482,TRYDNZP00074,9090352.0,756893.37,822279
4,760700.98,2018-12-17T10:14:59,30000000.0,2018-12-07,DPT,3000000000.0,DPT07122018,82,3557.98,0.0,0.906807,TRYDNZP00074,9098528.0,745648.34,822279
5,778208.77,2018-12-20T10:14:57,30000000.0,2018-12-10,DPT,3000000000.0,DPT10122018,83,2995.13,0.0,0.914483,TRYDNZP00074,9170068.0,762506.65,833812
6,755546.26,2018-12-21T10:14:56,30000000.0,2018-12-11,DPT,3000000000.0,DPT11122018,85,3745.79,0.0,0.898175,TRYDNZP00074,9194596.0,750327.71,835391
7,751819.55,2018-12-22T10:14:55,30000000.0,2018-12-12,DPT,3000000000.0,DPT12122018,86,3042.47,0.0,0.891829,TRYDNZP00074,9219124.0,745298.17,835696
8,740271.6,2018-12-23T10:14:54,30000000.0,2018-12-13,DPT,3000000000.0,DPT13122018,86,3872.7,0.0,0.87833,TRYDNZP00074,9227300.0,734901.69,836703
9,777293.92,2018-12-24T10:14:53,30000000.0,2018-12-14,DPT,3000000000.0,DPT14122018,86,3334.8,0.0,0.903733,TRYDNZP00074,9235477.0,755168.44,835610
10,786157.6,2018-12-27T10:14:57,30000000.0,2018-12-17,DPT,3000000000.0,DPT17122018,86,3666.95,0.0,0.897577,TRYDNZP00074,9307016.0,764484.48,851720
11,768851.06,2018-12-28T10:14:59,30000000.0,2018-12-18,DPT,3000000000.0,DPT18122018,85,3084.87,0.0,0.894926,TRYDNZP00074,9332462.0,762756.68,852313
12,767298.65,2018-12-29T10:14:58,30000000.0,2018-12-19,DPT,3000000000.0,DPT19122018,84,3091.7,0.0,0.904625,TRYDNZP00074,9356990.0,770747.82,852008
13,781638.24,2018-12-30T10:14:58,30000000.0,2018-12-20,DPT,3000000000.0,DPT20122018,84,3878.59,0.0,0.922888,TRYDNZP00074,9365166.0,774106.61,838787
14,771560.3,2018-12-31T10:15:00,30000000.0,2018-12-21,DPT,3000000000.0,DPT21122018,83,3738.21,0.0,0.913232,TRYDNZP00074,9373342.0,766007.28,838787
15,769124.98,2019-01-03T10:14:57,30000000.0,2018-12-24,DPT,3000000000.0,DPT24122018,83,3758.42,0.0,0.910194,TRYDNZP00074,9425464.0,761987.18,837170
16,759669.76,2019-01-04T10:14:57,30000000.0,2018-12-25,DPT,3000000000.0,DPT25122018,83,3344.36,0.0,0.904803,TRYDNZP00074,9449992.0,757474.0,837170
17,756664.99,2019-01-05T10:14:56,30000000.0,2018-12-26,DPT,3000000000.0,DPT26122018,83,3364.61,0.0,0.901173,TRYDNZP00074,9473498.0,751465.12,833874
18,760768.8,2019-01-06T10:14:55,30000000.0,2018-12-27,DPT,3000000000.0,DPT27122018,83,3323.7,0.0,0.90487,TRYDNZP00074,9480652.0,754391.88,833702
19,760702.23,2019-01-07T10:15:00,30000000.0,2018-12-28,DPT,3000000000.0,DPT28122018,82,3189.41,0.0,0.904764,TRYDNZP00074,9487806.0,752295.05,831482
20,756760.05,2019-01-10T10:14:57,30000000.0,2018-12-31,DPT,3000000000.0,DPT31122018,82,3200.85,0.0,0.902301,TRYDNZP00074,9556280.0,750247.01,831482
21,578313.92,2019-01-12T10:14:58,30000000.0,2019-01-02,DPT,3000000000.0,DPT02012019,83,3260.2,0.0,0.910157,TRYDNZP00074,9604211.0,757787.32,832590
22,564606.74,2019-01-13T10:14:57,30000000.0,2019-01-03,DPT,3000000000.0,DPT03012019,83,3302.15,0.0,0.888152,TRYDNZP00074,9612387.0,553107.43,622762
23,552689.46,2019-01-14T10:14:59,30000000.0,2019-01-04,DPT,3000000000.0,DPT04012019,82,3316.43,0.0,0.872481,TRYDNZP00074,9620563.0,542381.07,621654
24,567747.55,2019-01-17T10:14:57,30000000.0,2019-01-07,DPT,3000000000.0,DPT07012019,82,3698.08,0.0,0.893143,TRYDNZP00074,9692103.0,556605.65,623199
25,579721.58,2019-01-18T10:14:56,30000000.0,2019-01-08,DPT,3000000000.0,DPT08012019,82,12152.64,0.0,0.902597,TRYDNZP00074,9717653.0,572301.32,634061
26,590902.84,2019-01-19T10:14:55,30000000.0,2019-01-09,DPT,3000000000.0,DPT09012019,82,3045.11,0.0,0.909171,TRYDNZP00074,9742181.0,576469.85,634061
27,593286.34,2019-01-20T10:14:54,30000000.0,2019-01-10,DPT,3000000000.0,DPT10012019,83,3892.46,0.0,0.912917,TRYDNZP00074,9750357.0,578702.61,633905
28,615450.26,2019-01-21T10:14:59,30000000.0,2019-01-11,DPT,3000000000.0,DPT11012019,82,3825.72,0.0,0.909367,TRYDNZP00074,9758533.0,575901.32,633299
29,641983.47,2019-01-24T10:14:57,30000000.0,2019-01-14,DPT,3000000000.0,DPT14012019,81,3294.18,0.0,0.911562,TRYDNZP00074,9830073.0,602349.85,660789
30,624189.53,2019-01-25T10:14:56,30000000.0,2019-01-15,DPT,3000000000.0,DPT15012019,81,3995.4,0.0,0.924092,TRYDNZP00074,9855623.0,610629.5,660789
31,632879.28,2019-01-26T10:14:55,30000000.0,2019-01-16,DPT,3000000000.0,DPT16012019,81,3981.82,0.0,0.937224,TRYDNZP00074,9880151.0,619306.99,660789
32,649789.69,2019-01-27T10:14:57,30000000.0,2019-01-17,DPT,3000000000.0,DPT17012019,82,3389.95,0.0,0.959719,TRYDNZP00074,9888224.0,635588.01,662265
33,660455.41,2019-01-28T10:14:59,30000000.0,2019-01-18,DPT,3000000000.0,DPT18012019,83,3913.18,0.0,0.974258,TRYDNZP00074,9896400.0,646738.8,663827
34,671131.45,2019-01-31T10:14:57,30000000.0,2019-01-21,DPT,3000000000.0,DPT21012019,83,3938.45,0.0,0.987004,TRYDNZP00074,9967940.0,652714.65,661309
35,669061.68,2019-02-01T10:14:56,30000000.0,2019-01-22,DPT,3000000000.0,DPT22012019,82,3566.67,0.0,0.986964,TRYDNZP00074,9993490.0,652293.06,660909
36,681532.13,2019-02-02T10:14:55,30000000.0,2019-01-23,DPT,3000000000.0,DPT23012019,86,4337.6,0.0,1.004475,TRYDNZP00074,10018018.0,657164.66,654237
37,670493.71,2019-02-03T10:14:54,30000000.0,2019-01-24,DPT,3000000000.0,DPT24012019,86,3488.08,0.0,1.002865,TRYDNZP00074,10026194.0,655511.64,653639
38,660099.96,2019-02-04T10:15:00,30000000.0,2019-01-25,DPT,3000000000.0,DPT25012019,85,3898.84,0.0,1.015952,TRYDNZP00074,10034370.0,663963.97,653539
39,662724.31,2019-02-07T10:14:57,30000000.0,2019-01-28,DPT,3000000000.0,DPT28012019,85,3925.22,0.0,1.019956,TRYDNZP00074,10105910.0,644268.73,631663
40,638240.55,2019-02-08T10:14:56,30000000.0,2019-01-29,DPT,3000000000.0,DPT29012019,85,3622.41,0.0,1.007558,TRYDNZP00074,10131460.0,636445.19,631671
41,693753.19,2019-02-09T10:14:55,30000000.0,2019-01-30,DPT,3000000000.0,DPT30012019,85,3640.46,0.0,1.044601,TRYDNZP00074,10155988.0,659008.6,630871
42,673527.2,2019-02-10T10:14:54,30000000.0,2019-01-31,DPT,3000000000.0,DPT31012019,86,3486.81,0.0,1.038414,TRYDNZP00074,10164164.0,654079.28,629883
43,647944.12,2019-02-11T10:14:53,30000000.0,2019-02-01,DPT,3000000000.0,DPT01022019,88,3258.46,0.0,1.037474,TRYDNZP00074,10172340.0,659620.55,635795
44,667275.68,2019-02-14T10:14:58,30000000.0,2019-02-04,DPT,3000000000.0,DPT04022019,88,3626.05,0.0,1.029963,TRYDNZP00074,10243880.0,653425.85,634417
45,707530.33,2019-02-15T10:14:57,30000000.0,2019-02-05,DPT,3000000000.0,DPT05022019,87,3757.49,0.0,1.023169,TRYDNZP00074,10269430.0,649599.47,634890
46,672264.25,2019-02-16T10:14:56,30000000.0,2019-02-06,DPT,3000000000.0,DPT06022019,87,3801.89,0.0,1.029458,TRYDNZP00074,10293958.0,650613.65,631996
47,642587.44,2019-02-17T10:15:00,30000000.0,2019-02-07,DPT,3000000000.0,DPT07022019,88,3603.26,0.0,1.025281,TRYDNZP00074,10302031.0,660297.24,644016
48,672987.65,2019-02-18T10:14:58,30000000.0,2019-02-08,DPT,3000000000.0,DPT08022019,87,3617.29,0.0,1.030518,TRYDNZP00074,10310207.0,663670.28,644016
