,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,7938778.66,2018-12-13T10:14:57,30000000.0,2018-12-03,DZE,3000000000.0,DZE03122018,448,3014.35,834605.52,0.063388,TRMDZEWWWWW1,9032101.0,7907587.69,124748200.0
1,7900409.77,2018-12-14T10:14:56,30000000.0,2018-12-04,DZE,3000000000.0,DZE04122018,447,3221.11,831532.75,0.063106,TRMDZEWWWWW1,9057651.0,7871111.0,124728600.0
2,7830706.34,2018-12-15T10:14:55,30000000.0,2018-12-05,DZE,3000000000.0,DZE05122018,448,3332.8,842542.11,0.062458,TRMDZEWWWWW1,9082179.0,7769675.75,124399000.0
3,7805606.07,2018-12-16T10:14:54,30000000.0,2018-12-06,DZE,3000000000.0,DZE06122018,447,3206.19,810508.19,0.062514,TRMDZEWWWWW1,9090355.0,7776158.95,124391100.0
4,7766264.55,2018-12-17T10:14:59,30000000.0,2018-12-07,DZE,3000000000.0,DZE07122018,448,3535.67,857542.38,0.061818,TRMDZEWWWWW1,9098531.0,7669005.92,124057400.0
5,7743023.45,2018-12-20T10:14:57,30000000.0,2018-12-10,DZE,3000000000.0,DZE10122018,445,3756.13,782514.93,0.062237,TRMDZEWWWWW1,9170071.0,7714691.41,123956600.0
6,7617940.09,2018-12-21T10:14:56,30000000.0,2018-12-11,DZE,3000000000.0,DZE11122018,444,3271.26,771497.45,0.061312,TRMDZEWWWWW1,9194599.0,7555063.78,123223800.0
7,7596370.13,2018-12-22T10:14:55,30000000.0,2018-12-12,DZE,3000000000.0,DZE12122018,444,3967.1,786504.98,0.061018,TRMDZEWWWWW1,9219127.0,7576471.77,124168700.0
8,7476171.86,2018-12-23T10:14:54,30000000.0,2018-12-13,DZE,3000000000.0,DZE13122018,441,3365.62,785501.11,0.06007,TRMDZEWWWWW1,9227303.0,7458971.44,124171400.0
9,7599918.32,2018-12-24T10:14:53,30000000.0,2018-12-14,DZE,3000000000.0,DZE14122018,444,3018.64,797502.22,0.060971,TRMDZEWWWWW1,9235480.0,7582106.16,124356000.0
10,7573402.13,2018-12-27T10:14:57,30000000.0,2018-12-17,DZE,3000000000.0,DZE17122018,446,4766.5,327623.54,0.060509,TRMDZEWWWWW1,9307019.0,7512818.13,124160400.0
11,7491361.94,2018-12-28T10:14:59,30000000.0,2018-12-18,DZE,3000000000.0,DZE18122018,444,3640.1,789505.82,0.060246,TRMDZEWWWWW1,9332465.0,7478772.18,124136300.0
12,7579727.77,2018-12-29T10:14:58,30000000.0,2018-12-19,DZE,3000000000.0,DZE19122018,445,4284.97,788500.87,0.060968,TRMDZEWWWWW1,9356993.0,7552184.74,123870600.0
13,7690924.93,2018-12-30T10:14:58,30000000.0,2018-12-20,DZE,3000000000.0,DZE20122018,442,3682.53,321203.22,0.061931,TRMDZEWWWWW1,9365169.0,7666676.64,123794800.0
14,7634215.79,2018-12-31T10:15:00,30000000.0,2018-12-21,DZE,3000000000.0,DZE21122018,441,3567.26,819519.45,0.061489,TRMDZEWWWWW1,9373345.0,7607258.63,123717700.0
15,7629019.46,2019-01-03T10:14:57,30000000.0,2018-12-24,DZE,3000000000.0,DZE24122018,439,5038.92,814553.61,0.061489,TRMDZEWWWWW1,9425467.0,7607173.65,123717000.0
16,7603771.3,2019-01-04T10:14:57,30000000.0,2018-12-25,DZE,3000000000.0,DZE25122018,439,3851.95,815520.26,0.061277,TRMDZEWWWWW1,9449995.0,7574840.24,123616400.0
17,7552646.73,2019-01-05T10:14:56,30000000.0,2018-12-26,DZE,3000000000.0,DZE26122018,438,3160.47,310204.68,0.060904,TRMDZEWWWWW1,9473501.0,7523491.61,123530000.0
18,7559592.5,2019-01-06T10:14:55,30000000.0,2018-12-27,DZE,3000000000.0,DZE27122018,438,3390.7,805533.73,0.061002,TRMDZEWWWWW1,9480655.0,7535520.12,123530000.0
19,7563424.76,2019-01-07T10:15:00,30000000.0,2018-12-28,DZE,3000000000.0,DZE28122018,438,3194.57,807498.57,0.061017,TRMDZEWWWWW1,9487809.0,7534653.77,123484400.0
20,7530569.02,2019-01-10T10:14:57,30000000.0,2018-12-31,DZE,3000000000.0,DZE31122018,437,3138.47,805543.02,0.060768,TRMDZEWWWWW1,9556283.0,7504493.14,123493300.0
21,7595153.77,2019-01-12T10:14:58,30000000.0,2019-01-02,DZE,3000000000.0,DZE02012019,437,3135.05,306414.25,0.061282,TRMDZEWWWWW1,9604214.0,7556493.75,123307800.0
22,7407317.86,2019-01-13T10:14:57,30000000.0,2019-01-03,DZE,3000000000.0,DZE03012019,436,5991.11,798521.43,0.059829,TRMDZEWWWWW1,9612390.0,7382795.91,123397900.0
23,7297030.91,2019-01-14T10:14:59,30000000.0,2019-01-04,DZE,3000000000.0,DZE04012019,436,3450.41,805520.49,0.05888,TRMDZEWWWWW1,9620566.0,7268866.93,123452600.0
24,7407450.41,2019-01-17T10:14:57,30000000.0,2019-01-07,DZE,3000000000.0,DZE07012019,437,3139.02,815575.59,0.059694,TRMDZEWWWWW1,9692106.0,7378358.07,123603400.0
25,7485757.24,2019-01-18T10:14:56,30000000.0,2019-01-08,DZE,3000000000.0,DZE08012019,438,9490.33,304196.56,0.060417,TRMDZEWWWWW1,9717656.0,7467953.64,123606100.0
26,7751291.33,2019-01-19T10:14:55,30000000.0,2019-01-09,DZE,3000000000.0,DZE09012019,439,3932.83,10006.49,0.06089,TRMDZEWWWWW1,9742184.0,7674808.93,126043500.0
27,7737419.92,2019-01-20T10:14:54,30000000.0,2019-01-10,DZE,3000000000.0,DZE10012019,436,3579.11,458296.76,0.061195,TRMDZEWWWWW1,9750360.0,7703500.53,125885200.0
28,7728698.69,2019-01-21T10:14:59,30000000.0,2019-01-11,DZE,3000000000.0,DZE11012019,435,3744.09,951618.18,0.061182,TRMDZEWWWWW1,9758536.0,7687583.12,125650800.0
29,7766327.07,2019-01-24T10:14:57,30000000.0,2019-01-14,DZE,3000000000.0,DZE14012019,433,3683.64,450876.58,0.061483,TRMDZEWWWWW1,9830076.0,7740432.52,125895900.0
30,7800492.97,2019-01-25T10:14:56,30000000.0,2019-01-15,DZE,3000000000.0,DZE15012019,433,3517.26,452294.73,0.061749,TRMDZEWWWWW1,9855626.0,7770083.26,125832400.0
31,7881007.4,2019-01-26T10:14:55,30000000.0,2019-01-16,DZE,3000000000.0,DZE16012019,434,3378.56,452297.21,0.06239,TRMDZEWWWWW1,9880154.0,7853791.59,125881600.0
32,8048775.31,2019-01-27T10:14:57,30000000.0,2019-01-17,DZE,3000000000.0,DZE17012019,433,0.0,396257.67,0.063697,TRMDZEWWWWW1,9888227.0,7988788.34,125417900.0
33,8139329.02,2019-01-28T10:14:59,30000000.0,2019-01-18,DZE,3000000000.0,DZE18012019,433,4114.34,372244.09,0.064642,TRMDZEWWWWW1,9896403.0,8109184.16,125448500.0
34,8277226.6,2019-01-31T10:14:57,30000000.0,2019-01-21,DZE,3000000000.0,DZE21012019,431,3441.79,370732.9,0.06578,TRMDZEWWWWW1,9967943.0,8030692.4,122083600.0
35,8019962.86,2019-02-01T10:14:56,30000000.0,2019-01-22,DZE,3000000000.0,DZE22012019,429,3653.14,154101.47,0.065452,TRMDZEWWWWW1,9993493.0,7984187.65,121985100.0
36,8144225.89,2019-02-02T10:14:55,30000000.0,2019-01-23,DZE,3000000000.0,DZE23012019,429,4577.13,147097.87,0.066532,TRMDZEWWWWW1,10018021.0,8084188.59,121508300.0
37,8144956.28,2019-02-03T10:14:54,30000000.0,2019-01-24,DZE,3000000000.0,DZE24012019,427,4781.83,116075.48,0.066793,TRMDZEWWWWW1,10026197.0,8115325.79,121500400.0
38,8299826.9,2019-02-04T10:15:00,30000000.0,2019-01-25,DZE,3000000000.0,DZE25012019,428,3565.87,147094.04,0.067816,TRMDZEWWWWW1,10034373.0,8203856.87,120972900.0
39,8381022.46,2019-02-07T10:14:57,30000000.0,2019-01-28,DZE,3000000000.0,DZE28012019,430,3808.79,223434.39,0.067849,TRMDZEWWWWW1,10105913.0,8342039.4,122949600.0
40,8332317.55,2019-02-08T10:14:56,30000000.0,2019-01-29,DZE,3000000000.0,DZE29012019,430,4865.25,217139.12,0.067498,TRMDZEWWWWW1,10131463.0,8017610.56,118783800.0
41,8308777.16,2019-02-09T10:14:55,30000000.0,2019-01-30,DZE,3000000000.0,DZE30012019,426,0.0,440282.68,0.069512,TRMDZEWWWWW1,10155991.0,8151021.89,117261000.0
42,8204898.78,2019-02-10T10:14:54,30000000.0,2019-01-31,DZE,3000000000.0,DZE31012019,428,3808.12,346221.82,0.069573,TRMDZEWWWWW1,10164167.0,8165564.35,117367200.0
43,8200086.15,2019-02-11T10:14:53,30000000.0,2019-02-01,DZE,3000000000.0,DZE01022019,430,3807.2,343220.84,0.069555,TRMDZEWWWWW1,10172343.0,8160457.82,117323700.0
44,8120911.51,2019-02-14T10:14:58,30000000.0,2019-02-04,DZE,3000000000.0,DZE04022019,426,3478.8,359691.94,0.068731,TRMDZEWWWWW1,10243883.0,8042787.49,117017900.0
45,8025049.61,2019-02-15T10:14:57,30000000.0,2019-02-05,DZE,3000000000.0,DZE05022019,425,3510.41,317202.79,0.06827,TRMDZEWWWWW1,10269433.0,7934864.94,116228200.0
46,7972722.05,2019-02-16T10:14:56,30000000.0,2019-02-06,DZE,3000000000.0,DZE06022019,424,3364.18,268170.35,0.068426,TRMDZEWWWWW1,10293961.0,7946869.4,116138600.0
47,7973668.57,2019-02-17T10:15:00,30000000.0,2019-02-07,DZE,3000000000.0,DZE07022019,426,5577.71,319203.64,0.068534,TRMDZEWWWWW1,10302034.0,8029830.48,117164900.0
