,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6151441.99,2018-12-13T10:14:57,0.0,2018-12-03,EC2,120000000.0,EC203122018,201,23.28,0.0,4.047958,TRMEC2WWWWW1,9032108.0,6223857.21,1537530.0
1,6268122.6,2018-12-14T10:14:56,0.0,2018-12-04,EC2,120000000.0,EC204122018,201,150.88,0.0,4.069225,TRMEC2WWWWW1,9057658.0,6256555.53,1537530.0
2,6150302.0,2018-12-15T10:14:55,0.0,2018-12-05,EC2,120000000.0,EC205122018,201,370.94,0.0,3.992421,TRMEC2WWWWW1,9082186.0,6138466.64,1537530.0
3,6141829.49,2018-12-16T10:14:54,0.0,2018-12-06,EC2,120000000.0,EC206122018,201,91.0,0.0,3.986411,TRMEC2WWWWW1,9090362.0,6129226.54,1537530.0
4,6047595.69,2018-12-17T10:14:59,0.0,2018-12-07,EC2,120000000.0,EC207122018,201,65.72,0.0,3.927944,TRMEC2WWWWW1,9098538.0,6039331.04,1537530.0
5,6144354.81,2018-12-20T10:14:57,0.0,2018-12-10,EC2,120000000.0,EC210122018,202,32.2,0.0,3.989504,TRMEC2WWWWW1,9170078.0,6134592.47,1537683.0
6,6059516.56,2018-12-21T10:14:56,0.0,2018-12-11,EC2,120000000.0,EC211122018,202,107.77,0.0,3.934009,TRMEC2WWWWW1,9194606.0,6042937.49,1536076.0
7,6013458.45,2018-12-22T10:14:55,0.0,2018-12-12,EC2,120000000.0,EC212122018,201,12.76,0.0,3.907796,TRMEC2WWWWW1,9219134.0,5995888.42,1534340.0
8,5877205.64,2018-12-23T10:14:54,0.0,2018-12-13,EC2,120000000.0,EC213122018,200,395.07,0.0,3.82339,TRMEC2WWWWW1,9227310.0,5866379.49,1534340.0
9,5955819.21,2018-12-24T10:14:53,0.0,2018-12-14,EC2,120000000.0,EC214122018,200,601.85,0.0,3.874572,TRMEC2WWWWW1,9235487.0,5944911.56,1534340.0
10,5908584.29,2018-12-27T10:14:57,0.0,2018-12-17,EC2,120000000.0,EC217122018,200,8.68,0.0,3.842482,TRMEC2WWWWW1,9307026.0,5895673.07,1534340.0
11,5872775.06,2018-12-28T10:14:59,0.0,2018-12-18,EC2,120000000.0,EC218122018,200,39.7,0.0,3.824366,TRMEC2WWWWW1,9332472.0,5867877.84,1534340.0
12,5935925.76,2018-12-29T10:14:58,0.0,2018-12-19,EC2,120000000.0,EC219122018,200,246.48,0.0,3.87063,TRMEC2WWWWW1,9357000.0,5930822.63,1532263.0
13,6253588.38,2018-12-30T10:14:58,0.0,2018-12-20,EC2,120000000.0,EC220122018,195,146.57,0.0,3.937045,TRMEC2WWWWW1,9365176.0,6032588.56,1532263.0
14,6228330.37,2018-12-31T10:15:00,0.0,2018-12-21,EC2,120000000.0,EC221122018,195,82.42,0.0,3.915157,TRMEC2WWWWW1,9373352.0,5999050.25,1532263.0
15,5868570.54,2019-01-03T10:14:57,0.0,2018-12-24,EC2,120000000.0,EC224122018,195,26.27,0.0,3.915891,TRMEC2WWWWW1,9425474.0,6000174.29,1532263.0
16,5992756.34,2019-01-04T10:14:57,0.0,2018-12-25,EC2,120000000.0,EC225122018,195,16.99,0.0,3.911626,TRMEC2WWWWW1,9450002.0,5993639.04,1532263.0
17,6096947.22,2019-01-05T10:14:56,0.0,2018-12-26,EC2,120000000.0,EC226122018,195,42.9,0.0,3.882904,TRMEC2WWWWW1,9473508.0,5949630.8,1532263.0
18,5981030.76,2019-01-06T10:14:55,0.0,2018-12-27,EC2,120000000.0,EC227122018,195,31.39,0.0,3.891931,TRMEC2WWWWW1,9480662.0,5963461.92,1532263.0
19,5947517.59,2019-01-07T10:15:00,0.0,2018-12-28,EC2,120000000.0,EC228122018,195,121.78,0.0,3.869811,TRMEC2WWWWW1,9487816.0,5929568.03,1532263.0
20,6135569.2,2019-01-10T10:14:57,0.0,2018-12-31,EC2,120000000.0,EC231122018,196,301.37,0.0,3.859545,TRMEC2WWWWW1,9556290.0,6116395.41,1584745.0
21,6185652.91,2019-01-12T10:14:58,0.0,2019-01-02,EC2,120000000.0,EC202012019,196,14.74,0.0,3.890384,TRMEC2WWWWW1,9604221.0,6165267.33,1584745.0
22,6026268.32,2019-01-13T10:14:57,0.0,2019-01-03,EC2,120000000.0,EC203012019,196,326.45,0.0,3.795486,TRMEC2WWWWW1,9612397.0,6014877.66,1584745.0
23,5928158.86,2019-01-14T10:14:59,1200000.0,2019-01-04,EC2,120000000.0,EC204012019,196,38.94,336216.33,3.733116,TRMEC2WWWWW1,9620573.0,5916036.4,1584745.0
24,6047716.13,2019-01-17T10:14:57,0.0,2019-01-07,EC2,120000000.0,EC207012019,196,248.21,0.0,3.807832,TRMEC2WWWWW1,9692113.0,6034443.38,1584745.0
25,6125472.8,2019-01-18T10:14:56,0.0,2019-01-08,EC2,120000000.0,EC208012019,196,93.8,0.0,3.856511,TRMEC2WWWWW1,9717663.0,6111586.66,1584745.0
26,6178876.44,2019-01-19T10:14:55,0.0,2019-01-09,EC2,120000000.0,EC209012019,196,380.48,0.0,3.894435,TRMEC2WWWWW1,9742191.0,5972961.07,1533717.0
27,6144409.6,2019-01-20T10:14:54,0.0,2019-01-10,EC2,120000000.0,EC210012019,193,215.41,0.0,3.902869,TRMEC2WWWWW1,9750367.0,5946867.28,1523717.0
28,6101585.58,2019-01-21T10:14:59,0.0,2019-01-11,EC2,120000000.0,EC211012019,192,884.9,0.0,3.900511,TRMEC2WWWWW1,9758543.0,5943274.29,1523717.0
29,5988726.26,2019-01-24T10:14:57,1200000.0,2019-01-14,EC2,120000000.0,EC214012019,193,319.55,161313.62,3.922427,TRMEC2WWWWW1,9830083.0,5968930.37,1521744.0
30,5786409.03,2019-01-25T10:14:56,0.0,2019-01-15,EC2,120000000.0,EC215012019,193,36.74,0.0,3.945745,TRMEC2WWWWW1,9855633.0,6004414.41,1521744.0
31,5845990.16,2019-01-26T10:14:55,0.0,2019-01-16,EC2,120000000.0,EC216012019,193,76.64,0.0,3.987451,TRMEC2WWWWW1,9880161.0,5664999.22,1420707.0
