,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1108547.8,2018-12-13T10:14:57,0.0,2018-12-03,ECA,560000000.0,ECA03122018,46,54.13,0.0,0.089247,TRMECKWWWWW5,9032109.0,1105326.06,12385016.0
1,1108279.9,2018-12-14T10:14:56,0.0,2018-12-04,ECA,560000000.0,ECA04122018,46,27.91,0.0,0.089321,TRMECKWWWWW5,9057659.0,1106239.56,12385016.0
2,1108790.02,2018-12-15T10:14:55,0.0,2018-12-05,ECA,560000000.0,ECA05122018,46,27.91,0.0,0.089356,TRMECKWWWWW5,9082187.0,1106681.05,12385016.0
3,1112632.23,2018-12-16T10:14:54,0.0,2018-12-06,ECA,560000000.0,ECA06122018,46,27.91,0.0,0.089661,TRMECKWWWWW5,9090363.0,1110454.43,12385016.0
4,1106874.3,2018-12-17T10:14:59,0.0,2018-12-07,ECA,560000000.0,ECA07122018,47,17.92,0.0,0.089235,TRMECKWWWWW5,9098539.0,1105304.73,12386430.0
5,1110145.86,2018-12-20T10:14:57,0.0,2018-12-10,ECA,560000000.0,ECA10122018,47,17.92,0.0,0.089483,TRMECKWWWWW5,9170079.0,1108370.14,12386430.0
6,1105197.13,2018-12-21T10:14:56,0.0,2018-12-11,ECA,560000000.0,ECA11122018,47,5.79,0.0,0.089077,TRMECKWWWWW5,9194607.0,1103340.83,12386430.0
7,1102043.45,2018-12-22T10:14:55,0.0,2018-12-12,ECA,560000000.0,ECA12122018,47,5.79,0.0,0.088816,TRMECKWWWWW5,9219135.0,1100118.87,12386430.0
8,1091649.37,2018-12-23T10:14:54,0.0,2018-12-13,ECA,560000000.0,ECA13122018,47,5.79,0.0,0.087972,TRMECKWWWWW5,9227311.0,1089657.1,12386430.0
9,1097118.76,2018-12-24T10:14:53,0.0,2018-12-14,ECA,560000000.0,ECA14122018,47,5.79,0.0,0.088408,TRMECKWWWWW5,9235488.0,1095058.49,12386430.0
10,1095227.81,2018-12-27T10:14:57,0.0,2018-12-17,ECA,560000000.0,ECA17122018,47,5.82,0.0,0.088239,TRMECKWWWWW5,9307027.0,1092963.85,12386430.0
11,1095116.7,2018-12-28T10:14:59,0.0,2018-12-18,ECA,560000000.0,ECA18122018,47,67.03,0.0,0.088229,TRMECKWWWWW5,9332473.0,1092846.17,12386430.0
12,1095721.73,2018-12-29T10:14:58,0.0,2018-12-19,ECA,560000000.0,ECA19122018,47,67.03,0.0,0.088273,TRMECKWWWWW5,9357001.0,1093383.28,12386430.0
13,1101950.17,2018-12-30T10:14:58,0.0,2018-12-20,ECA,560000000.0,ECA20122018,47,67.15,0.0,0.08877,TRMECKWWWWW5,9365177.0,1099543.47,12386430.0
14,1100822.48,2018-12-31T10:15:00,0.0,2018-12-21,ECA,560000000.0,ECA21122018,47,42.49,0.0,0.088693,TRMECKWWWWW5,9373353.0,1098587.93,12386430.0
