,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,1816242.02,2018-12-13T10:14:57,0.0,2018-12-03,ECT,2500000000.0,ECT03122018,112,427.91,0.0,0.034792,TRYECZM00031,9032113.0,1812022.2,52081627.0
1,1814255.03,2018-12-14T10:14:56,0.0,2018-12-04,ECT,2500000000.0,ECT04122018,112,649.96,0.0,0.034794,TRYECZM00031,9057663.0,1812107.88,52081627.0
2,1814164.58,2018-12-15T10:14:55,0.0,2018-12-05,ECT,2500000000.0,ECT05122018,112,597.59,0.0,0.034789,TRYECZM00031,9082191.0,1811853.85,52081627.0
3,1816557.35,2018-12-16T10:14:54,0.0,2018-12-06,ECT,2500000000.0,ECT06122018,113,659.62,0.0,0.034815,TRYECZM00031,9090367.0,1814197.31,52110371.0
4,1820961.12,2018-12-17T10:14:59,0.0,2018-12-07,ECT,2500000000.0,ECT07122018,113,788.03,0.0,0.03484,TRYECZM00031,9098543.0,1819672.75,52228738.0
5,1827553.3,2018-12-20T10:14:57,0.0,2018-12-10,ECT,2500000000.0,ECT10122018,114,652.17,0.0,0.034885,TRYECZM00031,9170083.0,1825793.15,52337810.0
6,1827837.14,2018-12-21T10:14:56,0.0,2018-12-11,ECT,2500000000.0,ECT11122018,114,914.38,0.0,0.034893,TRYECZM00031,9194611.0,1826227.2,52337810.0
7,1819585.14,2018-12-22T10:14:55,0.0,2018-12-12,ECT,2500000000.0,ECT12122018,113,889.45,0.0,0.034907,TRYECZM00031,9219139.0,1817838.73,52077106.0
8,1811806.77,2018-12-23T10:14:54,0.0,2018-12-13,ECT,2500000000.0,ECT13122018,113,729.43,0.0,0.034908,TRYECZM00031,9227315.0,1809789.24,51844968.0
9,1812481.25,2018-12-24T10:14:53,0.0,2018-12-14,ECT,2500000000.0,ECT14122018,113,11.74,0.0,0.034905,TRYECZM00031,9235492.0,1809634.94,51844968.0
10,1815043.36,2018-12-27T10:14:57,0.0,2018-12-17,ECT,2500000000.0,ECT17122018,113,597.11,0.0,0.034959,TRYECZM00031,9307031.0,1812448.69,51844968.0
11,1842902.79,2018-12-28T10:14:59,0.0,2018-12-18,ECT,2500000000.0,ECT18122018,114,59.93,0.0,0.03498,TRYECZM00031,9332477.0,1839658.21,52591585.0
