,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,6057306.83,2018-12-13T10:14:57,100000000.0,2018-12-03,EIC,10000000000.0,EIC03122018,22,10141.17,674286.07,0.014526,TRYERPO00036,9032122.0,6016025.61,414160502.0
1,6063249.85,2018-12-14T10:14:56,100000000.0,2018-12-04,EIC,10000000000.0,EIC04122018,22,10382.91,686440.73,0.014511,TRYERPO00036,9057672.0,6021993.21,414985899.0
2,6095266.99,2018-12-15T10:14:55,100000000.0,2018-12-05,EIC,10000000000.0,EIC05122018,22,9856.44,732469.28,0.014548,TRYERPO00036,9082200.0,6053265.7,416098843.0
3,6098143.05,2018-12-16T10:14:54,100000000.0,2018-12-06,EIC,10000000000.0,EIC06122018,24,9594.13,1200759.18,0.014553,TRYERPO00036,9090376.0,6061666.75,416525469.0
4,6346629.76,2018-12-17T10:14:59,100000000.0,2018-12-07,EIC,10000000000.0,EIC07122018,28,10196.5,1250789.38,0.014541,TRYERPO00036,9098552.0,6310529.32,433976439.0
5,6374769.4,2018-12-20T10:14:57,100000000.0,2018-12-10,EIC,10000000000.0,EIC10122018,29,10236.99,1252414.38,0.014575,TRYERPO00036,9170092.0,6338027.22,434868441.0
6,6358015.67,2018-12-21T10:14:56,100000000.0,2018-12-11,EIC,10000000000.0,EIC11122018,31,45460.65,1250809.93,0.014578,TRYERPO00036,9194620.0,6356269.16,436005476.0
7,6447375.77,2018-12-22T10:14:55,100000000.0,2018-12-12,EIC,10000000000.0,EIC12122018,31,10222.43,1250801.37,0.014584,TRYERPO00036,9219148.0,6410161.3,439548691.0
8,6435442.76,2018-12-23T10:14:54,100000000.0,2018-12-13,EIC,10000000000.0,EIC13122018,31,10353.7,1250792.72,0.014564,TRYERPO00036,9227324.0,6398130.21,439305947.0
9,6438851.56,2018-12-24T10:14:53,100000000.0,2018-12-14,EIC,10000000000.0,EIC14122018,30,9641.05,1250796.23,0.01461,TRYERPO00036,9235501.0,6400596.93,438094077.0
10,6253986.8,2018-12-27T10:14:57,100000000.0,2018-12-17,EIC,10000000000.0,EIC17122018,26,110486.14,1252363.01,0.014606,TRYERPO00036,9307040.0,6315897.18,432413427.0
11,6351728.77,2018-12-28T10:14:59,100000000.0,2018-12-18,EIC,10000000000.0,EIC18122018,26,9808.18,1250801.37,0.014599,TRYERPO00036,9332486.0,6312734.61,432413427.0
12,6217799.66,2018-12-29T10:14:58,100000000.0,2018-12-19,EIC,10000000000.0,EIC19122018,25,9172.11,1200770.96,0.014619,TRYERPO00036,9357014.0,6177947.21,422591418.0
13,6227797.39,2018-12-30T10:14:58,100000000.0,2018-12-20,EIC,10000000000.0,EIC20122018,24,9742.48,1200764.38,0.014642,TRYERPO00036,9365190.0,6188292.76,422638440.0
14,6215378.59,2018-12-31T10:15:00,100000000.0,2018-12-21,EIC,10000000000.0,EIC21122018,22,9616.52,1200763.03,0.014645,TRYERPO00036,9373366.0,6175525.86,421682080.0
15,6229615.7,2019-01-03T10:14:57,100000000.0,2018-12-24,EIC,10000000000.0,EIC24122018,22,10142.54,1202303.01,0.014678,TRYERPO00036,9425488.0,6189621.19,421682080.0
