,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2656227.2,2018-12-13T10:14:57,500000.0,2018-12-03,EIL,50000000.0,EIL03122018,251,8283.47,526003.25,0.664612,TRMAITWWWWW1,9032124.0,2662740.7,4006460.0
1,2747624.14,2018-12-14T10:14:56,500000.0,2018-12-04,EIL,50000000.0,EIL04122018,250,10229.4,545350.14,0.665023,TRMAITWWWWW1,9057674.0,2756023.27,4144250.0
2,2749571.71,2018-12-15T10:14:55,500000.0,2018-12-05,EIL,50000000.0,EIL05122018,250,10049.12,545349.4,0.665434,TRMAITWWWWW1,9082202.0,2757724.31,4144250.0
3,2861657.68,2018-12-16T10:14:54,500000.0,2018-12-06,EIL,50000000.0,EIL06122018,250,10304.11,550351.1,0.665858,TRMAITWWWWW1,9090378.0,2871999.52,4313230.0
4,2732492.12,2018-12-17T10:14:59,500000.0,2018-12-07,EIL,50000000.0,EIL07122018,250,9151.35,535337.86,0.666275,TRMAITWWWWW1,9098554.0,2741615.58,4114840.0
5,2734077.87,2018-12-20T10:14:57,500000.0,2018-12-10,EIL,50000000.0,EIL10122018,249,10025.29,536033.36,0.667524,TRMAITWWWWW1,9170094.0,2743863.11,4110510.0
6,2732868.89,2018-12-21T10:14:56,500000.0,2018-12-11,EIL,50000000.0,EIL11122018,249,8085.61,535346.65,0.667942,TRMAITWWWWW1,9194622.0,2740727.14,4103240.0
7,2727663.56,2018-12-22T10:14:55,500000.0,2018-12-12,EIL,50000000.0,EIL12122018,249,10036.57,535342.99,0.66836,TRMAITWWWWW1,9219150.0,2737408.79,4095710.0
8,2765017.48,2018-12-23T10:14:54,500000.0,2018-12-13,EIL,50000000.0,EIL13122018,247,9976.54,540342.49,0.669147,TRMAITWWWWW1,9227326.0,2774637.67,4146530.0
9,2722751.83,2018-12-24T10:14:53,500000.0,2018-12-14,EIL,50000000.0,EIL14122018,248,10763.11,540343.97,0.669553,TRMAITWWWWW1,9235503.0,2733094.73,4081970.0
10,2517033.43,2018-12-27T10:14:57,500000.0,2018-12-17,EIL,50000000.0,EIL17122018,248,9244.7,490938.38,0.670885,TRMAITWWWWW1,9307042.0,2525642.25,3764640.0
11,2513193.63,2018-12-28T10:14:59,500000.0,2018-12-18,EIL,50000000.0,EIL18122018,248,10328.68,495317.34,0.671292,TRMAITWWWWW1,9332488.0,2522882.91,3758250.0
12,2517872.39,2018-12-29T10:14:58,500000.0,2018-12-19,EIL,50000000.0,EIL19122018,248,9236.52,500321.23,0.671699,TRMAITWWWWW1,9357016.0,2526609.41,3761520.0
13,2518545.73,2018-12-30T10:14:58,500000.0,2018-12-20,EIL,50000000.0,EIL20122018,248,10151.37,500318.49,0.672106,TRMAITWWWWW1,9365192.0,2528138.73,3761520.0
14,2525229.23,2018-12-31T10:15:00,500000.0,2018-12-21,EIL,50000000.0,EIL21122018,248,9324.88,500322.15,0.672513,TRMAITWWWWW1,9373368.0,2533936.69,3767860.0
15,2529471.13,2019-01-03T10:14:57,500000.0,2018-12-24,EIL,50000000.0,EIL24122018,248,6853.22,501285.6,0.673737,TRMAITWWWWW1,9425490.0,2535472.85,3763300.0
16,2349064.74,2019-01-04T10:14:57,500000.0,2018-12-25,EIL,50000000.0,EIL25122018,248,9225.48,501612.96,0.674134,TRMAITWWWWW1,9450018.0,2357365.03,3496880.0
17,2343008.17,2019-01-05T10:14:56,500000.0,2018-12-26,EIL,50000000.0,EIL26122018,247,9948.98,501931.97,0.674515,TRMAITWWWWW1,9473524.0,2351958.39,3486890.0
18,2343463.34,2019-01-06T10:14:55,500000.0,2018-12-27,EIL,50000000.0,EIL27122018,247,9980.65,502247.95,0.675047,TRMAITWWWWW1,9480678.0,2352371.64,3484750.0
19,2350621.17,2019-01-07T10:15:00,500000.0,2018-12-28,EIL,50000000.0,EIL28122018,247,10002.69,502575.34,0.675488,TRMAITWWWWW1,9487832.0,2359566.77,3493130.0
20,2400001.91,2019-01-10T10:14:57,500000.0,2018-12-31,EIL,50000000.0,EIL31122018,248,6394.06,465880.95,0.676661,TRMAITWWWWW1,9556306.0,2405157.06,3554450.0
21,2386580.77,2019-01-12T10:14:58,500000.0,2019-01-02,EIL,50000000.0,EIL02012019,248,9851.66,465605.14,0.677449,TRMAITWWWWW1,9604237.0,2395068.38,3535420.0
22,2386970.04,2019-01-13T10:14:57,500000.0,2019-01-03,EIL,50000000.0,EIL03012019,248,9424.28,470307.11,0.677037,TRMAITWWWWW1,9612413.0,2392080.31,3533160.0
23,2387569.9,2019-01-14T10:14:59,500000.0,2019-01-04,EIL,50000000.0,EIL04012019,248,12821.13,470304.53,0.678266,TRMAITWWWWW1,9620589.0,2396021.54,3532570.0
24,2534443.3,2019-01-17T10:14:57,500000.0,2019-01-07,EIL,50000000.0,EIL07012019,248,8541.65,500969.86,0.679477,TRMAITWWWWW1,9692129.0,2540089.43,3738300.0
25,2323874.8,2019-01-18T10:14:56,500000.0,2019-01-08,EIL,50000000.0,EIL08012019,248,10193.7,460295.53,0.679866,TRMAITWWWWW1,9717679.0,2331374.6,3429170.0
26,2392989.67,2019-01-19T10:14:55,500000.0,2019-01-09,EIL,50000000.0,EIL09012019,248,10244.82,475307.12,0.680261,TRMAITWWWWW1,9742207.0,2400483.48,3528770.0
27,2293641.06,2019-01-20T10:14:54,500000.0,2019-01-10,EIL,50000000.0,EIL10012019,248,9221.4,450292.19,0.68067,TRMAITWWWWW1,9750383.0,2300140.66,3379230.0
28,2346095.5,2019-01-21T10:14:59,500000.0,2019-01-11,EIL,50000000.0,EIL11012019,249,10043.49,460298.68,0.681068,TRMAITWWWWW1,9758559.0,2353363.5,3455400.0
29,2301456.64,2019-01-24T10:14:57,500000.0,2019-01-14,EIL,50000000.0,EIL14012019,249,9836.94,450878.42,0.682285,TRMAITWWWWW1,9830099.0,2308328.11,3383230.0
30,2289902.46,2019-01-25T10:14:56,500000.0,2019-01-15,EIL,50000000.0,EIL15012019,248,10271.85,450292.81,0.682687,TRMAITWWWWW1,9855649.0,2297282.23,3365060.0
31,2283372.4,2019-01-26T10:14:55,500000.0,2019-01-16,EIL,50000000.0,EIL16012019,247,9718.07,450291.58,0.683092,TRMAITWWWWW1,9880177.0,2290217.46,3352720.0
32,2278274.21,2019-01-27T10:14:57,500000.0,2019-01-17,EIL,50000000.0,EIL17012019,247,9475.22,450293.42,0.683497,TRMAITWWWWW1,9888250.0,2284841.59,3342870.0
33,2273467.44,2019-01-28T10:14:59,500000.0,2019-01-18,EIL,50000000.0,EIL18012019,246,9567.08,450295.89,0.6839,TRMAITWWWWW1,9896426.0,2280088.33,3333950.0
34,2276791.91,2019-01-31T10:14:57,500000.0,2019-01-21,EIL,50000000.0,EIL21012019,246,10454.91,450889.52,0.685115,TRMAITWWWWW1,9967966.0,2284138.88,3333950.0
35,2270897.13,2019-02-01T10:14:56,500000.0,2019-01-22,EIL,50000000.0,EIL22012019,244,8478.86,450295.89,0.685527,TRMAITWWWWW1,9993516.0,2276222.75,3320400.0
36,2271332.49,2019-02-02T10:14:55,500000.0,2019-01-23,EIL,50000000.0,EIL23012019,244,9440.84,450297.12,0.685932,TRMAITWWWWW1,10018044.0,2277568.81,3320400.0
37,2271773.02,2019-02-03T10:14:54,500000.0,2019-01-24,EIL,50000000.0,EIL24012019,244,10383.5,450292.81,0.686333,TRMAITWWWWW1,10026220.0,2278900.68,3320400.0
38,2273264.37,2019-02-04T10:15:00,500000.0,2019-01-25,EIL,50000000.0,EIL25012019,244,9954.02,450287.26,0.686745,TRMAITWWWWW1,10034396.0,2279911.16,3319880.0
39,2277569.31,2019-02-07T10:14:57,500000.0,2019-01-28,EIL,50000000.0,EIL28012019,244,9892.16,450872.88,0.687966,TRMAITWWWWW1,10105936.0,2283965.4,3319880.0
40,2289077.87,2019-02-08T10:14:56,500000.0,2019-01-29,EIL,50000000.0,EIL29012019,244,8377.79,450286.64,0.68837,TRMAITWWWWW1,10131486.0,2293925.31,3332400.0
41,2279497.62,2019-02-09T10:14:55,500000.0,2019-01-30,EIL,50000000.0,EIL30012019,244,10344.14,450289.73,0.688774,TRMAITWWWWW1,10156015.0,2286260.3,3319320.0
42,2280923.28,2019-02-10T10:14:54,500000.0,2019-01-31,EIL,50000000.0,EIL31012019,244,10081.92,450285.41,0.689176,TRMAITWWWWW1,10164190.0,2287596.84,3319320.0
43,2274358.59,2019-02-11T10:14:53,500000.0,2019-02-01,EIL,50000000.0,EIL01022019,243,10274.44,450288.49,0.689583,TRMAITWWWWW1,10172366.0,2281173.66,3308050.0
