,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19264495.18,2018-12-13T10:14:57,100000000.0,2018-12-03,EKF,10000000000.0,EKF03122018,80,497712.05,0.0,0.014279,TRYERPO00028,9032125.0,19738124.35,1382281208.0
1,19277010.77,2018-12-14T10:14:56,100000000.0,2018-12-04,EKF,10000000000.0,EKF04122018,79,56144.33,0.0,0.014288,TRYERPO00028,9057675.0,19308391.93,1351356933.0
2,19289535.88,2018-12-15T10:14:55,100000000.0,2018-12-05,EKF,10000000000.0,EKF05122018,79,57094.3,0.0,0.014297,TRYERPO00028,9082203.0,19321186.28,1351423420.0
3,19302066.5,2018-12-16T10:14:54,100000000.0,2018-12-06,EKF,10000000000.0,EKF06122018,80,23143.2,0.0,0.014306,TRYERPO00028,9090379.0,19320669.29,1350558420.0
4,19251428.64,2018-12-17T10:14:59,100000000.0,2018-12-07,EKF,10000000000.0,EKF07122018,80,51155.08,0.0,0.014314,TRYERPO00028,9098555.0,19297363.4,1348103863.0
5,19288967.17,2018-12-20T10:14:57,100000000.0,2018-12-10,EKF,10000000000.0,EKF10122018,81,376155.07,0.0,0.01434,TRYERPO00028,9170095.0,19657825.03,1370808906.0
6,19264724.48,2018-12-21T10:14:56,100000000.0,2018-12-11,EKF,10000000000.0,EKF11122018,81,360637.49,0.0,0.014349,TRYERPO00028,9194623.0,19617373.87,1367176098.0
7,19277183.04,2018-12-22T10:14:55,100000000.0,2018-12-12,EKF,10000000000.0,EKF12122018,83,417243.46,0.0,0.014357,TRYERPO00028,9219151.0,19685745.17,1371121040.0
8,22145412.7,2018-12-23T10:14:54,100000000.0,2018-12-13,EKF,10000000000.0,EKF13122018,87,77913.29,0.0,0.014366,TRYERPO00028,9227327.0,22213864.71,1546250106.0
9,27661166.99,2018-12-24T10:14:53,100000000.0,2018-12-14,EKF,10000000000.0,EKF14122018,88,73843.65,0.0,0.014375,TRYERPO00028,9235504.0,27724580.4,1928713498.0
10,27063937.04,2018-12-27T10:14:57,100000000.0,2018-12-17,EKF,10000000000.0,EKF17122018,86,224484.65,0.0,0.0144,TRYERPO00028,9307043.0,27275130.71,1894126072.0
