,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,ELZ03122018,4,2020-09-21T18:03:30.288,1.32535,21444552.02,2018-12-03,16180297.0,ELZ
1,ELZ10122018,0,2020-09-21T18:03:30.325,1.367587,22127965.01,2018-12-10,16180297.0,ELZ
2,ELZ17122018,4,2020-09-21T18:03:30.352,1.387673,22452962.5,2018-12-17,16180297.0,ELZ
3,ELZ24122018,4,2020-09-21T18:03:30.38,1.365744,22098138.17,2018-12-24,16180297.0,ELZ
4,ELZ31122018,4,2020-09-21T18:03:30.414,1.362549,21808950.14,2018-12-31,16005997.0,ELZ
5,ELZ02012019,4,2020-09-21T18:15:27.432,1.370443,21935305.37,2019-01-02,16005997.0,ELZ
6,ELZ07012019,4,2020-09-21T18:15:27.422,1.402641,22450665.46,2019-01-07,16005997.0,ELZ
7,ELZ14012019,0,2020-09-21T18:15:27.404,1.41933,22717791.9,2019-01-14,16005997.0,ELZ
8,ELZ21012019,4,2020-09-21T18:15:27.385,1.403899,22470799.79,2019-01-21,16005997.0,ELZ
9,ELZ28012019,0,2020-09-21T18:15:27.367,1.396434,22351320.33,2019-01-28,16005997.0,ELZ
10,ELZ01022019,0,2020-09-21T18:15:27.347,1.385837,22181699.53,2019-02-01,16005997.0,ELZ
11,ELZ04022019,4,2020-09-21T18:15:27.344,1.379115,22074115.89,2019-02-04,16005997.0,ELZ
12,ELZ11022019,4,2020-09-21T18:15:27.325,1.405053,22489278.53,2019-02-11,16005997.0,ELZ
13,ELZ18022019,0,2020-09-21T18:15:27.305,1.411883,22598601.23,2019-02-18,16005997.0,ELZ
14,ELZ22022019,4,2020-09-21T18:15:27.199,1.429225,22876163.54,2019-02-22,16005997.0,ELZ
15,ELZ25022019,4,2020-09-21T18:15:27.193,1.433345,22942116.86,2019-02-25,16005997.0,ELZ
16,ELZ26022019,4,2020-09-21T18:15:27.186,1.432462,22764330.25,2019-02-26,15891754.0,ELZ
17,ELZ27022019,4,2020-09-21T18:15:27.18,1.430147,22727547.56,2019-02-27,15891754.0,ELZ
18,ELZ28022019,0,2020-09-21T18:15:27.174,1.42914,22711538.27,2019-02-28,15891754.0,ELZ
