,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2682377.9,2018-12-13T10:14:57,5000000.0,2018-12-03,FCV,50000000.0,FCV03122018,18,3076.75,515517.06,1.251281,TRYFIBP00047,9032132.0,2675222.81,2137987.0
1,2681816.93,2018-12-14T10:14:56,5000000.0,2018-12-04,FCV,50000000.0,FCV04122018,17,5673.53,513245.5,1.252152,TRYFIBP00047,9057682.0,2677082.75,2137986.0
2,2683661.04,2018-12-15T10:14:55,5000000.0,2018-12-05,FCV,50000000.0,FCV05122018,18,2014.09,517371.4,1.251134,TRYFIBP00047,9082210.0,2675055.63,2138105.0
3,2689945.94,2018-12-16T10:14:54,5000000.0,2018-12-06,FCV,50000000.0,FCV06122018,18,1481.89,582546.74,1.253757,TRYFIBP00047,9090386.0,2680663.98,2138105.0
4,2685259.74,2018-12-17T10:14:59,5000000.0,2018-12-07,FCV,50000000.0,FCV07122018,18,2679.48,578693.57,1.253462,TRYFIBP00047,9098562.0,2680033.21,2138105.0
5,2689801.24,2018-12-20T10:14:57,5000000.0,2018-12-10,FCV,50000000.0,FCV10122018,18,5801.66,576574.88,1.256852,TRYFIBP00047,9170102.0,2687280.74,2138105.0
6,2689436.08,2018-12-21T10:14:56,5000000.0,2018-12-11,FCV,50000000.0,FCV11122018,18,2818.19,579229.87,1.255612,TRYFIBP00047,9194630.0,2684631.02,2138105.0
7,2794505.72,2018-12-22T10:14:55,5000000.0,2018-12-12,FCV,50000000.0,FCV12122018,18,4047.52,684426.95,1.255662,TRYFIBP00047,9219158.0,2790739.81,2222525.0
8,2871162.18,2018-12-23T10:14:54,5000000.0,2018-12-13,FCV,50000000.0,FCV13122018,18,4166.07,689561.3,1.255953,TRYFIBP00047,9227334.0,2791386.35,2222525.0
9,2798476.52,2018-12-24T10:14:53,5000000.0,2018-12-14,FCV,50000000.0,FCV14122018,18,3498.75,614641.92,1.257049,TRYFIBP00047,9235511.0,2793822.9,2222525.0
