,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,4004102.42,2018-12-13T10:14:57,200000000.0,2018-12-03,FIB,20000000000.0,FIB03122018,88,2638.09,39075.49,0.017572,TRYFIBA00015,9032138.0,3997246.12,227479960.0
1,4002316.63,2018-12-14T10:14:56,200000000.0,2018-12-04,FIB,20000000000.0,FIB04122018,87,1980.94,15009.78,0.01767,TRYFIBA00015,9057688.0,3994658.68,226072477.0
2,4106721.69,2018-12-15T10:14:55,200000000.0,2018-12-05,FIB,20000000000.0,FIB05122018,86,1979.31,15009.29,0.018131,TRYFIBA00015,9082216.0,4098914.74,226071851.0
3,4171528.07,2018-12-16T10:14:54,200000000.0,2018-12-06,FIB,20000000000.0,FIB06122018,86,1988.25,15009.37,0.018417,TRYFIBA00015,9090392.0,4163580.91,226071851.0
4,4184250.58,2018-12-17T10:14:59,200000000.0,2018-12-07,FIB,20000000000.0,FIB07122018,88,1657.14,17010.78,0.018464,TRYFIBA00015,9098568.0,4179162.81,226343338.0
5,4163174.95,2018-12-20T10:14:57,200000000.0,2018-12-10,FIB,20000000000.0,FIB10122018,88,3500.49,15029.03,0.018378,TRYFIBA00015,9170108.0,4159645.88,226343088.0
6,4144306.87,2018-12-21T10:14:56,200000000.0,2018-12-11,FIB,20000000000.0,FIB11122018,89,1126.17,17011.02,0.018285,TRYFIBA00015,9194636.0,4138587.55,226343588.0
7,4196078.79,2018-12-22T10:14:55,200000000.0,2018-12-12,FIB,20000000000.0,FIB12122018,88,3119.28,15009.64,0.018521,TRYFIBA00015,9219164.0,4192202.64,226343038.0
8,4200061.05,2018-12-23T10:14:54,200000000.0,2018-12-13,FIB,20000000000.0,FIB13122018,88,3128.57,15009.62,0.018538,TRYFIBA00015,9227340.0,4196044.15,226343038.0
9,4211504.39,2018-12-24T10:14:53,200000000.0,2018-12-14,FIB,20000000000.0,FIB14122018,90,3139.77,18011.34,0.018575,TRYFIBA00015,9235517.0,4207348.34,226504975.0
10,4199506.26,2018-12-27T10:14:57,200000000.0,2018-12-17,FIB,20000000000.0,FIB17122018,89,1102.56,20039.45,0.018511,TRYFIBA00015,9307056.0,4192863.14,226504475.0
11,4201251.16,2018-12-28T10:14:59,200000000.0,2018-12-18,FIB,20000000000.0,FIB18122018,90,1143.55,20013.29,0.018518,TRYFIBA00015,9332502.0,4194499.03,226504583.0
12,4209601.35,2018-12-29T10:14:58,200000000.0,2018-12-19,FIB,20000000000.0,FIB19122018,91,1248.97,20012.68,0.018555,TRYFIBA00015,9357030.0,4202804.41,226509583.0
13,4202460.55,2018-12-30T10:14:58,200000000.0,2018-12-20,FIB,20000000000.0,FIB20122018,92,1261.14,22014.04,0.018514,TRYFIBA00015,9365206.0,4195525.75,226617370.0
14,4161943.67,2018-12-31T10:15:00,200000000.0,2018-12-21,FIB,20000000000.0,FIB21122018,91,1182.11,22013.89,0.018334,TRYFIBA00015,9373382.0,4154780.93,226612370.0
15,4193851.29,2019-01-03T10:14:57,200000000.0,2018-12-24,FIB,20000000000.0,FIB24122018,90,1184.5,22042.31,0.018473,TRYFIBA00015,9425504.0,4186241.63,226611770.0
16,4202349.81,2019-01-04T10:14:57,200000000.0,2018-12-25,FIB,20000000000.0,FIB25122018,91,1226.33,22014.1,0.01851,TRYFIBA00015,9450032.0,4194631.98,226611771.0
17,4243635.84,2019-01-05T10:14:56,200000000.0,2018-12-26,FIB,20000000000.0,FIB26122018,92,3254.78,20013.4,0.018701,TRYFIBA00015,9473538.0,4237795.27,226612571.0
18,4229429.06,2019-01-06T10:14:55,200000000.0,2018-12-27,FIB,20000000000.0,FIB27122018,92,3769.73,20013.12,0.018637,TRYFIBA00015,9480692.0,4223952.63,226639415.0
19,4250132.37,2019-01-07T10:15:00,200000000.0,2018-12-28,FIB,20000000000.0,FIB28122018,95,3868.12,30018.33,0.018684,TRYFIBA00015,9487846.0,4244602.95,227180594.0
20,4246324.85,2019-01-10T10:14:57,200000000.0,2018-12-31,FIB,20000000000.0,FIB31122018,95,1885.71,32061.68,0.018657,TRYFIBA00015,9556320.0,4238428.7,227180594.0
21,4344834.23,2019-01-12T10:14:58,200000000.0,2019-01-02,FIB,20000000000.0,FIB02012019,96,2949.58,97131.55,0.018801,TRYFIBA00015,9604251.0,4337763.37,230718379.0
22,4402037.4,2019-01-13T10:14:57,200000000.0,2019-01-03,FIB,20000000000.0,FIB03012019,96,2211.33,98053.83,0.019044,TRYFIBA00015,9612427.0,4394193.44,230744972.0
23,4502577.58,2019-01-14T10:14:59,200000000.0,2019-01-04,FIB,20000000000.0,FIB04012019,94,2697.01,95061.16,0.019492,TRYFIBA00015,9620603.0,4494999.7,230610233.0
24,4480447.82,2019-01-17T10:14:57,200000000.0,2019-01-07,FIB,20000000000.0,FIB07012019,95,1517.51,97186.56,0.019386,TRYFIBA00015,9692143.0,4471291.56,230649305.0
25,4435056.98,2019-01-18T10:14:56,200000000.0,2019-01-08,FIB,20000000000.0,FIB08012019,96,1333.17,94060.26,0.019202,TRYFIBA00015,9717693.0,4429111.72,230659212.0
26,4489265.22,2019-01-19T10:14:55,200000000.0,2019-01-09,FIB,20000000000.0,FIB09012019,97,2094.47,108070.72,0.019375,TRYFIBA00015,9742221.0,4484087.51,231433962.0
27,4552931.81,2019-01-20T10:14:54,200000000.0,2019-01-10,FIB,20000000000.0,FIB10012019,97,1215.06,112072.11,0.019631,TRYFIBA00015,9750397.0,4546847.79,231613631.0
28,4557681.81,2019-01-21T10:14:59,200000000.0,2019-01-11,FIB,20000000000.0,FIB11012019,97,2218.48,120075.95,0.019617,TRYFIBA00015,9758573.0,4552432.37,232068732.0
29,4599660.32,2019-01-24T10:14:57,200000000.0,2019-01-14,FIB,20000000000.0,FIB14012019,96,3546.17,118236.16,0.019453,TRYFIBA00015,9830113.0,4513582.65,232030728.0
30,4677765.7,2019-01-25T10:14:56,200000000.0,2019-01-15,FIB,20000000000.0,FIB15012019,97,1731.26,130088.68,0.019737,TRYFIBA00015,9855663.0,4589703.25,232544784.0
31,4539140.68,2019-01-26T10:14:55,200000000.0,2019-01-16,FIB,20000000000.0,FIB16012019,98,1941.61,58037.58,0.01945,TRYFIBA00015,9880191.0,4532916.42,233051446.0
32,4506800.06,2019-01-27T10:14:57,200000000.0,2019-01-17,FIB,20000000000.0,FIB17012019,97,1662.77,58037.98,0.019311,TRYFIBA00015,9888264.0,4500129.56,233035247.0
33,4486865.74,2019-01-28T10:14:59,200000000.0,2019-01-18,FIB,20000000000.0,FIB18012019,97,1719.36,59038.31,0.019221,TRYFIBA00015,9896440.0,4480084.98,233088065.0
34,4459861.0,2019-01-31T10:14:57,200000000.0,2019-01-21,FIB,20000000000.0,FIB21012019,97,2251.92,59116.38,0.019103,TRYFIBA00015,9967980.0,4453114.47,233113849.0
35,4423973.64,2019-02-01T10:14:56,200000000.0,2019-01-22,FIB,20000000000.0,FIB22012019,97,1866.89,60039.45,0.018944,TRYFIBA00015,9993530.0,4416676.97,233140022.0
36,4440748.63,2019-02-02T10:14:55,200000000.0,2019-01-23,FIB,20000000000.0,FIB23012019,97,1904.95,60039.7,0.019016,TRYFIBA00015,10018058.0,4433324.45,233140022.0
37,4428095.99,2019-02-03T10:14:54,200000000.0,2019-01-24,FIB,20000000000.0,FIB24012019,97,1943.25,60038.47,0.018961,TRYFIBA00015,10026234.0,4420544.9,233140022.0
38,4383936.68,2019-02-04T10:15:00,200000000.0,2019-01-25,FIB,20000000000.0,FIB25012019,97,1980.29,61040.11,0.018767,TRYFIBA00015,10034410.0,4376258.63,233192760.0
39,4386276.44,2019-02-07T10:14:57,200000000.0,2019-01-28,FIB,20000000000.0,FIB28012019,97,3019.0,60114.66,0.018779,TRYFIBA00015,10105950.0,4379144.87,233192760.0
40,4443712.64,2019-02-08T10:14:56,200000000.0,2019-01-29,FIB,20000000000.0,FIB29012019,96,1848.58,61039.44,0.019021,TRYFIBA00015,10131500.0,4435245.03,233177654.0
41,4519025.42,2019-02-09T10:14:55,200000000.0,2019-01-30,FIB,20000000000.0,FIB30012019,95,2865.93,60038.22,0.019348,TRYFIBA00015,10156030.0,4511407.45,233176566.0
42,4494014.64,2019-02-10T10:14:54,200000000.0,2019-01-31,FIB,20000000000.0,FIB31012019,95,1902.74,61039.02,0.019235,TRYFIBA00015,10164204.0,4485266.49,233176566.0
43,4441430.18,2019-02-11T10:14:53,200000000.0,2019-02-01,FIB,20000000000.0,FIB01022019,95,1940.36,61038.94,0.019009,TRYFIBA00015,10172380.0,4432554.1,233176566.0
44,4745455.2,2019-02-14T10:14:58,200000000.0,2019-02-04,FIB,20000000000.0,FIB04022019,568,3898.37,90174.58,0.019032,TRYFIBA00015,10243920.0,4738351.55,248973034.426
45,4784748.13,2019-02-15T10:14:57,200000000.0,2019-02-05,FIB,20000000000.0,FIB05022019,566,2608.65,88056.05,0.018998,TRYFIBA00015,10269470.0,4726503.46,248791116.426
46,4764246.52,2019-02-16T10:14:56,200000000.0,2019-02-06,FIB,20000000000.0,FIB06022019,565,1539.89,82052.12,0.018939,TRYFIBA00015,10293998.0,4708563.33,248616385.426
47,4685231.62,2019-02-17T10:15:00,200000000.0,2019-02-07,FIB,20000000000.0,FIB07022019,566,3006.31,15009.51,0.018987,TRYFIBA00015,10302071.0,4680520.16,246506979.426
48,4689564.19,2019-02-18T10:14:58,200000000.0,2019-02-08,FIB,20000000000.0,FIB08022019,566,1840.43,16010.06,0.019,TRYFIBA00015,10310247.0,4683699.41,246507505.426
49,4708093.52,2019-02-21T10:14:57,200000000.0,2019-02-11,FIB,20000000000.0,FIB11022019,567,1852.97,16031.1,0.019073,TRYFIBA00015,10381787.0,4701722.44,246507655.426
50,4709472.32,2019-02-22T10:14:56,200000000.0,2019-02-12,FIB,20000000000.0,FIB12022019,567,1387.77,16010.13,0.019078,TRYFIBA00015,10407337.0,4702773.05,246507655.426
51,4730077.43,2019-02-23T10:14:55,200000000.0,2019-02-13,FIB,20000000000.0,FIB13022019,567,1199.25,16009.97,0.01916,TRYFIBA00015,10431864.0,4723016.11,246497655.426
52,4708906.72,2019-02-24T10:14:54,200000000.0,2019-02-14,FIB,20000000000.0,FIB14022019,567,2208.87,15009.55,0.019078,TRYFIBA00015,10440040.0,4702682.05,246497655.426
53,4731257.17,2019-02-25T10:14:59,200000000.0,2019-02-15,FIB,20000000000.0,FIB15022019,567,2095.17,15009.51,0.019168,TRYFIBA00015,10448216.0,4724745.22,246497655.426
54,4749815.63,2019-02-28T10:14:57,200000000.0,2019-02-18,FIB,20000000000.0,FIB18022019,568,1894.21,20038.79,0.01922,TRYFIBA00015,10519756.0,4742580.51,246747550.426
55,4648957.39,2019-03-01T10:14:55,200000000.0,2019-02-19,FIB,20000000000.0,FIB19022019,568,1912.65,20012.85,0.019437,TRYFIBA00015,10545306.0,4796038.8,246746515.426
56,4663687.71,2019-03-02T10:14:55,200000000.0,2019-02-20,FIB,20000000000.0,FIB20022019,568,1934.6,20012.77,0.019545,TRYFIBA00015,10569834.0,4822757.93,246747008.426
57,4949421.69,2019-03-03T10:14:53,200000000.0,2019-02-21,FIB,20000000000.0,FIB21022019,570,1511.83,37023.52,0.019706,TRYFIBA00015,10578010.0,4953265.61,251353965.426
58,4950491.34,2019-03-04T10:14:52,200000000.0,2019-02-22,FIB,20000000000.0,FIB22022019,569,1592.67,49029.33,0.019662,TRYFIBA00015,10586185.0,4941943.45,251345863.426
59,4909058.05,2019-03-07T10:14:48,200000000.0,2019-02-25,FIB,20000000000.0,FIB25022019,568,1626.79,49088.6,0.019494,TRYFIBA00015,10657725.0,4899784.1,251346164.426
60,4921781.95,2019-03-07T10:14:56,200000000.0,2019-02-26,FIB,20000000000.0,FIB26022019,568,2714.28,48029.85,0.019548,TRYFIBA00015,10658747.0,4913341.72,251346164.426
61,4861497.96,2019-03-07T10:14:59,200000000.0,2019-02-27,FIB,20000000000.0,FIB27022019,569,1758.99,52033.19,0.019292,TRYFIBA00015,10659769.0,4851850.36,251500454.426
62,4900239.07,2019-03-07T10:15:03,200000000.0,2019-02-28,FIB,20000000000.0,FIB28022019,570,2855.76,51032.21,0.019449,TRYFIBA00015,10660791.0,4891435.08,251503811.426
63,4906405.6,2019-03-07T10:15:06,200000000.0,2019-03-01,FIB,20000000000.0,FIB01032019,571,3961.57,50032.6,0.019476,TRYFIBA00015,10661813.0,4898454.06,251507655.426
64,4885139.51,2019-03-07T10:15:10,200000000.0,2019-03-04,FIB,20000000000.0,FIB04032019,571,4006.8,50088.36,0.019389,TRYFIBA00015,10662835.0,4876474.94,251508363.426
65,4855752.37,2019-03-07T10:15:14,200000000.0,2019-03-05,FIB,20000000000.0,FIB05032019,570,1880.91,52032.27,0.019263,TRYFIBA00015,10663857.0,4844710.03,251497375.426
66,4982304.86,2019-03-07T10:15:18,200000000.0,2019-03-06,FIB,20000000000.0,FIB06032019,571,1921.13,209128.84,0.019145,TRYFIBA00015,10664879.0,4971047.39,259648378.426
67,4955303.43,2019-03-07T10:49:48,200000000.0,2019-03-07,FIB,20000000000.0,FIB07032019,570,6743.07,12007.25,0.019192,TRYFIBA00015,10666923.0,4983139.55,259645809.426
68,4925401.84,2019-03-08T10:50:00,200000000.0,2019-03-08,FIB,20000000000.0,FIB08032019,569,1700.51,0.0,0.019348,TRYFIBA00015,10667945.0,4992921.55,258053722.706
69,4970628.3,2019-03-11T09:50:00,200000000.0,2019-03-11,FIB,20000000000.0,FIB11032019,569,4400.47,0.0,0.019523,TRYFIBA00015,10668788.0,5006391.59,256440509.706
70,5012788.28,2019-03-12T09:50:00,200000000.0,2019-03-12,FIB,20000000000.0,FIB12032019,569,1823.23,43026.51,0.019519,TRYFIBA00015,10670435.0,5005369.27,256440509.706
