,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,10782221.37,2018-12-13T10:14:57,250000000.0,2018-12-03,FID,25000000000.0,FID03122018,156,4285.88,31060.0,0.064263,TRYBEUR00025,9032139.0,10752402.8,167319958.0
1,10804678.63,2018-12-14T10:14:56,250000000.0,2018-12-04,FID,25000000000.0,FID04122018,156,6300.42,30019.56,0.064319,TRYBEUR00025,9057689.0,10761919.34,167319958.0
2,10826586.02,2018-12-15T10:14:55,250000000.0,2018-12-05,FID,25000000000.0,FID05122018,156,2861.0,578365.76,0.064424,TRYBEUR00025,9082217.0,10779345.93,167319958.0
3,10820598.81,2018-12-16T10:14:54,250000000.0,2018-12-06,FID,25000000000.0,FID06122018,156,2501.0,565491.5,0.064541,TRYBEUR00025,9090393.0,10799014.67,167319958.0
4,10752509.64,2018-12-17T10:14:59,250000000.0,2018-12-07,FID,25000000000.0,FID07122018,156,1452.96,540641.69,0.064281,TRYBEUR00025,9098569.0,10755474.21,167319958.0
5,10699754.11,2018-12-20T10:14:57,250000000.0,2018-12-10,FID,25000000000.0,FID10122018,156,4194.6,428272.59,0.06463,TRYBEUR00025,9170109.0,10690009.98,165402958.0
6,10711580.29,2018-12-21T10:14:56,250000000.0,2018-12-11,FID,25000000000.0,FID11122018,156,2660.85,431113.01,0.064332,TRYBEUR00025,9194637.0,10640653.58,165402958.0
7,10707609.44,2018-12-22T10:14:55,250000000.0,2018-12-12,FID,25000000000.0,FID12122018,156,2129.91,432169.57,0.064412,TRYBEUR00025,9219165.0,10653987.0,165402958.0
8,10560664.28,2018-12-23T10:14:54,250000000.0,2018-12-13,FID,25000000000.0,FID13122018,156,3873.73,371263.72,0.06389,TRYBEUR00025,9227341.0,10567614.19,165402958.0
9,10691066.13,2018-12-24T10:14:53,250000000.0,2018-12-14,FID,25000000000.0,FID14122018,156,5028.98,389407.21,0.064469,TRYBEUR00025,9235518.0,10663376.61,165402958.0
10,10631940.65,2018-12-27T10:14:57,250000000.0,2018-12-17,FID,25000000000.0,FID17122018,156,3410.82,492316.17,0.064083,TRYBEUR00025,9307057.0,10599509.36,165402958.0
11,10678929.35,2018-12-28T10:14:59,250000000.0,2018-12-18,FID,25000000000.0,FID18122018,156,3623.68,477066.84,0.063822,TRYBEUR00025,9332503.0,10556206.76,165399958.0
12,10612683.42,2018-12-29T10:14:58,250000000.0,2018-12-19,FID,25000000000.0,FID19122018,156,3305.24,700358.54,0.063977,TRYBEUR00025,9357031.0,10489045.33,163949958.0
13,10576723.13,2018-12-30T10:14:58,250000000.0,2018-12-20,FID,25000000000.0,FID20122018,156,2853.88,295231.93,0.064394,TRYBEUR00025,9365207.0,10557397.32,163949958.0
14,10551593.95,2018-12-31T10:15:00,250000000.0,2018-12-21,FID,25000000000.0,FID21122018,156,3212.43,295361.51,0.064237,TRYBEUR00025,9373383.0,10531609.89,163949958.0
15,10546727.99,2019-01-03T10:14:57,250000000.0,2018-12-24,FID,25000000000.0,FID24122018,155,3232.07,297876.25,0.064189,TRYBEUR00025,9425505.0,10523648.63,163948958.0
16,10490664.09,2019-01-04T10:14:57,250000000.0,2018-12-25,FID,25000000000.0,FID25122018,154,3227.19,230839.36,0.064258,TRYBEUR00025,9450033.0,10466548.63,162881958.0
17,10470241.95,2019-01-05T10:14:56,250000000.0,2018-12-26,FID,25000000000.0,FID26122018,153,5275.99,227966.41,0.064058,TRYBEUR00025,9473539.0,10432544.5,162861958.0
18,10363080.13,2019-01-06T10:14:55,250000000.0,2018-12-27,FID,25000000000.0,FID27122018,153,3618.45,210026.85,0.064042,TRYBEUR00025,9480693.0,10429938.68,162861958.0
19,10332294.15,2019-01-07T10:15:00,250000000.0,2018-12-28,FID,25000000000.0,FID28122018,152,6092.43,213171.09,0.064156,TRYBEUR00025,9487847.0,10447650.85,162846958.0
20,10513788.44,2019-01-10T10:14:57,250000000.0,2018-12-31,FID,25000000000.0,FID31122018,152,3621.01,323834.67,0.064101,TRYBEUR00025,9556321.0,10438618.92,162846958.0
21,10552935.46,2019-01-12T10:14:58,250000000.0,2019-01-02,FID,25000000000.0,FID02012019,152,7079.52,354076.2,0.064153,TRYBEUR00025,9604252.0,10447123.48,162846958.0
22,10445918.05,2019-01-13T10:14:57,250000000.0,2019-01-03,FID,25000000000.0,FID03012019,152,2783.23,281034.19,0.063946,TRYBEUR00025,9612428.0,10413332.88,162846958.0
23,10425601.6,2019-01-14T10:14:59,250000000.0,2019-01-04,FID,25000000000.0,FID04012019,151,5430.72,286184.75,0.063832,TRYBEUR00025,9620604.0,10394785.2,162846958.0
24,10485723.58,2019-01-17T10:14:57,250000000.0,2019-01-07,FID,25000000000.0,FID07012019,151,2789.24,289690.62,0.064169,TRYBEUR00025,9692144.0,10449664.51,162846958.0
25,10476091.29,2019-01-18T10:14:56,250000000.0,2019-01-08,FID,25000000000.0,FID08012019,151,2420.59,453291.66,0.064238,TRYBEUR00025,9717694.0,10460984.68,162846958.0
26,10483323.07,2019-01-19T10:14:55,250000000.0,2019-01-09,FID,25000000000.0,FID09012019,151,4781.23,448293.47,0.064314,TRYBEUR00025,9742222.0,10470249.92,162799958.0
27,10492414.59,2019-01-20T10:14:54,250000000.0,2019-01-10,FID,25000000000.0,FID10012019,151,3448.37,134086.27,0.064456,TRYBEUR00025,9750398.0,10478382.82,162565958.0
28,9874694.96,2019-01-21T10:14:59,250000000.0,2019-01-11,FID,25000000000.0,FID11012019,150,4545.47,115072.78,0.064419,TRYBEUR00025,9758574.0,10412992.07,161644958.0
29,10037528.79,2019-01-24T10:14:57,250000000.0,2019-01-14,FID,25000000000.0,FID14012019,150,6146.55,280560.38,0.064537,TRYBEUR00025,9830114.0,10432153.87,161644958.0
30,10516018.22,2019-01-25T10:14:56,250000000.0,2019-01-15,FID,25000000000.0,FID15012019,149,2892.44,859589.53,0.064598,TRYBEUR00025,9855664.0,10357826.12,160341958.0
31,10303427.99,2019-01-26T10:14:55,250000000.0,2019-01-16,FID,25000000000.0,FID16012019,148,2349.42,640414.68,0.064872,TRYBEUR00025,9880192.0,10319566.06,159076958.0
32,10438022.96,2019-01-27T10:14:57,250000000.0,2019-01-17,FID,25000000000.0,FID17012019,147,2434.92,660432.16,0.065205,TRYBEUR00025,9888265.0,10370555.3,159046444.0
33,10400455.89,2019-01-28T10:14:59,250000000.0,2019-01-18,FID,25000000000.0,FID18012019,147,2122.19,575373.36,0.065354,TRYBEUR00025,9896441.0,10394259.12,159046444.0
34,10585024.58,2019-01-31T10:14:57,250000000.0,2019-01-21,FID,25000000000.0,FID21012019,147,5440.26,490966.58,0.065699,TRYBEUR00025,9967981.0,10449174.3,159046444.0
35,10672750.71,2019-02-01T10:14:56,250000000.0,2019-01-22,FID,25000000000.0,FID22012019,148,2145.99,597392.55,0.06567,TRYBEUR00025,9993531.0,10444700.85,159047444.0
36,10218825.21,2019-02-02T10:14:55,250000000.0,2019-01-23,FID,25000000000.0,FID23012019,148,2370.0,360238.19,0.065845,TRYBEUR00025,10018059.0,10447469.14,158666444.0
37,10227631.84,2019-02-03T10:14:54,250000000.0,2019-01-24,FID,25000000000.0,FID24012019,148,3742.68,82052.57,0.065835,TRYBEUR00025,10026235.0,10445752.2,158666444.0
38,10598666.79,2019-02-04T10:15:00,250000000.0,2019-01-25,FID,25000000000.0,FID25012019,148,2124.78,296194.63,0.066227,TRYBEUR00025,10034411.0,10474821.07,158166444.0
39,10599556.74,2019-02-07T10:14:57,250000000.0,2019-01-28,FID,25000000000.0,FID28012019,148,3920.47,98187.27,0.066206,TRYBEUR00025,10105951.0,10474625.0,158211444.0
40,10327291.13,2019-02-08T10:14:56,250000000.0,2019-01-29,FID,25000000000.0,FID29012019,149,1315.04,358231.47,0.066054,TRYBEUR00025,10131501.0,10450616.64,158212444.0
41,10696691.08,2019-02-09T10:14:55,250000000.0,2019-01-30,FID,25000000000.0,FID30012019,149,2906.33,356226.77,0.066503,TRYBEUR00025,10156031.0,10521560.29,158211444.0
42,10928559.48,2019-02-10T10:14:54,250000000.0,2019-01-31,FID,25000000000.0,FID31012019,149,1574.92,15009.6,0.066787,TRYBEUR00025,10164205.0,10566450.81,158211444.0
43,10671286.97,2019-02-11T10:14:53,250000000.0,2019-02-01,FID,25000000000.0,FID01022019,149,2295.31,215137.25,0.066904,TRYBEUR00025,10172381.0,10584959.81,158211444.0
44,10603661.69,2019-02-14T10:14:58,250000000.0,2019-02-04,FID,25000000000.0,FID04022019,149,2328.53,188364.67,0.066758,TRYBEUR00025,10243921.0,10561817.31,158211444.0
45,10578000.19,2019-02-15T10:14:57,250000000.0,2019-02-05,FID,25000000000.0,FID05022019,150,2720.04,166105.74,0.066737,TRYBEUR00025,10269471.0,10559503.44,158225444.0
46,10635444.55,2019-02-16T10:14:56,250000000.0,2019-02-06,FID,25000000000.0,FID06022019,150,915.47,162102.75,0.066635,TRYBEUR00025,10293999.0,10543293.6,158225444.0
47,10639597.45,2019-02-17T10:15:00,250000000.0,2019-02-07,FID,25000000000.0,FID07022019,150,1332.2,162103.86,0.066656,TRYBEUR00025,10302072.0,10546653.89,158225444.0
48,10599212.93,2019-02-18T10:14:58,250000000.0,2019-02-08,FID,25000000000.0,FID08022019,149,2315.81,68042.85,0.066667,TRYBEUR00025,10310248.0,10532455.43,157985444.0
49,10874147.82,2019-02-21T10:14:57,250000000.0,2019-02-11,FID,25000000000.0,FID11022019,149,3013.09,68132.18,0.066688,TRYBEUR00025,10381788.0,10535734.37,157985444.0
50,11417483.43,2019-02-22T10:14:56,250000000.0,2019-02-12,FID,25000000000.0,FID12022019,150,2694.8,206130.65,0.067095,TRYBEUR00025,10407338.0,10776108.93,160609444.0
51,11199700.49,2019-02-23T10:14:55,250000000.0,2019-02-13,FID,25000000000.0,FID13022019,151,3330.19,437272.38,0.067011,TRYBEUR00025,10431865.0,10763056.7,160616444.0
52,10767509.01,2019-02-24T10:14:54,250000000.0,2019-02-14,FID,25000000000.0,FID14022019,151,5326.86,80051.07,0.066673,TRYBEUR00025,10440041.0,10708719.28,160616444.0
53,10868263.65,2019-02-25T10:14:59,250000000.0,2019-02-15,FID,25000000000.0,FID15022019,151,5809.39,15009.51,0.066797,TRYBEUR00025,10448217.0,10728683.39,160616444.0
54,9521064.86,2019-02-28T10:14:57,250000000.0,2019-02-18,FID,25000000000.0,FID18022019,151,3697.53,52100.87,0.066811,TRYBEUR00025,10519757.0,10730873.14,160616444.0
55,9695001.62,2019-03-01T10:14:55,250000000.0,2019-02-19,FID,25000000000.0,FID19022019,151,2002.13,9005.79,0.066513,TRYBEUR00025,10545307.0,10683066.79,160616444.0
56,11533149.43,2019-03-02T10:14:55,250000000.0,2019-02-20,FID,25000000000.0,FID20022019,152,2138.43,113072.13,0.066812,TRYBEUR00025,10569835.0,11060660.81,165549444.0
57,11258409.87,2019-03-03T10:14:53,250000000.0,2019-02-21,FID,25000000000.0,FID21022019,152,2145.01,63040.04,0.066852,TRYBEUR00025,10578011.0,11057562.22,165404444.0
58,11462206.68,2019-03-04T10:14:52,250000000.0,2019-02-22,FID,25000000000.0,FID22022019,152,2314.31,480288.66,0.067036,TRYBEUR00025,10586186.0,11087973.78,165404444.0
59,11424082.53,2019-03-07T10:14:48,250000000.0,2019-02-25,FID,25000000000.0,FID25022019,152,1689.82,190351.37,0.067333,TRYBEUR00025,10657726.0,11137217.0,165404444.0
60,11334235.25,2019-03-07T10:14:56,250000000.0,2019-02-26,FID,25000000000.0,FID26022019,152,2807.6,40024.88,0.067496,TRYBEUR00025,10658748.0,11164147.0,165404444.0
61,11804306.61,2019-03-07T10:14:59,250000000.0,2019-02-27,FID,25000000000.0,FID27022019,152,2142.4,41026.17,0.06788,TRYBEUR00025,10659770.0,11227698.09,165404444.0
62,12698175.73,2019-03-07T10:15:03,250000000.0,2019-02-28,FID,25000000000.0,FID28022019,153,2912.41,476300.6,0.067655,TRYBEUR00025,10660792.0,12261803.87,181240444.0
63,12088147.54,2019-03-07T10:15:06,250000000.0,2019-03-01,FID,25000000000.0,FID01032019,153,3777.83,157102.37,0.067967,TRYBEUR00025,10661814.0,12318283.11,181239444.0
64,11967091.04,2019-03-07T10:15:10,250000000.0,2019-03-04,FID,25000000000.0,FID04032019,153,3689.95,317560.18,0.067864,TRYBEUR00025,10662836.0,12299567.18,181239444.0
65,12224313.77,2019-03-07T10:15:14,250000000.0,2019-03-05,FID,25000000000.0,FID05032019,153,1699.26,38023.58,0.068073,TRYBEUR00025,10663858.0,12291887.88,180569444.0
66,12763430.6,2019-03-07T10:15:18,250000000.0,2019-03-06,FID,25000000000.0,FID06032019,155,3089.07,150092.05,0.067888,TRYBEUR00025,10664880.0,12264107.6,180652444.0
67,13079727.79,2019-03-07T13:50:07,250000000.0,2019-03-07,FID,25000000000.0,FID07032019,156,13893.29,378230.42,0.067906,TRYBEUR00025,10666924.0,12517328.99,184334444.0
68,12302394.04,2019-03-08T10:50:00,250000000.0,2019-03-08,FID,25000000000.0,FID08032019,155,2839.71,415256.39,0.067402,TRYBEUR00025,10667946.0,12423818.62,184324444.0
69,11949251.19,2019-03-11T11:50:00,250000000.0,2019-03-11,FID,25000000000.0,FID11032019,152,3392.68,463860.04,0.067319,TRYBEUR00025,10668789.0,12040452.71,178856444.0
70,12154506.9,2019-03-12T09:50:00,250000000.0,2019-03-12,FID,25000000000.0,FID12032019,152,3492.37,186114.66,0.067194,TRYBEUR00025,10670436.0,12018006.77,178856444.0
71,11991968.82,2019-03-13T09:50:00,250000000.0,2019-03-13,FID,25000000000.0,FID13032019,152,3045.84,73045.1,0.067375,TRYBEUR00025,10672961.0,12050487.97,178856444.0
72,12114870.41,2019-03-14T09:50:00,250000000.0,2019-03-14,FID,25000000000.0,FID14032019,152,2988.01,368228.36,0.067697,TRYBEUR00025,10675665.0,12108085.5,178856444.0
73,12571809.23,2019-03-15T09:50:00,250000000.0,2019-03-15,FID,25000000000.0,FID15032019,152,2854.76,51032.91,0.067923,TRYBEUR00025,10678400.0,12248840.08,180333444.0
74,12768951.02,2019-03-18T09:50:00,250000000.0,2019-03-18,FID,25000000000.0,FID18032019,152,2531.61,182347.05,0.068108,TRYBEUR00025,10680713.0,12282080.13,180333444.0
75,12775049.7,2019-03-19T09:50:00,250000000.0,2019-03-19,FID,25000000000.0,FID19032019,152,3118.6,451276.78,0.068615,TRYBEUR00025,10683388.0,12373575.45,180333444.0
76,12436002.4,2019-03-20T09:50:00,250000000.0,2019-03-20,FID,25000000000.0,FID20032019,152,4220.96,220135.01,0.068624,TRYBEUR00025,10686009.0,12375234.24,180333444.0
77,12987599.9,2019-03-21T10:50:00,250000000.0,2019-03-21,FID,25000000000.0,FID20032019,154,3827.79,220136.52,0.068349,TRYBEUR00025,10689560.0,12972697.56,189800444.0
78,12208550.51,2019-03-22T09:50:00,250000000.0,2019-03-22,FID,25000000000.0,FID21032019,151,2697.63,329202.81,0.068474,TRYBEUR00025,10691500.0,12993174.2,189753444.0
79,10502266.41,2019-03-25T09:50:00,250000000.0,2019-03-25,FID,25000000000.0,FID24032019,150,3798.36,143270.33,0.067686,TRYBEUR00025,10694786.0,11771719.28,173917444.0
80,11223309.13,2019-03-26T08:50:00,250000000.0,2019-03-26,FID,25000000000.0,FID25032019,150,4173.06,55032.4,0.067533,TRYBEUR00025,11877022.0,11745112.83,173917444.0
81,11553741.49,2019-03-27T08:50:00,250000000.0,2019-03-27,FID,25000000000.0,FID26032019,150,3811.18,440295.34,0.067218,TRYBEUR00025,11879697.0,11690312.95,173917444.0
82,11606838.87,2019-03-28T08:50:01,250000000.0,2019-03-28,FID,25000000000.0,FID27032019,150,3399.62,126089.24,0.065928,TRYBEUR00025,11882292.0,11466680.02,173928444.0
83,11443382.79,2019-03-29T10:50:01,250000000.0,2019-03-29,FID,25000000000.0,FID28032019,147,3042.18,365254.5,0.066233,TRYBEUR00025,11885054.0,11259244.4,169994598.0
84,10872109.14,2019-04-01T08:50:01,250000000.0,2019-04-01,FID,25000000000.0,FID01042019,147,4520.18,54110.52,0.066845,TRYBEUR00025,11889123.0,11363329.81,169994598.0
85,9317689.19,2019-04-02T09:50:00,250000000.0,2019-04-02,FID,25000000000.0,FID02042019,145,4372.47,7004.86,0.066985,TRYBEUR00025,11890973.0,9879567.29,147489598.0
86,9887200.48,2019-04-03T09:50:00,250000000.0,2019-04-03,FID,25000000000.0,FID03042019,146,2103.84,252173.98,0.066806,TRYBEUR00025,11891746.0,9879179.98,147879598.0
87,9934966.66,2019-04-04T08:50:00,250000000.0,2019-04-04,FID,25000000000.0,FID04042019,146,2112.43,278190.79,0.06695,TRYBEUR00025,11892521.0,9900549.65,147879598.0
