,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,81546818.39,2018-12-13T10:14:57,50000000.0,2018-12-03,FIL,5000000000.0,FIL03122018,1979,5605.49,47734263.89,0.045251,TRYBEUR00017,9032140.0,81464765.38,1800283747.0
1,80288527.26,2018-12-14T10:14:56,50000000.0,2018-12-04,FIL,5000000000.0,FIL04122018,1974,5015.42,48477198.06,0.045281,TRYBEUR00017,9057690.0,80204098.8,1771264747.0
2,79143372.05,2018-12-15T10:14:55,50000000.0,2018-12-05,FIL,5000000000.0,FIL05122018,2009,2481.22,51089132.99,0.04531,TRYBEUR00017,9082218.0,79054389.51,1744749747.0
3,83587709.3,2018-12-16T10:14:54,50000000.0,2018-12-06,FIL,5000000000.0,FIL06122018,2047,2829.43,51188616.94,0.045338,TRYBEUR00017,9090394.0,83496408.67,1841627747.0
4,84769816.05,2018-12-17T10:14:59,50000000.0,2018-12-07,FIL,5000000000.0,FIL07122018,2019,3701.65,54045511.33,0.045373,TRYBEUR00017,9098570.0,84741355.78,1867643747.0
5,88573796.59,2018-12-20T10:14:57,50000000.0,2018-12-10,FIL,5000000000.0,FIL10122018,2029,2224.95,49267697.69,0.045464,TRYBEUR00017,9170110.0,88537551.78,1947421747.0
6,91428668.55,2018-12-21T10:14:56,50000000.0,2018-12-11,FIL,5000000000.0,FIL11122018,2018,3644.04,55531251.91,0.045494,TRYBEUR00017,9194638.0,91392039.85,2008893747.0
7,94837452.62,2018-12-22T10:14:55,50000000.0,2018-12-12,FIL,5000000000.0,FIL12122018,2020,4369.1,56423981.9,0.045521,TRYBEUR00017,9219166.0,94798950.72,2082529747.0
8,94882880.23,2018-12-23T10:14:54,50000000.0,2018-12-13,FIL,5000000000.0,FIL13122018,2043,2692.44,55241179.26,0.045549,TRYBEUR00017,9227342.0,94840053.87,2082144747.0
9,94469575.45,2018-12-24T10:14:53,50000000.0,2018-12-14,FIL,5000000000.0,FIL14122018,2048,4100.69,54026689.07,0.045578,TRYBEUR00017,9235519.0,94425027.11,2071721747.0
10,97396639.9,2018-12-27T10:14:57,50000000.0,2018-12-17,FIL,5000000000.0,FIL17122018,2061,3091.72,59389215.73,0.045665,TRYBEUR00017,9307058.0,97341941.73,2131637747.0
