,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,16016311.64,2018-12-13T10:14:57,45000000.0,2018-12-03,FIT,4500000000.0,FIT03122018,54,4958.75,813828.88,0.054047,TRYBEUR00033,9032141.0,15997530.91,295992123.0
1,15981241.5,2018-12-14T10:14:56,45000000.0,2018-12-04,FIT,4500000000.0,FIT04122018,53,2961.76,1269077.52,0.05409,TRYBEUR00033,9057691.0,15959885.48,295059123.0
2,15989183.9,2018-12-15T10:14:55,45000000.0,2018-12-05,FIT,4500000000.0,FIT05122018,53,2045.87,1271404.97,0.054112,TRYBEUR00033,9082219.0,15966304.09,295059123.0
3,15990152.91,2018-12-16T10:14:54,45000000.0,2018-12-06,FIT,4500000000.0,FIT06122018,53,2043.76,1505089.98,0.054119,TRYBEUR00033,9090395.0,15966663.07,295031123.0
4,15990750.58,2018-12-17T10:14:59,45000000.0,2018-12-07,FIT,4500000000.0,FIT07122018,53,2198.34,992315.49,0.054166,TRYBEUR00033,9098571.0,15980683.69,295031123.0
5,16017956.45,2018-12-20T10:14:57,45000000.0,2018-12-10,FIT,4500000000.0,FIT10122018,53,4648.11,992223.09,0.054262,TRYBEUR00033,9170111.0,16009057.58,295031123.0
6,16030465.11,2018-12-21T10:14:56,45000000.0,2018-12-11,FIT,4500000000.0,FIT11122018,53,1946.4,1497859.59,0.054296,TRYBEUR00033,9194639.0,16019057.54,295031123.0
7,16079214.76,2018-12-22T10:14:55,45000000.0,2018-12-12,FIT,4500000000.0,FIT12122018,54,1946.45,1539416.73,0.054324,TRYBEUR00033,9219167.0,16067196.06,295767123.0
8,16089424.39,2018-12-23T10:14:54,45000000.0,2018-12-13,FIT,4500000000.0,FIT13122018,54,1533.09,1055673.54,0.054355,TRYBEUR00033,9227343.0,16076376.65,295767123.0
9,16097240.36,2018-12-24T10:14:53,45000000.0,2018-12-14,FIT,4500000000.0,FIT14122018,54,4588.02,1054193.72,0.05439,TRYBEUR00033,9235520.0,16086635.73,295767123.0
