,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,14744287.81,2018-12-13T10:14:57,0.0,2018-12-03,FNO,14570597308.0,FNO03122018,637,1639.04,0.0,0.016697,TRYFNBK00063,9032142.0,14509178.39,868986175.6
1,15386050.76,2018-12-14T10:14:56,0.0,2018-12-04,FNO,14570597308.0,FNO04122018,638,2345.57,0.0,0.016701,TRYFNBK00063,9057692.0,14322380.15,857551179.6
2,14510723.02,2018-12-15T10:14:55,0.0,2018-12-05,FNO,14570597308.0,FNO05122018,637,2156.82,0.0,0.016627,TRYFNBK00063,9082220.0,14258850.61,857550179.6
3,13900848.99,2018-12-16T10:14:54,0.0,2018-12-06,FNO,14570597308.0,FNO06122018,636,2041.5,0.0,0.01665,TRYFNBK00063,9090396.0,14277928.64,857549783.6
4,14397234.87,2018-12-17T10:14:59,0.0,2018-12-07,FNO,14570597308.0,FNO07122018,634,2153.64,0.0,0.016601,TRYFNBK00063,9098572.0,14236301.98,857549783.6
5,14577518.78,2018-12-20T10:14:57,0.0,2018-12-10,FNO,14570597308.0,FNO10122018,634,1495.85,0.0,0.01666,TRYFNBK00063,9170112.0,14286666.52,857549783.6
6,14571165.33,2018-12-21T10:14:56,0.0,2018-12-11,FNO,14570597308.0,FNO11122018,634,9652.51,0.0,0.016591,TRYFNBK00063,9194640.0,14209162.19,856417807.6
7,14579039.19,2018-12-22T10:14:55,0.0,2018-12-12,FNO,14570597308.0,FNO12122018,634,1375.62,0.0,0.016596,TRYFNBK00063,9219168.0,14197565.58,855478387.6
8,14487783.11,2018-12-23T10:14:54,0.0,2018-12-13,FNO,14570597308.0,FNO13122018,633,1653.86,0.0,0.016507,TRYFNBK00063,9227344.0,14121344.14,855478387.6
9,14549805.84,2018-12-24T10:14:53,0.0,2018-12-14,FNO,14570597308.0,FNO14122018,633,1558.2,0.0,0.016579,TRYFNBK00063,9235521.0,14182258.4,855448303.6
