,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,17774961.84,2018-12-13T10:14:57,5000000.0,2018-12-03,FPE,500000000.0,FPE03122018,30,32837.35,485940.77,4.616353,TRYFIBP00039,9032143.0,18648925.23,4039753.0
1,18860967.87,2018-12-14T10:14:56,5000000.0,2018-12-04,FPE,500000000.0,FPE04122018,30,33609.97,360234.74,4.671422,TRYFIBP00039,9057693.0,17857694.31,3822753.0
2,18602442.03,2018-12-15T10:14:55,5000000.0,2018-12-05,FPE,500000000.0,FPE05122018,30,31931.73,363224.76,4.743358,TRYFIBP00039,9082221.0,18132684.97,3822753.0
3,17892109.49,2018-12-16T10:14:54,5000000.0,2018-12-06,FPE,500000000.0,FPE06122018,30,31590.41,363226.75,4.822011,TRYFIBP00039,9090397.0,18432954.95,3822670.0
4,18361282.13,2018-12-17T10:14:59,5000000.0,2018-12-07,FPE,500000000.0,FPE07122018,30,31635.69,388246.62,4.806624,TRYFIBP00039,9098573.0,18374138.06,3822670.0
5,18302846.25,2018-12-20T10:14:57,5000000.0,2018-12-10,FPE,500000000.0,FPE10122018,29,33748.63,385745.21,4.791675,TRYFIBP00039,9170113.0,18316993.66,3822670.0
6,18229714.65,2018-12-21T10:14:56,5000000.0,2018-12-11,FPE,500000000.0,FPE11122018,29,32089.16,387250.75,4.772213,TRYFIBP00039,9194641.0,18242594.01,3822670.0
7,18511925.46,2018-12-22T10:14:55,5000000.0,2018-12-12,FPE,500000000.0,FPE12122018,29,32033.1,388249.28,4.845844,TRYFIBP00039,9219169.0,18524061.04,3822670.0
8,18572178.83,2018-12-23T10:14:54,5000000.0,2018-12-13,FPE,500000000.0,FPE13122018,29,32653.6,388240.77,4.861588,TRYFIBP00039,9227345.0,18584245.38,3822670.0
9,18640789.31,2018-12-24T10:14:53,5000000.0,2018-12-14,FPE,500000000.0,FPE14122018,29,33177.04,388243.43,4.879492,TRYFIBP00039,9235522.0,18652687.72,3822670.0
