,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,2244685.09,2018-12-13T10:14:57,5000000.0,2018-12-03,FPH,500000000.0,FPH03122018,24,2530.45,134259.37,1.110721,TRYFIBP00021,9032144.0,2232343.38,2009815.0
1,2297873.02,2018-12-14T10:14:56,5000000.0,2018-12-04,FPH,500000000.0,FPH04122018,24,6786.82,130084.77,1.118102,TRYFIBP00021,9057694.0,2247179.13,2009815.0
2,2259979.01,2018-12-15T10:14:55,5000000.0,2018-12-05,FPH,500000000.0,FPH05122018,24,1868.47,135083.59,1.105408,TRYFIBP00021,9082222.0,2221664.64,2009815.0
3,2258824.22,2018-12-16T10:14:54,5000000.0,2018-12-06,FPH,500000000.0,FPH06122018,24,1534.09,93058.09,1.102824,TRYFIBP00021,9090398.0,2216472.46,2009815.0
4,2226883.17,2018-12-17T10:14:59,5000000.0,2018-12-07,FPH,500000000.0,FPH07122018,24,1684.09,105066.6,1.087733,TRYFIBP00021,9098574.0,2186141.56,2009815.0
5,2209074.47,2018-12-20T10:14:57,5000000.0,2018-12-10,FPH,500000000.0,FPH10122018,25,3756.89,58112.27,1.101954,TRYFIBP00021,9170114.0,2215736.39,2010734.0
6,2230951.43,2018-12-21T10:14:56,5000000.0,2018-12-11,FPH,500000000.0,FPH11122018,25,2565.46,73047.3,1.090501,TRYFIBP00021,9194642.0,2192707.02,2010734.0
7,2180595.42,2018-12-22T10:14:55,5000000.0,2018-12-12,FPH,500000000.0,FPH12122018,25,5611.14,70044.97,1.092576,TRYFIBP00021,9219170.0,2196470.4,2010359.0
8,2118460.09,2018-12-23T10:14:54,5000000.0,2018-12-13,FPH,500000000.0,FPH13122018,25,5443.84,40025.64,1.062132,TRYFIBP00021,9227346.0,2135269.37,2010361.0
9,2207229.57,2018-12-24T10:14:53,5000000.0,2018-12-14,FPH,500000000.0,FPH14122018,25,2157.17,95059.86,1.082961,TRYFIBP00021,9235523.0,2177143.16,2010361.0
10,2180081.44,2018-12-27T10:14:57,5000000.0,2018-12-17,FPH,500000000.0,FPH17122018,25,1263.89,67132.16,1.061087,TRYFIBP00021,9307062.0,2133166.99,2010361.0
11,2162594.4,2018-12-28T10:14:59,5000000.0,2018-12-18,FPH,500000000.0,FPH18122018,25,6688.85,70046.51,1.050986,TRYFIBP00021,9332508.0,2112842.41,2010343.0
12,2128345.0,2018-12-29T10:14:58,5000000.0,2018-12-19,FPH,500000000.0,FPH19122018,24,1520.64,30019.03,1.064958,TRYFIBP00021,9357036.0,2140930.83,2010343.0
