,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,57057094.75,2018-12-13T10:14:57,300000000.0,2018-12-03,FPK,30000000000.0,FPK03122018,956,5793.76,4597340.64,0.014174,TRYFIBP00013,9032145.0,56962248.55,4018892000.0
1,57370186.42,2018-12-14T10:14:56,300000000.0,2018-12-04,FPK,30000000000.0,FPK04122018,1068,5663.24,5668113.7,0.014183,TRYFIBP00013,9057695.0,57271892.07,4038002000.0
2,58712445.2,2018-12-15T10:14:55,300000000.0,2018-12-05,FPK,30000000000.0,FPK05122018,1055,4708.09,5095771.75,0.014191,TRYFIBP00013,9082223.0,58609744.81,4130112000.0
3,59938315.24,2018-12-16T10:14:54,300000000.0,2018-12-06,FPK,30000000000.0,FPK06122018,1060,2306.37,3070589.17,0.014198,TRYFIBP00013,9090399.0,59829642.25,4213801000.0
4,60287013.81,2018-12-17T10:14:59,300000000.0,2018-12-07,FPK,30000000000.0,FPK07122018,1126,4871.01,5904540.12,0.014211,TRYFIBP00013,9098575.0,60267446.02,4240911000.0
5,63844749.86,2018-12-20T10:14:57,300000000.0,2018-12-10,FPK,30000000000.0,FPK10122018,1102,2743.11,5067658.93,0.014238,TRYFIBP00013,9170115.0,63813794.41,4481917000.0
6,64019923.24,2018-12-21T10:14:56,300000000.0,2018-12-11,FPK,30000000000.0,FPK11122018,1059,4654.05,7216511.13,0.014246,TRYFIBP00013,9194643.0,63988562.61,4491610000.0
7,65479913.35,2018-12-22T10:14:55,300000000.0,2018-12-12,FPK,30000000000.0,FPK12122018,1037,4304.56,7845797.6,0.014254,TRYFIBP00013,9219171.0,65444422.29,4591396000.0
8,63912710.59,2018-12-23T10:14:54,300000000.0,2018-12-13,FPK,30000000000.0,FPK13122018,1032,3386.93,4996356.41,0.014262,TRYFIBP00013,9227347.0,63872624.25,4478475000.0
9,64181079.35,2018-12-24T10:14:53,300000000.0,2018-12-14,FPK,30000000000.0,FPK14122018,1021,4453.42,5437232.97,0.014269,TRYFIBP00013,9235524.0,64138292.03,4494819000.0
10,64001422.77,2018-12-27T10:14:57,300000000.0,2018-12-17,FPK,30000000000.0,FPK17122018,1004,5224.01,4520190.62,0.014296,TRYFIBP00013,9307063.0,63948037.12,4473029000.0
11,64141553.08,2018-12-28T10:14:59,300000000.0,2018-12-18,FPK,30000000000.0,FPK18122018,998,4904.94,4630536.27,0.014305,TRYFIBP00013,9332509.0,64084167.47,4479842000.0
12,64614338.01,2018-12-29T10:14:58,300000000.0,2018-12-19,FPK,30000000000.0,FPK19122018,1007,4039.26,4246264.19,0.014311,TRYFIBP00013,9357037.0,64552293.23,4510719000.0
13,64461827.41,2018-12-30T10:14:58,300000000.0,2018-12-20,FPK,30000000000.0,FPK20122018,1021,3209.47,7065081.02,0.01432,TRYFIBP00013,9365213.0,64395229.61,4496884000.0
14,64308236.36,2018-12-31T10:15:00,300000000.0,2018-12-21,FPK,30000000000.0,FPK21122018,1025,6244.12,4605683.38,0.014328,TRYFIBP00013,9373389.0,64240881.43,4483716000.0
15,66050493.02,2019-01-03T10:14:57,300000000.0,2018-12-24,FPK,30000000000.0,FPK24122018,991,6010.79,4839163.87,0.014353,TRYFIBP00013,9425511.0,65971110.78,4596459000.0
16,66277494.36,2019-01-04T10:14:57,300000000.0,2018-12-25,FPK,30000000000.0,FPK25122018,977,4863.98,4035426.42,0.014361,TRYFIBP00013,9450039.0,66193131.26,4609279000.0
17,64728710.06,2019-01-05T10:14:56,300000000.0,2018-12-26,FPK,30000000000.0,FPK26122018,974,4828.93,3949929.8,0.014369,TRYFIBP00013,9473545.0,64640501.82,4498484000.0
18,64981445.22,2019-01-06T10:14:55,300000000.0,2018-12-27,FPK,30000000000.0,FPK27122018,964,4474.09,3366431.43,0.014378,TRYFIBP00013,9480699.0,64889031.03,4513196000.0
19,64810985.26,2019-01-07T10:15:00,300000000.0,2018-12-28,FPK,30000000000.0,FPK28122018,951,3890.33,4964543.42,0.014385,TRYFIBP00013,9487853.0,64714175.15,4498688000.0
20,65061814.86,2019-01-10T10:14:57,300000000.0,2018-12-31,FPK,30000000000.0,FPK31122018,947,6452.02,4126132.92,0.014409,TRYFIBP00013,9556327.0,64955941.88,4508150000.0
21,64399831.35,2019-01-12T10:14:58,300000000.0,2019-01-02,FPK,30000000000.0,FPK02012019,963,4744.14,3392677.26,0.014426,TRYFIBP00013,9604258.0,64284820.84,4456278000.0
22,62982129.82,2019-01-13T10:14:57,300000000.0,2019-01-03,FPK,30000000000.0,FPK03012019,1122,1842.11,2062775.2,0.014433,TRYFIBP00013,9612434.0,62860648.99,4355455000.0
23,62896390.27,2019-01-14T10:14:59,300000000.0,2019-01-04,FPK,30000000000.0,FPK04012019,1060,6615.72,4325293.08,0.014441,TRYFIBP00013,9620610.0,62776071.83,4346944000.0
24,62928383.67,2019-01-17T10:14:57,300000000.0,2019-01-07,FPK,30000000000.0,FPK07012019,1049,5305.28,3597444.53,0.014464,TRYFIBP00013,9692150.0,62795854.71,4341412000.0
25,65228367.89,2019-01-18T10:14:56,300000000.0,2019-01-08,FPK,30000000000.0,FPK08012019,1084,6380.09,4231320.88,0.014471,TRYFIBP00013,9717700.0,65193850.08,4505000000.0
26,65744619.9,2019-01-19T10:14:55,300000000.0,2019-01-09,FPK,30000000000.0,FPK09012019,1054,5280.25,4713206.55,0.014479,TRYFIBP00013,9742228.0,65707624.13,4538051000.0
27,65768435.65,2019-01-20T10:14:54,300000000.0,2019-01-10,FPK,30000000000.0,FPK10012019,1042,5755.66,5304001.83,0.014489,TRYFIBP00013,9750404.0,65729252.23,4536559000.0
28,65589481.8,2019-01-21T10:14:59,300000000.0,2019-01-11,FPK,30000000000.0,FPK11012019,1033,6804.61,5446734.02,0.014495,TRYFIBP00013,9758580.0,65547353.56,4522075000.0
29,65787296.07,2019-01-24T10:14:57,300000000.0,2019-01-14,FPK,30000000000.0,FPK14012019,1019,7820.77,5819281.52,0.014523,TRYFIBP00013,9830120.0,65734496.29,4526250000.0
30,65708443.32,2019-01-25T10:14:56,300000000.0,2019-01-15,FPK,30000000000.0,FPK15012019,989,2326.03,4100921.55,0.014532,TRYFIBP00013,9855670.0,65646440.63,4517498000.0
31,65373092.04,2019-01-26T10:14:55,300000000.0,2019-01-16,FPK,30000000000.0,FPK16012019,981,4628.64,4087209.06,0.014542,TRYFIBP00013,9880198.0,65312764.17,4491344000.0
32,65381326.16,2019-01-27T10:14:57,300000000.0,2019-01-17,FPK,30000000000.0,FPK17012019,988,6051.71,5052135.99,0.014552,TRYFIBP00013,9888271.0,65318591.22,4488511000.0
33,66055042.95,2019-01-28T10:14:59,300000000.0,2019-01-18,FPK,30000000000.0,FPK18012019,998,4824.61,4991500.96,0.014561,TRYFIBP00013,9896447.0,65987200.82,4531634000.0
34,66964464.5,2019-01-31T10:14:57,300000000.0,2019-01-21,FPK,30000000000.0,FPK21012019,1000,32862.97,5546584.03,0.014585,TRYFIBP00013,9967987.0,66912738.91,4587676000.0
35,65033164.42,2019-02-01T10:14:56,300000000.0,2019-01-22,FPK,30000000000.0,FPK22012019,1002,5880.23,3993064.87,0.014595,TRYFIBP00013,9993537.0,64950707.55,4450130000.0
36,65477887.82,2019-02-02T10:14:55,300000000.0,2019-01-23,FPK,30000000000.0,FPK23012019,993,4239.94,4850520.01,0.014604,TRYFIBP00013,10018065.0,65389943.13,4477684000.0
37,65835175.72,2019-02-03T10:14:54,300000000.0,2019-01-24,FPK,30000000000.0,FPK24012019,960,4380.2,5358119.42,0.01461,TRYFIBP00013,10026241.0,65743502.66,4499918000.0
38,65932845.71,2019-02-04T10:15:00,300000000.0,2019-01-25,FPK,30000000000.0,FPK25012019,948,5645.65,4920372.96,0.014618,TRYFIBP00013,10034417.0,65838549.42,4503893000.0
39,65955655.64,2019-02-07T10:14:57,300000000.0,2019-01-28,FPK,30000000000.0,FPK28012019,946,4143.81,5109281.09,0.014644,TRYFIBP00013,10105957.0,65848104.34,4496713000.0
40,66112094.89,2019-02-08T10:14:56,300000000.0,2019-01-29,FPK,30000000000.0,FPK29012019,947,3938.44,5064844.4,0.014651,TRYFIBP00013,10131507.0,66000564.77,4504939000.0
41,66588557.4,2019-02-09T10:14:55,300000000.0,2019-01-30,FPK,30000000000.0,FPK30012019,953,3599.31,5502370.05,0.01466,TRYFIBP00013,10156037.0,66474127.25,4534349000.0
42,64905296.48,2019-02-10T10:14:54,300000000.0,2019-01-31,FPK,30000000000.0,FPK31012019,952,3819.9,5479831.74,0.01467,TRYFIBP00013,10164211.0,64787299.16,4416346000.0
43,64883909.11,2019-02-11T10:14:53,300000000.0,2019-02-01,FPK,30000000000.0,FPK01022019,962,4881.21,5914359.0,0.014681,TRYFIBP00013,10172387.0,64763196.76,4411422000.0
44,65512170.67,2019-02-14T10:14:58,300000000.0,2019-02-04,FPK,30000000000.0,FPK04022019,1185,4972.5,3056355.45,0.014703,TRYFIBP00013,10243927.0,65379865.86,4446657000.0
45,66041556.5,2019-02-15T10:14:57,300000000.0,2019-02-05,FPK,30000000000.0,FPK05022019,1064,5560.21,5089638.12,0.014712,TRYFIBP00013,10269477.0,65906182.55,4479812000.0
46,66638862.85,2019-02-16T10:14:56,300000000.0,2019-02-06,FPK,30000000000.0,FPK06022019,1065,4454.56,4178408.89,0.014719,TRYFIBP00013,10294005.0,66614780.27,4525779000.0
47,66939732.18,2019-02-17T10:15:00,300000000.0,2019-02-07,FPK,30000000000.0,FPK07022019,1110,4264.4,2948922.77,0.014728,TRYFIBP00013,10302078.0,66911564.51,4543000000.0
48,65029708.38,2019-02-18T10:14:58,300000000.0,2019-02-08,FPK,30000000000.0,FPK08022019,1076,5544.82,2511935.74,0.014736,TRYFIBP00013,10310254.0,65001717.0,4411226000.0
49,66069442.07,2019-02-21T10:14:57,300000000.0,2019-02-11,FPK,30000000000.0,FPK11022019,1080,6606.0,1938001.17,0.01476,TRYFIBP00013,10381794.0,66030707.12,4473553000.0
50,66618395.38,2019-02-22T10:14:56,300000000.0,2019-02-12,FPK,30000000000.0,FPK12022019,1044,4211.58,3482428.54,0.014769,TRYFIBP00013,10407344.0,66576212.46,4507688000.0
51,69104990.24,2019-02-23T10:14:55,300000000.0,2019-02-13,FPK,30000000000.0,FPK13022019,1017,4749.77,6139462.15,0.01478,TRYFIBP00013,10431871.0,69059445.27,4672407000.0
52,72299445.02,2019-02-24T10:14:54,300000000.0,2019-02-14,FPK,30000000000.0,FPK14022019,1021,6466.87,4485026.88,0.01479,TRYFIBP00013,10440047.0,72251493.13,4885240000.0
53,70231273.33,2019-02-25T10:14:59,300000000.0,2019-02-15,FPK,30000000000.0,FPK15022019,1028,5841.98,40025.32,0.0148,TRYFIBP00013,10448223.0,70178703.38,4741902000.0
54,69978136.92,2019-02-28T10:14:57,300000000.0,2019-02-18,FPK,30000000000.0,FPK18022019,1043,6217.94,1798552.31,0.014824,TRYFIBP00013,10519763.0,69913485.07,4716351000.0
55,70445300.51,2019-03-01T10:14:55,300000000.0,2019-02-19,FPK,30000000000.0,FPK19022019,1054,6109.61,3737381.88,0.014833,TRYFIBP00013,10545313.0,70376656.4,4744474000.0
56,74133608.17,2019-03-02T10:14:55,300000000.0,2019-02-20,FPK,30000000000.0,FPK20022019,1053,3681.17,495313.95,0.014842,TRYFIBP00013,10569841.0,74058179.57,4989755000.0
57,75408789.27,2019-03-03T10:14:53,300000000.0,2019-02-21,FPK,30000000000.0,FPK21022019,1062,4577.59,1783080.03,0.014851,TRYFIBP00013,10578017.0,75329883.87,5072544000.0
58,77184653.73,2019-03-04T10:14:52,300000000.0,2019-02-22,FPK,30000000000.0,FPK22022019,1041,3895.89,1515892.4,0.01486,TRYFIBP00013,10586192.0,77100572.63,5188615000.0
59,79719108.17,2019-03-07T10:14:48,300000000.0,2019-02-25,FPK,30000000000.0,FPK25022019,1040,5316.89,1766274.83,0.014883,TRYFIBP00013,10657732.0,79622292.39,5349773000.0
60,79266281.69,2019-03-08T10:15:00,300000000.0,2019-02-26,FPK,30000000000.0,FPK26022019,1056,5926.88,995618.81,0.014891,TRYFIBP00013,10658754.0,79157501.31,5315930000.0
