,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,FPZ03122018,0,2020-09-21T18:03:30.288,5.108303,7692981.98,2018-12-03,1505976.0,FPZ
1,FPZ04122018,0,2020-09-21T18:03:30.299,5.171173,7787662.89,2018-12-04,1505976.0,FPZ
2,FPZ05122018,0,2020-09-21T18:03:30.306,5.250318,7749343.64,2018-12-05,1475976.0,FPZ
3,FPZ06122018,0,2020-09-21T18:03:30.315,5.351778,7899096.44,2018-12-06,1475976.0,FPZ
4,FPZ07122018,0,2020-09-21T18:03:30.321,5.323572,7857463.92,2018-12-07,1475976.0,FPZ
5,FPZ10122018,0,2020-09-21T18:03:30.325,5.307848,7834255.63,2018-12-10,1475976.0,FPZ
6,FPZ11122018,0,2020-09-21T18:03:30.33,5.278649,7791159.2,2018-12-11,1475976.0,FPZ
7,FPZ12122018,0,2020-09-21T18:03:30.336,5.363329,8088194.89,2018-12-12,1508055.0,FPZ
8,FPZ13122018,0,2020-09-21T18:03:30.341,5.378752,8111453.56,2018-12-13,1508055.0,FPZ
9,FPZ14122018,0,2020-09-21T18:03:30.346,5.398539,8141293.18,2018-12-14,1508055.0,FPZ
10,FPZ17122018,0,2020-09-21T18:03:30.352,5.419933,8173556.99,2018-12-17,1508055.0,FPZ
11,FPZ18122018,0,2020-09-21T18:03:30.358,5.439158,8202549.14,2018-12-18,1508055.0,FPZ
12,FPZ19122018,48,2020-09-21T18:03:30.364,5.422976,7938021.7,2018-12-19,1463776.0,FPZ
13,FPZ20122018,0,2020-09-21T18:03:30.371,5.436433,7957720.04,2018-12-20,1463776.0,FPZ
14,FPZ21122018,0,2020-09-21T18:03:30.376,5.453048,7982040.65,2018-12-21,1463776.0,FPZ
15,FPZ24122018,0,2020-09-21T18:03:30.38,5.448004,7974656.79,2018-12-24,1463776.0,FPZ
16,FPZ25122018,0,2020-09-21T18:03:30.387,5.467251,8002830.39,2018-12-25,1463776.0,FPZ
17,FPZ26122018,0,2020-09-21T18:03:30.396,5.476433,9281124.67,2018-12-26,1694739.0,FPZ
18,FPZ27122018,0,2020-09-21T18:03:30.405,5.456613,9247534.31,2018-12-27,1694739.0,FPZ
19,FPZ28122018,49,2020-09-21T18:03:30.409,5.469847,9269957.41,2018-12-28,1694738.0,FPZ
20,FPZ31122018,0,2020-09-21T18:03:30.414,5.440633,9220446.87,2018-12-31,1694738.0,FPZ
21,FPZ02012019,0,2020-09-21T18:15:27.432,5.464583,9261036.26,2019-01-02,1694738.0,FPZ
22,FPZ03012019,49,2020-09-21T18:15:27.429,5.492218,9531788.67,2019-01-03,1735508.0,FPZ
