,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,37107518.31,2018-12-13T10:14:57,0.0,2018-12-03,FYO,4500000000.0,FYO03122018,395,2281.59,0.0,0.160264,TRMFYKWWWWW6,9032150.0,34487049.26,215188837.511
1,37076096.19,2018-12-14T10:14:56,0.0,2018-12-04,FYO,4500000000.0,FYO04122018,393,1577.65,0.0,0.160384,TRMFYKWWWWW6,9057700.0,34512669.16,215188034.511
2,37100804.42,2018-12-15T10:14:55,0.0,2018-12-05,FYO,4500000000.0,FYO05122018,394,1804.26,0.0,0.160513,TRMFYKWWWWW6,9082228.0,34531363.97,215131885.511
3,37118996.94,2018-12-16T10:14:54,0.0,2018-12-06,FYO,4500000000.0,FYO06122018,392,1302.57,0.0,0.160636,TRMFYKWWWWW6,9090404.0,34533585.95,214980098.511
4,37094280.88,2018-12-17T10:14:59,0.0,2018-12-07,FYO,4500000000.0,FYO07122018,391,1920.95,0.0,0.160754,TRMFYKWWWWW6,9098580.0,34461042.62,214371624.511
5,37073700.35,2018-12-20T10:14:57,0.0,2018-12-10,FYO,4500000000.0,FYO10122018,390,2202.44,0.0,0.161123,TRMFYKWWWWW6,9170120.0,34439883.75,213748624.511
6,36998374.17,2018-12-21T10:14:56,0.0,2018-12-11,FYO,4500000000.0,FYO11122018,390,405822.2,0.0,0.163136,TRMFYKWWWWW6,9194648.0,34853658.43,213648350.511
7,37562976.41,2018-12-22T10:14:55,0.0,2018-12-12,FYO,4500000000.0,FYO12122018,387,1561.33,0.0,0.163255,TRMFYKWWWWW6,9219176.0,35016835.4,214491828.511
8,37669950.67,2018-12-23T10:14:54,0.0,2018-12-13,FYO,4500000000.0,FYO13122018,389,2235.97,0.0,0.163403,TRMFYKWWWWW6,9227352.0,34970235.49,214012714.511
9,37533700.24,2018-12-24T10:14:53,0.0,2018-12-14,FYO,4500000000.0,FYO14122018,388,1561.16,0.0,0.163531,TRMFYKWWWWW6,9235529.0,34997733.34,214012714.511
10,37615018.11,2018-12-27T10:14:57,0.0,2018-12-17,FYO,4500000000.0,FYO17122018,388,1906.06,0.0,0.163899,TRMFYKWWWWW6,9307068.0,35061247.09,213919914.511
11,37656177.46,2018-12-28T10:14:59,0.0,2018-12-18,FYO,4500000000.0,FYO18122018,389,1942.64,0.0,0.164028,TRMFYKWWWWW6,9332514.0,34942577.72,213028387.511
12,37463999.82,2018-12-29T10:14:58,0.0,2018-12-19,FYO,4500000000.0,FYO19122018,387,1817.08,0.0,0.163936,TRMFYKWWWWW6,9357042.0,34919618.94,213007033.511
13,37486805.07,2018-12-30T10:14:58,0.0,2018-12-20,FYO,4500000000.0,FYO20122018,386,2002.38,0.0,0.164056,TRMFYKWWWWW6,9365218.0,34902485.14,212747899.511
14,37565075.69,2018-12-31T10:15:00,0.0,2018-12-21,FYO,4500000000.0,FYO21122018,386,2428.55,0.0,0.164578,TRMFYKWWWWW6,9373394.0,35012638.81,212742358.511
15,37535694.64,2019-01-03T10:14:57,0.0,2018-12-24,FYO,4500000000.0,FYO24122018,388,315.49,0.0,0.16439,TRMFYKWWWWW6,9425516.0,34989011.62,212841094.511
16,37505394.31,2019-01-04T10:14:57,0.0,2018-12-25,FYO,4500000000.0,FYO25122018,391,3639.48,0.0,0.16421,TRMFYKWWWWW6,9450044.0,34947292.77,212821051.511
17,38217246.59,2019-01-05T10:14:56,0.0,2018-12-26,FYO,4500000000.0,FYO26122018,391,1718.63,0.0,0.164304,TRMFYKWWWWW6,9473550.0,35439647.13,215695792.511
18,38630234.04,2019-01-06T10:14:55,0.0,2018-12-27,FYO,4500000000.0,FYO27122018,391,2327.33,0.0,0.164495,TRMFYKWWWWW6,9480704.0,35933216.71,218445215.511
19,38818055.65,2019-01-07T10:15:00,0.0,2018-12-28,FYO,4500000000.0,FYO28122018,390,1592.51,0.0,0.164596,TRMFYKWWWWW6,9487858.0,35990204.12,218657986.511
20,38618967.68,2019-01-10T10:14:57,0.0,2018-12-31,FYO,4500000000.0,FYO31122018,390,1877.19,0.0,0.164942,TRMFYKWWWWW6,9556332.0,35960995.31,218022269.511
21,38515244.52,2019-01-12T10:14:58,0.0,2019-01-02,FYO,4500000000.0,FYO02012019,389,1470.26,0.0,0.164926,TRMFYKWWWWW6,9604263.0,35957575.79,218022269.511
22,38544721.38,2019-01-13T10:14:57,0.0,2019-01-03,FYO,4500000000.0,FYO03012019,389,2232.65,0.0,0.16504,TRMFYKWWWWW6,9612439.0,35950556.35,217829616.511
23,38666209.09,2019-01-14T10:14:59,0.0,2019-01-04,FYO,4500000000.0,FYO04012019,389,1931.91,0.0,0.165026,TRMFYKWWWWW6,9620615.0,36049037.14,218444344.511
