,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,27044755.03,2018-12-13T10:14:57,129868.0,2018-12-03,GA1,12986800.0,GA103122018,1161,3098.91,0.0,300.277933,TRMGA1WWWWW3,9032152.0,26980572.82,89852
1,27031372.44,2018-12-14T10:14:56,129868.0,2018-12-04,GA1,12986800.0,GA104122018,1157,2848.01,0.0,300.672201,TRMGA1WWWWW3,9057702.0,27001866.99,89805
2,27000285.56,2018-12-15T10:14:55,129868.0,2018-12-05,GA1,12986800.0,GA105122018,1160,3661.22,0.0,300.283333,TRMGA1WWWWW3,9082230.0,26971749.27,89821
3,26926649.05,2018-12-16T10:14:54,129868.0,2018-12-06,GA1,12986800.0,GA106122018,1158,6434.53,0.0,299.911731,TRMGA1WWWWW3,9090406.0,26899383.07,89691
4,26919167.08,2018-12-17T10:14:59,129868.0,2018-12-07,GA1,12986800.0,GA107122018,1154,188.6,0.0,300.056374,TRMGA1WWWWW3,9098582.0,26884150.94,89597
5,26854865.7,2018-12-20T10:14:57,129868.0,2018-12-10,GA1,12986800.0,GA110122018,1151,1111.77,0.0,299.532777,TRMGA1WWWWW3,9170122.0,26816270.97,89527
6,26837577.51,2018-12-21T10:14:56,129868.0,2018-12-11,GA1,12986800.0,GA111122018,1152,2393.56,0.0,299.387398,TRMGA1WWWWW3,9194650.0,26798764.78,89512
7,24750023.22,2018-12-22T10:14:55,129868.0,2018-12-12,GA1,12986800.0,GA112122018,1147,2030.24,0.0,298.940799,TRMGA1WWWWW3,9219178.0,24709549.62,82657
8,24513959.98,2018-12-23T10:14:54,129868.0,2018-12-13,GA1,12986800.0,GA113122018,1140,3074.57,0.0,298.125991,TRMGA1WWWWW3,9227354.0,24473162.59,82090
9,24063889.09,2018-12-24T10:14:53,129868.0,2018-12-14,GA1,12986800.0,GA114122018,1137,2588.25,0.0,298.11959,TRMGA1WWWWW3,9235531.0,24021284.12,80576
10,23959443.06,2018-12-27T10:14:57,129868.0,2018-12-17,GA1,12986800.0,GA117122018,1132,4116.85,0.0,297.894281,TRMGA1WWWWW3,9307070.0,23914357.12,80278
11,23812738.93,2018-12-28T10:14:59,129868.0,2018-12-18,GA1,12986800.0,GA118122018,1131,4969.65,0.0,298.133287,TRMGA1WWWWW3,9332516.0,23767185.62,79720
12,23619551.18,2018-12-29T10:14:58,129868.0,2018-12-19,GA1,12986800.0,GA119122018,1125,750.42,0.0,298.463526,TRMGA1WWWWW3,9357044.0,23568470.8,78966
13,23513438.21,2018-12-30T10:14:58,129868.0,2018-12-20,GA1,12986800.0,GA120122018,1121,4562.53,0.0,298.820291,TRMGA1WWWWW3,9365220.0,23464863.38,78525
14,23688377.05,2018-12-31T10:15:00,129868.0,2018-12-21,GA1,12986800.0,GA121122018,1123,3241.53,0.0,300.459084,TRMGA1WWWWW3,9373396.0,23637416.6,78671
