,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,26432925.07,2018-12-13T10:14:57,72987056.1,2018-12-03,GAE,7298705610.0,GAE03122018,2833,12597.43,0.0,0.031737,TRMGAEWWWWW7,9032153.0,26165843.84,824450872.0
1,26170600.83,2018-12-14T10:14:56,72987056.1,2018-12-04,GAE,7298705610.0,GAE04122018,2832,11449.3,0.0,0.031602,TRMGAEWWWWW7,9057703.0,25860295.58,818314477.0
2,25558071.39,2018-12-15T10:14:55,72987056.1,2018-12-05,GAE,7298705610.0,GAE05122018,2828,12089.81,0.0,0.031203,TRMGAEWWWWW7,9082231.0,25520789.87,817898872.0
3,25445159.62,2018-12-16T10:14:54,72987056.1,2018-12-06,GAE,7298705610.0,GAE06122018,2827,14848.24,0.0,0.031223,TRMGAEWWWWW7,9090407.0,25487160.1,816294917.0
4,25399667.86,2018-12-17T10:14:59,72987056.1,2018-12-07,GAE,7298705610.0,GAE07122018,2823,14244.34,0.0,0.030846,TRMGAEWWWWW7,9098583.0,25040511.71,811797369.0
5,25631751.06,2018-12-20T10:14:57,72987056.1,2018-12-10,GAE,7298705610.0,GAE10122018,2824,10716.95,0.0,0.031169,TRMGAEWWWWW7,9170123.0,25396809.92,814806304.0
6,25096847.54,2018-12-21T10:14:56,72987056.1,2018-12-11,GAE,7298705610.0,GAE11122018,2823,10770.94,0.0,0.030669,TRMGAEWWWWW7,9194651.0,24921491.23,812599579.0
7,25229441.79,2018-12-22T10:14:55,72987056.1,2018-12-12,GAE,7298705610.0,GAE12122018,2823,13415.97,0.0,0.030547,TRMGAEWWWWW7,9219179.0,25091834.35,821416842.0
8,24793449.18,2018-12-23T10:14:54,72987056.1,2018-12-13,GAE,7298705610.0,GAE13122018,2821,11093.58,0.0,0.029985,TRMGAEWWWWW7,9227355.0,24624642.75,821229147.0
9,25353776.51,2018-12-24T10:14:53,72987056.1,2018-12-14,GAE,7298705610.0,GAE14122018,2821,10206.46,0.0,0.030426,TRMGAEWWWWW7,9235532.0,24937583.33,819620337.0
10,24980656.38,2018-12-27T10:14:57,72987056.1,2018-12-17,GAE,7298705610.0,GAE17122018,2826,10493.77,0.0,0.030159,TRMGAEWWWWW7,9307071.0,24798149.24,822251089.0
11,24851661.38,2018-12-28T10:14:59,72987056.1,2018-12-18,GAE,7298705610.0,GAE18122018,2826,12939.76,0.0,0.030066,TRMGAEWWWWW7,9332517.0,24716512.34,822073338.0
12,25470939.56,2018-12-29T10:14:58,72987056.1,2018-12-19,GAE,7298705610.0,GAE19122018,2824,10622.69,0.0,0.030449,TRMGAEWWWWW7,9357045.0,25062157.62,823098557.0
13,25560293.86,2018-12-30T10:14:58,72987056.1,2018-12-20,GAE,7298705610.0,GAE20122018,2815,10860.09,0.0,0.030919,TRMGAEWWWWW7,9365221.0,25398359.87,821460641.0
14,25335456.17,2018-12-31T10:15:00,72987056.1,2018-12-21,GAE,7298705610.0,GAE21122018,2813,10192.5,0.0,0.030674,TRMGAEWWWWW7,9373397.0,24844708.55,809966673.0
15,24977617.98,2019-01-03T10:14:57,72987056.1,2018-12-24,GAE,7298705610.0,GAE24122018,2813,10896.82,0.0,0.030682,TRMGAEWWWWW7,9425519.0,24717763.0,805608609.0
16,24737450.83,2019-01-04T10:14:57,72987056.1,2018-12-25,GAE,7298705610.0,GAE25122018,2809,9940.2,0.0,0.030548,TRMGAEWWWWW7,9450047.0,24534549.26,803135564.0
17,24450463.56,2019-01-05T10:14:56,72987056.1,2018-12-26,GAE,7298705610.0,GAE26122018,2806,14773.88,0.0,0.030301,TRMGAEWWWWW7,9473553.0,24229312.21,799615790.0
18,24426509.93,2019-01-06T10:14:55,72987056.1,2018-12-27,GAE,7298705610.0,GAE27122018,2804,10020.53,0.0,0.030373,TRMGAEWWWWW7,9480707.0,24209672.47,797076525.0
19,24370065.79,2019-01-07T10:15:00,72987056.1,2018-12-28,GAE,7298705610.0,GAE28122018,2799,10649.38,0.0,0.030424,TRMGAEWWWWW7,9487861.0,24192733.97,795177703.0
20,24268054.8,2019-01-10T10:14:57,72987056.1,2018-12-31,GAE,7298705610.0,GAE31122018,2799,10050.39,0.0,0.030221,TRMGAEWWWWW7,9556335.0,24046178.7,795679718.0
21,24407824.66,2019-01-12T10:14:58,72987056.1,2019-01-02,GAE,7298705610.0,GAE02012019,2796,11538.78,0.0,0.030465,TRMGAEWWWWW7,9604266.0,24271881.11,796710111.0
22,22633089.46,2019-01-13T10:14:57,72987056.1,2019-01-03,GAE,7298705610.0,GAE03012019,2796,10172.74,0.0,0.029656,TRMGAEWWWWW7,9612442.0,23638683.27,797089526.0
23,22516320.56,2019-01-14T10:14:59,72987056.1,2019-01-04,GAE,7298705610.0,GAE04012019,2792,10270.94,0.0,0.029232,TRMGAEWWWWW7,9620618.0,22653170.84,774956097.0
