,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,704057.46,2018-12-13T10:14:57,40000000.0,2018-12-03,GAF,40000000.0,GAF03122018,97,8328.08,14026.75,0.061617,TRMGAFWWWWW4,9032154.0,743269.14,12062800.0
1,710507.92,2018-12-14T10:14:56,40000000.0,2018-12-04,GAF,40000000.0,GAF04122018,97,8612.28,20012.79,0.061652,TRMGAFWWWWW4,9057704.0,703910.25,11417400.0
2,688834.9,2018-12-15T10:14:55,40000000.0,2018-12-05,GAF,40000000.0,GAF05122018,95,9359.24,10006.42,0.060625,TRMGAFWWWWW4,9082232.0,692182.71,11417400.0
3,686692.69,2018-12-16T10:14:54,40000000.0,2018-12-06,GAF,40000000.0,GAF06122018,95,9319.46,10006.36,0.060432,TRMGAFWWWWW4,9090408.0,689979.83,11417400.0
4,670677.2,2018-12-17T10:14:59,40000000.0,2018-12-07,GAF,40000000.0,GAF07122018,95,7906.88,10006.34,0.059616,TRMGAFWWWWW4,9098584.0,680664.55,11417400.0
5,677292.71,2018-12-20T10:14:57,40000000.0,2018-12-10,GAF,40000000.0,GAF10122018,95,7886.27,10019.36,0.060179,TRMGAFWWWWW4,9170124.0,687086.03,11417400.0
6,637724.18,2018-12-21T10:14:56,40000000.0,2018-12-11,GAF,40000000.0,GAF11122018,95,8660.75,16010.32,0.059166,TRMGAFWWWWW4,9194652.0,675527.23,11417400.0
7,634878.78,2018-12-22T10:14:55,40000000.0,2018-12-12,GAF,40000000.0,GAF12122018,95,8669.57,16010.28,0.0589,TRMGAFWWWWW4,9219180.0,641277.89,10887500.0
8,621624.75,2018-12-23T10:14:54,40000000.0,2018-12-13,GAF,40000000.0,GAF13122018,95,9156.04,18011.47,0.057495,TRMGAFWWWWW4,9227356.0,625979.37,10887600.0
9,641716.76,2018-12-24T10:14:53,40000000.0,2018-12-14,GAF,40000000.0,GAF14122018,95,10148.76,17010.78,0.05837,TRMGAFWWWWW4,9235533.0,635505.98,10887600.0
10,635438.94,2018-12-27T10:14:57,40000000.0,2018-12-17,GAF,40000000.0,GAF17122018,95,10154.63,17032.14,0.057671,TRMGAFWWWWW4,9307072.0,626007.46,10854800.0
11,613302.83,2018-12-28T10:14:59,40000000.0,2018-12-18,GAF,40000000.0,GAF18122018,94,13705.1,0.0,0.057235,TRMGAFWWWWW4,9332518.0,621275.14,10854800.0
12,627211.23,2018-12-29T10:14:58,40000000.0,2018-12-19,GAF,40000000.0,GAF19122018,94,2568.93,12007.69,0.057919,TRMGAFWWWWW4,9357046.0,628694.93,10854800.0
13,638872.99,2018-12-30T10:14:58,40000000.0,2018-12-20,GAF,40000000.0,GAF20122018,94,3001.41,10006.34,0.058988,TRMGAFWWWWW4,9365222.0,640302.31,10854800.0
14,649160.39,2018-12-31T10:15:00,40000000.0,2018-12-21,GAF,40000000.0,GAF21122018,94,3565.32,13008.21,0.058733,TRMGAFWWWWW4,9373398.0,637539.27,10854800.0
15,644496.87,2019-01-03T10:14:57,40000000.0,2018-12-24,GAF,40000000.0,GAF24122018,94,4558.22,12023.03,0.058873,TRMGAFWWWWW4,9425520.0,639053.2,10854800.0
16,628295.62,2019-01-04T10:14:57,40000000.0,2018-12-25,GAF,40000000.0,GAF25122018,94,6557.75,0.0,0.058659,TRMGAFWWWWW4,9450048.0,636733.29,10854800.0
17,628908.51,2019-01-05T10:14:56,40000000.0,2018-12-26,GAF,40000000.0,GAF26122018,94,6905.46,5003.23,0.058247,TRMGAFWWWWW4,9473554.0,629352.28,10804800.0
18,625834.08,2019-01-06T10:14:55,40000000.0,2018-12-27,GAF,40000000.0,GAF27122018,93,10892.03,0.0,0.05842,TRMGAFWWWWW4,9480708.0,631219.95,10804800.0
19,617891.62,2019-01-07T10:15:00,40000000.0,2018-12-28,GAF,40000000.0,GAF28122018,93,10892.06,0.0,0.058068,TRMGAFWWWWW4,9487862.0,627416.14,10804800.0
20,619233.37,2019-01-10T10:14:57,40000000.0,2018-12-31,GAF,40000000.0,GAF31122018,93,10892.09,0.0,0.058176,TRMGAFWWWWW4,9556336.0,628584.47,10804800.0
21,627788.2,2019-01-12T10:14:58,40000000.0,2019-01-02,GAF,40000000.0,GAF02012019,93,15069.29,0.0,0.058958,TRMGAFWWWWW4,9604267.0,637033.95,10804800.0
22,595861.64,2019-01-13T10:14:57,40000000.0,2019-01-03,GAF,40000000.0,GAF03012019,94,15075.19,0.0,0.057211,TRMGAFWWWWW4,9612443.0,618157.42,10804900.0
23,602739.89,2019-01-14T10:14:59,40000000.0,2019-01-04,GAF,40000000.0,GAF04012019,95,5835.12,12007.76,0.055685,TRMGAFWWWWW4,9620619.0,604587.07,10857300.0
24,627100.3,2019-01-17T10:14:57,40000000.0,2019-01-07,GAF,40000000.0,GAF07012019,96,6646.33,25048.08,0.056714,TRMGAFWWWWW4,9692159.0,616544.33,10871200.0
25,621553.73,2019-01-18T10:14:56,40000000.0,2019-01-08,GAF,40000000.0,GAF08012019,96,7299.26,13008.33,0.057306,TRMGAFWWWWW4,9717709.0,622983.55,10871200.0
26,630265.55,2019-01-19T10:14:55,40000000.0,2019-01-09,GAF,40000000.0,GAF09012019,96,9296.78,13008.42,0.057833,TRMGAFWWWWW4,9742237.0,628710.84,10871200.0
27,629697.69,2019-01-20T10:14:54,40000000.0,2019-01-10,GAF,40000000.0,GAF10012019,96,10254.12,12007.76,0.057867,TRMGAFWWWWW4,9750413.0,629082.72,10871100.0
28,627124.99,2019-01-21T10:14:59,40000000.0,2019-01-11,GAF,40000000.0,GAF11012019,95,10318.38,9005.86,0.057902,TRMGAFWWWWW4,9758589.0,629449.05,10871000.0
29,554630.96,2019-01-24T10:14:57,40000000.0,2019-01-14,GAF,40000000.0,GAF14012019,94,11310.02,8015.58,0.058148,TRMGAFWWWWW4,9830129.0,632126.62,10871000.0
