,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,GAG03122018,5,2020-09-21T18:03:30.289,1.281179,11174445.98,2018-12-03,8722000,GAG
1,GAG04122018,5,2020-09-21T18:03:30.299,1.294608,11291571.44,2018-12-04,8722000,GAG
2,GAG05122018,5,2020-09-21T18:03:30.307,1.317531,11491501.54,2018-12-05,8722000,GAG
3,GAG06122018,5,2020-09-21T18:03:30.315,1.339788,11685630.12,2018-12-06,8722000,GAG
4,GAG07122018,5,2020-09-21T18:03:30.321,1.335308,11646559.82,2018-12-07,8722000,GAG
5,GAG10122018,5,2020-09-21T18:03:30.326,1.328678,11588728.85,2018-12-10,8722000,GAG
6,GAG11122018,5,2020-09-21T18:03:30.33,1.320765,11519716.52,2018-12-11,8722000,GAG
7,GAG12122018,5,2020-09-21T18:03:30.336,1.345031,11731358.56,2018-12-12,8722000,GAG
8,GAG13122018,5,2020-09-21T18:03:30.342,1.349551,11770782.64,2018-12-13,8722000,GAG
9,GAG14122018,5,2020-09-21T18:03:30.346,1.353063,11801414.5,2018-12-14,8722000,GAG
10,GAG17122018,5,2020-09-21T18:03:30.353,1.362508,11883790.68,2018-12-17,8722000,GAG
11,GAG18122018,5,2020-09-21T18:03:30.359,1.366323,11917072.49,2018-12-18,8722000,GAG
12,GAG19122018,5,2020-09-21T18:03:30.364,1.362898,11887199.55,2018-12-19,8722000,GAG
13,GAG20122018,5,2020-09-21T18:03:30.371,1.359543,11857937.73,2018-12-20,8722000,GAG
14,GAG21122018,5,2020-09-21T18:03:30.376,1.352551,11796949.94,2018-12-21,8722000,GAG
15,GAG24122018,5,2020-09-21T18:03:30.381,1.355634,11823843.11,2018-12-24,8722000,GAG
16,GAG25122018,5,2020-09-21T18:03:30.387,1.361656,11876365.19,2018-12-25,8722000,GAG
17,GAG26122018,5,2020-09-21T18:03:30.397,1.365623,11910963.66,2018-12-26,8722000,GAG
18,GAG27122018,5,2020-09-21T18:03:30.405,1.361185,11872259.3,2018-12-27,8722000,GAG
19,GAG28122018,5,2020-09-21T18:03:30.41,1.363681,11894021.51,2018-12-28,8722000,GAG
20,GAG31122018,5,2020-09-21T18:03:30.415,1.356139,11828245.04,2018-12-31,8722000,GAG
21,GAG02012019,5,2020-09-21T18:15:27.432,1.361127,11871747.45,2019-01-02,8722000,GAG
22,GAG03012019,5,2020-09-21T18:15:27.429,1.375295,11995320.42,2019-01-03,8722000,GAG
23,GAG04012019,5,2020-09-21T18:15:27.425,1.404188,12247331.43,2019-01-04,8722000,GAG
24,GAG07012019,5,2020-09-21T18:15:27.422,1.396781,12182724.21,2019-01-07,8722000,GAG
25,GAG08012019,5,2020-09-21T18:15:27.418,1.387298,12100016.21,2019-01-08,8722000,GAG
26,GAG09012019,5,2020-09-21T18:15:27.414,1.40177,12226240.78,2019-01-09,8722000,GAG
27,GAG10012019,5,2020-09-21T18:15:27.411,1.415409,12345197.16,2019-01-10,8722000,GAG
28,GAG11012019,5,2020-09-21T18:15:27.407,1.407647,12277497.81,2019-01-11,8722000,GAG
29,GAG14012019,5,2020-09-21T18:15:27.404,1.397548,12189410.78,2019-01-14,8722000,GAG
30,GAG15012019,5,2020-09-21T18:15:27.4,1.412289,12317987.11,2019-01-15,8722000,GAG
31,GAG16012019,5,2020-09-21T18:15:27.397,1.397198,12186357.92,2019-01-16,8722000,GAG
32,GAG17012019,5,2020-09-21T18:15:27.393,1.392081,12141726.99,2019-01-17,8722000,GAG
33,GAG18012019,5,2020-09-21T18:15:27.39,1.383893,12070311.77,2019-01-18,8722000,GAG
34,GAG21012019,5,2020-09-21T18:15:27.386,1.388188,12107773.23,2019-01-21,8722000,GAG
35,GAG22012019,5,2020-09-21T18:15:27.382,1.387112,12098387.37,2019-01-22,8722000,GAG
36,GAG23012019,5,2020-09-21T18:15:27.379,1.38997,12123316.89,2019-01-23,8722000,GAG
37,GAG24012019,5,2020-09-21T18:15:27.375,1.388217,12108031.79,2019-01-24,8722000,GAG
38,GAG25012019,5,2020-09-21T18:15:27.371,1.38503,12080228.71,2019-01-25,8722000,GAG
39,GAG28012019,5,2020-09-21T18:15:27.367,1.383268,12064867.73,2019-01-28,8722000,GAG
40,GAG29012019,5,2020-09-21T18:15:27.363,1.382909,12061731.08,2019-01-29,8722000,GAG
41,GAG30012019,5,2020-09-21T18:15:27.356,1.401533,12224171.57,2019-01-30,8722000,GAG
42,GAG31012019,5,2020-09-21T18:15:27.352,1.390434,12127366.67,2019-01-31,8722000,GAG
43,GAG01022019,5,2020-09-21T18:15:27.348,1.386724,12095003.59,2019-02-01,8722000,GAG
44,GAG04022019,5,2020-09-21T18:15:27.344,1.384935,12079402.44,2019-02-04,8722000,GAG
45,GAG05022019,5,2020-09-21T18:15:27.341,1.38993,12122969.36,2019-02-05,8722000,GAG
46,GAG06022019,5,2020-09-21T18:15:27.337,1.396272,12178283.47,2019-02-06,8722000,GAG
47,GAG07022019,5,2020-09-21T18:15:27.334,1.412195,12317163.76,2019-02-07,8722000,GAG
48,GAG08022019,5,2020-09-21T18:15:27.33,1.419798,12383479.93,2019-02-08,8722000,GAG
49,GAG11022019,5,2020-09-21T18:15:27.326,1.42013,12386377.05,2019-02-11,8722000,GAG
50,GAG12022019,5,2020-09-21T18:15:27.322,1.419955,12384847.1,2019-02-12,8722000,GAG
51,GAG13022019,5,2020-09-21T18:15:27.318,1.426938,12445756.1,2019-02-13,8722000,GAG
52,GAG14022019,5,2020-09-21T18:15:27.314,1.419592,12381677.17,2019-02-14,8722000,GAG
53,GAG15022019,5,2020-09-21T18:15:27.31,1.431104,12482092.85,2019-02-15,8722000,GAG
54,GAG18022019,5,2020-09-21T18:15:27.306,1.423797,12418355.29,2019-02-18,8722000,GAG
55,GAG19022019,5,2020-09-21T18:15:27.302,1.432314,12492640.84,2019-02-19,8722000,GAG
56,GAG20022019,5,2020-09-21T18:15:27.297,1.436689,12530802.15,2019-02-20,8722000,GAG
57,GAG21022019,5,2020-09-21T18:15:27.293,1.451095,12656447.32,2019-02-21,8722000,GAG
58,GAG22022019,5,2020-09-21T18:15:27.199,1.44268,12583057.7,2019-02-22,8722000,GAG
59,GAG25022019,5,2020-09-21T18:15:27.194,1.438848,12549628.9,2019-02-25,8722000,GAG
60,GAG26022019,5,2020-09-21T18:15:27.187,1.442326,12579971.25,2019-02-26,8722000,GAG
61,GAG27022019,5,2020-09-21T18:15:27.181,1.440353,12562759.96,2019-02-27,8722000,GAG
62,GAG28022019,5,2020-09-21T18:15:27.174,1.441472,12572521.61,2019-02-28,8722000,GAG
63,GAG01032019,5,2020-09-21T18:15:27.168,1.448276,12631859.7,2019-03-01,8722000,GAG
64,GAG04032019,5,2020-09-21T18:15:27.162,1.455125,12691599.05,2019-03-04,8722000,GAG
65,GAG05032019,5,2020-09-21T18:15:27.157,1.460977,12742645.15,2019-03-05,8722000,GAG
66,GAG06032019,5,2020-09-21T18:15:27.152,1.458642,11190698.82,2019-03-06,7672000,GAG
67,GAG07032019,5,2020-09-21T18:15:27.145,1.460119,11202035.69,2019-03-07,7672000,GAG
68,GAG08032019,5,2020-09-21T18:15:27.139,1.469694,11275488.58,2019-03-08,7672000,GAG
69,GAG11032019,5,2020-09-21T18:15:27.133,1.461827,11215137.11,2019-03-11,7672000,GAG
70,GAG12032019,5,2020-09-21T18:15:27.128,1.460144,11202223.78,2019-03-12,7672000,GAG
71,GAG13032019,5,2020-09-21T18:15:27.121,1.467588,11259336.65,2019-03-13,7672000,GAG
72,GAG14032019,5,2020-09-21T18:15:27.115,1.473443,11304257.14,2019-03-14,7672000,GAG
73,GAG15032019,5,2020-09-21T18:15:27.109,1.473194,11302341.89,2019-03-15,7672000,GAG
74,GAG18032019,5,2020-09-21T18:15:27.103,1.473513,11304789.44,2019-03-18,7672000,GAG
75,GAG19032019,5,2020-09-21T18:15:27.097,1.475435,9895742.73,2019-03-19,6707000,GAG
76,GAG20032019,5,2020-09-21T18:15:27.092,1.475435,9895742.73,2019-03-20,6707000,GAG
77,GAG21032019,5,2020-09-21T18:15:27.085,1.475435,9895742.73,2019-03-21,6707000,GAG
78,GAG22032019,5,2020-09-21T18:15:27.079,1.475435,9895742.73,2019-03-22,6707000,GAG
79,GAG25032019,5,2020-09-21T18:15:27.072,1.475435,9895742.73,2019-03-25,6707000,GAG
80,GAG26032019,5,2020-09-21T18:15:27.065,1.475435,9895742.73,2019-03-26,6707000,GAG
81,GAG27032019,5,2020-09-21T18:15:27.058,1.475435,9895742.73,2019-03-27,6707000,GAG
82,GAG28032019,5,2020-09-21T18:15:27.05,1.475435,9895742.73,2019-03-28,6707000,GAG
83,GAG29032019,5,2020-09-21T18:15:27.032,1.475435,9895742.73,2019-03-29,6707000,GAG
84,GAG01042019,5,2020-09-21T18:16:40.809,1.45176,9736955.08,2019-04-01,6707000,GAG
85,GAG02042019,5,2020-09-21T18:16:40.805,1.45176,9736955.08,2019-04-02,6707000,GAG
86,GAG03042019,5,2020-09-21T18:16:40.801,1.45176,9736955.08,2019-04-03,6707000,GAG
87,GAG04042019,5,2020-09-21T18:16:40.796,1.45176,9736955.08,2019-04-04,6707000,GAG
88,GAG05042019,5,2020-09-21T18:16:40.791,1.45176,9736955.08,2019-04-05,6707000,GAG
89,GAG08042019,5,2020-09-21T18:16:40.787,1.45176,9736955.08,2019-04-08,6707000,GAG
90,GAG09042019,5,2020-09-21T18:16:40.782,1.45176,9736955.08,2019-04-09,6707000,GAG
91,GAG10042019,5,2020-09-21T18:16:40.778,1.45176,9736955.08,2019-04-10,6707000,GAG
92,GAG11042019,5,2020-09-21T18:16:40.773,1.45176,9736955.08,2019-04-11,6707000,GAG
93,GAG12042019,5,2020-09-21T18:16:40.766,1.45176,9736955.08,2019-04-12,6707000,GAG
94,GAG15042019,5,2020-09-21T18:16:40.761,1.45176,9736955.08,2019-04-15,6707000,GAG
95,GAG16042019,4,2020-09-21T18:16:40.756,1.493314,7681605.16,2019-04-16,5144000,GAG
96,GAG17042019,4,2020-09-21T18:16:40.752,1.493314,7681605.16,2019-04-17,5144000,GAG
97,GAG18042019,4,2020-09-21T18:16:40.747,1.493314,7681605.16,2019-04-18,5144000,GAG
98,GAG19042019,4,2020-09-21T18:16:40.742,1.493314,7681605.16,2019-04-19,5144000,GAG
99,GAG22042019,4,2020-09-21T18:16:40.737,1.493314,7681605.16,2019-04-22,5144000,GAG
100,GAG24042019,4,2020-09-21T18:16:40.732,1.493314,7681605.16,2019-04-24,5144000,GAG
101,GAG25042019,4,2020-09-21T18:16:40.727,1.493314,7681605.16,2019-04-25,5144000,GAG
102,GAG26042019,4,2020-09-21T18:16:40.718,1.493314,7681605.16,2019-04-26,5144000,GAG
103,GAG29042019,4,2020-09-21T18:16:40.713,1.493314,7681605.16,2019-04-29,5144000,GAG
104,GAG30042019,4,2020-09-21T18:16:40.708,1.493314,7681605.16,2019-04-30,5144000,GAG
105,GAG02052019,3,2020-09-21T18:16:40.592,1.522061,7788387.03,2019-05-02,5117000,GAG
106,GAG03052019,3,2020-09-21T18:16:40.587,1.522061,7788387.03,2019-05-03,5117000,GAG
107,GAG06052019,3,2020-09-21T18:16:40.582,1.522061,7788387.03,2019-05-06,5117000,GAG
108,GAG07052019,3,2020-09-21T18:16:40.577,1.522061,7788387.03,2019-05-07,5117000,GAG
109,GAG08052019,3,2020-09-21T18:16:40.573,1.522061,7788387.03,2019-05-08,5117000,GAG
110,GAG09052019,3,2020-09-21T18:16:40.568,1.522061,7788387.03,2019-05-09,5117000,GAG
111,GAG10052019,3,2020-09-21T18:16:40.563,1.522061,7788387.03,2019-05-10,5117000,GAG
112,GAG13052019,3,2020-09-21T18:16:40.556,1.522061,7788387.03,2019-05-13,5117000,GAG
113,GAG14052019,3,2020-09-21T18:16:40.551,1.522061,7788387.03,2019-05-14,5117000,GAG
114,GAG15052019,3,2020-09-21T18:16:40.546,1.522061,7788387.03,2019-05-15,5117000,GAG
115,GAG16052019,3,2020-09-21T18:16:40.541,1.508708,7720057.65,2019-05-16,5117000,GAG
116,GAG17052019,3,2020-09-21T18:16:40.535,1.508708,7720057.65,2019-05-17,5117000,GAG
117,GAG20052019,3,2020-09-21T18:16:40.53,1.508708,7720057.65,2019-05-20,5117000,GAG
118,GAG21052019,3,2020-09-21T18:16:40.524,1.508708,7720057.65,2019-05-21,5117000,GAG
119,GAG22052019,3,2020-09-21T18:16:40.519,1.508708,7720057.65,2019-05-22,5117000,GAG
120,GAG23052019,3,2020-09-21T18:16:40.513,1.508708,7720057.65,2019-05-23,5117000,GAG
121,GAG24052019,3,2020-09-21T18:16:40.508,1.508708,7720057.65,2019-05-24,5117000,GAG
122,GAG27052019,3,2020-09-21T18:16:40.503,1.508708,7720057.65,2019-05-27,5117000,GAG
123,GAG28052019,3,2020-09-21T18:16:40.497,1.508708,7720057.65,2019-05-28,5117000,GAG
124,GAG29052019,3,2020-09-21T18:16:40.491,1.508708,7720057.65,2019-05-29,5117000,GAG
125,GAG30052019,3,2020-09-21T18:16:40.486,1.508708,7720057.65,2019-05-30,5117000,GAG
126,GAG31052019,3,2020-09-21T18:16:40.48,1.508708,7720057.65,2019-05-31,5117000,GAG
127,GAG03062019,3,2020-09-21T18:16:40.475,1.496921,7659745.83,2019-06-03,5117000,GAG
128,GAG07062019,3,2020-09-21T18:16:40.47,1.496921,7659745.83,2019-06-07,5117000,GAG
129,GAG10062019,3,2020-09-21T18:16:40.463,1.496921,7659745.83,2019-06-10,5117000,GAG
130,GAG11062019,3,2020-09-21T18:16:40.457,1.496921,7659745.83,2019-06-11,5117000,GAG
131,GAG12062019,3,2020-09-21T18:16:40.451,1.496921,7659745.83,2019-06-12,5117000,GAG
132,GAG13062019,3,2020-09-21T18:16:40.445,1.496921,7659745.83,2019-06-13,5117000,GAG
133,GAG14062019,3,2020-09-21T18:16:40.439,1.496921,7659745.83,2019-06-14,5117000,GAG
134,GAG17062019,3,2020-09-21T18:16:40.435,1.496921,7659745.83,2019-06-17,5117000,GAG
135,GAG18062019,3,2020-09-21T18:16:40.432,1.538281,7871384.46,2019-06-18,5117000,GAG
136,GAG19062019,3,2020-09-21T18:16:40.429,1.538281,7871384.46,2019-06-19,5117000,GAG
137,GAG20062019,3,2020-09-21T18:16:40.426,1.538281,7871384.46,2019-06-20,5117000,GAG
138,GAG21062019,3,2020-09-21T18:16:40.422,1.538281,7871384.46,2019-06-21,5117000,GAG
139,GAG24062019,3,2020-09-21T18:16:40.419,1.538281,7871384.46,2019-06-24,5117000,GAG
140,GAG25062019,3,2020-09-21T18:16:40.416,1.538281,7871384.46,2019-06-25,5117000,GAG
141,GAG26062019,3,2020-09-21T18:16:40.412,1.538281,7871384.46,2019-06-26,5117000,GAG
142,GAG27062019,3,2020-09-21T18:16:40.409,1.538281,7871384.46,2019-06-27,5117000,GAG
143,GAG28062019,3,2020-09-21T18:16:40.404,1.538281,7871384.46,2019-06-28,5117000,GAG
144,GAG01072019,3,2020-09-21T18:25:17.786,1.578719,8078307.53,2019-07-01,5117000,GAG
145,GAG02072019,3,2020-09-21T18:25:17.778,1.578719,8078307.53,2019-07-02,5117000,GAG
146,GAG03072019,3,2020-09-21T18:25:17.77,1.578719,8078307.53,2019-07-03,5117000,GAG
147,GAG04072019,3,2020-09-21T18:25:17.763,1.578719,8078307.53,2019-07-04,5117000,GAG
148,GAG05072019,3,2020-09-21T18:25:17.757,1.578719,8078307.53,2019-07-05,5117000,GAG
149,GAG08072019,3,2020-09-21T18:25:17.749,1.578719,8078307.53,2019-07-08,5117000,GAG
150,GAG09072019,3,2020-09-21T18:25:17.741,1.578719,8078307.53,2019-07-09,5117000,GAG
151,GAG10072019,3,2020-09-21T18:25:17.733,1.578719,8078307.53,2019-07-10,5117000,GAG
152,GAG11072019,3,2020-09-21T18:25:17.725,1.578719,8078307.53,2019-07-11,5117000,GAG
153,GAG12072019,3,2020-09-21T18:25:17.718,1.578719,8078307.53,2019-07-12,5117000,GAG
154,GAG16072019,3,2020-09-21T18:25:17.711,1.578719,8078307.53,2019-07-16,5117000,GAG
155,GAG17072019,3,2020-09-21T18:25:17.704,1.56398,8002884.53,2019-07-17,5117000,GAG
156,GAG18072019,3,2020-09-21T18:25:17.695,1.56398,8002884.53,2019-07-18,5117000,GAG
157,GAG19072019,3,2020-09-21T18:25:17.686,1.56398,8002884.53,2019-07-19,5117000,GAG
158,GAG22072019,3,2020-09-21T18:25:17.68,1.56398,8002884.53,2019-07-22,5117000,GAG
159,GAG23072019,3,2020-09-21T18:25:17.673,1.56398,8002884.53,2019-07-23,5117000,GAG
160,GAG24072019,3,2020-09-21T18:25:17.663,1.56398,8002884.53,2019-07-24,5117000,GAG
161,GAG25072019,3,2020-09-21T18:25:17.659,1.56398,8002884.53,2019-07-25,5117000,GAG
162,GAG26072019,3,2020-09-21T18:25:17.655,1.56398,8002884.53,2019-07-26,5117000,GAG
163,GAG29072019,3,2020-09-21T18:25:17.651,1.56398,8002884.53,2019-07-29,5117000,GAG
164,GAG30072019,3,2020-09-21T18:25:17.643,1.56398,8002884.53,2019-07-30,5117000,GAG
165,GAG31072019,3,2020-09-21T18:25:17.638,1.56398,8002884.53,2019-07-31,5117000,GAG
166,GAG01082019,3,2020-09-21T18:25:17.633,1.56248,7995212.43,2019-08-01,5117000,GAG
167,GAG02082019,3,2020-09-21T18:25:17.629,1.56248,7995212.43,2019-08-02,5117000,GAG
168,GAG05082019,3,2020-09-21T18:25:17.624,1.56248,7995212.43,2019-08-05,5117000,GAG
169,GAG06082019,3,2020-09-21T18:25:17.619,1.569869,8033018.81,2019-08-06,5117000,GAG
170,GAG07082019,3,2020-09-21T18:25:17.614,1.569869,8033018.81,2019-08-07,5117000,GAG
171,GAG08082019,3,2020-09-21T18:25:17.506,1.569869,8033018.81,2019-08-08,5117000,GAG
172,GAG09082019,3,2020-09-21T18:25:17.498,1.569869,8033018.81,2019-08-09,5117000,GAG
173,GAG15082019,3,2020-09-21T18:25:17.489,1.569869,8033018.81,2019-08-15,5117000,GAG
174,GAG16082019,3,2020-09-21T18:25:17.48,1.571463,8041178.43,2019-08-16,5117000,GAG
175,GAG19082019,3,2020-09-21T18:25:17.472,1.571463,8041178.43,2019-08-19,5117000,GAG
176,GAG20082019,3,2020-09-21T18:25:17.465,1.571463,8041178.43,2019-08-20,5117000,GAG
177,GAG21082019,3,2020-09-21T18:25:17.458,1.571463,8041178.43,2019-08-21,5117000,GAG
178,GAG22082019,3,2020-09-21T18:25:17.446,1.571463,8041178.43,2019-08-22,5117000,GAG
179,GAG23082019,3,2020-09-21T18:25:17.438,1.571463,8041178.43,2019-08-23,5117000,GAG
180,GAG26082019,3,2020-09-21T18:25:17.426,1.571463,8041178.43,2019-08-26,5117000,GAG
181,GAG27082019,3,2020-09-21T18:25:17.412,1.571463,8041178.43,2019-08-27,5117000,GAG
182,GAG28082019,3,2020-09-21T18:25:17.397,1.571463,8041178.43,2019-08-28,5117000,GAG
183,GAG29082019,3,2020-09-21T18:25:17.386,1.571463,8041178.43,2019-08-29,5117000,GAG
184,GAG02092019,3,2020-09-21T18:25:17.377,1.628307,8332048.59,2019-09-02,5117000,GAG
185,GAG03092019,3,2020-09-21T18:25:17.367,1.628307,8332048.59,2019-09-03,5117000,GAG
186,GAG04092019,3,2020-09-21T18:25:17.352,1.628307,8332048.59,2019-09-04,5117000,GAG
187,GAG05092019,3,2020-09-21T18:25:17.345,1.628307,8332048.59,2019-09-05,5117000,GAG
188,GAG06092019,3,2020-09-21T18:25:17.332,1.628307,8332048.59,2019-09-06,5117000,GAG
189,GAG09092019,3,2020-09-21T18:25:17.326,1.628307,8332048.59,2019-09-09,5117000,GAG
190,GAG10092019,3,2020-09-21T18:25:17.321,1.628307,8332048.59,2019-09-10,5117000,GAG
191,GAG11092019,3,2020-09-21T18:25:17.313,1.628307,8332048.59,2019-09-11,5117000,GAG
192,GAG12092019,3,2020-09-21T18:25:17.303,1.628307,8332048.59,2019-09-12,5117000,GAG
193,GAG13092019,3,2020-09-21T18:25:17.293,1.628307,8332048.59,2019-09-13,5117000,GAG
194,GAG16092019,3,2020-09-21T18:25:17.284,1.628307,8332048.59,2019-09-16,5117000,GAG
195,GAG17092019,3,2020-09-21T18:25:17.273,1.631903,8350446.54,2019-09-17,5117000,GAG
196,GAG18092019,3,2020-09-21T18:25:17.264,1.631903,8350446.54,2019-09-18,5117000,GAG
