,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,19442348.56,2018-12-13T10:14:57,100000000.0,2018-12-03,GAH,10000000000.0,GAH03122018,172,9324.84,10989890.42,1.135672,TRYGAPO00128,9032155.0,19328814.2,17019715.0
1,19090767.64,2018-12-14T10:14:56,100000000.0,2018-12-04,GAH,10000000000.0,GAH04122018,172,8926.28,10989890.42,1.135186,TRYGAPO00128,9057705.0,19323833.22,17022620.0
2,19312203.63,2018-12-15T10:14:55,100000000.0,2018-12-05,GAH,10000000000.0,GAH05122018,173,8891.65,4401397.26,1.133346,TRYGAPO00128,9082233.0,19308493.53,17036714.0
3,18894163.11,2018-12-16T10:14:54,100000000.0,2018-12-06,GAH,10000000000.0,GAH06122018,176,8911.67,4401397.26,1.133895,TRYGAPO00128,9090409.0,19693023.42,17367585.0
4,19137608.67,2018-12-17T10:14:59,100000000.0,2018-12-07,GAH,10000000000.0,GAH07122018,180,8889.29,4401397.26,1.133318,TRYGAPO00128,9098585.0,19800413.55,17471192.0
5,22046421.34,2018-12-20T10:14:57,100000000.0,2018-12-10,GAH,10000000000.0,GAH10122018,181,8619.62,4401397.26,1.135582,TRYGAPO00128,9170125.0,19841961.75,17472947.0
6,21972688.07,2018-12-21T10:14:56,100000000.0,2018-12-11,GAH,10000000000.0,GAH11122018,182,13015.5,2202049.32,1.13452,TRYGAPO00128,9194653.0,19896027.7,17536951.0
7,20626600.56,2018-12-22T10:14:55,100000000.0,2018-12-12,GAH,10000000000.0,GAH12122018,182,12792.8,2202049.32,1.135454,TRYGAPO00128,9219181.0,19868080.82,17497923.0
8,20836362.8,2018-12-23T10:14:54,100000000.0,2018-12-13,GAH,10000000000.0,GAH13122018,179,13363.3,2202049.32,1.13227,TRYGAPO00128,9227357.0,20121943.63,17771334.0
9,20424644.9,2018-12-24T10:14:53,100000000.0,2018-12-14,GAH,10000000000.0,GAH14122018,179,13086.89,2202049.32,1.135303,TRYGAPO00128,9235534.0,20189892.56,17783698.0
10,18043299.78,2018-12-27T10:14:57,100000000.0,2018-12-17,GAH,10000000000.0,GAH17122018,180,11901.95,2202049.32,1.134937,TRYGAPO00128,9307073.0,20184094.61,17784338.0
11,18174219.61,2018-12-28T10:14:59,100000000.0,2018-12-18,GAH,10000000000.0,GAH18122018,180,5706.71,0.0,1.134495,TRYGAPO00128,9332519.0,15726837.96,13862413.0
12,15798633.77,2018-12-29T10:14:58,100000000.0,2018-12-19,GAH,10000000000.0,GAH19122018,177,11403.51,0.0,1.133833,TRYGAPO00128,9357047.0,15717665.03,13862413.0
13,16586909.82,2018-12-30T10:14:58,100000000.0,2018-12-20,GAH,10000000000.0,GAH20122018,177,11397.71,0.0,1.138385,TRYGAPO00128,9365223.0,15739856.01,13826478.0
14,16498991.4,2018-12-31T10:15:00,100000000.0,2018-12-21,GAH,10000000000.0,GAH21122018,174,11629.03,0.0,1.138362,TRYGAPO00128,9373399.0,15766809.9,13850441.0
15,15794349.99,2019-01-03T10:14:57,100000000.0,2018-12-24,GAH,10000000000.0,GAH24122018,173,11181.95,0.0,1.139051,TRYGAPO00128,9425521.0,15776335.04,13850425.0
16,15903004.15,2019-01-04T10:14:57,100000000.0,2018-12-25,GAH,10000000000.0,GAH25122018,174,10962.16,0.0,1.140362,TRYGAPO00128,9450049.0,15844558.16,13894321.0
17,15749737.38,2019-01-05T10:14:56,100000000.0,2018-12-26,GAH,10000000000.0,GAH26122018,175,16253.66,0.0,1.139929,TRYGAPO00128,9473555.0,15807862.45,13867415.0
18,15626437.76,2019-01-06T10:14:55,100000000.0,2018-12-27,GAH,10000000000.0,GAH27122018,176,15385.21,0.0,1.13589,TRYGAPO00128,9480709.0,15664900.45,13790861.0
19,15693066.41,2019-01-07T10:15:00,100000000.0,2018-12-28,GAH,10000000000.0,GAH28122018,175,14184.81,0.0,1.136534,TRYGAPO00128,9487863.0,15673779.13,13790861.0
20,15697927.79,2019-01-10T10:14:57,100000000.0,2018-12-31,GAH,10000000000.0,GAH31122018,175,20755.29,0.0,1.136594,TRYGAPO00128,9556337.0,15610793.59,13734714.0
21,15733450.51,2019-01-12T10:14:58,100000000.0,2019-01-02,GAH,10000000000.0,GAH02012019,174,15877.74,0.0,1.143111,TRYGAPO00128,9604268.0,15703033.14,13737097.0
22,15619406.91,2019-01-13T10:14:57,100000000.0,2019-01-03,GAH,10000000000.0,GAH03012019,174,14187.09,0.0,1.137329,TRYGAPO00128,9612444.0,15609996.59,13725133.0
23,15702231.27,2019-01-14T10:14:59,100000000.0,2019-01-04,GAH,10000000000.0,GAH04012019,174,8533.0,0.0,1.139144,TRYGAPO00128,9620620.0,15641014.82,13730495.0
24,15741436.73,2019-01-17T10:14:57,100000000.0,2019-01-07,GAH,10000000000.0,GAH07012019,175,8169.84,0.0,1.140947,TRYGAPO00128,9692160.0,15412034.26,13508107.0
25,15146663.93,2019-01-18T10:14:56,100000000.0,2019-01-08,GAH,10000000000.0,GAH08012019,172,8331.28,0.0,1.141163,TRYGAPO00128,9717710.0,15344549.99,13446416.0
26,15123282.06,2019-01-19T10:14:55,100000000.0,2019-01-09,GAH,10000000000.0,GAH09012019,172,8078.58,0.0,1.141064,TRYGAPO00128,9742238.0,15241748.23,13357482.0
27,15279654.83,2019-01-20T10:14:54,100000000.0,2019-01-10,GAH,10000000000.0,GAH10012019,172,8872.82,0.0,1.141257,TRYGAPO00128,9750414.0,14549377.05,12748552.0
28,14553545.17,2019-01-21T10:14:59,100000000.0,2019-01-11,GAH,10000000000.0,GAH11012019,171,8504.87,0.0,1.140655,TRYGAPO00128,9758590.0,14494733.98,12707373.0
29,13964209.34,2019-01-24T10:14:57,100000000.0,2019-01-14,GAH,10000000000.0,GAH14012019,171,8774.48,0.0,1.142112,TRYGAPO00128,9830130.0,14508204.27,12702957.0
30,14130769.27,2019-01-25T10:14:56,100000000.0,2019-01-15,GAH,10000000000.0,GAH15012019,171,8749.99,0.0,1.142968,TRYGAPO00128,9855680.0,14175015.34,12401935.0
31,13796449.91,2019-01-26T10:14:55,100000000.0,2019-01-16,GAH,10000000000.0,GAH16012019,166,8750.88,0.0,1.142473,TRYGAPO00128,9880208.0,14164766.97,12398337.0
32,13745846.54,2019-01-27T10:14:57,100000000.0,2019-01-17,GAH,10000000000.0,GAH17012019,163,8767.34,0.0,1.14372,TRYGAPO00128,9888281.0,14049026.57,12283624.0
33,14229244.93,2019-01-28T10:14:59,100000000.0,2019-01-18,GAH,10000000000.0,GAH18012019,161,18809.14,0.0,1.145531,TRYGAPO00128,9896457.0,14032499.04,12249776.0
34,12740218.24,2019-01-31T10:14:57,100000000.0,2019-01-21,GAH,10000000000.0,GAH21012019,159,18017.72,0.0,1.145307,TRYGAPO00128,9967997.0,14017437.73,12239019.0
35,12633393.24,2019-02-01T10:14:56,100000000.0,2019-01-22,GAH,10000000000.0,GAH22012019,158,18528.14,0.0,1.146259,TRYGAPO00128,9993547.0,13630424.39,11891229.0
36,13787099.79,2019-02-02T10:14:55,100000000.0,2019-01-23,GAH,10000000000.0,GAH23012019,156,18948.34,3026017.8,1.15009,TRYGAPO00128,10018075.0,13659700.63,11877072.0
37,13615690.48,2019-02-03T10:14:54,100000000.0,2019-01-24,GAH,10000000000.0,GAH24012019,157,18346.28,3026017.8,1.149088,TRYGAPO00128,10026251.0,13628571.02,11860335.0
38,13650809.37,2019-02-04T10:15:00,100000000.0,2019-01-25,GAH,10000000000.0,GAH25012019,158,18204.49,3026017.8,1.153504,TRYGAPO00128,10034427.0,13679009.37,11858661.0
39,13713408.68,2019-02-07T10:14:57,100000000.0,2019-01-28,GAH,10000000000.0,GAH28012019,156,16987.97,3026017.8,1.155198,TRYGAPO00128,10105967.0,13698068.22,11857765.0
40,13519569.46,2019-02-08T10:14:56,100000000.0,2019-01-29,GAH,10000000000.0,GAH29012019,155,16805.81,3026017.8,1.156274,TRYGAPO00128,10131517.0,13625150.62,11783666.0
41,13457249.2,2019-02-09T10:14:55,100000000.0,2019-01-30,GAH,10000000000.0,GAH30012019,154,16045.67,3026017.8,1.157472,TRYGAPO00128,10156047.0,13642543.61,11786497.0
42,13773042.17,2019-02-10T10:14:54,100000000.0,2019-01-31,GAH,10000000000.0,GAH31012019,154,16110.51,3026017.8,1.157882,TRYGAPO00128,10164221.0,13754278.32,11878829.0
43,13919652.66,2019-02-11T10:14:53,100000000.0,2019-02-01,GAH,10000000000.0,GAH01022019,158,16061.4,3026017.8,1.158965,TRYGAPO00128,10172397.0,13899313.85,11992864.0
44,13871435.41,2019-02-14T10:14:58,100000000.0,2019-02-04,GAH,10000000000.0,GAH04022019,159,16682.0,3026017.8,1.156694,TRYGAPO00128,10243937.0,13913773.27,12028914.0
45,13898843.99,2019-02-15T10:14:57,100000000.0,2019-02-05,GAH,10000000000.0,GAH05022019,160,16109.84,3034397.26,1.157595,TRYGAPO00128,10269487.0,13950627.45,12051391.0
46,14383453.43,2019-02-16T10:14:56,100000000.0,2019-02-06,GAH,10000000000.0,GAH06022019,166,16180.53,3034397.26,1.157644,TRYGAPO00128,10294015.0,13933260.88,12035878.0
47,13749902.02,2019-02-17T10:15:00,100000000.0,2019-02-07,GAH,10000000000.0,GAH07022019,164,16540.8,3034397.26,1.15817,TRYGAPO00128,10302088.0,13547245.9,11697117.0
48,12846844.54,2019-02-18T10:14:58,100000000.0,2019-02-08,GAH,10000000000.0,GAH08022019,163,15540.66,3034397.26,1.160439,TRYGAPO00128,10310264.0,13348855.86,11503282.0
49,13079830.44,2019-02-21T10:14:57,100000000.0,2019-02-11,GAH,10000000000.0,GAH11022019,159,15890.07,3034397.26,1.161064,TRYGAPO00128,10381804.0,13354673.38,11502103.0
50,13462408.95,2019-02-22T10:14:56,100000000.0,2019-02-12,GAH,10000000000.0,GAH12022019,160,16808.02,3034397.26,1.16441,TRYGAPO00128,10407354.0,13463358.91,11562385.0
51,13471441.56,2019-02-23T10:14:55,100000000.0,2019-02-13,GAH,10000000000.0,GAH13022019,159,16184.16,3034397.26,1.163461,TRYGAPO00128,10431881.0,13452865.61,11562799.0
52,13482892.53,2019-02-24T10:14:54,100000000.0,2019-02-14,GAH,10000000000.0,GAH14022019,161,15717.98,3034397.26,1.162713,TRYGAPO00128,10440057.0,13293144.32,11432864.0
53,13347490.52,2019-02-25T10:14:59,100000000.0,2019-02-15,GAH,10000000000.0,GAH15022019,158,15951.5,3034397.26,1.165679,TRYGAPO00128,10448233.0,13090309.34,11229772.0
54,13096851.21,2019-02-28T10:14:57,100000000.0,2019-02-18,GAH,10000000000.0,GAH18022019,155,15676.78,3034397.26,1.165789,TRYGAPO00128,10519773.0,13091694.42,11229902.0
55,13113163.36,2019-03-01T10:14:55,100000000.0,2019-02-19,GAH,10000000000.0,GAH19022019,156,15884.99,3034397.26,1.16696,TRYGAPO00128,10545323.0,13107350.37,11232044.0
56,13230254.53,2019-03-02T10:14:55,100000000.0,2019-02-20,GAH,10000000000.0,GAH20022019,157,15348.92,3034397.26,1.168468,TRYGAPO00128,10569851.0,13157208.16,11260220.0
57,13351763.13,2019-03-03T10:14:53,100000000.0,2019-02-21,GAH,10000000000.0,GAH21022019,157,14952.12,3034397.26,1.169376,TRYGAPO00128,10578027.0,13218467.64,11303864.0
58,13440633.83,2019-03-04T10:14:52,100000000.0,2019-02-22,GAH,10000000000.0,GAH22022019,158,20813.31,3034397.26,1.173095,TRYGAPO00128,10586202.0,13360824.84,11389379.0
59,13676552.77,2019-03-07T10:14:48,100000000.0,2019-02-25,GAH,10000000000.0,GAH25022019,161,20665.85,0.0,1.175888,TRYGAPO00128,10657742.0,13558122.36,11530117.0
60,13695625.98,2019-03-08T10:15:00,100000000.0,2019-02-26,GAH,10000000000.0,GAH26022019,163,20846.42,0.0,1.172051,TRYGAPO00128,10658764.0,13648441.64,11644923.0
61,14644833.69,2019-03-07T10:14:59,100000000.0,2019-02-27,GAH,10000000000.0,GAH27022019,171,25555.12,0.0,1.174418,TRYGAPO00128,10659786.0,14711658.41,12526762.0
62,14807320.51,2019-03-07T10:15:03,100000000.0,2019-02-28,GAH,10000000000.0,GAH28022019,174,28855.93,0.0,1.176528,TRYGAPO00128,10660808.0,14795722.38,12575746.0
63,15090731.36,2019-03-07T10:15:06,100000000.0,2019-03-01,GAH,10000000000.0,GAH01032019,175,25879.93,0.0,1.178233,TRYGAPO00128,10661830.0,15056751.63,12779097.0
64,15193913.92,2019-03-07T10:15:10,100000000.0,2019-03-04,GAH,10000000000.0,GAH04032019,176,25751.03,0.0,1.177761,TRYGAPO00128,10662852.0,15110410.79,12829782.0
65,15245332.42,2019-03-07T10:15:14,100000000.0,2019-03-05,GAH,10000000000.0,GAH05032019,176,15998.93,0.0,1.179297,TRYGAPO00128,10663874.0,15212734.03,12899828.0
66,15066536.47,2019-03-07T10:15:18,100000000.0,2019-03-06,GAH,10000000000.0,GAH06032019,181,26368.51,0.0,1.179412,TRYGAPO00128,10664896.0,15272689.55,12949415.0
67,15105081.15,2019-03-07T13:50:07,100000000.0,2019-03-07,GAH,10000000000.0,GAH07032019,181,25724.65,0.0,1.180784,TRYGAPO00128,10666940.0,15278498.26,12939288.0
68,15310515.2,2019-03-08T12:50:03,100000000.0,2019-03-08,GAH,10000000000.0,GAH08032019,180,15946.31,0.0,1.182277,TRYGAPO00128,10667962.0,15080382.3,12755375.0
69,14987179.04,2019-03-11T12:50:00,100000000.0,2019-03-11,GAH,10000000000.0,GAH11032019,178,15771.11,0.0,1.183388,TRYGAPO00128,10668805.0,15099170.21,12759272.0
70,15300644.77,2019-03-12T11:50:00,100000000.0,2019-03-12,GAH,10000000000.0,GAH12032019,182,26032.4,0.0,1.182888,TRYGAPO00128,10671790.0,15200878.89,12850653.0
71,15455655.33,2019-03-13T12:50:00,100000000.0,2019-03-13,GAH,10000000000.0,GAH13032019,184,25666.26,0.0,1.183771,TRYGAPO00128,10674599.0,15380262.17,12992595.0
72,15622048.8,2019-03-14T12:50:00,100000000.0,2019-03-14,GAH,10000000000.0,GAH14032019,185,26613.63,0.0,1.184212,TRYGAPO00128,10677338.0,15617188.76,13187829.0
73,15644225.93,2019-03-15T12:50:00,100000000.0,2019-03-15,GAH,10000000000.0,GAH15032019,182,26402.96,0.0,1.185738,TRYGAPO00128,10680066.0,15683702.63,13226950.0
74,15885059.36,2019-03-18T13:50:00,100000000.0,2019-03-18,GAH,10000000000.0,GAH18032019,185,28980.52,0.0,1.189022,TRYGAPO00128,10682351.0,15783094.43,13274011.0
