,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,693915.88,2018-12-13T10:14:57,20000000.0,2018-12-03,GAK,20000000.0,GAK03122018,60,8534.28,0.0,0.701318,TRMGD1WWWWW0,9032157.0,709355.01,1011460.0
1,700118.35,2018-12-14T10:14:56,20000000.0,2018-12-04,GAK,20000000.0,GAK04122018,61,8833.26,15009.6,0.703976,TRMGD1WWWWW0,9057707.0,712114.0,1011560.0
2,692855.48,2018-12-15T10:14:55,20000000.0,2018-12-05,GAK,20000000.0,GAK05122018,61,9181.04,11007.07,0.700697,TRMGD1WWWWW0,9082235.0,708797.47,1011560.0
3,698979.52,2018-12-16T10:14:54,20000000.0,2018-12-06,GAK,20000000.0,GAK06122018,61,9995.34,26016.53,0.699356,TRMGD1WWWWW0,9090411.0,707440.26,1011560.0
4,673306.21,2018-12-17T10:14:59,20000000.0,2018-12-07,GAK,20000000.0,GAK07122018,61,8457.48,26016.49,0.697999,TRMGD1WWWWW0,9098587.0,706067.97,1011560.0
5,707003.76,2018-12-20T10:14:57,20000000.0,2018-12-10,GAK,20000000.0,GAK10122018,61,8613.84,29056.13,0.700188,TRMGD1WWWWW0,9170127.0,708282.47,1011560.0
6,709253.33,2018-12-21T10:14:56,20000000.0,2018-12-11,GAK,20000000.0,GAK11122018,61,9593.61,56036.13,0.696821,TRMGD1WWWWW0,9194655.0,704875.84,1011560.0
7,669804.45,2018-12-22T10:14:55,20000000.0,2018-12-12,GAK,20000000.0,GAK12122018,61,10301.56,27017.35,0.696405,TRMGD1WWWWW0,9219183.0,669384.9,961200.0
8,657716.94,2018-12-23T10:14:54,20000000.0,2018-12-13,GAK,20000000.0,GAK13122018,60,10699.25,9005.73,0.689991,TRMGD1WWWWW0,9227359.0,663219.61,961200.0
9,675316.26,2018-12-24T10:14:53,20000000.0,2018-12-14,GAK,20000000.0,GAK14122018,60,11435.84,28017.71,0.694791,TRMGD1WWWWW0,9235536.0,667833.34,961200.0
10,667591.28,2018-12-27T10:14:57,20000000.0,2018-12-17,GAK,20000000.0,GAK17122018,60,12404.22,15028.36,0.691357,TRMGD1WWWWW0,9307075.0,664532.34,961200.0
11,661321.42,2018-12-28T10:14:59,20000000.0,2018-12-18,GAK,20000000.0,GAK18122018,60,12689.51,11007.04,0.689264,TRMGD1WWWWW0,9332521.0,662520.19,961200.0
12,653657.59,2018-12-29T10:14:58,20000000.0,2018-12-19,GAK,20000000.0,GAK19122018,60,15262.8,0.0,0.692681,TRMGD1WWWWW0,9357049.0,665804.55,961200.0
13,658657.91,2018-12-30T10:14:58,20000000.0,2018-12-20,GAK,20000000.0,GAK20122018,60,15550.66,0.0,0.698037,TRMGD1WWWWW0,9365225.0,670952.93,961200.0
14,659337.54,2018-12-31T10:15:00,20000000.0,2018-12-21,GAK,20000000.0,GAK21122018,60,15550.61,0.0,0.699035,TRMGD1WWWWW0,9373401.0,671912.66,961200.0
15,661429.29,2019-01-03T10:14:57,20000000.0,2018-12-24,GAK,20000000.0,GAK24122018,61,15744.66,60115.15,0.70273,TRMGD1WWWWW0,9425523.0,675471.21,961210.0
16,660302.04,2019-01-04T10:14:57,20000000.0,2018-12-25,GAK,20000000.0,GAK25122018,61,16005.17,60038.3,0.701615,TRMGD1WWWWW0,9450051.0,674399.46,961210.0
17,674792.54,2019-01-05T10:14:56,20000000.0,2018-12-26,GAK,20000000.0,GAK26122018,61,1548.63,76049.04,0.700023,TRMGD1WWWWW0,9473557.0,672868.77,961210.0
18,675122.26,2019-01-06T10:14:55,20000000.0,2018-12-27,GAK,20000000.0,GAK27122018,61,2042.27,24013.97,0.70086,TRMGD1WWWWW0,9480711.0,673673.28,961210.0
19,684004.32,2019-01-07T10:15:00,20000000.0,2018-12-28,GAK,20000000.0,GAK28122018,61,3022.03,23014.81,0.698963,TRMGD1WWWWW0,9487865.0,671849.95,961210.0
20,670439.15,2019-01-10T10:14:57,20000000.0,2018-12-31,GAK,20000000.0,GAK31122018,61,3996.6,22041.86,0.699631,TRMGD1WWWWW0,9556339.0,672492.32,961210.0
21,662303.02,2019-01-12T10:14:58,20000000.0,2019-01-02,GAK,20000000.0,GAK02012019,61,4327.85,10013.12,0.703584,TRMGD1WWWWW0,9604269.0,676291.93,961210.0
22,669170.61,2019-01-13T10:14:57,20000000.0,2019-01-03,GAK,20000000.0,GAK03012019,61,4696.82,23015.0,0.697131,TRMGD1WWWWW0,9612445.0,670088.83,961210.0
23,675260.21,2019-01-14T10:14:59,20000000.0,2019-01-04,GAK,20000000.0,GAK04012019,61,5447.8,22014.16,0.692692,TRMGD1WWWWW0,9620621.0,665822.37,961210.0
24,681774.75,2019-01-17T10:14:57,20000000.0,2019-01-07,GAK,20000000.0,GAK07012019,61,6339.35,21040.39,0.701254,TRMGD1WWWWW0,9692161.0,674002.97,961140.0
25,674006.11,2019-01-18T10:14:56,20000000.0,2019-01-08,GAK,20000000.0,GAK08012019,60,6900.29,9005.77,0.705628,TRMGD1WWWWW0,9717711.0,678206.93,961140.0
26,677037.74,2019-01-19T10:14:55,20000000.0,2019-01-09,GAK,20000000.0,GAK09012019,60,14740.77,9005.83,0.708709,TRMGD1WWWWW0,9742239.0,681168.15,961140.0
27,677075.41,2019-01-20T10:14:54,20000000.0,2019-01-10,GAK,20000000.0,GAK10012019,60,15602.59,8005.17,0.709723,TRMGD1WWWWW0,9750415.0,682143.48,961140.0
28,676947.73,2019-01-21T10:14:59,20000000.0,2019-01-11,GAK,20000000.0,GAK11012019,60,16509.24,7004.55,0.710805,TRMGD1WWWWW0,9758591.0,683182.7,961140.0
29,637789.69,2019-01-24T10:14:57,20000000.0,2019-01-14,GAK,20000000.0,GAK14012019,60,17460.8,6011.96,0.711014,TRMGD1WWWWW0,9830131.0,683384.07,961140.0
30,640715.21,2019-01-25T10:14:56,20000000.0,2019-01-15,GAK,20000000.0,GAK15012019,60,17520.32,6003.9,0.714148,TRMGD1WWWWW0,9855681.0,656259.2,918940.0
31,653296.53,2019-01-26T10:14:55,20000000.0,2019-01-16,GAK,20000000.0,GAK16012019,60,17973.54,14009.24,0.718413,TRMGD1WWWWW0,9880209.0,660178.48,918940.0
32,679936.76,2019-01-27T10:14:57,20000000.0,2019-01-17,GAK,20000000.0,GAK17012019,61,3764.22,33021.47,0.726405,TRMGD1WWWWW0,9888282.0,672389.18,925640.0
33,699122.18,2019-01-28T10:14:59,20000000.0,2019-01-18,GAK,20000000.0,GAK18012019,61,4124.41,32021.0,0.733119,TRMGD1WWWWW0,9896458.0,678604.31,925640.0
34,724629.85,2019-01-31T10:14:57,20000000.0,2019-01-21,GAK,20000000.0,GAK21012019,61,4342.0,33065.5,0.743343,TRMGD1WWWWW0,9967998.0,688067.83,925640.0
35,715123.85,2019-02-01T10:14:56,20000000.0,2019-01-22,GAK,20000000.0,GAK22012019,61,4419.08,69045.46,0.743696,TRMGD1WWWWW0,9993548.0,688394.63,925640.0
36,704630.21,2019-02-02T10:14:55,20000000.0,2019-01-23,GAK,20000000.0,GAK23012019,62,4529.66,53034.49,0.748175,TRMGD1WWWWW0,10018076.0,692989.63,926240.0
37,697488.56,2019-02-03T10:14:54,20000000.0,2019-01-24,GAK,20000000.0,GAK24012019,62,5294.44,68044.15,0.753914,TRMGD1WWWWW0,10026252.0,698304.89,926240.0
38,683791.94,2019-02-04T10:15:00,20000000.0,2019-01-25,GAK,20000000.0,GAK25012019,64,5946.15,67042.77,0.76255,TRMGD1WWWWW0,10034428.0,707402.15,927680.0
39,770499.48,2019-02-07T10:14:57,20000000.0,2019-01-28,GAK,20000000.0,GAK28012019,65,6295.08,174338.23,0.764758,TRMGD1WWWWW0,10105968.0,809733.4,1058810.0
40,787712.22,2019-02-08T10:14:56,20000000.0,2019-01-29,GAK,20000000.0,GAK29012019,65,9415.81,94060.39,0.764419,TRMGD1WWWWW0,10131518.0,809374.09,1058810.0
