,record_id,kisi_sayisi,record_date,price,aktif_deger,data_date,tedavuldeki_pay_sayisi,fund_code
0,GAS03122018,19,2020-09-21T18:03:30.289,0.024399,11620317.87,2018-12-03,476253006.0,GAS
1,GAS04122018,19,2020-09-21T18:03:30.299,0.024612,11721357.72,2018-12-04,476253006.0,GAS
2,GAS05122018,19,2020-09-21T18:03:30.307,0.02495,11882526.22,2018-12-05,476253006.0,GAS
3,GAS06122018,19,2020-09-21T18:03:30.315,0.02539,12092275.14,2018-12-06,476253006.0,GAS
4,GAS07122018,20,2020-09-21T18:03:30.321,0.02536,12163850.72,2018-12-07,479639250.0,GAS
5,GAS10122018,20,2020-09-21T18:03:30.326,0.025216,12094763.96,2018-12-10,479639250.0,GAS
6,GAS11122018,20,2020-09-21T18:03:30.33,0.025065,12022375.74,2018-12-11,479639250.0,GAS
7,GAS12122018,20,2020-09-21T18:03:30.336,0.025418,12191436.46,2018-12-12,479639250.0,GAS
8,GAS13122018,20,2020-09-21T18:03:30.342,0.0255,12230667.43,2018-12-13,479639250.0,GAS
9,GAS14122018,20,2020-09-21T18:03:30.346,0.02553,12245108.82,2018-12-14,479639250.0,GAS
10,GAS17122018,20,2020-09-21T18:03:30.353,0.02561,12283516.16,2018-12-17,479639250.0,GAS
11,GAS18122018,20,2020-09-21T18:03:30.359,0.025678,12316309.42,2018-12-18,479639250.0,GAS
12,GAS19122018,20,2020-09-21T18:03:30.364,0.025576,12267182.57,2018-12-19,479639250.0,GAS
13,GAS20122018,20,2020-09-21T18:03:30.371,0.025505,12233053.53,2018-12-20,479639250.0,GAS
14,GAS21122018,20,2020-09-21T18:03:30.376,0.025218,12095608.94,2018-12-21,479639250.0,GAS
15,GAS24122018,20,2020-09-21T18:03:30.381,0.025304,12136960.16,2018-12-24,479639250.0,GAS
16,GAS25122018,20,2020-09-21T18:03:30.387,0.025396,12714237.41,2018-12-25,500635707.0,GAS
17,GAS26122018,20,2020-09-21T18:03:30.397,0.025452,12741945.29,2018-12-26,500635707.0,GAS
18,GAS27122018,20,2020-09-21T18:03:30.405,0.025342,12687180.99,2018-12-27,500635707.0,GAS
19,GAS28122018,20,2020-09-21T18:03:30.41,0.025387,12709785.95,2018-12-28,500635707.0,GAS
20,GAS31122018,20,2020-09-21T18:03:30.415,0.025245,12638625.07,2018-12-31,500635707.0,GAS
21,GAS02012019,20,2020-09-21T18:15:27.432,0.025344,12688233.85,2019-01-02,500635707.0,GAS
22,GAS03012019,20,2020-09-21T18:15:27.429,0.025569,12800552.58,2019-01-03,500635707.0,GAS
23,GAS04012019,20,2020-09-21T18:15:27.425,0.026175,13103982.12,2019-01-04,500635707.0,GAS
24,GAS07012019,20,2020-09-21T18:15:27.422,0.025963,12997978.86,2019-01-07,500635707.0,GAS
25,GAS08012019,20,2020-09-21T18:15:27.418,0.025754,12893331.11,2019-01-08,500635707.0,GAS
26,GAS09012019,21,2020-09-21T18:15:27.414,0.026033,15200259.39,2019-01-09,583882326.0,GAS
27,GAS10012019,22,2020-09-21T18:15:27.411,0.026358,15389773.87,2019-01-10,583882326.0,GAS
28,GAS11012019,23,2020-09-21T18:15:27.407,0.026202,16391743.27,2019-01-11,625592441.0,GAS
29,GAS14012019,23,2020-09-21T18:15:27.404,0.026006,17252440.32,2019-01-14,663392359.0,GAS
30,GAS15012019,22,2020-09-21T18:15:27.4,0.026369,22484829.95,2019-01-15,852700354.0,GAS
31,GAS16012019,21,2020-09-21T18:15:27.397,0.0261,22255488.71,2019-01-16,852700354.0,GAS
32,GAS17012019,22,2020-09-21T18:15:27.393,0.025978,22557502.59,2019-01-17,868331868.0,GAS
33,GAS18012019,23,2020-09-21T18:15:27.39,0.025787,22391317.7,2019-01-18,868331868.0,GAS
34,GAS21012019,25,2020-09-21T18:15:27.386,0.025786,22981615.21,2019-01-21,891253555.0,GAS
35,GAS22012019,25,2020-09-21T18:15:27.382,0.025756,23862319.91,2019-01-22,926479416.0,GAS
36,GAS23012019,27,2020-09-21T18:15:27.379,0.025792,26888295.14,2019-01-23,1042517544.0,GAS
37,GAS24012019,27,2020-09-21T18:15:27.375,0.025689,26781201.53,2019-01-24,1042517544.0,GAS
38,GAS25012019,28,2020-09-21T18:15:27.371,0.02552,26742264.77,2019-01-25,1047896113.0,GAS
39,GAS28012019,30,2020-09-21T18:15:27.367,0.025465,28321610.26,2019-01-28,1112165591.0,GAS
40,GAS29012019,35,2020-09-21T18:15:27.363,0.025506,29805979.37,2019-01-29,1168593869.0,GAS
41,GAS30012019,35,2020-09-21T18:15:27.356,0.025769,30966786.81,2019-01-30,1201723784.0,GAS
42,GAS31012019,36,2020-09-21T18:15:27.352,0.025559,30768210.3,2019-01-31,1203793749.0,GAS
43,GAS01022019,38,2020-09-21T18:15:27.348,0.025291,30549698.65,2019-02-01,1207923421.0,GAS
44,GAS04022019,44,2020-09-21T18:15:27.344,0.025218,30461884.44,2019-02-04,1207923421.0,GAS
45,GAS05022019,45,2020-09-21T18:15:27.341,0.025329,33920700.58,2019-02-05,1339229553.0,GAS
46,GAS06022019,45,2020-09-21T18:15:27.337,0.025271,37934183.09,2019-02-06,1501092320.0,GAS
47,GAS07022019,47,2020-09-21T18:15:27.334,0.0253,38357885.91,2019-02-07,1516138075.0,GAS
48,GAS08022019,47,2020-09-21T18:15:27.33,0.025424,38546676.99,2019-02-08,1516138075.0,GAS
49,GAS11022019,49,2020-09-21T18:15:27.326,0.02543,39708669.82,2019-02-11,1561489550.0,GAS
50,GAS12022019,52,2020-09-21T18:15:27.322,0.02548,40522001.46,2019-02-12,1590355530.0,GAS
51,GAS13022019,52,2020-09-21T18:15:27.318,0.025561,41051569.24,2019-02-13,1606001158.0,GAS
52,GAS14022019,53,2020-09-21T18:15:27.314,0.025476,40972960.97,2019-02-14,1608266397.0,GAS
53,GAS15022019,54,2020-09-21T18:15:27.31,0.02567,41812864.84,2019-02-15,1628846764.0,GAS
54,GAS18022019,56,2020-09-21T18:15:27.306,0.025542,41656860.13,2019-02-18,1630947259.0,GAS
55,GAS19022019,57,2020-09-21T18:15:27.302,0.025709,42063707.52,2019-02-19,1636136717.0,GAS
