,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,22076553.39,2018-12-13T10:14:57,20000000.0,2018-12-03,GBC,20000000000.0,GBC03122018,123,424062.26,0.0,0.019494,TRYGLMK00013,9032160.0,22398112.61,1148954484.317
1,22418116.43,2018-12-14T10:14:56,20000000.0,2018-12-04,GBC,20000000000.0,GBC04122018,124,381925.89,0.0,0.019792,TRYGLMK00013,9057710.0,22740509.86,1148954549.317
2,23397899.8,2018-12-15T10:14:55,20000000.0,2018-12-05,GBC,20000000000.0,GBC05122018,127,390901.21,480308.38,0.020222,TRYGLMK00013,9082238.0,23727557.31,1173358369.317
3,23639171.65,2018-12-16T10:14:54,20000000.0,2018-12-06,GBC,20000000000.0,GBC06122018,127,397323.71,430270.96,0.020475,TRYGLMK00013,9090414.0,24024801.36,1173358390.317
4,23077597.43,2018-12-17T10:14:59,20000000.0,2018-12-07,GBC,20000000000.0,GBC07122018,129,1073162.19,0.0,0.020317,TRYGLMK00013,9098590.0,24137348.11,1188010474.317
5,23082626.48,2018-12-20T10:14:57,20000000.0,2018-12-10,GBC,20000000000.0,GBC10122018,129,1066234.05,0.0,0.020311,TRYGLMK00013,9170130.0,24125136.54,1187757868.317
6,22899024.14,2018-12-21T10:14:56,20000000.0,2018-12-11,GBC,20000000000.0,GBC11122018,130,1047438.31,60038.88,0.020098,TRYGLMK00013,9194658.0,23920975.89,1190217199.317
7,23163962.63,2018-12-22T10:14:55,20000000.0,2018-12-12,GBC,20000000000.0,GBC12122018,129,1064067.18,50032.33,0.020337,TRYGLMK00013,9219186.0,24205943.76,1190217199.317
8,23366175.98,2018-12-23T10:14:54,20000000.0,2018-12-13,GBC,20000000000.0,GBC13122018,128,1066606.99,50032.33,0.020508,TRYGLMK00013,9227362.0,24408998.29,1190217187.317
9,23413528.74,2018-12-24T10:14:53,20000000.0,2018-12-14,GBC,20000000000.0,GBC14122018,129,1066315.55,50032.12,0.020546,TRYGLMK00013,9235539.0,24454309.72,1190222098.317
10,23315382.5,2018-12-27T10:14:57,20000000.0,2018-12-17,GBC,20000000000.0,GBC17122018,128,1068328.79,50096.37,0.020461,TRYGLMK00013,9307078.0,24352949.39,1190222119.317
11,23361784.2,2018-12-28T10:14:59,20000000.0,2018-12-18,GBC,20000000000.0,GBC18122018,128,1067603.21,85054.61,0.02047,TRYGLMK00013,9332524.0,24396878.86,1191835130.317
12,23291236.88,2018-12-29T10:14:58,20000000.0,2018-12-19,GBC,20000000000.0,GBC19122018,131,1737239.85,0.0,0.020451,TRYGLMK00013,9357052.0,24994183.6,1222123375.317
13,25221663.01,2018-12-30T10:14:58,20000000.0,2018-12-20,GBC,20000000000.0,GBC20122018,135,1732056.42,650414.04,0.020598,TRYGLMK00013,9365228.0,25828605.81,1253955579.317
14,24059505.78,2018-12-31T10:15:00,20000000.0,2018-12-21,GBC,20000000000.0,GBC21122018,135,1696885.26,0.0,0.02018,TRYGLMK00013,9373404.0,25794970.28,1278224901.317
15,25337339.17,2019-01-03T10:14:57,20000000.0,2018-12-24,GBC,20000000000.0,GBC24122018,136,1712590.45,120230.3,0.020372,TRYGLMK00013,9425526.0,26171769.66,1284715497.317
16,28593853.16,2019-01-04T10:14:57,20000000.0,2018-12-25,GBC,20000000000.0,GBC25122018,135,4928377.56,0.0,0.020354,TRYGLMK00013,9450054.0,30205650.28,1484008644.317
17,30743606.67,2019-01-05T10:14:56,20000000.0,2018-12-26,GBC,20000000000.0,GBC26122018,135,8188566.71,0.0,0.020487,TRYGLMK00013,9473560.0,33629781.53,1641548717.317
