,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,3562757.67,2018-12-13T10:14:57,1000000000.0,2018-12-03,GBG,1000000000.0,GBG03122018,179,70135.3,0.0,0.031612,TRYGDKM00036,9032161.0,3610095.53,114200400.0
1,3635055.4,2018-12-14T10:14:56,1000000000.0,2018-12-04,GBG,1000000000.0,GBG04122018,179,72770.17,0.0,0.032265,TRYGDKM00036,9057711.0,3684471.25,114194400.0
2,3687010.27,2018-12-15T10:14:55,1000000000.0,2018-12-05,GBG,1000000000.0,GBG05122018,180,74870.14,0.0,0.03278,TRYGDKM00036,9082239.0,3739865.76,114088400.0
3,3664038.46,2018-12-16T10:14:54,1000000000.0,2018-12-06,GBG,1000000000.0,GBG06122018,179,75623.32,0.0,0.032586,TRYGDKM00036,9090415.0,3717669.03,114089400.0
4,3600804.12,2018-12-17T10:14:59,1000000000.0,2018-12-07,GBG,1000000000.0,GBG07122018,179,72780.39,0.0,0.03217,TRYGDKM00036,9098591.0,3670219.26,114089400.0
5,3598951.2,2018-12-20T10:14:57,1000000000.0,2018-12-10,GBG,1000000000.0,GBG10122018,179,71035.41,0.0,0.032142,TRYGDKM00036,9170131.0,3659878.97,113865400.0
6,3492310.63,2018-12-21T10:14:56,1000000000.0,2018-12-11,GBG,1000000000.0,GBG11122018,179,71558.51,0.0,0.031446,TRYGDKM00036,9194659.0,3571565.53,113579400.0
7,3519384.7,2018-12-22T10:14:55,1000000000.0,2018-12-12,GBG,1000000000.0,GBG12122018,178,72789.54,0.0,0.031739,TRYGDKM00036,9219187.0,3589706.72,113100400.0
8,3543422.76,2018-12-23T10:14:54,1000000000.0,2018-12-13,GBG,1000000000.0,GBG13122018,177,72457.41,18011.47,0.031788,TRYGDKM00036,9227363.0,3565597.13,112167400.0
9,3543629.75,2018-12-24T10:14:53,1000000000.0,2018-12-14,GBG,1000000000.0,GBG14122018,176,73669.73,0.0,0.031948,TRYGDKM00036,9235540.0,3583695.19,112172400.0
10,3489340.95,2018-12-27T10:14:57,1000000000.0,2018-12-17,GBG,1000000000.0,GBG17122018,176,73570.49,0.0,0.031761,TRYGDKM00036,9307079.0,3568292.57,112348400.0
11,3458198.27,2018-12-28T10:14:59,1000000000.0,2018-12-18,GBG,1000000000.0,GBG18122018,176,73604.67,0.0,0.031482,TRYGDKM00036,9332525.0,3536925.56,112348400.0
12,3444097.22,2018-12-29T10:14:58,1000000000.0,2018-12-19,GBG,1000000000.0,GBG19122018,175,73885.52,20012.82,0.031174,TRYGDKM00036,9357053.0,3496580.43,112164400.0
13,3438074.85,2018-12-30T10:14:58,1000000000.0,2018-12-20,GBG,1000000000.0,GBG20122018,175,74574.67,19012.02,0.031123,TRYGDKM00036,9365229.0,3469119.22,111464400.0
14,3332217.33,2018-12-31T10:15:00,1000000000.0,2018-12-21,GBG,1000000000.0,GBG21122018,176,77039.54,0.0,0.030334,TRYGDKM00036,9373405.0,3381184.64,111465400.0
15,3244138.53,2019-01-03T10:14:57,1000000000.0,2018-12-24,GBG,1000000000.0,GBG24122018,176,77303.72,0.0,0.030331,TRYGDKM00036,9425527.0,3380071.47,111438400.0
16,3217757.4,2019-01-04T10:14:57,1000000000.0,2018-12-25,GBG,1000000000.0,GBG25122018,177,77531.72,0.0,0.030091,TRYGDKM00036,9450055.0,3351932.58,111394400.0
17,3259390.23,2019-01-05T10:14:56,1000000000.0,2018-12-26,GBG,1000000000.0,GBG26122018,175,78913.84,65042.03,0.029883,TRYGDKM00036,9473561.0,3327102.62,111337400.0
18,3244614.47,2019-01-06T10:14:55,1000000000.0,2018-12-27,GBG,1000000000.0,GBG27122018,173,78837.27,63041.77,0.029762,TRYGDKM00036,9480715.0,3313381.4,111328400.0
