,portfoy_degeri,record_date,fon_tutari,data_date,fund_code,toplam_pay_sayisi,record_id,kisi_sayisi,hazir_deger,bpp_degeri,price,isin_code,id,aktif_deger,tedavuldeki_pay_sayisi
0,52749243.12,2018-12-13T10:14:57,10000000.0,2018-12-03,GBL,1000000000.0,GBL03122018,959,40294.79,0.0,0.104378,TRMGBLWWWWW0,9032162.0,52717077.59,505061389.353
1,56537772.22,2018-12-14T10:14:56,10000000.0,2018-12-04,GBL,1000000000.0,GBL04122018,967,15474.32,0.0,0.104448,TRMGBLWWWWW0,9057712.0,51665327.45,494651141.353
2,56049040.93,2018-12-15T10:14:55,10000000.0,2018-12-05,GBL,1000000000.0,GBL05122018,966,25705.2,0.0,0.10453,TRMGBLWWWWW0,9082240.0,55996916.21,535703537.353
3,67272493.24,2018-12-16T10:14:54,10000000.0,2018-12-06,GBL,1000000000.0,GBL06122018,967,19402.23,0.0,0.1046,TRMGBLWWWWW0,9090416.0,60556937.25,578936662.353
4,70382978.05,2018-12-17T10:14:59,10000000.0,2018-12-07,GBL,1000000000.0,GBL07122018,969,20700.94,0.0,0.104674,TRMGBLWWWWW0,9098592.0,65591029.85,626620843.353
5,65482648.12,2018-12-20T10:14:57,10000000.0,2018-12-10,GBL,1000000000.0,GBL10122018,971,20129.09,0.0,0.104937,TRMGBLWWWWW0,9170132.0,65474249.82,623936843.353
6,64738195.37,2018-12-21T10:14:56,10000000.0,2018-12-11,GBL,1000000000.0,GBL11122018,970,13691.63,0.0,0.105006,TRMGBLWWWWW0,9194660.0,64720142.28,616347981.353
7,68474038.88,2018-12-22T10:14:55,10000000.0,2018-12-12,GBL,1000000000.0,GBL12122018,969,18884.86,0.0,0.105072,TRMGBLWWWWW0,9219188.0,66678723.36,634597623.353
8,68500603.27,2018-12-23T10:14:54,10000000.0,2018-12-13,GBL,1000000000.0,GBL13122018,969,23679.12,0.0,0.10515,TRMGBLWWWWW0,9227364.0,68485816.03,651315977.353
9,71717228.7,2018-12-24T10:14:53,10000000.0,2018-12-14,GBL,1000000000.0,GBL14122018,971,15892.64,0.0,0.10522,TRMGBLWWWWW0,9235541.0,71691077.37,681341875.353
10,72464856.61,2018-12-27T10:14:57,10000000.0,2018-12-17,GBL,1000000000.0,GBL17122018,968,12839.89,0.0,0.105428,TRMGBLWWWWW0,9307080.0,72424795.06,686959900.353
11,72615134.53,2018-12-28T10:14:59,10000000.0,2018-12-18,GBL,1000000000.0,GBL18122018,969,5329.89,0.0,0.105496,TRMGBLWWWWW0,9332526.0,70898040.86,672047895.353
12,71947092.1,2018-12-29T10:14:58,10000000.0,2018-12-19,GBL,1000000000.0,GBL19122018,972,18129.17,0.0,0.105588,TRMGBLWWWWW0,9357054.0,71905294.28,680998874.353
13,77112681.25,2018-12-30T10:14:58,10000000.0,2018-12-20,GBL,1000000000.0,GBL20122018,976,18485.25,0.0,0.105656,TRMGBLWWWWW0,9365230.0,74995675.06,709811030.353
14,77817084.64,2018-12-31T10:15:00,10000000.0,2018-12-21,GBL,1000000000.0,GBL21122018,973,24996.53,0.0,0.105726,TRMGBLWWWWW0,9373406.0,77774566.88,735621575.353
15,87191923.19,2019-01-03T10:14:57,10000000.0,2018-12-24,GBL,1000000000.0,GBL24122018,973,22091.05,0.0,0.105932,TRMGBLWWWWW0,9425528.0,80400575.45,758980857.353
16,80693991.74,2019-01-04T10:14:57,10000000.0,2018-12-25,GBL,1000000000.0,GBL25122018,976,12980.34,0.0,0.106001,TRMGBLWWWWW0,9450056.0,80623425.52,760591444.353
17,80595040.72,2019-01-05T10:14:56,10000000.0,2018-12-26,GBL,1000000000.0,GBL26122018,978,17813.04,0.0,0.10613,TRMGBLWWWWW0,9473562.0,80525308.64,758740644.353
18,80380060.75,2019-01-06T10:14:55,10000000.0,2018-12-27,GBL,1000000000.0,GBL27122018,978,18265.78,0.0,0.106225,TRMGBLWWWWW0,9480716.0,80306798.89,756009497.353
19,82973506.78,2019-01-07T10:15:00,10000000.0,2018-12-28,GBL,1000000000.0,GBL28122018,979,12807.98,0.0,0.106327,TRMGBLWWWWW0,9487870.0,80218371.93,754452790.353
20,83120358.48,2019-01-10T10:14:57,10000000.0,2018-12-31,GBL,1000000000.0,GBL31122018,966,13689.69,0.0,0.106564,TRMGBLWWWWW0,9556344.0,83026164.32,779123443.353
21,90245279.26,2019-01-12T10:14:58,10000000.0,2019-01-02,GBL,1000000000.0,GBL02012019,964,46765.65,0.0,0.106695,TRMGBLWWWWW0,9604274.0,90170576.54,845122960.353
22,90647772.59,2019-01-13T10:14:57,10000000.0,2019-01-03,GBL,1000000000.0,GBL03012019,970,17912.6,110071.27,0.106763,TRMGBLWWWWW0,9612450.0,90539836.98,848046931.353
23,99844120.09,2019-01-14T10:14:59,10000000.0,2019-01-04,GBL,1000000000.0,GBL04012019,976,10055.02,0.0,0.10683,TRMGBLWWWWW0,9620626.0,91236169.84,854031833.353
24,92974833.71,2019-01-17T10:14:57,10000000.0,2019-01-07,GBL,1000000000.0,GBL07012019,975,12440.95,0.0,0.10703,TRMGBLWWWWW0,9692166.0,92948025.97,868429403.353
25,92282945.16,2019-01-18T10:14:56,10000000.0,2019-01-08,GBL,1000000000.0,GBL08012019,976,7848.55,0.0,0.107097,TRMGBLWWWWW0,9717716.0,92256765.75,861432653.353
26,98714012.46,2019-01-19T10:14:55,10000000.0,2019-01-09,GBL,1000000000.0,GBL09012019,975,7866.99,0.0,0.107164,TRMGBLWWWWW0,9742244.0,93853302.66,875788186.353
27,93278044.09,2019-01-20T10:14:54,10000000.0,2019-01-10,GBL,1000000000.0,GBL10012019,981,6530.38,0.0,0.107214,TRMGBLWWWWW0,9750420.0,93242922.26,869689146.353
28,91552518.36,2019-01-21T10:14:59,10000000.0,2019-01-11,GBL,1000000000.0,GBL11012019,983,9158.71,0.0,0.1073,TRMGBLWWWWW0,9758596.0,95711501.67,891999593.353
29,95678869.49,2019-01-24T10:14:57,10000000.0,2019-01-14,GBL,1000000000.0,GBL14012019,982,10841.81,0.0,0.107509,TRMGBLWWWWW0,9830136.0,95629039.01,889497635.353
30,96194572.01,2019-01-25T10:14:56,10000000.0,2019-01-15,GBL,1000000000.0,GBL15012019,980,5328.05,0.0,0.107576,TRMGBLWWWWW0,9855686.0,96134823.01,893644395.353
31,97687065.04,2019-01-26T10:14:55,10000000.0,2019-01-16,GBL,1000000000.0,GBL16012019,980,22622.51,0.0,0.107643,TRMGBLWWWWW0,9880214.0,97644303.72,907109385.353
32,100541584.0,2019-01-27T10:14:57,10000000.0,2019-01-17,GBL,1000000000.0,GBL17012019,978,13895.44,0.0,0.107731,TRMGBLWWWWW0,9888287.0,97843719.75,908224810.353
33,98967529.59,2019-01-28T10:14:59,10000000.0,2019-01-18,GBL,1000000000.0,GBL18012019,976,11660.74,0.0,0.107798,TRMGBLWWWWW0,9896463.0,95946860.65,890059642.353
34,95013183.12,2019-01-31T10:14:57,10000000.0,2019-01-21,GBL,1000000000.0,GBL21012019,976,10832.97,0.0,0.107987,TRMGBLWWWWW0,9968003.0,94934883.72,879128687.353
35,91791610.06,2019-02-01T10:14:56,10000000.0,2019-01-22,GBL,1000000000.0,GBL22012019,975,16719.69,0.0,0.108059,TRMGBLWWWWW0,9993553.0,91714753.13,848750378.353
36,91943056.14,2019-02-02T10:14:55,10000000.0,2019-01-23,GBL,1000000000.0,GBL23012019,975,35516.3,0.0,0.108125,TRMGBLWWWWW0,10018081.0,91880448.92,849758234.353
37,88460594.28,2019-02-03T10:14:54,10000000.0,2019-01-24,GBL,1000000000.0,GBL24012019,974,10379.7,0.0,0.108193,TRMGBLWWWWW0,10026257.0,88368477.06,816770785.353
38,89520382.32,2019-02-04T10:15:00,10000000.0,2019-01-25,GBL,1000000000.0,GBL25012019,973,23420.98,0.0,0.108259,TRMGBLWWWWW0,10034433.0,89436848.7,826135093.353
39,98138908.46,2019-02-07T10:14:57,10000000.0,2019-01-28,GBL,1000000000.0,GBL28012019,973,13257.45,0.0,0.10846,TRMGBLWWWWW0,10105973.0,90726398.08,836494937.353
40,91641292.53,2019-02-08T10:14:56,10000000.0,2019-01-29,GBL,1000000000.0,GBL29012019,972,17900.49,0.0,0.108529,TRMGBLWWWWW0,10131523.0,90840246.6,837014256.353
41,93900920.84,2019-02-09T10:14:55,10000000.0,2019-01-30,GBL,1000000000.0,GBL30012019,966,4604.87,200126.3,0.108596,TRMGBLWWWWW0,10156053.0,93775861.25,863527924.353
42,99358646.76,2019-02-10T10:14:54,10000000.0,2019-01-31,GBL,1000000000.0,GBL31012019,964,9579.78,440281.48,0.108659,TRMGBLWWWWW0,10164227.0,97152382.33,894101701.353
43,100261406.24,2019-02-11T10:14:53,10000000.0,2019-02-01,GBL,1000000000.0,GBL01022019,954,6783.52,280180.27,0.108726,TRMGBLWWWWW0,10172403.0,100128751.63,920927347.353
44,105802354.18,2019-02-14T10:14:58,10000000.0,2019-02-04,GBL,1000000000.0,GBL04022019,966,10595.9,150289.11,0.108931,TRMGBLWWWWW0,10243943.0,102691744.83,942720659.353
45,102700682.45,2019-02-15T10:14:57,10000000.0,2019-02-05,GBL,1000000000.0,GBL05022019,971,7730.98,0.0,0.108999,TRMGBLWWWWW0,10269493.0,102548617.54,940825742.353
46,102084049.64,2019-02-16T10:14:56,10000000.0,2019-02-06,GBL,1000000000.0,GBL06022019,968,1442.06,320202.96,0.109066,TRMGBLWWWWW0,10294021.0,102053071.51,935703722.353
47,101827118.0,2019-02-17T10:15:00,10000000.0,2019-02-07,GBL,1000000000.0,GBL07022019,968,22843.07,0.0,0.109132,TRMGBLWWWWW0,10302094.0,101812505.63,932929340.353
48,102040414.18,2019-02-18T10:14:58,10000000.0,2019-02-08,GBL,1000000000.0,GBL08022019,970,14481.18,150096.16,0.109199,TRMGBLWWWWW0,10310270.0,102012383.91,934191642.353
49,110225260.61,2019-02-21T10:14:57,10000000.0,2019-02-11,GBL,1000000000.0,GBL11022019,968,16643.12,250485.96,0.1094,TRMGBLWWWWW0,10381810.0,101297649.91,925935279.353
50,98925600.58,2019-02-22T10:14:56,10000000.0,2019-02-12,GBL,1000000000.0,GBL12022019,969,19476.47,300189.04,0.109508,TRMGBLWWWWW0,10407360.0,98882593.12,902967433.353
51,100293868.06,2019-02-23T10:14:55,10000000.0,2019-02-13,GBL,1000000000.0,GBL13022019,974,16023.12,0.0,0.109588,TRMGBLWWWWW0,10431887.0,100242464.81,914720057.353
52,102119318.92,2019-02-24T10:14:54,10000000.0,2019-02-14,GBL,1000000000.0,GBL14022019,978,12515.77,300189.45,0.109657,TRMGBLWWWWW0,10440063.0,102059309.71,930717526.353
53,100240920.06,2019-02-25T10:14:59,10000000.0,2019-02-15,GBL,1000000000.0,GBL15022019,980,8375.38,0.0,0.109722,TRMGBLWWWWW0,10448239.0,100171836.71,912963915.353
54,101327450.89,2019-02-28T10:14:57,10000000.0,2019-02-18,GBL,1000000000.0,GBL18022019,981,9882.79,0.0,0.109928,TRMGBLWWWWW0,10519779.0,101244788.74,921007779.353
55,104442045.15,2019-03-01T10:14:55,10000000.0,2019-02-19,GBL,1000000000.0,GBL19022019,978,107692.62,370237.21,0.109994,TRMGBLWWWWW0,10545329.0,104960155.38,954235772.353
56,102806573.88,2019-03-02T10:14:55,10000000.0,2019-02-20,GBL,1000000000.0,GBL20022019,983,10414.03,0.0,0.110062,TRMGBLWWWWW0,10569857.0,103214129.81,937785302.353
57,102770998.99,2019-03-03T10:14:53,10000000.0,2019-02-21,GBL,1000000000.0,GBL21022019,985,18508.53,240152.88,0.110137,TRMGBLWWWWW0,10578033.0,102681558.12,932310564.353
58,121851682.59,2019-03-04T10:14:52,10000000.0,2019-02-22,GBL,1000000000.0,GBL22022019,995,12772.81,40022.19,0.110202,TRMGBLWWWWW0,10586208.0,114039137.42,1034819058.353
59,114033359.39,2019-03-07T10:14:48,10000000.0,2019-02-25,GBL,1000000000.0,GBL25022019,1004,31243.96,300546.16,0.110403,TRMGBLWWWWW0,10657748.0,113933988.54,1031981754.353
60,111170699.68,2019-03-08T10:15:00,10000000.0,2019-02-26,GBL,1000000000.0,GBL26022019,1012,14004.24,180111.7,0.110468,TRMGBLWWWWW0,10658770.0,113038233.05,1023267499.353
61,120144631.88,2019-03-07T10:14:59,10000000.0,2019-02-27,GBL,1000000000.0,GBL27022019,1021,6032.54,0.0,0.110533,TRMGBLWWWWW0,10659792.0,116647432.42,1055320106.353
62,123152217.42,2019-03-07T10:15:03,10000000.0,2019-02-28,GBL,1000000000.0,GBL28022019,1022,14657.52,470296.81,0.110598,TRMGBLWWWWW0,10660814.0,118608640.1,1072433120.353
63,118268488.86,2019-03-07T10:15:06,10000000.0,2019-03-01,GBL,1000000000.0,GBL01032019,1031,7735.69,450294.66,0.110661,TRMGBLWWWWW0,10661836.0,118122507.71,1067425512.353
64,118619980.18,2019-03-07T10:15:10,10000000.0,2019-03-04,GBL,1000000000.0,GBL04032019,1048,5866.56,190360.74,0.110855,TRMGBLWWWWW0,10662858.0,118454198.33,1068555255.353
65,120229686.99,2019-03-07T10:15:14,10000000.0,2019-03-05,GBL,1000000000.0,GBL05032019,1045,14513.77,16760327.4,0.110923,TRMGBLWWWWW0,10663880.0,120066697.2,1082429168.353
66,124415047.99,2019-03-07T10:15:18,10000000.0,2019-03-06,GBL,1000000000.0,GBL06032019,1058,5331.44,370226.56,0.110984,TRMGBLWWWWW0,10664902.0,122373787.71,1102626942.353
67,123702884.25,2019-03-07T13:50:07,10000000.0,2019-03-07,GBL,1000000000.0,GBL07032019,1060,8574.79,110067.05,0.111046,TRMGBLWWWWW0,10666946.0,123661190.58,1113608103.353
68,117778090.36,2019-03-08T10:50:00,10000000.0,2019-03-08,GBL,1000000000.0,GBL08032019,1058,13204.7,180110.47,0.111109,TRMGBLWWWWW0,10667968.0,117735140.36,1059637010.353
69,115271351.88,2019-03-11T10:50:00,10000000.0,2019-03-11,GBL,1000000000.0,GBL11032019,1070,19985.37,40073.97,0.111289,TRMGBLWWWWW0,10668811.0,115217632.11,1035297915.353
70,104750537.08,2019-03-12T10:22:47,10000000.0,2019-03-12,GBL,1000000000.0,GBL12032019,1065,3632.15,200123.84,0.11135,TRMGBLWWWWW0,10670458.0,108530949.86,974679258.353
71,96478097.74,2019-03-13T10:50:00,10000000.0,2019-03-13,GBL,1000000000.0,GBL13032019,1068,8225.68,220135.92,0.111415,TRMGBLWWWWW0,10674248.0,104759898.95,940271161.353
72,100530583.22,2019-03-14T10:50:00,10000000.0,2019-03-14,GBL,1000000000.0,GBL14032019,1069,14853.2,0.0,0.111479,TRMGBLWWWWW0,10677025.0,100455988.06,901119371.353
73,96947668.12,2019-03-15T10:50:00,10000000.0,2019-03-15,GBL,1000000000.0,GBL15032019,1070,17136.45,0.0,0.111559,TRMGBLWWWWW0,10679759.0,100527786.84,901120749.353
74,103298087.64,2019-03-18T10:30:32,10000000.0,2019-03-18,GBL,1000000000.0,GBL18032019,1077,12488.92,160304.44,0.11175,TRMGBLWWWWW0,10680735.0,103200084.92,923492763.353
75,104333020.71,2019-03-19T10:50:00,10000000.0,2019-03-19,GBL,1000000000.0,GBL19032019,1074,17932.22,150094.11,0.111812,TRMGBLWWWWW0,10684612.0,104235369.95,932241159.353
76,106272768.06,2019-03-20T10:24:48,10000000.0,2019-03-20,GBL,1000000000.0,GBL20032019,1079,15993.26,30018.78,0.111876,TRMGBLWWWWW0,10686031.0,106167789.28,948979395.353
77,129628149.72,2019-03-21T10:50:00,10000000.0,2019-03-21,GBL,1000000000.0,GBL20032019,1086,18542.05,30018.66,0.111937,TRMGBLWWWWW0,10690197.0,117077881.88,1045922784.353
78,119956980.02,2019-03-22T09:50:00,10000000.0,2019-03-22,GBL,1000000000.0,GBL21032019,1090,32936.55,300185.34,0.112,TRMGBLWWWWW0,10692870.0,119856936.5,1070148142.353
